Player,Nation,Team,General Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Marcucci,USA,NY Red Bulls,Goalkeeper,26,1999,2,2,180,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,23.0,34.5,6.0,6.0,11.0,11.0,6.0,17.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,35.5,21.5,35.5,0.0,0.0,0.0,35.5,0.0,0.0,22.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,66.67,100.0,100.0,34.29,0.0,0.0
Aaron Bouwman,NED,Ajax,Defender,18,2007,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,61.0,23.0,23.0,29.0,30.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,5.0,0.0,70.0,7.0,23.0,47.0,0.0,0.0,70.0,1.0,1.0,39.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,96.72,100.0,96.67,100.0,50.0,100.0
Aaron Cresswell,ENG,Stoke City,Defender,35,1989,11,10,943,0.0,0.03,0.76,0.1,0.0,0.0,2.29,0.19,49.25,61.85,22.24,23.96,20.04,23.57,6.01,11.83,0.19,0.1,1.34,4.39,1.15,0.57,6.11,1.43,2.48,1.24,0.67,0.48,0.57,0.19,1.15,1.43,0.29,0.67,0.76,2.48,0.0,69.96,2.86,18.71,35.5,16.13,0.57,69.96,0.57,0.1,37.41,1.34,0.1,0.76,0.0,40.85,0.0,0.0,0.0,0.19,0.48,0.1,0.0,0.0,0.0,3.72,1.24,1.62,0.76,10.02,0.0,1.81,0.67,0.0,0.1,-1.0,0.0,79.63,92.82,85.02,50.8,54.03,17.54
Aaron Herrera,GUA,D.C. United,Midfielder,28,1997,26,24,2066,0.0,0.03,0.7,0.17,0.0,0.0,3.27,0.3,37.68,50.14,13.81,16.21,16.42,20.17,6.84,11.41,0.09,0.18,1.57,2.31,1.61,0.83,3.96,1.7,3.27,1.57,0.87,1.0,0.52,0.04,1.13,1.61,0.48,1.26,1.22,2.88,0.09,60.38,3.4,18.38,25.96,16.73,1.13,60.38,1.57,0.7,30.84,1.74,0.39,0.91,0.61,33.19,0.44,0.09,0.04,1.22,0.48,0.04,0.0,0.0,0.0,4.14,1.44,0.87,1.52,8.93,0.0,2.83,0.87,0.0,0.04,-1.0,0.0,75.15,85.19,81.41,59.95,55.41,44.59
Aaron Long,USA,LAFC,Defender,33,1992,15,15,1271,0.07,0.06,0.28,0.07,0.0,0.0,1.2,0.07,69.89,73.93,23.44,24.43,41.64,42.77,4.32,5.74,0.0,0.02,0.21,6.02,0.07,0.0,4.04,0.42,0.14,1.13,0.85,0.92,0.21,0.0,0.5,0.85,0.35,1.7,0.21,5.52,0.0,84.41,8.21,34.91,46.03,3.54,0.64,84.41,0.14,0.0,52.26,0.35,0.0,0.28,0.07,63.52,0.0,0.0,0.0,0.64,0.28,0.0,0.0,0.0,0.0,3.33,2.41,0.57,0.35,4.6,0.0,0.07,0.85,0.07,0.07,0.17,0.0,94.54,95.95,97.36,75.26,75.22,0.0
Aaron Meijers,NED,Volendam,Forward,37,1987,2,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.18,65.45,12.27,12.27,36.82,36.82,4.09,16.36,0.0,0.0,0.0,12.27,0.0,0.0,0.0,4.09,12.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45,0.0,4.09,36.82,24.55,0.0,65.45,0.0,0.0,40.91,0.0,0.0,0.0,0.0,49.09,0.0,0.0,0.0,8.18,0.0,0.0,0.0,0.0,0.0,4.09,0.0,4.09,0.0,16.36,0.0,0.0,0.0,0.0,4.09,0.0,0.0,81.25,100.0,100.0,25.0,0.0,0.0
Aaron Mejía Montoya,MEX,Tijuana,Midfielder,24,2001,5,2,217,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.41,17.42,29.03,7.47,9.12,6.64,12.44,3.32,6.64,0.0,0.0,0.0,1.24,0.41,0.0,0.83,2.07,4.98,1.66,0.83,0.83,0.41,0.41,0.83,0.83,0.0,0.83,0.83,4.98,0.0,288.25,21.15,120.28,152.63,17.83,1.66,288.25,1.66,0.41,165.48,1.24,0.0,1.24,0.83,210.28,0.83,0.0,0.0,4.98,4.98,0.0,0.0,0.0,0.0,13.27,2.9,2.07,2.07,7.88,0.0,0.41,0.83,0.0,0.41,0.0,0.0,60.01,81.91,53.38,50.0,50.0,24.7
Aaron Nicolás Molinas,ARG,Defensa y Just,Forward,25,2000,24,22,1675,0.11,0.08,1.24,0.43,0.0,0.0,3.71,0.27,45.08,55.72,22.03,24.23,16.82,20.36,5.32,8.17,0.11,0.13,1.93,5.96,1.45,0.27,7.68,2.63,6.23,1.4,0.91,0.54,0.7,0.16,0.81,1.13,0.32,1.13,0.38,0.91,0.05,64.05,0.86,6.39,34.44,24.07,1.07,64.05,1.29,0.91,36.64,2.42,0.05,1.77,1.24,47.87,0.21,0.0,0.0,0.97,0.64,0.0,0.0,0.0,0.0,4.67,0.38,1.4,3.01,16.55,0.0,1.77,0.91,0.11,0.05,0.38,0.0,80.9,90.92,82.61,65.12,65.0,70.54
Aaron Quirós,ARG,Vélez Sarsfield,Defender,23,4002,21,16,1558,0.0,0.03,0.23,0.0,0.0,0.0,0.17,0.0,36.22,46.04,9.7,11.15,21.84,24.26,4.33,9.76,0.0,0.01,0.0,1.39,0.0,0.0,2.6,0.29,0.12,1.1,0.69,0.69,0.23,0.17,0.75,1.21,0.46,0.92,1.44,6.82,0.0,58.29,6.53,32.87,23.97,1.96,0.64,58.29,0.69,0.35,29.11,0.17,0.0,0.58,0.17,33.04,0.4,0.17,0.12,0.98,0.98,0.06,0.0,0.06,0.0,3.41,2.37,1.56,0.75,3.0,0.0,0.0,0.69,0.0,0.12,-1.0,0.0,78.67,87.0,90.02,44.36,62.73,50.72
