Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area
Ben Killip,ENG,Goalkeeper,Portsmouth,29,1995,2,1,155,2,9,7,1,0,0,0,0,2.4,15,43,76,10,11,33,1,3
Vladan Kovačević,BIH,Goalkeeper,Norwich City,27,1998,12,12,1080,18,51,32,1,1,0,1,0,19.2,44,138,378,58,66,207,13,19
Joe Lumley,ENG,Goalkeeper,Sheffield Weds,30,1995,2,2,180,3,11,8,0,0,0,0,0,3.4,9,35,57,5,20,20,1,5
Alex McCarthy,ENG,Goalkeeper,Southampton,35,1989,6,6,540,8,20,12,1,0,0,0,0,8.4,27,88,144,29,46,82,4,5
Paul Nardi,FRA,Goalkeeper,QPR,31,1994,8,8,720,6,24,18,3,0,0,0,0,8.5,46,126,178,20,55,147,2,2
Arthur Okonkwo,ENG,Goalkeeper,Wrexham,24,2001,9,8,721,10,28,19,2,0,0,0,0,7.8,52,126,137,23,71,128,9,3
Alex Palmer,ENG,Goalkeeper,Ipswich Town,29,1996,10,10,833,10,26,17,1,2,2,0,0,7.6,31,73,288,46,33,105,4,20
Ivor Pandur,CRO,Goalkeeper,Hull City,25,2000,12,12,1080,20,56,35,2,2,1,1,0,19.0,92,265,381,37,98,223,19,16
Carl Rushworth,ENG,Goalkeeper,Coventry City,24,2001,12,12,1080,9,39,30,6,2,2,0,0,12.1,78,258,388,36,87,152,8,21
Nicolas Schmid,AUT,Goalkeeper,Portsmouth,28,1997,5,5,385,3,13,10,2,0,0,0,0,5.4,32,108,166,14,25,69,3,17
Egil Selvik,NOR,Goalkeeper,Watford,28,1997,11,11,945,15,45,31,0,0,0,0,0,15.0,38,133,280,36,77,164,7,9
Jakub Stolarczyk,POL,Goalkeeper,Leicester City,24,2000,12,12,1080,12,45,33,3,2,1,1,0,15.4,36,112,352,56,71,176,14,13
Balázs Tóth,HUN,Goalkeeper,Blackburn,28,1997,11,11,990,17,48,32,2,2,2,0,0,13.8,47,177,320,47,49,139,6,21
Lawrence Vigouroux,CHI,Goalkeeper,Swansea City,31,1993,12,12,1080,12,48,36,3,0,0,0,0,15.0,56,175,376,55,88,168,17,9
Radek Vítek,0,Goalkeeper,Bristol City,22,2003,12,12,1080,11,43,32,5,1,1,0,0,13.1,44,187,282,40,76,173,20,31
Joe Walsh,ENG,Goalkeeper,QPR,23,2002,4,4,360,11,17,6,0,0,0,0,0,6.8,17,75,127,21,26,66,7,3
