Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area
Remko Pasveer,NED,Goalkeeper,Ajax,41,1983,1,1,90,2,5,3,0,1,1,0,0,2.0,8,24,48,4,5,15,1,0
Calvin Raatsie,NED,Goalkeeper,Excelsior,23,2002,2,2,180,6,16,10,0,0,0,0,0,5.3,13,38,110,8,11,24,2,9
Jasper Schendelaar,NED,Goalkeeper,Zwolle,25,2000,2,2,180,4,9,5,0,1,1,0,0,3.8,11,36,58,12,15,21,2,3
Lars Unnerstall,GER,Goalkeeper,Twente,35,1990,10,10,900,17,33,18,0,0,0,0,0,11.6,43,120,246,38,52,110,5,12
Etienne Vaessen,SUR,Goalkeeper,Groningen,30,1995,7,7,630,5,20,15,3,0,0,0,0,3.4,68,175,335,36,39,96,8,26
Timon Wellenreuther,GER,Goalkeeper,Feyenoord,29,1995,10,10,900,9,25,16,6,1,1,0,0,6.9,55,158,364,38,37,99,7,14
Jeroen Zoet,NED,Goalkeeper,AZ Alkmaar,34,1991,1,1,90,1,7,6,0,0,0,0,0,1.3,5,18,21,3,7,13,0,0
Alan Aguerre,ARG,Goalkeeper,Cen. Córdoba–SdE,35,1990,6,6,540,7,18,11,1,0,0,0,0,4.2,10,58,91,19,55,84,3,2
Guillermo de Amores,URU,Goalkeeper,Peñarol,31,1994,3,3,270,2,10,8,2,0,0,0,0,1.8,11,40,69,19,20,29,1,0
Anthoni,BRA,Goalkeeper,Internacional,23,2002,6,6,540,8,29,21,2,0,0,0,0,7.8,15,47,87,23,52,76,6,5
Gabriel Arias,CHI,Goalkeeper,Racing Club,38,1987,8,8,719,5,23,18,4,0,0,0,0,6.1,25,95,171,17,54,72,4,7
Franco Armani,ARG,Goalkeeper,River Plate,39,1986,10,10,930,13,34,22,3,1,1,0,0,9.2,30,79,153,52,67,86,6,10
Marino Arzamendia,PAR,Goalkeeper,Olimpia,27,1998,2,2,180,7,12,5,0,2,2,0,0,5.0,13,26,42,7,14,19,1,4
Sebastián Britos,URU,Goalkeeper,Universitario,37,1988,8,8,720,8,36,28,3,1,1,0,0,10.0,47,126,115,23,76,134,4,11
Lucas Bruera,ARG,Goalkeeper,Carabobo,28,1997,6,6,540,13,39,26,0,3,3,0,0,11.2,11,54,67,18,60,95,3,4
Javier Burrai,ECU,Goalkeeper,Talleres,35,1990,3,3,270,2,10,7,2,1,0,1,0,3.0,12,24,67,22,20,39,4,2
Jesús Camargo,VEN,Goalkeeper,Dep Táchira,27,1997,6,6,540,11,37,26,0,0,0,0,0,11.1,22,65,136,30,55,108,4,15
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28,1997,4,3,271,1,10,9,2,0,0,0,0,0.8,12,34,25,5,20,27,2,0
Martín Campaña,URU,Goalkeeper,Peñarol,36,1989,3,3,270,2,13,11,2,0,0,0,0,2.0,17,50,40,4,23,55,4,0
Gabriel Castellón,CHI,Goalkeeper,U de Chile,32,1993,6,6,540,6,23,17,2,1,1,0,0,6.1,22,55,106,19,36,83,2,6
Harlen Castillo,COL,Goalkeeper,Nacional,32,1993,1,1,90,0,2,2,1,0,0,0,0,0.1,4,13,32,2,0,8,0,0
José Contreras Verna,VEN,Goalkeeper,Barcelona,31,1994,5,5,396,4,21,16,2,1,0,1,0,5.9,16,63,77,15,44,62,7,0
Rubén Cordano,BOL,Goalkeeper,Bolívar,27,1998,2,2,180,4,12,8,0,0,0,0,0,2.6,6,21,82,13,12,19,1,0
Brayan Cortés,CHI,Goalkeeper,Colo-Colo,30,1995,5,5,450,15,32,17,0,0,0,0,0,9.3,15,58,72,13,32,56,5,2
Brayan Cortés,CHI,Goalkeeper,Peñarol,30,1995,2,2,180,3,7,4,1,1,1,0,0,2.5,5,42,27,1,17,40,3,1
Ignacio De Arruabarrena,URU,Goalkeeper,Barcelona,28,1997,2,1,144,3,9,6,0,0,0,0,0,2.1,5,14,23,5,20,19,1,3
Alexander Domínguez,ECU,Goalkeeper,LDU de Quito,38,1987,1,1,90,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Enriquez,PER,Goalkeeper,Sporting Cristal,23,2002,6,6,540,16,43,27,0,2,2,0,0,12.9,19,56,131,18,48,85,4,6
Marcos Felipe,BRA,Goalkeeper,Bahia,29,1996,4,4,360,6,19,13,1,0,0,0,0,5.0,10,26,118,22,24,55,0,5
Gatito Fernández,PAR,Goalkeeper,Cerro Porteño,37,1988,3,3,270,5,15,10,0,0,0,0,0,5.3,13,31,56,11,27,39,1,5
Guido Herrera,ARG,Goalkeeper,Talleres,33,1992,3,3,270,6,12,6,0,0,0,0,0,6.1,8,18,66,9,12,27,1,4
John,BRA,Goalkeeper,Botafogo (RJ),29,1996,8,8,720,7,25,18,3,2,2,0,0,7.0,39,92,218,34,56,129,8,10
Carlos Lampe,BOL,Goalkeeper,Bolívar,38,1987,1,1,90,0,3,3,1,0,0,0,0,0.6,1,2,48,8,5,5,0,3
Federico Lanzillota,ARG,Goalkeeper,Bolívar,32,1992,3,3,270,7,12,5,1,0,0,0,0,5.1,1,9,131,22,30,25,3,10
Helton Leite,BRA,Goalkeeper,Fortaleza,34,1990,2,2,180,2,6,4,1,0,0,0,0,1.6,5,15,36,10,18,21,2,0
Marcelo Lomba,BRA,Goalkeeper,Palmeiras,38,1986,1,1,90,0,1,1,1,0,0,0,0,0.0,1,1,24,8,5,8,2,0
Matías Mansilla,ARG,Goalkeeper,Estudiantes–LP,29,1996,6,6,540,5,23,18,4,1,1,0,0,7.0,33,78,115,24,51,95,8,2
Tomás Marchiori,ARG,Goalkeeper,Vélez Sarsfield,30,1995,10,10,900,6,34,30,5,0,0,0,0,9.4,52,141,152,24,78,123,2,1
Alexis Martin Arias,ARG,Goalkeeper,Cerro Porteño,33,1992,5,5,450,7,26,19,2,1,1,0,0,7.0,37,81,100,15,56,82,1,2
Luis Mejía,PAN,Goalkeeper,Nacional,34,1991,6,6,540,10,31,21,1,1,1,0,0,10.7,14,54,85,12,35,85,6,3
Carlos Miguel,BRA,Goalkeeper,Palmeiras,27,1998,1,1,90,3,6,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Morínigo,PAR,Goalkeeper,Libertad,27,1998,5,5,450,3,18,15,3,0,0,0,0,3.9,41,97,104,10,45,87,1,3
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39,1986,4,4,390,2,16,14,3,0,0,0,0,4.3,25,67,106,23,30,51,7,2
Gastón Olveira,URU,Goalkeeper,Olimpia,32,1993,3,3,270,4,13,9,1,0,0,0,0,2.8,15,39,64,5,20,35,0,1
David Ospina,COL,Goalkeeper,Nacional,37,1988,7,7,660,7,27,20,2,3,3,0,0,7.8,36,80,242,38,23,79,6,5
Fernando de Paul,CHI,Goalkeeper,Colo-Colo,34,1991,1,1,90,0,4,4,1,0,0,0,0,0.2,3,6,21,9,4,9,0,0
Rafael Pires,BRA,Goalkeeper,São Paulo,36,1989,10,10,930,8,27,18,4,4,1,1,2,9.6,23,68,149,30,72,103,2,4
Aldair Quintana,COL,Goalkeeper,CA Bucaramanga,31,1994,6,6,540,10,34,23,1,2,1,1,0,10.5,26,64,126,33,43,80,4,6
João Ricardo Riedi,BRA,Goalkeeper,Fortaleza,37,1988,6,6,540,5,30,25,3,1,1,0,0,9.2,25,68,96,21,41,76,7,7
Sergio Rochet,URU,Goalkeeper,Internacional,32,1993,2,2,180,3,9,6,0,0,0,0,0,3.3,16,34,42,5,14,18,0,0
Ronaldo,BRA,Goalkeeper,Bahia,29,1996,2,2,180,1,10,9,1,0,0,0,0,2.1,11,22,60,7,14,23,1,7
Agustín Rossi,ARG,Goalkeeper,Flamengo,30,1995,11,11,1020,5,25,21,7,1,1,0,0,4.2,32,89,285,42,42,116,11,7
Rodrigo Saracho,ARG,Goalkeeper,San Antonio Bulo Bulo,31,1994,6,6,540,15,46,31,0,1,1,0,0,14.4,43,135,126,14,79,117,5,5
Martín Silva,URU,Goalkeeper,Libertad,42,1983,3,3,300,3,18,15,1,0,0,0,0,4.6,28,50,51,7,33,44,3,5
Gonzalo Valle,ECU,Goalkeeper,LDU de Quito,29,1996,10,10,886,5,47,42,6,0,0,0,0,11.3,41,137,266,41,95,185,6,10
Lucas Verza,PAR,Goalkeeper,Olimpia,24,2001,1,1,90,0,3,2,1,1,0,1,0,1.3,4,13,21,7,9,11,1,0
Alexis Villa,ECU,Goalkeeper,LDU de Quito,24,2001,1,0,14,0,0,0,1,0,0,0,0,0.0,2,6,4,0,2,2,0,0
Guido Villar,ARG,Goalkeeper,Independiente,27,1998,6,6,540,11,29,18,1,2,1,1,0,8.8,19,46,110,18,39,85,2,5
Guillermo Vizcarra,BOL,Goalkeeper,Alianza Lima,32,1993,6,6,540,11,29,18,0,2,2,0,0,6.8,36,87,118,33,55,88,5,3
Wéverton,BRA,Goalkeeper,Palmeiras,37,1987,9,9,810,6,36,30,5,0,0,0,0,6.1,29,118,188,39,63,132,6,4
Anthoni,BRA,Goalkeeper,Internacional,23,2002,17,16,1485,26,54,30,3,1,1,0,0,16.7,54,166,296,45,115,197,7,17
Léo Aragão,BRA,Goalkeeper,Cruzeiro,23,2002,3,2,244,1,9,8,2,0,0,0,0,1.6,6,19,41,15,29,45,0,0
Lucas Arcanjo,BRA,Goalkeeper,Vitória,27,1998,29,29,2545,41,144,103,7,4,4,0,0,40.4,126,363,577,101,232,520,19,14
Gabriel Brazão,BRA,Goalkeeper,Santos,25,2000,29,29,2587,42,129,88,6,5,5,0,0,39.0,96,257,459,84,192,398,7,22
Brenno,BRA,Goalkeeper,Fortaleza,26,1999,6,6,540,7,23,15,1,1,0,1,0,7.8,24,66,98,23,52,77,1,2
Ruan Carneiro,BRA,Goalkeeper,Juventude,35,1990,3,3,270,4,12,8,1,1,1,0,0,3.2,11,38,73,11,22,35,2,0
Cássio,BRA,Goalkeeper,Cruzeiro,38,1987,28,28,2456,20,104,83,12,1,0,1,0,24.7,76,220,384,86,210,426,9,19
Gabriel Chapecó,BRA,Goalkeeper,Grêmio,25,2000,5,5,450,7,27,20,1,1,1,0,0,8.9,24,67,88,19,48,99,7,4
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23,2002,2,2,180,2,7,5,1,0,0,0,0,1.1,7,22,57,6,10,20,3,8
Diogenes,BRA,Goalkeeper,Santos,24,2001,1,0,23,0,3,3,0,0,0,0,0,0.2,4,11,5,1,9,14,1,0
Matheus Donelli,BRA,Goalkeeper,Corinthians,23,2002,5,5,450,6,19,13,1,1,1,0,0,5.7,13,33,97,19,35,53,3,2
Éverson,BRA,Goalkeeper,Atlético Mineiro,35,1990,27,27,2430,30,108,79,9,3,3,0,0,33.7,138,370,862,98,123,339,16,44
Fábio,BRA,Goalkeeper,Fluminense,45,1980,29,29,2610,35,99,64,10,1,0,1,0,31.7,62,182,463,112,180,358,24,15
Marcos Felipe,BRA,Goalkeeper,Bahia,29,1996,11,10,972,9,37,28,4,2,2,0,0,10.6,47,117,336,53,92,184,8,24
Bruno Ferreira,BRA,Goalkeeper,Ceará,31,1994,22,22,1953,21,77,56,6,1,1,0,0,24.3,103,297,420,70,180,373,28,18
Caíque França,BRA,Goalkeeper,Sport Recife,30,1995,12,12,1080,20,59,40,2,4,3,0,1,17.7,44,106,223,52,98,164,10,11
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28,1997,2,1,92,4,6,2,0,0,0,0,0,2.3,5,15,41,0,11,21,0,0
Gabriel,BRA,Goalkeeper,Vitória,33,1992,1,1,90,2,4,2,0,0,0,0,0,1.2,1,10,28,4,6,11,0,0
Gabriel,BRA,Goalkeeper,Sport Recife,33,1992,17,17,1530,26,94,68,3,3,3,0,0,27.3,75,224,368,66,113,234,11,32
Gustavo,BRA,Goalkeeper,Juventude,32,1993,10,10,855,22,56,33,1,3,2,1,0,18.0,27,81,224,47,67,148,8,1
Ivan,BRA,Goalkeeper,Internacional,28,1997,3,3,270,2,16,13,1,1,0,1,0,3.4,10,40,49,7,24,43,2,1
Jandrei,BRA,Goalkeeper,Juventude,32,1993,12,12,1080,20,51,31,3,2,2,0,0,18.3,68,171,285,33,76,192,14,4
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,30,1995,29,29,2605,37,114,80,7,2,2,0,0,35.7,68,238,690,103,215,442,28,32
John,BRA,Goalkeeper,Botafogo (RJ),29,1996,17,17,1530,11,59,47,9,0,0,0,0,15.5,61,165,511,53,88,224,12,12
Helton Leite,BRA,Goalkeeper,Fortaleza,34,1990,4,4,360,9,22,13,0,2,2,0,0,6.5,15,39,65,16,19,44,2,2
Leonardo Linck,BRA,Goalkeeper,Botafogo (RJ),24,2001,11,10,946,14,40,26,3,2,2,0,0,13.0,33,109,266,23,45,159,8,5
Marcelo Lomba,BRA,Goalkeeper,Palmeiras,38,1986,1,1,90,2,6,4,0,0,0,0,0,1.9,8,11,18,6,11,16,0,1
Felipe Longo,BRA,Goalkeeper,Corinthians,20,2005,2,2,180,3,7,4,1,1,1,0,0,2.4,5,24,42,4,16,41,0,1
Lucão,BRA,Goalkeeper,RB Bragantino,24,2001,4,4,360,9,30,21,1,0,0,0,0,10.2,7,29,96,19,32,71,3,3
Magrão,BRA,Goalkeeper,Fortaleza,25,2000,3,3,270,4,12,8,0,2,2,0,0,4.2,9,27,44,12,25,30,1,1
Marcão,BRA,Goalkeeper,Juventude,33,1992,6,5,495,10,41,32,1,1,1,0,0,11.5,12,56,130,29,24,78,4,4
Carlos Miguel,BRA,Goalkeeper,Palmeiras,27,1998,2,2,180,3,8,5,1,1,1,0,0,3.1,11,29,51,7,12,17,3,1
Fernando Miguel,BRA,Goalkeeper,Ceará,40,1985,8,7,657,7,33,26,3,2,2,0,0,8.7,38,116,168,25,59,148,9,9
Alex Muralha,BRA,Goalkeeper,Mirassol,35,1989,7,7,630,10,28,18,0,1,1,0,0,8.8,14,55,160,27,38,120,5,16
Neto,BRA,Goalkeeper,Botafogo (RJ),36,1989,3,3,224,3,10,7,0,0,0,0,0,1.9,8,25,75,12,12,39,3,4
Rafael Pires,BRA,Goalkeeper,São Paulo,36,1989,28,28,2520,30,115,86,10,7,7,0,0,35.9,69,251,478,81,181,411,12,14
João Ricardo Riedi,BRA,Goalkeeper,Fortaleza,37,1988,14,14,1260,18,71,53,7,1,0,1,0,20.4,75,178,293,65,98,170,12,12
Sergio Rochet,URU,Goalkeeper,Internacional,32,1993,11,11,945,15,52,37,2,0,0,0,0,14.0,35,114,228,58,60,156,8,4
Ronaldo,BRA,Goalkeeper,Bahia,29,1996,20,20,1728,25,81,56,7,3,1,2,0,26.8,47,181,502,68,121,281,15,31
Agustín Rossi,ARG,Goalkeeper,Flamengo,30,1995,29,29,2610,16,92,73,15,4,1,3,0,23.1,89,215,755,100,93,330,34,29
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,28,1997,26,26,2340,38,120,83,6,1,1,0,0,32.1,77,206,618,153,170,453,24,18
Vinicius Silvestre,BRA,Goalkeeper,Fortaleza,31,1994,2,2,180,6,17,11,0,0,0,0,0,5.1,14,32,49,8,12,42,0,0
Hugo Souza,BRA,Goalkeeper,Corinthians,26,1999,23,23,2070,26,78,52,8,6,6,0,0,27.1,76,212,527,81,145,278,11,9
Thiago,BRA,Goalkeeper,Vitória,26,1999,1,0,65,1,5,4,0,0,0,0,0,1.5,0,5,13,3,1,12,0,0
Tiago Volpi,BRA,Goalkeeper,Grêmio,34,1990,25,25,2250,31,109,78,4,8,6,0,2,40.6,144,344,543,56,166,396,14,11
Walter,BRA,Goalkeeper,Mirassol,37,1987,23,23,2070,21,106,83,8,3,1,2,0,30.4,56,157,574,80,98,430,19,7
Wéverton,BRA,Goalkeeper,Palmeiras,37,1987,26,26,2340,21,77,56,9,4,3,1,0,22.2,91,353,614,87,154,288,19,19
Young,BRA,Goalkeeper,São Paulo,23,2002,2,2,180,3,9,6,0,0,0,0,0,2.7,3,14,29,7,15,32,1,0
Carlos Acevedo,MEX,Goalkeeper,Santos,29,1996,15,15,1350,24,85,59,4,2,0,2,0,23.1,78,231,373,57,166,272,10,14
Guillermo Allison,MEX,Goalkeeper,Querétaro,35,1990,10,10,900,18,59,40,2,4,3,1,0,20.2,38,142,178,28,109,237,13,7
Luis Ángel Malagón,MEX,Goalkeeper,América,28,1997,13,13,1170,14,38,24,4,0,0,0,0,14.2,48,121,314,30,69,122,4,15
José Antonio Rodríguez,MEX,Goalkeeper,Tijuana,33,1992,15,14,1339,19,67,47,6,3,2,1,0,18.1,99,207,525,49,135,234,8,9
Luis Cárdenas,MEX,Goalkeeper,Monterrey,32,1993,2,2,180,4,13,10,0,0,0,0,0,2.5,5,23,106,10,8,24,0,0
José Corona,MEX,Goalkeeper,Tijuana,44,1981,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodolfo Cota,MEX,Goalkeeper,América,38,1987,2,2,180,2,5,3,0,0,0,0,0,0.6,8,22,48,12,17,21,1,0
Oscar Garcia,MEX,Goalkeeper,León,22,2003,12,12,1080,20,69,48,4,5,4,1,0,19.2,34,124,242,36,112,178,10,16
Hugo González Durán,MEX,Goalkeeper,Toluca,35,1990,9,9,807,11,35,24,3,1,0,1,0,10.5,21,75,215,35,62,110,7,11
Andrés Gudiño,MEX,Goalkeeper,Cruz Azul,28,1997,1,1,90,1,2,1,0,0,0,0,0,0.6,5,13,45,3,2,7,1,3
Ricardo Gutiérrez,MEX,Goalkeeper,Mazatlán,28,1997,15,15,1350,27,74,47,1,8,8,0,0,25.3,60,210,341,57,132,241,12,9
Nahuel Guzmán,ARG,Goalkeeper,UANL,39,1986,15,15,1350,14,47,32,8,5,1,2,2,13.0,61,161,437,39,71,188,14,35
Oscar Jiménez,MEX,Goalkeeper,León,37,1988,3,3,270,7,13,6,0,0,0,0,0,4.3,10,24,79,18,17,33,0,2
Julio José González,MEX,Goalkeeper,Puebla,34,1991,11,10,945,24,47,23,1,4,3,1,0,16.2,44,97,227,53,87,131,7,11
Sebastián Jurado,MEX,Goalkeeper,FC Juárez,28,1997,15,15,1350,25,59,36,2,1,1,0,0,17.4,43,109,351,39,58,184,6,7
Luis Manuel García,MEX,Goalkeeper,Toluca,32,1992,7,6,543,7,24,17,1,3,3,0,0,8.0,16,46,157,25,48,80,0,6
Santiago Mele,URU,Goalkeeper,Monterrey,28,1997,13,13,1170,20,52,32,4,1,1,0,0,15.3,29,83,346,34,52,166,8,17
Kevin Mier,COL,Goalkeeper,Cruz Azul,25,2000,14,14,1260,16,48,33,4,0,0,0,0,13.2,49,142,496,30,95,157,2,28
Carlos Moreno,MEX,Goalkeeper,Pachuca,27,1998,15,15,1350,19,54,36,4,3,3,0,0,13.6,92,217,493,96,98,184,17,35
Keylor Navas,CRC,Goalkeeper,UNAM,38,1986,13,13,1170,16,52,35,3,4,2,2,0,16.6,39,117,297,35,142,191,6,12
Rodrigo Parra,MEX,Goalkeeper,UNAM,17,2007,2,2,180,6,7,1,0,0,0,0,0,3.5,4,15,57,12,13,14,0,5
Cesar Ramos,MEX,Goalkeeper,Atlas,25,2000,1,1,90,2,4,2,0,0,0,0,0,1.8,6,19,19,1,11,12,1,0
José Rangel Aguilar,MEX,Goalkeeper,Guadalajara,25,2000,15,15,1350,20,61,40,3,6,4,1,1,18.3,51,111,316,59,109,164,7,38
Jesús Rodríguez,MEX,Goalkeeper,Puebla,32,1993,5,5,405,14,24,11,1,4,4,0,0,10.0,23,61,108,15,40,57,0,6
Andrés Sánchez,MEX,Goalkeeper,Atlético,28,1997,15,15,1350,24,61,40,4,4,3,1,0,21.2,57,150,331,66,124,197,3,27
Antonio Sánchez,MEX,Goalkeeper,Atlas,25,2000,1,1,90,3,5,2,0,1,1,0,0,3.0,3,15,14,2,10,34,1,2
José Santiago Hernández,MEX,Goalkeeper,Querétaro,28,1997,5,5,450,10,23,14,0,1,1,0,0,7.6,17,61,96,20,47,70,1,7
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,30,1995,15,15,1350,30,63,33,1,4,3,0,1,23.0,66,190,339,37,140,165,12,20
Camilo Vargas,COL,Goalkeeper,Atlas,36,1989,13,13,1170,28,69,39,1,6,3,2,1,22.9,50,167,356,40,112,225,4,7
Lucas Acosta,ARG,Goalkeeper,Sarmiento,30,1995,29,29,2610,33,141,111,9,4,3,0,1,40.5,164,498,663,58,219,453,21,26
Alan Aguerre,ARG,Goalkeeper,Cen. Córdoba–SdE,35,1990,27,27,2430,29,95,67,10,2,2,0,0,27.5,111,327,396,68,219,394,14,10
Facundo Altamirano,ARG,Goalkeeper,San Lorenzo,29,1996,1,1,90,1,1,0,0,0,0,0,0,0.9,6,18,18,1,4,13,0,2
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33,1992,29,29,2610,16,107,94,19,4,4,0,0,25.0,324,845,744,20,248,670,60,44
Gabriel Arias,CHI,Goalkeeper,Racing Club,38,1987,18,18,1554,20,70,49,5,3,2,1,0,20.2,82,231,393,70,143,228,8,28
Franco Armani,ARG,Goalkeeper,River Plate,39,1986,27,27,2430,17,88,71,14,0,0,0,0,24.4,91,227,476,129,184,292,9,27
Williams Barlasina,ARG,Goalkeeper,Newell's OB,27,1998,4,4,360,5,20,15,0,0,0,0,0,5.7,33,74,59,11,38,89,4,0
Williams Barlasina,ARG,Goalkeeper,Aldosivi,27,1998,4,4,360,8,16,8,0,0,0,0,0,6.3,13,42,66,19,33,54,4,1
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43,1982,29,29,2610,35,121,88,9,3,3,0,0,35.1,173,365,626,102,221,466,17,18
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,27,1998,29,29,2610,29,107,77,10,2,1,1,0,32.1,202,585,639,52,251,455,34,23
Leandro Brey,ARG,Goalkeeper,Boca Juniors,23,2002,4,3,271,2,10,8,2,0,0,0,0,2.7,7,21,61,15,17,63,1,2
Jorge Broun,ARG,Goalkeeper,Rosario Central,39,1986,26,26,2339,14,70,57,13,1,1,0,0,16.7,133,275,439,108,221,387,17,4
Javier Burrai,ECU,Goalkeeper,Talleres,35,1990,2,1,135,1,4,3,1,0,0,0,0,0.3,10,22,45,4,15,34,1,2
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28,1997,13,11,1053,9,49,40,7,0,0,0,0,11.7,62,183,263,42,112,189,6,7
Thiago Cardozo,URU,Goalkeeper,Belgrano,29,1996,13,13,1170,10,46,36,6,2,0,1,1,13.8,76,216,291,39,90,216,13,2
Thiago Cardozo,URU,Goalkeeper,Unión,29,1996,14,14,1256,16,51,35,3,2,2,0,0,16.5,47,136,248,66,98,180,7,6
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44,1981,25,25,2250,35,110,76,7,4,4,0,0,29.2,125,328,504,102,174,362,21,23
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28,1997,29,29,2610,31,119,90,11,6,5,1,0,32.5,170,504,592,105,250,536,27,14
Juan Cozzani,ARG,Goalkeeper,Platense,27,1998,21,21,1890,16,75,61,8,2,2,0,0,21.5,115,409,407,31,134,311,14,21
Álvaro David Montero,COL,Goalkeeper,Vélez Sarsfield,30,1995,2,1,152,1,6,5,1,0,0,0,0,1.1,11,33,24,5,20,50,2,0
Andrés Desábato,ARG,Goalkeeper,Platense,35,1990,4,4,360,8,15,7,0,0,0,0,0,6.4,8,29,60,8,19,42,3,5
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26,1999,11,11,990,17,46,29,2,3,1,1,1,17.2,63,177,245,46,87,128,8,16
Juan Espínola,PAR,Goalkeeper,Newell's OB,30,1994,9,9,810,16,52,36,2,1,1,0,0,13.2,68,151,151,32,76,154,12,9
Juan Espínola,PAR,Goalkeeper,Belgrano,30,1994,11,11,990,18,41,23,3,1,1,0,0,12.0,65,204,289,39,71,182,13,8
Hernán Galíndez,ECU,Goalkeeper,Huracán,38,1987,25,25,2250,16,67,51,14,3,2,1,0,20.0,123,354,535,57,182,351,24,11
Orlando Gill,PAR,Goalkeeper,San Lorenzo,25,2000,28,28,2520,19,71,54,15,0,0,0,0,19.5,124,425,514,82,209,382,22,7
Juan González,URU,Goalkeeper,Atlé Tucumán,32,1993,6,6,540,5,22,18,2,1,1,0,0,5.0,39,92,137,17,42,87,9,6
Guido Herrera,ARG,Goalkeeper,Talleres,33,1992,28,28,2475,26,97,73,10,1,1,0,0,26.6,154,367,704,88,150,369,24,14
Fabricio Iacovich,ARG,Goalkeeper,Estudiantes–LP,23,2002,1,1,90,0,3,3,1,0,0,0,0,0.3,1,2,10,4,6,13,0,0
Marcos Ignacio Ledesma,ARG,Goalkeeper,Barracas Central,29,1996,28,28,2520,31,117,88,7,0,0,0,0,28.0,198,509,503,106,218,521,43,12
Luis Ingolotti,ARG,Goalkeeper,Gimnasia–LP,25,2000,3,3,270,7,14,7,0,2,2,0,0,7.1,11,31,55,12,21,54,1,0
Nelson Insfrán,ARG,Goalkeeper,Gimnasia–LP,30,1995,26,26,2340,27,107,77,10,5,2,3,0,33.5,139,415,545,78,200,478,32,14
Jeremías Ledesma,ARG,Goalkeeper,River Plate,32,1993,2,2,180,4,12,8,0,2,2,0,0,4.6,9,17,32,11,18,24,1,0
Nahuel Losada,ARG,Goalkeeper,Lanús,32,1993,28,28,2475,17,103,85,13,4,2,1,1,27.2,133,365,687,134,144,463,43,26
Federico Losas,ARG,Goalkeeper,Platense,23,2002,4,4,360,7,16,9,0,0,0,0,0,6.6,22,52,64,14,24,37,3,3
Matías Mansilla,ARG,Goalkeeper,Estudiantes–LP,29,1996,16,16,1440,19,52,32,5,2,1,1,0,15.8,67,186,274,69,131,234,9,20
Matías Mansilla,ARG,Goalkeeper,Atlé Tucumán,29,1996,12,12,1080,14,51,38,4,2,2,0,0,14.2,64,151,223,34,76,178,6,8
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37,1988,25,25,2249,19,80,62,11,2,2,0,0,20.9,85,231,520,117,183,340,17,14
Tomás Marchiori,ARG,Goalkeeper,Vélez Sarsfield,30,1995,27,27,2368,26,89,64,10,4,3,0,1,22.4,79,252,473,119,206,315,21,11
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36,1989,28,28,2475,17,77,60,15,3,2,1,0,20.6,154,347,760,53,147,319,14,11
Sebastián Meza,ARG,Goalkeeper,Huracán,25,2000,4,4,360,7,19,12,1,1,1,0,0,5.6,15,44,80,17,19,48,4,2
Lautaro Morales,ARG,Goalkeeper,Lanús,25,1999,2,1,135,3,4,1,0,0,0,0,0,1.9,4,11,30,5,10,13,1,0
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39,1986,12,12,1080,13,50,38,3,1,1,0,0,12.7,50,129,305,73,78,182,19,17
Keylor Navas,CRC,Goalkeeper,Newell's OB,38,1986,14,14,1260,11,64,54,6,1,0,0,1,16.7,106,222,247,48,132,272,10,3
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27,1998,29,29,2610,34,107,74,11,4,3,1,0,34.8,230,514,826,127,177,418,40,33
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22,2003,2,2,180,4,14,10,0,1,1,0,0,4.6,7,11,55,20,6,33,3,1
Rodrigo Rey,ARG,Goalkeeper,Independiente,34,1991,29,29,2610,25,85,63,11,5,5,0,0,27.9,138,355,655,115,187,373,18,12
