Team,Pts
Liverpool,125500
Manchester City,137750
Newcastle Utd,23039
Arsenal,98000
Chelsea,109000
Tottenham,70250
Eint Frankfurt,74000
Dortmund,106750
Bayern Munich,135250
Leverkusen,95250
Paris S-G,118500
Marseille,48000
Monaco,41000
Real Madrid,143500
Barcelona,103250
Atlético Madrid,93500
Athletic Club,26750
Villarreal,82000
Juventus,74250
Napoli,61000
Inter,116250
Atalanta,82000
PSV Eindhoven,69250
Ajax,67250
Galatasaray,38250
Slavia Prague,51000
Bodø/Glimt,49000
Benfica,87750
Sporting CP,59000
Olympiacos,56500
FC Copenhagen,44875
Club Brugge,71750
Pafos FC,11125
Qarabağ,32000
Qaırat Almaty,5500
Union SG,36000
