Game Week,Player,Team,League,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Save Percentage,Post-Shot Expected Goals (PSxG),Passes Completed (Launched),Passes Attempted (Launched),Pass Completion % (Launched),Passes Attempted (GK),Throws Attempted,Launch % (Passes),Average Pass Length,Goal Kicks Attempted,Launch % (Goal Kicks),Average Goal Kick Length,Crosses Faced,Crosses Stopped,Cross Stop %,Def. Actions Outside Penalty Area,Average Distance of Def. Actions
J1,Elia Caprile,Empoli,Italian Serie A,it ITA,21-359,90,4.0,1.0,3.0,75.0,0.4,4.0,20.0,20.0,37.0,9.0,48.6,42.6,4.0,50.0,50.3,10.0,2.0,20.0,2.0,12.4
J1,Lorenzo Montipò,Hellas Verona,Italian Serie A,it ITA,27-180,90,4.0,0.0,4.0,100.0,0.3,9.0,23.0,39.1,33.0,4.0,54.5,43.0,8.0,62.5,54.0,4.0,0.0,0.0,4.0,27.2
J1,Łukasz Skorupski,Bologna,Italian Serie A,pl POL,32-108,90,5.0,2.0,3.0,60.0,1.6,2.0,4.0,50.0,20.0,6.0,20.0,25.1,3.0,0.0,8.3,9.0,1.0,11.1,2.0,15.8
J1,Mike Maignan,Milan,Italian Serie A,fr FRA,28-049,90,5.0,0.0,5.0,100.0,0.3,6.0,21.0,28.6,50.0,8.0,32.0,31.9,5.0,100.0,62.4,15.0,3.0,20.0,1.0,10.2
J10,Ivan Provedel,Lazio,Italian Serie A,it ITA,29-227,90,5.0,0.0,5.0,100.0,0.5,1.0,8.0,12.5,37.0,5.0,21.6,32.4,5.0,0.0,26.4,9.0,1.0,11.1,1.0,14.0
J10,Pietro Terracciano,Fiorentina,Italian Serie A,it ITA,33-236,90,4.0,1.0,3.0,100.0,1.8,6.0,13.0,46.2,41.0,2.0,19.5,27.8,9.0,55.6,43.8,6.0,0.0,0.0,0.0,
J1,Mark Flekken,Brentford,English Premier League,nl NED,30-061,90,6.0,2.0,4.0,66.7,1.1,6.0,13.0,46.2,26.0,4.0,26.9,31.5,6.0,100.0,61.3,20.0,2.0,10.0,0.0,4.5
J1,Guglielmo Vicario,Tottenham,English Premier League,it ITA,26-310,90,6.0,2.0,4.0,83.3,1.7,2.0,11.0,18.2,29.0,4.0,37.9,33.2,2.0,0.0,14.5,11.0,2.0,18.2,7.0,21.1
J1,Robert Sánchez,Chelsea,English Premier League,es ESP,25-268,90,1.0,1.0,0.0,0.0,0.8,4.0,9.0,44.4,29.0,5.0,17.2,25.2,6.0,66.7,41.5,9.0,2.0,22.2,3.0,18.8
J1,Alisson,Liverpool,English Premier League,br BRA,30-315,90,4.0,1.0,3.0,75.0,1.4,1.0,6.0,16.7,21.0,6.0,14.3,25.3,4.0,75.0,52.0,18.0,1.0,5.6,0.0,12.0
J1,André Onana,Manchester Utd,English Premier League,cm CMR,27-134,90,6.0,0.0,6.0,100.0,0.8,2.0,12.0,16.7,37.0,5.0,27.0,32.3,6.0,33.3,29.7,21.0,1.0,4.8,2.0,18.5
J1,José Sá,Wolves,English Premier League,pt POR,30-209,90,2.0,1.0,1.0,50.0,0.8,3.0,9.0,33.3,25.0,6.0,24.0,29.9,9.0,33.3,31.1,12.0,3.0,25.0,1.0,10.0
J2,Matt Turner,Nott'ham Forest,English Premier League,us USA,29-055,90,3.0,1.0,2.0,66.7,1.5,8.0,16.0,50.0,25.0,4.0,44.0,35.9,6.0,83.3,52.7,17.0,0.0,0.0,2.0,18.7
J2,Wes Foderingham,Sheffield Utd,English Premier League,eng ENG,32-216,90,4.0,2.0,2.0,50.0,2.1,5.0,16.0,31.3,26.0,5.0,38.5,30.6,9.0,66.7,49.0,16.0,1.0,6.3,4.0,17.1
J2,José Sá,Wolves,English Premier League,pt POR,30-214,90,8.0,4.0,4.0,50.0,3.3,0.0,11.0,0.0,40.0,11.0,22.5,31.4,4.0,50.0,41.5,6.0,2.0,33.3,1.0,12.3
