Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Burnley,Manchester City,0–3,"21,572",Turf Moor,Craig Pawson,2023-08-11,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League
J1,Arsenal,Nott'ham Forest,2–1,"59,984",Emirates Stadium,Michael Oliver,2023-08-12,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League
J1,Everton,Fulham,0–1,"39,940",Goodison Park,Stuart Attwell,2023-08-12,https://fbref.com/en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League
J1,Brighton,Luton Town,4–1,"31,872",The American Express Community Stadium,David Coote,2023-08-12,https://fbref.com/en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League
J1,Sheffield Utd,Crystal Palace,0–1,"31,194",Bramall Lane,John Brooks,2023-08-12,https://fbref.com/en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League
J1,Bournemouth,West Ham,1–1,"11,245",Vitality Stadium,Peter Bankes,2023-08-12,https://fbref.com/en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League
J1,Newcastle Utd,Aston Villa,5–1,"52,207",St James' Park,Andy Madley,2023-08-12,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League
J1,Brentford,Tottenham,2–2,"17,066",Gtech Community Stadium,Robert Jones,2023-08-13,https://fbref.com/en/matches/67ed3ba2/Brentford-Tottenham-Hotspur-August-13-2023-Premier-League
J1,Chelsea,Liverpool,1–1,"40,096",Stamford Bridge,Anthony Taylor,2023-08-13,https://fbref.com/en/matches/c18d3207/Chelsea-Liverpool-August-13-2023-Premier-League
J1,Manchester Utd,Wolves,1–0,"73,358",Old Trafford,Simon Hooper,2023-08-14,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League
J2,Nott'ham Forest,Sheffield Utd,2–1,"29,432",The City Ground,Peter Bankes,2023-08-18,https://fbref.com/en/matches/a0a93f71/Nottingham-Forest-Sheffield-United-August-18-2023-Premier-League
J2,Wolves,Brighton,1–4,"31,317",Molineux Stadium,Andy Madley,2023-08-19,https://fbref.com/en/matches/d7c606ec/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-August-19-2023-Premier-League
J2,Fulham,Brentford,0–3,"24,236",Craven Cottage,Darren Bond,2023-08-19,https://fbref.com/en/matches/46be83af/Fulham-Brentford-August-19-2023-Premier-League
J2,Liverpool,Bournemouth,3–1,"53,145",Anfield,Thomas Bramall,2023-08-19,https://fbref.com/en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League
J2,Tottenham,Manchester Utd,2–0,"61,910",Tottenham Hotspur Stadium,Michael Oliver,2023-08-19,https://fbref.com/en/matches/4bb62251/Tottenham-Hotspur-Manchester-United-August-19-2023-Premier-League
J2,Manchester City,Newcastle Utd,1–0,"53,419",Etihad Stadium,Robert Jones,2023-08-19,https://fbref.com/en/matches/0b8f50a5/Manchester-City-Newcastle-United-August-19-2023-Premier-League
J2,Aston Villa,Everton,4–0,"41,694",Villa Park,Anthony Taylor,2023-08-20,https://fbref.com/en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League
J2,West Ham,Chelsea,3–1,"62,451",London Stadium,John Brooks,2023-08-20,https://fbref.com/en/matches/44b9a07c/West-Ham-United-Chelsea-August-20-2023-Premier-League
J2,Crystal Palace,Arsenal,0–1,"24,189",Selhurst Park,David Coote,2023-08-21,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League
J3,Chelsea,Luton Town,3–0,"39,893",Stamford Bridge,Robert Jones,2023-08-25,https://fbref.com/en/matches/6bfb9dc0/Chelsea-Luton-Town-August-25-2023-Premier-League
J3,Bournemouth,Tottenham,0–2,"10,567",Vitality Stadium,Tim Robinson,2023-08-26,https://fbref.com/en/matches/f49c4ad2/Bournemouth-Tottenham-Hotspur-August-26-2023-Premier-League
J3,Everton,Wolves,0–1,"38,851",Goodison Park,Craig Pawson,2023-08-26,https://fbref.com/en/matches/18dfee28/Everton-Wolverhampton-Wanderers-August-26-2023-Premier-League
J3,Manchester Utd,Nott'ham Forest,3–2,"73,595",Old Trafford,Stuart Attwell,2023-08-26,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League
J3,Brentford,Crystal Palace,1–1,"16,997",Gtech Community Stadium,Peter Bankes,2023-08-26,https://fbref.com/en/matches/537b2b0b/Brentford-Crystal-Palace-August-26-2023-Premier-League
J3,Arsenal,Fulham,2–2,"59,961",Emirates Stadium,Paul Tierney,2023-08-26,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League
J3,Brighton,West Ham,1–3,"31,508",The American Express Community Stadium,Anthony Taylor,2023-08-26,https://fbref.com/en/matches/ba68d60c/Brighton-and-Hove-Albion-West-Ham-United-August-26-2023-Premier-League
J3,Sheffield Utd,Manchester City,1–2,"31,336",Bramall Lane,Jarred Gillett,2023-08-27,https://fbref.com/en/matches/0844ff10/Sheffield-United-Manchester-City-August-27-2023-Premier-League
J3,Burnley,Aston Villa,1–3,"21,591",Turf Moor,Michael Salisbury,2023-08-27,https://fbref.com/en/matches/b66a7def/Burnley-Aston-Villa-August-27-2023-Premier-League
J3,Newcastle Utd,Liverpool,1–2,"52,214",St James' Park,John Brooks,2023-08-27,https://fbref.com/en/matches/b31156ab/Newcastle-United-Liverpool-August-27-2023-Premier-League
J4,Luton Town,West Ham,1–2,"10,802",Kenilworth Road Stadium,Paul Tierney,2023-09-01,https://fbref.com/en/matches/e929e225/Luton-Town-West-Ham-United-September-1-2023-Premier-League
J4,Sheffield Utd,Everton,2–2,"31,124",Bramall Lane,Andy Madley,2023-09-02,https://fbref.com/en/matches/87b46bb9/Sheffield-United-Everton-September-2-2023-Premier-League
