Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
25,Yanick van Osch,nl NED,GK,RKC Waalwijk,27,1997,3,3,270,3.0,9,3.00,26,17,69.2,0,1,2,0,0.0,1,1,0,0,0.0,Matches,25,Yanick van Osch,nl NED,GK,RKC Waalwijk,27,1997,3.0,9,1,1,3,0,9.9,0.36,+0.9,+0.31,26,65,40.0,103,11,37.9,35.8,35,74.3,54.5,83,3,3.6,2,0.67,11.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Rome-Jayden Owusu-Oduro,nl NED,GK,AZ Alkmaar,20,2004,28,28,2520,28.0,34,1.21,85,51,61.2,11,9,8,9,32.1,3,1,1,1,50.0,Matches,26,Rome-Jayden Owusu-Oduro,nl NED,GK,AZ Alkmaar,20,2004,28.0,34,1,0,3,1,28.9,0.32,-4.1,-0.15,120,358,33.5,716,87,40.5,36.7,118,57.6,48.9,317,26,8.2,14,0.50,13.5,Matches
27,Remko Pasveer,nl NED,GK,Ajax,40,1983,24,24,2160,24.0,23,0.96,89,67,74.2,17,4,3,11,45.8,0,0,0,0,,Matches,27,Remko Pasveer,nl NED,GK,Ajax,40,1983,24.0,23,0,0,2,1,27.3,0.32,+5.3,+0.22,148,327,45.3,943,109,31.1,30.1,107,31.8,33.3,277,25,9.0,27,1.13,13.6,Matches
28,Luca Plogmann,de GER,GK,Go Ahead Eag,24,2000,18,18,1620,18.0,32,1.78,81,49,64.2,7,4,7,4,22.2,3,3,0,0,0.0,Matches,28,Luca Plogmann,de GER,GK,Go Ahead Eag,24,2000,18.0,32,3,0,3,0,25.5,0.29,-6.5,-0.36,55,199,27.6,640,71,26.4,30.8,89,33.7,34.8,312,12,3.8,13,0.72,11.5,Matches
29,Diant Ramaj,de GER,GK,Ajax,22,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,29,Diant Ramaj,de GER,GK,Ajax,22,2001,1.0,0,0,0,0,0,0.2,0.11,+0.2,+0.22,1,10,10.0,47,3,21.3,28.2,5,0.0,21.4,5,0,0.0,1,1.00,16.0,Matches
30,Robin Roefs,nl NED,GK,NEC Nijmegen,21,2003,32,32,2880,32.0,42,1.31,151,113,72.8,12,7,13,10,31.3,1,1,0,0,0.0,Matches,30,Robin Roefs,nl NED,GK,NEC Nijmegen,21,2003,32.0,42,1,3,7,4,47.7,0.32,+9.7,+0.30,169,562,30.1,1072,137,41.1,36.4,202,59.9,48.8,465,52,11.2,45,1.41,13.9,Matches
31,Jasper Schendelaar,nl NED,GK,Zwolle,23,2000,30,30,2700,30.0,45,1.50,144,100,70.8,8,10,12,6,20.0,5,3,0,2,0.0,Matches,31,Jasper Schendelaar,nl NED,GK,Zwolle,23,2000,30.0,45,3,0,8,1,49.5,0.33,+5.5,+0.18,152,526,28.9,991,160,40.7,35.7,186,66.1,53.0,470,38,8.1,23,0.77,12.1,Matches
32,Mark Spenkelink,nl NED,GK,RKC Waalwijk,27,1997,4,4,360,4.0,12,3.00,24,12,58.3,2,0,2,0,0.0,2,2,0,0,0.0,Matches,32,Mark Spenkelink,nl NED,GK,RKC Waalwijk,27,1997,4.0,12,2,0,1,0,10.0,0.35,-2.0,-0.49,22,66,33.3,155,10,37.4,33.4,14,57.1,47.1,59,1,1.7,1,0.25,10.6,Matches
33,Przemysław Tytoń,pl POL,GK,Twente,37,1987,3,3,270,3.0,10,3.33,19,9,47.4,1,0,2,0,0.0,0,0,0,0,,Matches,33,Przemysław Tytoń,pl POL,GK,Twente,37,1987,3.0,10,0,0,1,0,7.8,0.41,-2.2,-0.74,16,34,47.1,100,15,28.0,29.3,18,33.3,32.1,34,1,2.9,6,2.00,15.6,Matches
34,Lars Unnerstall,de GER,GK,Twente,34,1990,31,31,2790,31.0,39,1.26,101,62,63.4,14,9,8,11,35.5,2,2,0,0,0.0,Matches,34,Lars Unnerstall,de GER,GK,Twente,34,1990,31.0,39,2,0,3,0,35.8,0.35,-3.2,-0.10,109,332,32.8,892,147,31.1,31.1,173,31.8,33.1,403,23,5.7,36,1.16,13.2,Matches
35,Etienne Vaessen,sr SUR,GK,Groningen,29,1995,32,32,2880,32.0,50,1.56,140,91,67.9,10,9,13,7,21.9,6,5,1,0,16.7,Matches,35,Etienne Vaessen,sr SUR,GK,Groningen,29,1995,32.0,50,5,0,3,2,50.4,0.33,+2.4,+0.07,240,717,33.5,1073,103,51.9,40.6,196,81.6,58.8,448,41,9.2,41,1.28,13.6,Matches
36,Timon Wellenreuther,de GER,GK,Feyenoord,28,1995,29,29,2610,29.0,28,0.97,99,70,72.7,19,7,3,10,34.5,2,1,1,0,50.0,Matches,36,Timon Wellenreuther,de GER,GK,Feyenoord,28,1995,29.0,28,1,0,3,0,32.0,0.31,+4.0,+0.14,129,321,40.2,1128,129,24.9,30.7,96,41.7,38.5,286,17,5.9,77,2.66,17.8,Matches
37,Jonas Wendlinger,at AUT,GK,Almere City,24,2000,1,0,10,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,37,Jonas Wendlinger,at AUT,GK,Almere City,24,2000,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,5,20.0,4,0,100.0,58.3,1,100.0,75.0,1,1,100.0,0,0.00,7.0,Matches
38,Jeroen Zoet,nl NED,GK,AZ Alkmaar,33,1991,6,6,540,6.0,3,0.50,12,10,75.0,5,0,1,3,50.0,0,0,0,0,,Matches,38,Jeroen Zoet,nl NED,GK,AZ Alkmaar,33,1991,6.0,3,0,0,0,1,1.5,0.13,-0.5,-0.08,37,117,31.6,180,12,50.6,39.0,45,57.8,47.0,65,4,6.2,4,0.67,12.9,Matches
