Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
39,Vicente Reyes,cl CHI,GK,Norwich City,20,2003,4,3,271,3.0,7,2.32,12,5,41.7,0,1,2,0,0.0,0,0,0,0,,Matches,39,Vicente Reyes,cl CHI,GK,Norwich City,20,2003,3.0,7,0,0,2,0,5.6,0.49,-1.4,-0.47,4,18,22.2,63,15,22.2,28.2,10,40.0,38.3,38,1,2.6,8,2.66,21.8,Matches
40,Liam Roberts,eng ENG,GK,Millwall,29,1994,2,1,91,1.0,0,0.00,3,3,100.0,1,0,0,2,200.0,0,0,0,0,,Matches,40,Liam Roberts,eng ENG,GK,Millwall,29,1994,1.0,0,0,0,0,0,0.3,0.09,+0.3,+0.26,4,32,12.5,22,2,86.4,54.9,13,100.0,64.8,36,3,8.3,2,1.98,13.5,Matches
41,Carl Rushworth,eng ENG,GK,Hull City,23,2001,2,2,180,2.0,2,1.00,4,2,50.0,1,0,1,1,50.0,0,0,0,0,,Matches,41,Carl Rushworth,eng ENG,GK,Hull City,23,2001,2.0,2,0,0,0,0,1.6,0.40,-0.4,-0.20,7,21,33.3,59,9,30.5,29.4,4,75.0,55.5,31,1,3.2,2,1.00,16.1,Matches
42,Nicolas Schmid,at AUT,GK,Portsmouth,27,1997,35,35,3090,34.3,48,1.40,144,100,67.4,14,6,15,8,22.9,1,1,0,0,0.0,Matches,42,Nicolas Schmid,at AUT,GK,Portsmouth,27,1997,34.3,48,1,0,8,4,46.9,0.32,+2.9,+0.08,276,920,30.0,1055,60,69.1,48.8,203,94.1,67.9,454,12,2.6,98,2.85,21.7,Matches
43,Egil Selvik,no NOR,GK,Watford,27,1997,16,16,1440,16.0,19,1.19,71,52,73.2,4,4,8,6,37.5,0,0,0,0,,Matches,43,Egil Selvik,no NOR,GK,Watford,27,1997,16.0,19,0,0,2,0,24.4,0.36,+5.4,+0.34,79,261,30.3,505,60,39.0,34.6,100,64.0,46.8,233,13,5.6,16,1.00,12.6,Matches
44,James Shea,eng ENG,GK,Luton Town,33,1991,2,1,147,1.6,1,0.61,5,4,80.0,0,0,1,1,100.0,0,0,0,0,,Matches,44,James Shea,eng ENG,GK,Luton Town,33,1991,1.6,1,0,0,0,0,2.0,0.41,+1.0,+0.62,12,43,27.9,61,6,52.5,40.4,15,73.3,57.5,21,4,19.0,4,2.45,13.9,Matches
45,Balázs Tóth,hu HUN,GK,Blackburn,26,1997,6,6,540,6.0,5,0.83,21,16,76.2,4,1,1,2,33.3,0,0,0,0,,Matches,45,Balázs Tóth,hu HUN,GK,Blackburn,26,1997,6.0,5,0,0,3,0,7.4,0.35,+2.4,+0.40,18,108,16.7,147,19,43.5,37.0,47,93.6,65.0,95,6,6.3,5,0.83,12.3,Matches
46,James Trafford,eng ENG,GK,Burnley,21,2002,45,45,4050,45.0,16,0.36,103,85,84.5,27,16,2,29,64.4,2,0,2,0,100.0,Matches,46,James Trafford,eng ENG,GK,Burnley,21,2002,45.0,16,0,1,3,0,27.8,0.26,+11.8,+0.26,148,574,25.8,1492,194,27.1,30.8,246,68.7,53.1,527,30,5.7,50,1.11,14.2,Matches
47,Mark Travers,ie IRL,GK,Middlesbrough,25,1999,17,17,1530,17.0,20,1.18,83,64,75.9,6,2,9,4,23.5,0,0,0,0,,Matches,47,Mark Travers,ie IRL,GK,Middlesbrough,25,1999,17.0,20,0,0,3,1,23.1,0.28,+4.1,+0.24,37,215,17.2,419,71,36.5,35.3,116,53.4,43.9,223,15,6.7,24,1.41,15.1,Matches
48,Josh Vickers,eng ENG,GK,Derby County,28,1995,6,6,540,6.0,6,1.00,17,11,64.7,3,1,2,3,50.0,0,0,0,0,,Matches,48,Josh Vickers,eng ENG,GK,Derby County,28,1995,6.0,6,0,0,1,0,6.7,0.39,+0.7,+0.11,38,127,29.9,122,16,63.9,46.3,55,89.1,59.5,92,9,9.8,3,0.50,12.0,Matches
49,Lawrence Vigouroux,cl CHI,GK,Swansea City,30,1993,46,46,4140,46.0,56,1.22,166,113,68.7,17,10,19,14,30.4,4,4,0,0,0.0,Matches,49,Lawrence Vigouroux,cl CHI,GK,Swansea City,30,1993,46.0,56,4,0,6,3,54.5,0.31,+1.5,+0.03,310,965,32.1,1772,188,46.6,37.2,229,61.1,47.0,600,40,6.7,38,0.83,13.9,Matches
50,Joe Walsh,eng ENG,GK,QPR,22,2002,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,50,Joe Walsh,eng ENG,GK,QPR,22,2002,1.0,0,0,0,0,0,1.7,0.42,+1.7,+1.67,7,24,29.2,37,2,54.1,41.4,5,80.0,62.2,30,1,3.3,0,0.00,10.0,Matches
51,Jacob Widell Zetterström,se SWE,GK,Derby County,26,1998,40,40,3600,40.0,50,1.25,150,99,67.3,10,10,20,9,22.5,3,1,2,0,66.7,Matches,51,Jacob Widell Zetterström,se SWE,GK,Derby County,26,1998,40.0,50,1,3,3,1,50.1,0.33,+1.1,+0.03,220,774,28.4,987,172,57.2,43.8,253,82.6,60.0,550,44,8.0,30,0.75,11.4,Matches
52,Joe Wildsmith,eng ENG,GK,West Brom,28,1995,10,10,900,10.0,9,0.90,28,19,67.9,3,4,3,2,20.0,0,0,0,0,,Matches,52,Joe Wildsmith,eng ENG,GK,West Brom,28,1995,10.0,9,0,1,2,0,9.0,0.33,0.0,0.00,54,175,30.9,303,45,44.6,36.1,65,61.5,45.6,118,7,5.9,7,0.70,13.1,Matches
53,Ben Wilson,eng ENG,GK,Coventry City,31,1992,4,4,360,4.0,5,1.25,22,17,77.3,2,0,2,2,50.0,0,0,0,0,,Matches,53,Ben Wilson,eng ENG,GK,Coventry City,31,1992,4.0,5,0,0,0,0,4.8,0.22,-0.2,-0.04,16,72,22.2,118,17,49.2,38.9,18,77.8,56.3,47,3,6.4,10,2.50,20.9,Matches
54,Freddie Woodman,eng ENG,GK,Preston,27,1997,37,37,3329,37.0,43,1.16,130,86,69.2,10,16,11,12,32.4,4,3,1,0,25.0,Matches,54,Freddie Woodman,eng ENG,GK,Preston,27,1997,37.0,43,3,1,5,1,38.3,0.28,-3.7,-0.10,250,634,39.4,1232,206,41.9,36.9,230,51.3,42.6,539,32,5.9,61,1.65,14.7,Matches
