Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession
Gent,26.1,8,15,15.5,132,42,2,2,229,27,3637,4577,1550,1762,1501,1781,460,751,102,314,104,19,450,172,446,123,72,45,61,17,74,152,78,85,88,81,3,5462,412,1314,2649,1536,277,5460,135,65,3180,134,60,137,65,3613,11,0,0,82,79,8,2,1,0,469,104,85,9,36,26,2,1,0,1,0,8.5,32,72,195,62,46,67,7,3,189,202,1068,256,460,146,1,58.8
Getafe,27.3,38,42,45.7,446,150,6,7,766,69,10713,15193,4641,5528,4142,5344,1625,3436,324,1037,220,103,1141,439,1124,608,364,269,251,88,291,577,286,342,307,730,6,19243,2020,5619,8971,4848,684,19236,552,239,9360,385,122,576,281,10603,135,10,5,648,437,78,3,7,0,1773,657,692,54,173,118,10,7,5,1,1,55.2,341,915,977,124,322,463,18,62,1349,857,2704,835,1129,655,2,44.8
Girona,26.1,38,84,70.8,476,178,7,8,872,152,18793,21914,8986,9734,7878,8692,1460,2446,377,1431,362,88,1685,894,1673,544,340,264,222,58,274,521,247,378,257,661,21,25780,2695,8432,11583,5985,977,25772,745,353,16055,599,234,584,376,18610,75,1,0,406,471,95,7,7,0,1808,373,390,46,168,121,12,7,5,1,1,51.0,155,420,1074,178,312,534,41,33,763,960,4252,1024,1661,614,2,56.9
Gladbach,25.4,34,55,46.5,451,144,5,6,806,98,13544,16946,6222,7073,5785,6704,1162,2210,374,801,261,83,1227,598,1217,582,337,291,247,44,287,534,247,465,333,860,15,20954,2559,7900,9058,4189,720,20948,550,237,12077,435,153,429,320,13427,66,2,1,337,372,53,4,6,0,1701,485,478,67,207,140,4,6,6,0,0,58.4,144,405,1059,177,266,538,28,34,963,749,3042,904,1217,624,0,46.8
Granada,26.7,38,35,42.6,394,123,5,8,708,63,12127,15976,5270,6031,5127,6099,1458,2965,283,834,263,94,1044,512,1030,637,374,336,237,64,289,623,334,404,280,779,26,20152,2413,7720,8677,3997,667,20144,658,303,10969,379,112,600,305,12010,98,4,1,514,504,75,5,6,2,1708,484,540,79,203,126,3,6,5,0,1,70.2,231,626,1096,185,293,536,33,52,1024,905,2586,771,1136,663,1,45.6
HJK,27.3,6,7,5.9,51,21,2,2,94,13,2120,2707,1000,1123,871,1037,187,396,44,130,38,12,171,76,169,87,57,42,30,15,53,104,51,76,66,133,4,3376,498,1344,1308,752,105,3374,96,38,1797,45,24,87,41,2102,8,0,0,67,65,7,1,1,1,283,65,59,17,48,32,0,1,1,0,0,17.6,18,78,156,28,64,103,2,1,124,128,416,107,179,110,0,44.79999999999999
Heidenheim,26.7,34,46,39.4,392,114,2,3,666,81,10264,14339,3699,4713,4741,5858,1578,2863,279,730,201,73,983,510,976,601,352,311,225,65,275,591,316,463,302,783,5,18405,2361,6987,7570,4058,637,18402,530,223,9120,361,90,549,279,10152,54,1,0,442,325,38,1,10,3,1741,690,612,55,174,121,6,10,7,1,2,53.6,249,595,1162,167,318,495,24,17,1302,828,2469,747,1001,627,3,42.5
Hellas Verona,25.7,38,38,38.0,435,146,3,7,777,69,10639,14710,4116,5023,4666,5727,1618,3113,335,958,216,92,1122,539,1108,621,387,302,245,74,293,578,285,414,302,784,15,18925,2169,6433,8621,4096,598,18918,567,252,9746,384,113,595,284,10515,88,6,2,541,447,61,4,2,1,1842,750,644,51,163,113,8,2,2,0,0,43.5,331,791,983,111,319,492,22,45,1394,879,2769,846,1019,680,0,44.4
Hoffenheim,27.7,34,65,53.6,457,160,6,6,813,110,13457,17038,5931,6757,5840,6864,1372,2563,346,1069,292,76,1359,538,1351,517,304,286,185,46,259,541,282,413,357,790,12,20983,2561,6920,9475,4742,752,20977,542,220,11630,401,144,477,241,13325,86,5,4,339,366,52,5,5,1,1715,515,515,66,211,143,2,5,2,3,0,68.6,208,529,1112,165,296,545,31,73,1030,718,3248,923,1264,563,3,49.5
Häcken,27.0,6,2,7.4,79,29,0,0,134,3,2696,3239,1224,1357,1068,1237,335,487,63,301,54,12,289,108,287,88,58,38,33,17,54,109,55,67,52,66,4,3843,383,1034,1817,1029,125,3843,120,67,2224,89,25,98,55,2667,5,0,0,62,57,6,0,0,0,336,32,47,17,34,17,0,0,0,0,0,13.0,19,42,135,30,49,55,1,10,79,153,684,137,216,112,0,50.70000000000001
Inter,29.0,46,97,94.4,696,230,16,17,1262,168,23003,27102,10304,11335,9921,11035,2203,3381,530,1518,513,146,1942,867,1923,649,382,305,265,79,276,578,302,453,340,746,9,31602,3258,10329,14142,7347,1192,31585,563,249,18786,678,187,595,286,22819,63,1,0,488,523,92,13,4,0,2013,656,467,29,147,117,25,4,2,1,1,38.3,128,309,1499,189,303,569,31,22,1123,881,4732,1430,2038,658,2,56.300000000000004
Juventus,26.5,38,52,54.6,531,146,3,5,936,87,14757,18079,5963,6728,6820,7755,1727,2762,417,1191,296,105,1473,709,1451,577,369,270,233,74,264,445,181,375,253,725,4,22071,2211,6537,10295,5426,881,22066,596,259,12537,501,183,553,307,14598,87,2,1,478,376,72,3,3,2,1656,486,434,31,116,86,17,3,2,1,0,30.1,154,360,768,144,321,601,28,23,920,860,3633,1023,1465,633,1,48.5
KF Ballkani Therandë,27.8,6,3,4.0,58,15,0,0,104,4,2491,3065,995,1135,1135,1319,320,487,45,164,21,6,199,100,198,128,69,71,51,6,72,125,53,57,55,128,2,3796,442,1392,1771,675,72,3796,113,44,2157,85,17,132,64,2479,14,0,0,58,98,11,0,1,0,349,80,92,7,21,14,2,1,1,0,0,7.0,10,25,124,37,56,99,8,2,172,196,497,108,116,141,0,53.70000000000001
KÍ,29.9,6,5,6.1,44,15,0,0,78,10,1553,2213,539,694,722,882,245,525,33,101,18,12,123,48,122,87,50,47,31,9,41,85,44,62,56,163,2,2904,449,1147,1294,484,86,2904,71,28,1384,41,9,123,21,1537,18,3,3,72,52,6,0,3,0,279,92,103,9,30,21,2,3,3,0,0,11.0,37,118,156,33,64,116,4,4,195,144,293,88,125,91,0,39.7
Köln,25.4,34,28,39.3,441,142,5,6,780,45,11704,15411,4930,5779,5377,6369,1146,2378,319,821,217,85,1086,618,1081,617,375,330,234,53,342,659,317,506,305,766,9,19356,2274,7028,8252,4318,668,19350,524,246,10380,439,141,472,292,11521,71,4,3,418,364,53,5,3,0,1689,557,533,60,168,108,4,3,3,0,0,62.0,135,372,1037,101,260,504,14,21,1090,764,2785,825,1111,717,0,46.5
LASK,26.1,6,6,7.5,56,18,1,1,99,10,1826,2584,783,967,781,1009,216,449,45,137,46,13,203,54,203,151,92,79,53,19,74,137,63,87,60,145,2,3376,439,1193,1495,720,116,3375,102,38,1616,47,13,94,54,1808,16,0,0,83,71,22,0,3,0,320,89,93,12,28,16,1,3,3,0,0,12.0,22,87,134,18,63,77,2,9,182,148,460,109,188,166,0,44.79999999999999
Las Palmas,25.6,38,33,33.2,386,120,3,5,707,60,19105,22882,10201,11174,7170,8097,1145,2312,295,1295,271,54,1596,577,1573,662,397,328,263,71,305,633,328,416,281,761,14,27041,2667,9077,12876,5282,614,27036,680,316,15544,459,116,645,365,18955,84,5,1,411,499,93,3,9,3,1846,395,489,47,156,109,8,9,5,3,1,51.2,146,473,1733,204,265,545,30,100,884,1010,3746,767,1055,702,4,59.199999999999996
Lazio,28.8,46,54,57.1,527,161,6,6,927,88,21055,25344,10179,11234,8480,9664,1845,3129,401,1510,369,73,1856,833,1847,693,418,302,313,78,333,753,420,526,367,769,7,29879,2862,9202,14499,6445,905,29873,733,337,16169,626,171,613,285,20907,125,5,2,557,527,82,5,3,0,2129,455,512,49,179,130,16,3,2,0,1,48.0,157,411,1171,163,359,564,24,30,967,898,4536,1015,1518,751,1,51.68260869565216
Le Havre,26.2,34,33,37.3,381,113,6,7,693,63,11739,15121,5123,6042,5019,5901,1150,2291,290,945,209,57,1199,457,1189,560,332,293,207,60,283,572,289,362,363,664,10,18820,2058,6332,8458,4240,620,18813,586,260,12860,446,114,453,284,11638,67,6,3,433,368,52,7,4,2,1638,485,482,45,158,114,7,4,2,1,1,49.9,158,463,709,135,251,482,32,25,967,737,2845,756,1000,615,2,44.7
Lecce,24.9,38,30,43.1,503,147,3,5,879,49,11742,15397,4700,5530,5225,6158,1487,2846,378,895,211,87,1183,638,1171,605,374,285,252,68,289,566,277,429,308,751,8,19625,2361,6796,8874,4214,667,19620,651,299,10809,430,153,605,357,11618,89,5,2,504,481,56,4,6,1,1779,548,616,54,173,119,7,6,5,1,0,51.0,152,489,801,159,340,522,20,20,1164,962,2992,928,1118,663,1,44.9
Legia Warsaw,27.4,8,11,8.5,83,23,1,1,157,19,2865,3623,1246,1417,1239,1441,310,578,66,255,56,22,307,118,307,99,61,41,41,17,45,103,58,62,56,126,4,4359,426,1316,2003,1077,157,4358,96,50,2488,92,30,133,51,2845,18,0,0,110,88,20,1,0,0,354,116,98,12,30,18,2,0,0,0,0,11.9,26,97,212,22,58,72,2,21,214,184,732,176,265,106,0,46.8
Lens,27.2,42,53,61.6,570,190,7,8,1010,88,17674,21873,8058,9250,7372,8558,1536,2721,436,1554,407,110,1904,736,1890,698,432,286,325,87,368,701,333,488,367,715,20,26356,2460,7246,12690,6684,949,26348,601,268,18948,707,139,647,396,17483,112,5,2,549,536,96,6,10,1,2169,571,501,51,182,131,15,10,8,1,1,56.8,212,486,1149,193,280,519,42,46,1072,1043,4530,1098,1605,800,2,51.709523809523816
Leverkusen,26.2,47,116,100.1,852,316,9,9,1551,208,28724,32902,16119,17361,9979,11075,1701,2712,686,2208,615,100,2617,1226,2595,650,399,266,263,121,275,581,306,458,311,639,14,37786,2521,8375,18833,10880,1596,37777,952,445,23502,960,334,671,419,28508,82,0,0,442,474,94,7,3,0,2452,500,450,37,161,124,21,3,3,0,0,45.8,103,278,1059,241,259,446,37,55,950,1090,6438,1759,2645,674,0,61.71702127659574
Lille,25.1,44,67,68.8,574,215,6,7,1023,111,21305,25306,9422,10548,9320,10445,1874,3094,424,1631,387,67,2014,878,1993,737,470,322,308,107,346,721,375,414,370,742,13,29856,2583,8384,15033,6733,1042,29849,870,427,22546,751,242,633,389,21068,81,3,1,478,618,64,7,5,2,2120,465,440,40,160,120,20,5,3,2,0,46.3,133,442,1283,161,255,488,38,49,905,1022,4885,1134,1738,816,2,57.85
Liverpool,26.3,48,108,111.1,948,330,10,13,1680,175,26314,31323,12389,13633,11210,12622,2135,3640,729,2085,633,97,2601,1133,2580,836,518,337,355,144,421,933,512,596,378,713,26,36890,2813,9625,17868,9712,1731,36877,972,440,23419,863,352,762,525,26105,77,5,2,558,487,118,11,1,3,2553,713,550,53,183,133,13,1,1,0,0,51.1,130,392,1808,258,282,478,28,62,1263,1287,6314,1855,2813,939,0,62.71666666666667
Lorient,24.7,34,41,37.1,368,135,1,1,641,63,13284,16298,5717,6546,5786,6600,1284,2251,274,1004,251,56,1293,632,1283,538,326,284,195,59,252,531,279,391,337,805,14,20198,2448,6962,9140,4345,640,20197,691,341,14463,548,117,535,315,13141,66,1,0,403,416,56,1,8,1,1684,410,394,66,207,142,4,8,8,0,0,64.0,139,378,850,162,299,591,24,13,804,850,3208,704,1064,578,0,46.3
Ludogorets,27.3,8,10,11.5,112,46,1,2,199,16,3211,3997,1273,1462,1456,1679,388,654,84,245,60,12,299,148,295,135,87,66,58,11,67,145,78,83,68,143,5,4878,516,1707,2133,1074,156,4876,167,93,2745,95,34,142,83,3184,25,0,0,89,96,6,1,1,1,377,93,96,12,32,21,4,1,1,0,0,10.2,36,111,212,33,75,102,3,10,189,225,742,215,262,154,0,50.5
Lugano,25.5,6,5,7.8,94,22,0,0,169,8,2485,3000,1079,1186,1060,1188,273,457,76,195,52,20,238,125,235,96,56,47,38,11,53,114,61,66,47,87,4,3581,409,1190,1616,804,140,3581,95,52,2285,92,35,79,54,2456,19,1,0,66,77,13,0,2,0,312,60,51,14,34,20,1,2,1,0,1,11.7,21,57,199,22,46,70,3,15,111,133,598,177,247,109,1,52.70000000000001
Luton Town,26.7,38,49,42.4,427,134,5,5,749,81,11048,15099,4969,5784,4443,5431,1289,2879,315,835,250,90,1113,675,1094,654,368,330,236,88,299,616,317,493,325,916,21,19655,2630,7028,7905,4964,780,19650,771,354,10069,480,169,580,385,10911,71,0,0,443,448,67,2,4,4,1868,635,631,85,223,142,2,4,4,0,0,77.7,274,814,1122,151,349,561,16,77,1266,965,2882,830,1289,667,0,42.4
Lyon,26.6,34,48,49.8,439,168,4,4,764,84,14823,17984,6513,7395,6362,7223,1409,2376,335,1163,330,74,1600,683,1577,538,331,241,203,94,250,578,328,343,304,563,12,21623,2216,6779,9649,5437,865,21619,742,375,15991,550,196,525,352,14665,57,6,1,425,367,52,4,6,1,1715,396,367,55,169,114,10,6,4,1,1,48.1,137,386,890,169,249,470,39,31,763,877,3860,848,1465,581,2,51.8
Maccabi Haifa,27.1,10,9,7.6,74,28,0,0,125,15,2877,3749,1217,1388,1210,1418,373,734,59,158,38,11,191,111,189,172,105,99,59,14,75,166,91,134,96,320,4,4929,915,2412,1881,681,90,4929,150,70,2716,73,23,158,66,2855,32,2,2,138,106,26,0,1,1,463,110,123,15,56,41,3,1,0,1,0,14.7,61,176,255,43,110,228,8,7,233,224,491,140,162,180,1,38.02
Maccabi Tel Aviv,27.7,8,19,10.5,95,43,1,1,157,28,3218,4123,1376,1581,1469,1709,297,602,74,243,46,6,334,158,332,114,63,55,45,14,57,130,73,95,88,179,4,5054,594,1721,2292,1092,156,5053,156,81,2879,102,53,134,58,3186,17,0,0,95,96,18,1,1,0,433,86,98,16,48,32,0,1,1,0,0,16.2,34,130,243,41,67,126,9,7,184,192,824,185,261,120,0,51.0
Mainz 05,26.7,34,38,44.6,476,134,1,5,816,65,10974,15120,4718,5730,4623,5826,1323,2702,346,939,248,78,1169,480,1155,572,328,256,253,63,276,526,250,442,346,704,3,19212,2023,6417,8450,4536,807,19207,601,269,9023,314,135,537,285,10854,99,3,1,473,410,59,4,4,1,1786,665,761,51,145,95,8,4,3,0,1,51.7,198,570,985,160,207,431,46,50,1426,822,2804,881,1268,604,1,46.1
Mallorca,28.7,38,33,40.5,415,131,1,3,734,57,11476,15645,4934,5790,4717,5815,1549,3119,308,978,235,103,1174,498,1155,686,388,347,281,58,340,657,317,369,365,785,10,19767,2279,6620,8961,4390,672,19764,511,251,9848,377,108,566,313,11353,105,4,2,567,412,104,2,5,1,1816,773,686,44,148,104,10,5,4,1,0,43.6,333,824,981,128,332,520,34,29,1459,879,2827,791,1118,728,1,45.0
