Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession
Manchester City,26.1,48,122,105.1,896,343,12,13,1656,222,31946,35798,16670,17715,12407,13458,2133,3133,707,2494,628,83,2696,1473,2659,634,377,221,277,136,281,569,288,418,283,555,20,40330,2657,8678,18725,13190,1895,40317,949,480,25797,1132,518,557,451,31575,63,2,1,363,535,52,11,3,2,2165,414,350,47,136,91,14,3,3,0,0,46.0,179,381,1723,208,198,373,35,77,764,1008,6828,1878,3124,658,0,66.11666666666666
Manchester Utd,26.3,44,69,67.0,613,208,7,8,1111,118,18039,22351,8939,10053,6892,8016,1566,2924,483,1352,379,58,1693,860,1681,752,459,373,271,108,381,801,420,617,370,981,17,27442,3329,9356,11384,6947,1151,27434,822,367,16001,597,307,570,391,17821,96,3,2,466,397,98,6,11,1,2137,517,502,73,238,165,10,11,9,1,1,72.60000000000001,188,607,1374,166,368,678,44,39,1019,961,4234,1229,1895,840,2,50.01363636363636
Marseille,27.3,48,76,78.4,662,216,9,9,1179,136,20146,24738,8494,9618,9084,10418,1901,3452,492,1739,443,109,2185,850,2178,824,519,389,340,95,402,786,384,523,479,862,12,29853,2710,8625,14078,7446,1117,29844,775,372,21673,760,211,674,395,19924,85,5,2,522,625,96,9,5,1,2371,520,496,63,194,132,10,5,5,0,0,55.9,167,559,1488,167,321,587,30,37,1016,1069,5213,1315,1880,921,0,52.212500000000006
Metz,26.5,34,35,34.2,326,106,4,6,570,60,8816,11986,3132,3872,4173,5024,1317,2559,234,685,152,61,910,458,899,562,334,310,183,69,238,514,276,416,348,834,9,15895,2067,5771,7135,3258,451,15889,655,290,10009,422,96,507,267,8739,54,3,0,419,374,45,5,6,0,1574,390,534,58,188,130,6,6,6,0,0,53.1,215,682,727,128,299,583,47,22,924,774,2267,630,760,572,0,35.6
Milan,26.4,50,94,87.2,752,264,6,9,1367,169,22519,26489,9918,10962,10146,11244,1922,3075,584,1571,444,128,2037,1170,2018,756,438,361,300,95,352,669,317,478,322,747,19,31499,3010,9601,14886,7309,1234,31490,1021,494,20292,867,292,676,371,22270,115,8,2,572,535,68,6,11,1,2069,569,522,66,212,147,16,11,11,0,0,57.6,189,446,1533,289,365,589,53,59,1091,1047,5225,1536,2098,790,0,55.38799999999999
Molde,27.1,10,20,13.1,117,48,0,0,203,38,3669,4637,1659,1903,1558,1795,310,626,88,220,79,20,305,150,303,146,97,76,54,16,78,162,84,125,89,227,7,5740,652,2133,2477,1183,213,5740,156,80,3061,96,35,154,69,3637,21,0,0,113,102,12,0,1,1,482,119,109,18,49,32,1,1,1,0,0,14.399999999999999,31,106,280,48,83,146,10,10,228,223,758,241,347,175,0,44.279999999999994
Monaco,25.0,34,66,55.0,512,202,2,5,884,107,14825,18346,6362,7376,6547,7589,1414,2430,370,1364,365,46,1726,614,1713,664,412,259,314,91,322,686,364,418,394,582,14,22252,1983,5837,11000,5665,893,22247,593,301,16173,593,179,575,325,14692,79,8,4,481,400,73,5,6,2,1949,402,394,42,151,110,12,6,5,1,0,46.7,121,370,813,159,229,442,35,26,796,900,4053,991,1483,734,1,53.6
Montpellier,26.1,34,41,46.0,437,153,7,7,748,66,11198,14618,4428,5251,4815,5705,1503,2790,304,900,216,64,1174,553,1155,619,379,352,187,80,310,691,381,427,308,766,5,18599,2267,6560,8239,4047,672,18592,621,293,12397,489,166,561,291,11076,68,4,0,432,447,55,4,5,3,1784,426,449,48,171,125,10,5,4,1,0,47.7,168,497,851,163,292,527,32,13,875,852,2882,814,1118,689,1,44.6
Monza,26.8,38,38,39.5,451,123,4,5,800,68,16734,19870,6742,7422,7969,8830,1771,2837,348,1087,251,92,1248,723,1236,565,334,307,195,63,266,484,218,378,279,642,8,23553,2841,8296,10598,4849,712,23548,490,216,14513,556,165,519,265,16564,88,5,4,458,408,40,2,9,0,1468,442,462,51,191,138,12,9,7,2,0,59.8,197,486,1223,230,319,531,22,21,904,784,3207,868,1220,600,2,53.5
Nantes,26.8,34,30,37.6,376,129,4,5,665,48,12180,15384,5084,5814,5410,6278,1273,2486,275,971,230,78,1243,569,1229,582,352,307,220,55,298,616,318,339,332,697,4,18988,2268,6241,8774,4159,639,18983,468,220,13293,438,141,520,254,12078,67,3,0,448,375,51,5,10,0,1621,387,424,55,156,101,8,10,9,0,1,55.2,175,515,965,175,259,505,41,33,811,774,3041,713,1088,650,1,44.8
Napoli,27.1,46,64,71.9,746,228,7,11,1344,104,23307,27496,11016,12045,9547,10777,2161,3396,581,1743,476,96,2110,971,2094,691,390,293,289,109,323,683,360,440,316,673,6,32145,2652,8753,15560,8111,1245,32134,916,406,18953,741,236,594,361,23098,91,5,3,474,548,86,8,4,1,2081,588,595,61,173,111,9,4,2,2,0,57.1,105,288,1138,187,307,540,17,50,1183,955,5175,1448,2053,713,2,59.61304347826086
Newcastle Utd,27.6,44,89,81.9,604,221,8,9,1090,154,18137,22396,8587,9661,7583,8760,1572,2896,469,1249,426,82,1789,829,1774,761,462,368,289,104,356,791,435,585,322,805,17,27222,2803,9104,11563,6821,1204,27214,840,384,15446,595,256,588,450,17999,90,1,1,452,549,65,9,6,1,2127,513,473,69,227,158,11,6,5,1,0,72.2,125,370,916,269,331,528,36,59,986,1038,4392,1244,1968,818,1,51.286363636363646
Nice,25.8,34,39,49.9,452,149,6,7,791,69,15511,18379,7507,8293,6438,7248,1061,1950,326,899,255,68,1245,661,1226,538,308,247,212,79,285,505,220,389,292,505,10,22006,2245,7341,10584,4353,741,21999,752,371,16643,624,153,553,341,15354,62,4,0,402,373,52,7,8,1,1707,374,360,29,105,74,17,8,5,3,0,30.7,74,189,1025,158,208,376,32,21,734,894,3132,860,1217,593,3,52.4
Nordsjælland,24.1,6,16,12.6,78,35,2,2,131,22,3225,3738,1517,1638,1352,1496,247,418,56,166,45,6,240,91,239,70,39,27,33,10,33,87,54,61,42,79,1,4285,417,1627,1903,786,139,4283,115,55,2615,68,28,74,45,3204,10,0,0,68,75,7,0,1,0,274,54,52,7,28,21,1,1,1,0,0,6.9,8,27,201,32,58,71,4,6,106,119,570,153,218,72,0,56.70000000000001
Nott'ham Forest,25.7,38,49,49.9,450,143,1,1,783,90,11877,15679,5510,6417,4760,5855,1265,2493,325,905,244,61,1141,601,1123,728,430,437,219,72,326,609,283,489,331,968,13,20126,2493,7339,8320,4686,785,20125,604,275,10217,394,155,527,286,11784,82,3,2,428,371,77,1,4,2,1807,584,557,67,163,98,4,4,4,0,0,47.0,229,519,818,171,304,610,44,24,1141,813,2865,873,1245,756,0,40.6
Olimpija,24.5,6,4,5.1,75,24,0,0,123,6,2348,3056,946,1107,1062,1269,274,505,48,198,16,5,202,111,198,100,58,43,47,10,48,86,38,61,44,94,2,3685,385,1149,1729,844,91,3685,100,54,2327,69,25,120,53,2317,14,0,0,86,63,17,0,3,0,324,55,75,9,28,18,1,3,2,1,0,9.9,6,41,129,37,52,59,5,5,130,173,511,129,137,106,1,55.70000000000001
Olympiacos,27.3,15,29,19.6,202,67,2,2,347,49,5250,7043,2409,2809,2053,2509,617,1290,165,459,112,33,544,249,535,241,152,104,109,28,113,232,119,191,168,293,4,8729,840,2463,4135,2243,294,8727,267,135,4624,199,67,230,106,5195,37,2,1,151,172,41,0,4,0,794,296,321,24,68,44,4,4,3,0,1,21.6,78,311,356,47,125,196,22,25,617,336,1328,396,506,265,1,46.9
Osasuna,27.7,38,45,40.5,421,124,4,5,714,73,12874,17335,5474,6420,5487,6696,1666,3277,301,1128,263,104,1322,501,1306,525,311,247,201,77,243,517,274,400,263,756,16,21181,2147,6244,9526,5586,720,21176,530,237,10522,408,97,540,283,12730,78,5,1,518,392,68,4,2,0,1802,750,655,56,152,95,10,2,1,1,0,51.8,329,771,1071,119,308,537,30,58,1405,823,3129,787,1184,554,1,47.5
PAOK,28.2,10,19,16.9,124,44,2,2,228,36,4140,5176,1651,1885,1852,2123,537,916,95,318,76,19,412,184,408,129,84,52,56,21,65,136,71,124,84,166,4,6185,622,1789,2831,1635,233,6183,175,93,3514,154,45,148,67,4087,15,1,0,90,104,19,2,3,0,484,109,133,16,44,27,0,3,2,1,0,15.7,30,112,270,30,79,111,3,12,242,215,1004,264,373,149,1,53.9
PSV Eindhoven,25.6,8,8,11.0,124,42,2,2,232,15,3151,3937,1407,1592,1292,1489,352,604,103,281,70,20,347,174,343,131,84,58,58,15,63,124,61,99,65,104,1,4861,489,1540,2121,1242,189,4859,179,93,2927,115,57,140,71,3121,13,0,0,86,81,16,2,0,0,437,97,113,13,34,21,1,0,0,0,0,10.9,33,86,205,27,65,89,1,6,210,211,864,247,336,147,0,51.8
Panathinaikos,29.3,6,7,9.5,79,18,2,3,148,12,2557,3121,1085,1214,1127,1290,274,449,63,227,49,15,283,131,282,99,45,42,41,16,32,71,39,61,38,60,3,3681,280,857,1869,993,134,3678,88,46,2410,95,29,95,47,2525,10,0,0,68,78,12,3,1,0,320,64,63,10,29,19,2,1,1,0,0,10.8,22,70,162,24,20,56,5,9,127,142,696,160,227,77,0,53.79999999999999
Paris S-G,24.5,46,97,93.1,715,250,10,12,1331,176,28263,32178,12329,13558,13050,14164,2091,3040,596,2314,511,73,2582,1223,2565,777,480,347,292,138,379,816,437,460,366,666,29,37087,3044,9554,17967,9890,1379,37075,1126,545,29728,1027,417,655,398,28010,81,3,1,487,488,85,10,5,0,2374,376,393,48,199,150,15,5,4,1,0,55.8,85,221,1153,189,282,510,19,51,769,1053,6370,1507,2380,859,1,64.96521739130435
Porto,26.4,8,16,11.4,103,45,1,1,182,25,3051,3771,1287,1470,1303,1473,342,581,76,196,76,17,292,132,287,161,93,86,54,21,60,131,71,81,69,142,4,4678,587,1670,2054,1001,199,4677,158,69,2994,73,33,126,50,3010,15,0,0,94,117,13,1,0,1,381,96,94,9,28,20,2,0,0,0,0,5.9,39,118,313,37,61,86,8,14,190,176,711,207,325,153,0,47.9
Qarabağ,27.9,10,17,12.7,106,38,2,2,188,29,3278,4220,1462,1647,1343,1559,367,744,83,252,70,12,309,187,306,176,114,89,66,21,86,179,93,125,105,213,4,5382,717,1982,2332,1155,219,5380,192,92,2756,117,73,177,84,3250,27,3,1,117,119,19,2,3,1,527,105,128,19,59,41,2,3,3,0,0,17.6,60,200,295,36,104,174,12,3,233,261,802,217,374,200,0,42.2
RB Leipzig,25.6,42,88,77.8,652,255,4,7,1157,153,19441,23475,8511,9569,8940,10048,1564,2672,503,1377,403,91,1772,865,1760,692,408,324,287,81,324,664,340,548,315,766,18,28100,2587,8734,13337,6298,1080,28093,747,383,17082,654,214,595,388,19330,79,1,1,442,486,85,7,5,2,2124,496,472,51,147,98,10,5,4,0,1,46.2,105,288,1467,173,302,516,23,59,968,983,4397,1310,1788,732,1,53.62380952380952
RB Salzburg,22.3,6,4,7.4,71,22,1,2,125,7,1945,2553,809,955,841,1012,244,444,50,138,42,9,203,116,201,119,72,64,43,12,58,128,70,98,60,135,1,3332,458,1264,1415,704,122,3330,110,52,2177,80,26,86,66,1922,16,0,0,79,54,10,1,2,0,348,81,100,8,33,25,2,2,2,0,0,9.7,33,86,202,20,54,87,3,7,181,152,520,132,199,130,0,43.0
Raków,26.8,6,3,7.9,61,13,0,0,106,4,2187,2848,938,1081,934,1129,269,493,48,149,46,15,235,106,232,81,54,44,31,6,40,93,53,70,45,115,5,3529,455,1212,1579,775,103,3529,114,50,1927,81,17,99,54,2152,9,1,0,60,67,9,0,2,0,349,81,84,10,35,25,1,2,2,0,0,12.8,25,89,181,21,62,89,3,18,165,153,573,110,181,94,0,49.20000000000001
Rangers,27.5,8,10,9.6,107,39,0,0,177,15,2893,3805,1119,1315,1372,1623,338,664,78,247,66,19,320,126,317,145,85,72,54,19,80,163,83,107,75,197,1,4815,555,1536,2155,1181,185,4815,186,86,2375,96,28,138,67,2876,19,0,0,98,66,10,0,1,1,455,112,106,9,35,27,2,1,1,0,0,9.9,31,102,192,42,73,116,5,7,218,205,763,192,298,165,0,48.9
Rayo Vallecano,29.4,38,29,42.3,487,160,6,6,815,40,13282,17459,5918,6783,5584,6657,1436,3063,314,1082,255,81,1335,506,1327,630,372,279,282,69,270,608,338,410,308,796,12,21757,2306,7210,9672,5091,669,21751,653,283,10906,368,116,634,373,13171,108,5,3,563,518,96,3,2,2,1908,506,578,48,151,104,13,2,1,1,0,47.8,170,613,915,176,320,534,23,40,1084,1007,3168,855,1121,642,1,49.4
Real Madrid,27.2,51,111,93.9,805,314,3,7,1474,202,28857,32685,15276,16247,10635,11660,2170,3310,651,2249,501,80,2495,1248,2477,756,486,359,282,115,306,636,330,537,391,772,17,38034,3354,10591,17692,10101,1504,38027,1164,536,24968,1034,419,626,443,28654,91,4,1,497,656,96,4,4,1,2289,469,378,41,181,140,25,4,3,1,0,51.4,119,318,1275,247,391,658,50,43,847,1069,6220,1676,2504,792,1,57.64509803921569
Real Sociedad,25.9,46,56,55.2,563,181,4,5,962,91,18467,23255,7809,8999,8365,9668,1898,3387,401,1377,301,72,1749,826,1733,793,490,333,339,121,343,669,326,493,317,825,16,28210,2657,8219,13567,6665,963,28205,858,406,16138,565,229,729,432,18251,116,2,0,729,512,107,2,7,1,2245,911,845,45,160,115,19,7,6,1,0,48.699999999999996,247,609,1322,124,235,491,21,64,1756,1161,4308,1053,1565,833,1,54.77826086956522
Red Star,26.6,6,6,8.7,83,27,0,0,142,10,1678,2235,731,846,703,879,215,392,63,132,38,13,189,90,189,100,47,42,38,20,49,113,64,89,50,123,4,2954,418,1144,1164,681,135,2954,124,60,1441,56,33,87,53,1664,21,0,0,82,58,17,0,2,1,304,80,80,15,45,31,0,2,2,0,0,15.1,30,61,116,16,61,84,1,5,160,140,468,152,219,96,0,40.7
Reims,25.9,34,40,44.5,411,126,3,4,727,71,12995,16365,4942,5830,6140,7027,1553,2684,318,1098,241,76,1425,625,1410,640,392,303,246,91,320,639,319,398,342,671,10,20300,2235,6510,9331,4713,700,20296,660,329,14199,477,157,577,299,12862,70,3,2,444,324,84,4,7,1,1825,395,390,47,137,90,8,7,6,1,0,42.7,124,353,1050,179,242,522,38,46,785,876,3460,798,1174,712,1,50.4
Rennes,25.2,42,69,66.4,601,198,13,15,1093,119,17846,21605,6912,7925,8501,9619,1891,3042,453,1563,381,81,2041,774,2021,632,379,297,239,96,339,644,305,458,391,713,10,26108,2512,7581,12025,6789,998,26093,823,417,19146,785,195,628,399,17648,84,5,0,519,529,43,13,6,3,2033,460,500,57,176,122,9,6,6,0,0,50.5,162,489,1224,181,259,533,41,43,960,1027,4836,1212,1655,718,0,51.87142857142857
Roma,27.7,52,86,71.4,624,198,13,14,1150,153,23087,27806,10280,11398,10281,11635,2080,3575,490,1576,426,109,1943,919,1932,788,468,389,299,100,364,758,394,535,369,892,20,32688,3571,10794,15354,6780,1083,32674,653,292,20395,776,221,601,378,22860,123,4,1,604,607,95,8,5,4,2231,642,584,58,216,161,16,5,3,1,1,58.2,184,486,1303,224,413,722,48,23,1226,979,4794,1303,1839,832,2,53.58076923076923
Salernitana,27.2,38,32,30.3,398,118,2,2,699,52,12124,15920,5624,6417,4851,5890,1233,2585,310,885,207,74,1119,499,1108,536,327,289,198,49,257,519,262,409,279,816,12,19905,2438,6768,9075,4257,572,19903,536,212,10350,391,115,560,304,12018,91,3,1,450,470,61,1,10,2,1634,520,662,81,207,128,2,10,10,0,0,68.1,183,647,858,127,345,631,15,31,1182,864,2726,751,968,584,0,44.5
Sassuolo,26.4,38,42,39.8,453,144,7,8,825,73,11978,15683,4986,5788,5295,6301,1385,2776,340,995,248,60,1301,636,1292,507,310,241,198,68,245,531,286,402,267,767,14,19492,2317,6391,8488,4817,713,19484,580,277,10365,455,157,538,332,11857,71,4,2,387,398,26,6,11,4,1600,452,607,75,173,101,3,11,8,1,2,56.9,189,585,987,154,347,582,26,30,1059,870,3229,898,1178,555,3,43.8
Servette FC,27.1,10,5,10.2,146,42,1,1,254,6,3385,4595,1328,1602,1432,1766,484,902,105,331,80,16,410,177,407,186,107,67,90,29,100,170,70,120,96,166,3,5763,470,1586,2668,1577,189,5762,189,80,3140,142,33,158,82,3358,26,0,0,143,131,12,1,0,1,508,184,212,13,38,26,4,0,0,0,0,14.5,87,216,295,37,84,118,7,10,396,240,994,260,318,207,0,47.67999999999999
Sevilla,29.8,44,53,50.8,539,177,3,3,966,98,16751,21347,7429,8444,7052,8278,1885,3544,404,1356,323,149,1594,714,1582,811,533,435,291,85,392,741,349,459,357,863,9,26246,2635,8587,11605,6326,840,26243,734,331,14279,522,161,703,327,16606,124,6,1,552,510,86,2,7,3,2203,692,615,66,202,139,8,7,7,0,0,64.1,265,723,1093,202,345,599,37,34,1307,1030,3890,1064,1473,925,0,50.095454545454544
Shakhtar,24.9,8,12,9.9,89,34,1,1,150,22,2985,3652,1405,1534,1209,1390,292,527,63,172,46,9,205,103,203,134,77,73,47,14,72,159,87,87,70,204,8,4510,679,1960,1867,721,139,4509,91,46,3069,71,29,108,75,2947,24,0,0,107,73,14,1,1,0,353,65,86,17,48,31,2,1,0,0,1,13.3,29,75,211,33,63,135,11,12,151,183,511,172,223,149,1,46.099999999999994
Sheffield Utd,25.7,38,31,38.3,360,117,5,5,601,48,9531,13509,4492,5357,3739,4696,1042,2626,257,701,198,48,884,346,875,709,405,375,248,86,299,635,336,514,348,1042,18,17951,2817,7156,7145,3830,646,17946,581,251,8332,287,128,489,322,9458,101,5,3,423,318,64,3,7,7,1637,586,694,104,263,166,1,7,5,0,2,85.1,270,817,989,126,352,661,39,56,1280,811,2105,649,1020,704,2,35.8
Sheriff Tiraspol,26.1,6,4,3.2,43,14,0,0,70,7,1772,2329,713,821,806,930,202,435,27,91,18,2,113,59,112,112,71,70,35,7,56,92,36,87,58,148,2,3089,536,1413,1295,407,51,3089,105,45,1520,52,11,121,47,1751,21,3,2,69,76,7,0,2,2,312,67,91,17,37,22,0,2,2,0,0,14.6,49,150,164,28,63,126,10,3,158,168,284,77,82,127,0,39.5
Slavia Prague,26.1,8,19,12.4,103,34,1,1,178,32,3093,3917,1086,1277,1509,1744,430,709,76,254,78,26,350,141,346,102,61,37,49,16,53,110,57,66,78,101,1,4697,453,1535,1905,1297,185,4696,104,35,2913,99,24,133,72,3068,13,2,0,100,91,8,1,0,0,425,100,104,11,30,19,4,0,0,0,0,10.5,33,71,275,57,47,62,5,10,204,205,837,210,313,114,0,51.5
Slovan Bratislava,30.6,8,9,10.7,103,29,1,2,188,17,2301,3135,1021,1225,859,1070,330,632,82,187,53,15,228,116,225,109,64,61,43,5,61,135,74,88,86,183,2,4041,523,1466,1620,1003,165,4039,134,69,2118,79,29,128,65,2273,21,4,0,88,98,21,2,1,0,400,139,106,12,32,20,1,1,1,0,0,14.4,59,147,175,27,90,126,9,8,245,193,569,205,262,125,0,43.5
Sparta Prague,25.4,10,16,13.3,115,50,0,0,190,26,3329,4343,1333,1548,1554,1823,360,738,80,231,52,15,264,151,259,131,72,51,65,15,59,135,76,130,83,190,10,5404,760,2238,2245,968,197,5404,174,77,2638,75,46,163,67,3279,24,1,1,105,104,22,0,2,0,476,142,116,22,57,35,2,2,2,0,0,15.9,51,156,361,50,87,111,5,13,258,230,674,216,310,131,0,46.1
Spartak Trnava,26.3,6,3,3.9,54,18,0,0,88,5,1493,2006,647,756,614,740,190,403,37,112,30,12,143,50,143,96,53,51,38,7,49,117,68,70,71,146,3,2706,391,1005,1172,568,64,2706,99,45,1275,56,6,100,42,1483,14,0,0,81,58,10,0,3,1,265,58,74,15,42,27,0,3,1,1,1,17.3,27,109,88,7,58,90,2,1,132,142,336,93,112,102,2,32.3
Sporting CP,26.1,10,15,16.5,113,39,4,5,209,26,4916,5890,2157,2417,2174,2453,445,741,88,334,64,15,359,174,355,159,99,75,70,14,86,157,71,110,81,171,2,7018,781,2545,3236,1294,217,7013,221,93,4486,127,61,186,78,4863,10,1,0,95,150,8,3,1,0,545,109,119,11,31,20,1,1,1,0,0,10.3,38,110,308,37,81,118,9,10,228,264,888,235,357,185,0,56.5
Strasbourg,24.1,34,36,41.9,363,119,3,4,638,61,12021,15031,4556,5286,5863,6761,1315,2383,280,903,218,67,1152,548,1142,620,383,317,240,63,308,572,264,406,347,682,13,18797,2315,6649,8525,3874,559,18793,639,318,13154,514,108,489,313,11914,59,2,1,462,413,35,4,5,3,1568,374,413,50,125,77,5,5,4,1,0,37.9,144,409,860,125,259,460,25,40,787,802,2842,699,952,691,1,44.3
Sturm Graz,24.3,10,10,11.7,120,38,2,2,201,17,2573,3777,1138,1405,1022,1354,300,744,87,189,42,15,244,127,238,179,120,81,72,26,96,213,117,155,114,208,3,5024,648,1848,2131,1099,172,5022,148,81,2545,100,34,170,63,2543,15,1,1,134,103,19,1,1,0,573,143,196,14,50,36,2,1,1,0,0,18.5,37,141,235,49,82,146,13,9,339,233,609,218,263,216,0,39.72
Stuttgart,25.0,34,78,70.9,529,206,5,8,960,138,19201,22456,9516,10371,7721,8581,1352,2320,413,1338,356,80,1618,693,1602,537,316,222,239,76,253,513,260,378,269,619,12,26204,2322,7298,13251,5858,898,26196,673,334,15113,545,191,561,329,18993,56,1,1,329,373,50,7,3,3,1754,430,429,39,129,93,12,3,3,0,0,35.8,148,352,1180,147,214,396,31,62,859,890,3913,1098,1525,569,0,59.9
TSC,27.2,6,6,4.6,44,20,0,0,75,8,1817,2351,747,861,857,1013,179,373,32,108,26,9,144,52,144,70,48,38,28,4,33,74,41,71,50,156,2,2975,515,1325,1259,414,60,2975,45,19,1313,40,9,88,46,1793,13,1,1,74,59,9,0,1,1,261,81,64,19,39,21,0,1,1,0,0,14.6,19,64,171,27,64,109,6,3,145,134,340,83,104,81,0,38.7
Torino,26.4,38,35,37.7,432,121,2,2,764,63,14578,18229,6446,7271,6372,7364,1345,2609,338,1028,277,101,1333,710,1309,471,275,207,213,51,191,386,195,303,329,594,15,21921,2352,7011,10078,5040,678,21919,563,244,12779,463,123,547,272,14373,75,2,1,471,419,63,2,7,0,1679,588,594,36,143,107,18,7,7,0,0,37.3,274,812,1370,179,273,431,41,40,1182,819,3352,827,1179,466,0,51.6
Tottenham,25.2,38,69,68.2,582,207,2,2,1053,122,20649,24197,10630,11617,8361,9345,1089,1905,460,1588,454,65,2107,957,2097,724,451,335,264,125,360,691,331,445,355,707,24,28529,2791,8520,12260,8010,1316,28527,812,359,18087,634,349,559,375,20484,92,4,2,425,510,83,2,7,3,1907,359,388,61,167,109,7,7,7,0,0,60.0,53,225,1308,193,256,511,33,81,747,934,5161,1175,2184,811,0,61.6
Toulouse,23.8,42,51,49.199999999999996,472,153,7,10,832,91,15692,19825,6670,7785,7061,8278,1545,2769,363,1241,307,74,1673,660,1659,786,454,375,309,102,375,778,403,549,377,901,6,24608,2682,7789,11554,5546,894,24598,747,372,16895,566,186,630,341,15538,104,3,3,605,546,62,10,6,1,2176,563,522,57,169,113,9,6,6,0,0,55.099999999999994,131,398,821,121,342,618,10,18,1085,971,3992,923,1461,829,0,47.561904761904756
Udinese,25.7,38,36,39.1,457,134,3,4,793,63,9976,13300,4317,5066,4174,5111,1234,2396,329,874,186,76,1022,602,1012,606,381,345,213,48,299,571,272,437,327,988,10,17838,2312,6525,7635,3964,602,17834,721,336,9266,415,138,645,335,9874,94,5,3,496,418,57,4,9,1,1752,561,467,53,157,105,9,9,9,0,0,49.6,156,431,597,113,300,647,12,9,1028,980,2636,856,1002,680,0,39.3
Union Berlin,28.5,40,39,45.7,460,147,3,6,803,70,12663,17028,5237,6201,5479,6666,1565,3076,343,998,280,98,1311,473,1296,642,401,295,272,75,294,604,310,565,341,1017,12,21826,2773,8204,9080,4767,787,21820,570,243,10610,343,126,620,327,12541,83,7,3,483,391,74,3,8,1,1990,709,712,68,197,127,7,8,5,3,0,63.3,232,624,1231,209,317,668,61,38,1421,947,3080,873,1291,695,3,41.535
Union SG,26.2,10,10,15.1,115,34,1,1,185,17,3224,4386,1395,1675,1312,1649,378,713,88,261,83,13,388,161,385,188,126,89,75,24,103,204,101,120,97,164,3,5659,537,1804,2440,1476,241,5658,246,108,2840,114,47,221,119,3193,21,1,1,141,114,15,1,3,0,580,141,148,14,38,24,2,3,3,0,0,16.0,46,125,267,29,71,100,6,17,289,340,934,202,384,229,0,46.32
Valencia,23.8,38,39,43.1,368,123,8,9,670,66,12233,16255,5491,6436,5177,6140,1226,2710,267,886,218,72,1162,522,1151,657,379,335,250,72,309,618,309,392,324,842,9,20444,2323,7222,9012,4440,593,20435,644,276,10723,399,136,582,318,12130,64,5,2,481,475,69,7,6,2,1863,485,628,45,160,114,13,6,3,3,0,51.4,191,696,883,148,275,561,46,32,1113,900,2835,736,1019,688,3,44.3
Viktoria Plzeň,26.8,10,9,12.1,113,29,2,2,179,15,2869,4080,1195,1468,1175,1521,401,841,73,260,63,26,351,128,347,178,107,89,61,28,73,156,83,118,126,264,0,5333,700,1849,2227,1306,211,5331,161,74,2459,99,32,172,81,2827,28,1,0,181,105,10,1,0,0,551,248,205,3,34,31,8,0,0,0,0,7.4,87,216,292,33,95,176,11,12,453,253,826,194,332,180,0,42.4
Villarreal,27.9,46,76,66.3,565,200,6,9,1033,132,18811,22771,8067,8968,8557,9642,1888,3192,439,1439,408,105,1900,796,1887,667,402,323,251,93,308,634,326,448,366,916,13,27639,3374,9501,11880,6501,1036,27630,860,415,15536,604,233,698,425,18586,137,9,5,597,557,106,7,9,2,2014,551,428,77,242,166,8,9,7,1,1,73.3,173,447,1245,229,420,788,39,42,979,1123,4583,1165,1782,710,2,50.50434782608695
Werder Bremen,27.0,34,45,46.9,407,125,5,6,721,82,12821,16418,5250,6169,5760,6739,1549,2676,321,882,276,83,1172,492,1163,604,351,303,239,62,312,609,297,434,284,785,9,20347,2574,7617,9015,3923,672,20341,556,253,11241,367,108,541,263,12715,73,2,0,396,396,70,5,6,1,1758,508,575,54,166,113,7,6,6,0,0,54.1,176,415,1069,198,298,516,41,39,1083,804,2827,803,1139,663,0,46.8
