Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes GK,% Crosses Stopped
Rayo Vallecano,29.4,38,8.6,25.16,59.87,57.32,68.79,53.82,47.77,6.05,38.22,42.04,42.04,42.68,36.94,37.58,42.04,82.8,26.11,49.68,35.03,59.87,44.59,20.7,44.59,55.1,49.36,38.22,89.17,35.03,25.48,47.13,35.03,32.48,37.58,64.65,57.32,42.04,24.2,35.03,44.59,51.59,23.89,42.04,45.86,33.76,27.39,20.7,18.79,21.66,14.01,38.85,10.19,30.57,21.66,5.73,96.82,8.92,33.44,89.81,37.58,61.15,55.41,29.3,71.66,26.11,31.53,83.12,10.83,13.69,74.52,39.17,32.17,51.59,73.25,21.02,56.69,68.79,55.73,31.21,54.14,65.61,9.55,38.22,36.62,22.93,34.39,63.06,53.5,6.05,24.84,27.07,48.73,28.66,10.19,10.19,22.29,65.61,62.42,13.38,29.94
Real Madrid,27.2,51,93.63,90.45,94.27,97.45,24.52,47.77,94.27,96.18,97.45,95.54,98.73,98.09,86.62,83.44,70.7,13.38,96.18,97.45,85.99,23.25,92.36,96.18,92.36,22.29,39.17,28.03,18.47,64.97,7.32,5.1,93.95,26.43,25.16,14.01,52.23,94.9,48.41,67.52,95.54,95.54,94.9,94.9,96.18,92.99,96.82,98.09,98.09,98.09,39.49,97.45,79.62,57.32,57.01,91.08,87.26,41.08,33.44,83.12,58.92,14.01,9.55,98.09,96.82,12.1,33.44,95.54,17.52,23.25,62.1,39.17,9.24,6.37,5.1,25.8,70.38,39.49,39.17,69.75,35.67,3.82,92.36,93.63,96.82,94.9,19.11,53.18,88.54,83.44,93.63,99.36,99.36,98.09,96.18,82.48,54.14,95.54,98.09,63.06,71.66
Real Sociedad,25.9,46,50.0,36.94,47.77,45.22,36.62,28.34,41.4,42.68,60.51,61.78,58.6,61.15,65.61,67.52,65.61,56.69,36.62,57.32,31.21,23.25,55.41,63.69,55.41,68.79,75.16,34.39,86.62,83.12,34.39,24.84,85.03,31.21,7.64,35.67,45.54,60.51,12.74,18.47,74.52,65.61,50.32,61.15,62.42,65.61,52.23,49.68,71.97,35.03,21.34,59.87,25.48,72.61,80.89,3.18,49.04,15.92,19.43,55.41,58.92,47.77,96.82,4.46,91.08,8.28,16.56,89.49,45.22,50.64,62.1,39.17,13.69,70.06,52.87,55.41,3.82,2.55,11.46,17.2,77.07,95.54,25.48,57.32,40.76,49.04,56.69,53.18,83.44,54.14,72.61,53.18,42.04,58.92,61.15,84.08,64.33,79.62,78.98,83.44,29.3
Red Star,26.6,6,26.11,67.2,76.43,68.47,7.96,6.69,71.97,23.57,7.01,6.37,12.1,11.46,9.55,9.55,25.48,15.92,76.43,13.06,25.8,62.42,28.03,33.12,28.03,58.92,6.37,24.2,51.91,100.0,58.28,83.44,8.6,97.45,41.08,56.69,7.01,7.64,67.52,38.85,3.82,17.52,63.06,7.64,88.54,86.94,6.37,14.01,79.62,68.79,36.31,8.28,2.55,90.45,80.89,14.33,15.61,5.41,8.28,8.6,5.73,66.24,56.37,46.82,7.01,99.36,99.36,5.73,92.04,94.59,28.98,39.17,97.77,63.06,26.75,2.55,2.55,92.36,54.14,2.87,33.12,53.5,53.82,27.39,63.06,59.87,23.25,24.84,10.83,7.64,56.05,21.66,37.26,7.64,54.14,1.27,69.75,68.79,61.15,99.36,2.23
Reims,25.9,34,44.59,50.32,46.18,35.67,36.62,34.39,47.13,47.13,50.96,51.59,35.67,38.85,64.33,63.06,87.9,78.98,55.41,73.25,42.04,65.29,75.16,66.88,73.89,89.17,89.17,77.71,82.8,86.31,87.26,82.8,25.48,57.64,84.08,50.32,64.65,52.87,47.77,41.4,60.51,57.96,47.13,52.87,75.16,82.8,80.89,69.43,64.97,16.56,38.22,51.59,60.83,52.87,27.71,26.11,12.74,10.83,56.05,29.3,48.73,85.99,32.8,72.61,62.74,29.94,24.2,55.73,71.34,73.25,74.52,39.17,32.17,29.3,28.03,68.79,87.26,25.48,77.71,81.53,75.8,29.3,15.92,73.25,45.86,51.59,87.9,63.06,59.24,32.8,60.51,53.18,15.29,69.75,68.15,65.61,82.17,31.21,39.49,43.95,69.43
Rennes,25.2,42,75.16,81.21,82.8,74.84,96.18,96.18,87.26,74.52,71.34,66.88,51.59,52.87,81.53,84.71,82.8,45.86,79.62,87.9,77.07,45.86,91.72,68.79,91.72,24.2,30.57,28.66,22.93,67.83,52.87,35.35,76.43,34.71,67.52,28.03,78.98,68.79,20.38,22.93,69.43,84.08,74.52,68.15,77.71,85.99,91.72,96.82,65.61,58.6,18.47,70.7,66.88,36.62,80.89,37.58,82.8,93.63,98.09,57.96,29.3,43.63,23.89,66.88,64.01,35.67,43.31,48.41,42.68,54.46,28.98,39.17,25.48,37.58,39.49,59.24,46.18,12.1,35.67,69.75,52.23,26.75,34.39,91.08,85.35,73.25,38.22,24.84,71.34,60.51,35.67,76.43,47.77,78.03,89.81,73.57,86.62,25.8,63.69,34.39,74.52
Roma,27.7,52,76.11,58.6,42.99,40.13,92.68,91.08,56.37,78.34,77.71,76.43,77.71,75.16,79.62,80.25,56.05,31.21,57.32,58.6,61.78,57.32,53.5,59.24,54.78,26.75,28.98,40.76,26.43,44.9,22.29,25.48,66.24,21.02,13.69,31.21,39.17,71.97,61.15,66.88,75.8,44.59,49.36,71.97,6.37,7.01,70.7,77.71,53.82,99.36,80.89,77.71,36.31,57.32,57.01,58.92,59.87,45.22,67.83,76.11,25.16,4.46,46.5,76.43,84.39,33.76,50.32,73.57,24.52,23.25,62.1,80.89,18.47,26.11,17.2,27.39,46.18,50.64,51.59,66.24,8.28,33.76,100.0,54.78,59.87,55.1,23.25,71.02,75.16,88.22,78.34,79.62,78.98,77.07,70.7,39.17,39.49,65.61,92.36,65.61,63.38
Salernitana,27.2,38,14.65,5.73,17.83,10.83,21.02,15.92,15.29,14.01,24.2,21.97,38.22,34.71,17.2,17.52,12.74,27.39,22.29,19.75,13.38,46.82,17.83,16.56,18.15,13.69,20.38,45.86,9.87,7.96,18.47,12.1,87.26,31.85,17.83,70.38,57.32,17.83,39.49,16.56,33.12,15.92,9.55,17.83,12.74,6.37,20.38,28.66,17.83,62.1,59.24,24.84,34.39,57.32,47.45,53.18,78.34,61.46,17.52,18.47,37.58,5.1,62.42,11.46,14.01,77.07,68.79,12.74,82.17,89.17,28.98,39.17,75.8,59.87,79.62,15.29,17.2,81.53,88.54,13.38,30.57,79.94,69.43,15.92,14.01,10.83,17.2,24.84,27.39,63.06,10.83,28.03,55.41,21.02,15.29,64.33,4.46,16.56,14.65,15.29,7.01
Sassuolo,26.4,38,35.67,19.75,41.4,37.26,77.71,75.8,52.23,39.17,22.29,19.11,22.93,18.47,28.66,25.48,32.48,51.27,45.22,37.26,30.57,24.52,38.22,48.09,39.49,7.64,10.19,10.83,9.87,32.8,9.55,17.83,67.83,27.39,12.74,55.41,42.36,13.38,26.75,8.28,20.38,36.31,30.57,13.38,24.2,29.94,21.02,45.86,49.68,78.34,38.85,22.29,75.48,42.36,33.76,85.35,28.66,100.0,71.66,15.61,13.69,2.55,38.22,23.89,21.02,52.23,24.84,14.97,85.03,82.8,74.52,94.9,58.28,62.42,69.43,34.39,35.67,85.03,76.43,38.85,28.66,60.51,64.97,42.68,49.68,28.66,10.83,85.99,21.66,65.29,5.73,29.94,33.44,30.57,28.66,34.39,65.61,6.37,7.01,28.03,31.53
Servette FC,27.1,10,2.87,16.56,85.99,56.37,39.49,25.8,82.17,1.27,33.12,42.68,23.57,27.39,33.12,39.49,92.99,96.82,76.43,78.34,59.24,27.07,70.7,60.83,70.7,85.35,77.39,17.83,99.36,93.63,94.59,64.33,85.99,64.33,74.84,24.52,61.15,43.95,1.27,1.91,55.41,79.62,33.12,43.95,66.88,49.04,39.49,70.7,26.11,36.62,52.23,33.76,22.93,90.45,80.89,8.28,91.72,87.58,41.72,96.5,16.88,66.88,93.63,2.55,70.7,20.7,21.66,87.9,4.14,5.73,28.98,39.17,52.23,95.86,94.59,62.1,27.07,68.15,25.16,39.49,48.73,97.45,42.04,69.43,69.43,35.03,86.62,24.84,46.5,1.91,22.29,15.92,7.64,12.1,48.41,93.95,12.74,85.03,56.05,78.03,52.23
