Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes GK,% Crosses Stopped
AEK Athens,30.1,6,1.0,1.45,16.0,4.67,0.0,0.0,26.17,1.83,332.67,426.33,129.33,151.67,148.33,175.67,46.5,77.33,11.17,27.17,8.5,3.33,35.0,15.67,34.67,15.5,8.67,7.5,5.83,2.17,7.5,15.67,8.17,10.67,10.17,14.33,0.67,536.33,68.33,189.0,219.83,132.67,26.33,536.33,16.67,8.17,308.33,11.17,4.83,17.67,6.67,329.67,4.0,0.33,0.17,13.67,11.5,3.17,0.0,1.0,0.0,52.67,8.0,12.33,2.0,6.17,4.17,0.0,1.0,1.0,0.0,0.0,2.77,4.67,9.67,27.83,5.17,7.83,10.17,0.17,2.83,20.33,24.33,85.33,28.0,43.0,16.17,0.0,46.8,-0.31,39.35,78.03,85.27,84.44,60.13,51.88,49.01,0.28,67.59,48.29,1.67
AZ Alkmaar,24.7,6,1.17,0.93,10.0,3.5,0.17,0.17,18.67,2.17,449.33,544.33,191.83,210.83,196.67,223.33,42.83,76.0,8.17,35.5,9.83,1.83,42.5,16.83,42.17,12.33,8.5,6.0,4.5,1.83,5.83,12.0,6.17,10.17,9.0,14.33,0.33,636.0,61.33,197.67,281.0,162.33,24.5,635.83,17.33,7.17,390.33,11.0,6.83,11.33,8.67,445.17,1.0,0.33,0.0,12.17,8.0,4.33,0.17,0.0,0.0,47.33,12.0,13.33,2.0,3.67,1.67,0.33,0.0,0.0,0.0,0.0,1.33,5.67,13.67,33.17,4.83,4.0,11.67,0.67,1.33,25.33,20.0,101.5,20.83,43.0,14.33,0.0,55.0,0.26,47.37,82.55,90.99,88.06,56.36,58.9,41.37,-0.5,45.5,41.48,5.74
Aberdeen,26.0,6,1.67,1.02,8.67,3.17,0.0,0.0,14.67,2.83,206.33,314.5,80.0,99.0,92.17,121.17,30.83,80.17,6.0,16.83,4.5,1.17,21.67,8.0,21.5,15.83,8.17,8.33,6.17,1.33,9.5,19.0,9.5,10.0,12.5,23.67,0.0,429.0,65.83,165.67,173.17,95.33,15.17,429.0,13.33,5.5,194.67,6.67,2.0,13.0,7.33,205.17,1.0,0.0,0.0,10.17,11.17,2.0,0.0,0.33,0.0,52.33,13.0,15.17,1.67,4.83,3.17,0.17,0.33,0.33,0.0,0.0,1.83,7.5,24.33,26.83,2.0,8.67,17.33,0.5,0.83,28.17,20.33,51.17,17.5,22.83,17.67,0.0,33.5,0.64,46.15,65.61,80.81,76.07,38.46,50.73,41.26,0.09,65.63,30.83,2.89
Ajax,22.8,10,1.4,1.45,8.5,3.8,0.2,0.2,16.2,2.7,433.6,519.3,184.3,200.6,196.9,218.6,40.3,73.4,6.8,27.9,8.3,1.5,35.7,13.2,35.5,15.2,8.4,8.1,5.3,1.8,6.5,14.3,7.8,8.8,9.2,16.1,1.1,614.3,93.0,240.0,265.9,111.7,18.4,614.1,12.5,5.7,395.8,11.6,3.1,13.2,7.8,427.9,2.2,0.5,0.3,12.1,8.9,1.8,0.2,0.2,0.0,42.3,9.8,6.5,2.0,5.9,3.9,0.1,0.2,0.2,0.0,0.0,1.95,4.6,14.8,42.8,4.2,10.4,12.3,0.9,1.0,16.3,21.0,84.4,18.9,31.3,14.9,0.0,50.0,-0.03,60.12,83.5,91.87,90.07,54.9,50.51,45.6,-0.03,66.1,31.08,7.32
Alavés,25.6,38,0.87,1.22,12.05,3.58,0.08,0.18,21.5,1.58,265.55,371.47,116.92,139.03,105.55,132.95,36.18,76.03,8.97,24.66,7.18,2.76,33.16,14.47,32.95,15.21,9.13,7.47,5.97,1.76,7.63,16.55,8.92,9.55,7.34,21.32,0.13,478.39,56.89,161.11,199.05,123.84,20.11,478.21,16.45,8.16,225.63,9.58,3.63,15.05,7.87,262.42,2.21,0.03,0.0,12.66,11.82,1.82,0.18,0.21,0.05,47.55,15.11,16.45,1.21,3.87,2.71,0.29,0.21,0.21,0.0,0.0,1.18,8.29,20.47,23.32,3.29,8.82,13.95,0.76,0.97,31.55,22.92,80.58,23.08,33.68,16.76,0.0,41.8,-0.29,47.89,71.49,84.1,79.39,47.59,52.77,49.6,-0.03,70.03,40.5,5.45
Almería,25.6,38,1.11,1.28,12.58,4.29,0.05,0.05,21.66,1.84,336.16,435.26,148.79,170.53,144.11,168.55,34.79,72.29,9.18,22.89,5.58,2.26,28.87,15.53,28.47,16.66,9.79,9.32,5.84,1.5,7.37,15.32,7.95,11.32,8.24,22.53,0.5,550.05,69.84,202.92,245.34,107.74,16.16,550.0,17.55,7.87,292.84,11.16,3.47,14.47,7.08,333.16,2.45,0.16,0.11,12.58,12.97,1.97,0.05,0.24,0.0,45.16,14.66,15.45,1.97,5.32,3.32,0.16,0.24,0.16,0.03,0.05,1.85,4.76,16.18,29.34,4.74,8.68,16.55,0.76,1.24,30.11,21.55,72.87,23.5,27.47,17.16,0.08,46.4,-0.13,48.69,77.23,87.25,85.5,48.13,53.66,44.84,-0.06,62.41,29.42,4.59
Antwerp,24.5,6,1.0,1.03,9.17,3.5,0.0,0.17,16.5,1.33,351.0,437.17,143.33,160.0,153.83,174.83,44.5,77.33,6.17,24.17,6.5,1.33,31.33,13.17,31.0,16.5,9.33,8.17,6.33,2.0,8.83,19.67,10.83,13.67,7.67,18.5,0.83,546.33,82.33,211.0,226.67,113.5,16.17,546.17,17.5,9.33,347.17,11.0,3.0,15.33,9.83,346.83,2.5,0.33,0.17,9.67,7.17,2.0,0.0,0.17,0.17,47.17,7.83,12.0,2.83,6.0,3.33,0.0,0.17,0.17,0.0,0.0,2.07,6.67,18.5,38.33,5.0,7.0,11.33,1.5,0.5,19.83,25.17,75.5,17.83,27.0,18.17,0.0,43.2,-0.03,39.49,80.29,89.58,87.99,57.55,50.21,53.31,-0.37,55.5,36.05,13.24
Aris Limassol FC,27.4,6,1.17,1.17,10.33,2.67,0.17,0.17,18.33,2.0,296.67,409.0,129.17,149.5,132.5,165.83,28.5,67.83,7.0,21.0,4.67,0.5,30.5,13.17,30.0,25.17,17.33,14.83,8.0,2.33,15.5,28.5,13.0,13.0,13.0,21.5,0.5,528.83,73.17,219.17,217.83,99.0,13.33,528.67,18.83,9.83,283.5,10.0,3.83,13.67,7.83,294.67,2.67,0.0,0.0,12.33,11.0,1.5,0.17,0.17,0.0,62.5,11.67,15.17,2.17,6.83,4.5,0.0,0.17,0.0,0.17,0.0,2.35,3.33,17.0,32.83,7.5,6.67,14.5,1.17,1.17,26.83,21.5,73.67,20.33,22.33,32.83,0.17,42.2,0.0,43.5,72.54,86.4,79.9,42.02,61.17,52.2,0.08,65.89,19.59,8.07
Arsenal,25.2,48,2.19,1.86,15.98,5.23,0.23,0.23,29.21,3.85,498.9,588.46,253.77,277.81,203.31,227.54,30.58,56.12,12.75,39.52,13.15,1.6,53.23,21.19,52.71,15.67,8.85,6.06,6.65,2.96,7.04,14.44,7.4,10.67,7.52,13.38,0.4,691.83,51.96,175.81,307.56,213.56,36.44,691.6,18.25,7.88,432.56,14.96,8.15,14.52,9.88,494.1,1.6,0.04,0.02,10.85,10.48,2.12,0.19,0.08,0.02,45.56,12.98,12.4,0.77,2.31,1.54,0.46,0.08,0.06,0.02,0.0,0.65,4.17,11.46,27.73,4.92,5.38,9.88,1.29,1.56,25.38,24.4,127.12,33.06,59.33,15.9,0.02,57.85,0.18,51.14,84.78,91.35,89.35,54.49,52.77,43.18,-0.18,66.67,36.39,13.06
Astana FK,29.9,6,0.67,0.75,8.0,1.67,0.0,0.17,14.33,1.33,284.0,376.33,119.67,135.33,123.33,148.33,32.67,71.17,6.83,21.5,5.33,1.83,28.0,12.83,27.5,16.0,9.5,7.67,7.0,1.33,8.33,18.17,9.83,11.33,9.5,18.33,0.17,488.33,65.83,186.83,212.17,96.67,12.33,488.17,18.5,8.33,257.5,8.17,3.33,17.5,7.5,283.0,3.33,0.17,0.17,15.83,10.83,1.33,0.17,0.33,0.0,48.5,10.17,14.5,2.17,6.0,3.83,0.17,0.33,0.33,0.0,0.0,1.55,2.67,16.17,23.17,5.17,9.33,14.0,1.33,0.83,24.67,25.0,68.33,15.67,22.83,17.83,0.0,39.0,-0.11,41.22,75.47,88.43,83.15,45.9,52.18,45.03,-0.4,63.83,16.51,9.5
Aston Villa,26.7,50,1.86,1.55,13.3,4.96,0.08,0.1,23.78,3.22,433.42,517.2,189.7,209.2,199.64,223.26,36.18,63.24,10.34,31.64,9.26,1.64,38.9,20.1,38.56,13.58,7.64,6.72,5.1,1.76,6.36,12.92,6.56,9.22,5.76,14.52,0.34,611.44,70.48,212.44,258.62,145.86,25.98,611.34,19.4,8.88,385.4,13.1,5.64,12.82,10.1,424.32,2.5,0.06,0.02,10.74,12.26,1.06,0.1,0.06,0.08,40.96,8.94,9.4,1.54,4.22,2.74,0.22,0.06,0.04,0.02,0.0,1.52,3.74,9.8,37.02,4.64,6.38,10.32,1.2,1.86,18.34,22.92,97.56,27.0,42.52,14.0,0.02,54.42,0.2,48.75,83.8,90.68,89.42,57.21,52.83,45.77,-0.01,64.93,38.16,11.63
Atalanta,26.3,51,1.9,1.58,13.86,5.18,0.12,0.12,24.86,3.29,411.16,516.55,182.33,210.12,180.22,209.0,39.37,70.98,11.22,31.94,9.73,2.84,45.88,19.06,45.41,16.63,9.96,7.18,7.02,2.43,8.14,16.37,8.24,12.51,9.47,16.49,0.2,628.08,58.14,191.98,279.31,162.71,24.02,627.96,16.51,7.69,363.0,14.35,4.8,16.86,9.59,407.65,2.04,0.02,0.02,13.51,9.73,1.94,0.08,0.24,0.02,55.08,16.59,12.71,0.98,3.47,2.47,0.41,0.24,0.18,0.04,0.02,1.01,4.65,13.0,26.08,5.47,7.04,11.27,0.88,1.53,29.29,26.45,110.35,28.16,41.39,18.1,0.06,50.13,0.2,56.64,79.6,86.77,86.23,55.47,54.85,46.58,0.03,71.18,35.77,7.81
