Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Aberdeen,26.0,33.5,6,10,6.1,52,19,0,0,88,17,1238,1887,480,594,553,727,185,481,36,101,27,7,130,48,129,95,49,50,37,8,57,114,57,60,75,142,0,2574,395,994,1039,572,91,2574,80,33,1168,40,12,78,44,1231,6,0,0,61,67,12,0,2,0,314,78,91,10,29,19,1,2,2,0,0,11.0,45,146,161,12,52,104,3,5
Ajax,22.8,53.0,4,4,5.1,28,8,1,1,55,8,1918,2256,825,900,885,966,156,278,23,135,36,5,155,38,155,70,40,37,25,8,35,66,31,39,36,64,5,2638,324,847,1279,521,63,2637,43,14,1638,54,6,59,25,1902,9,3,2,50,30,10,1,0,0,155,40,23,7,19,12,1,0,0,0,0,6.6,19,52,160,15,37,45,5,10
Astana FK,29.9,39.0,6,4,4.5,48,10,0,1,86,8,1704,2258,718,812,740,890,196,427,41,129,32,11,168,77,165,96,57,46,42,8,50,109,59,68,57,110,1,2930,395,1121,1273,580,74,2929,111,50,1545,49,20,105,45,1698,20,1,1,95,65,8,1,2,0,291,61,87,13,36,23,1,2,2,0,0,9.3,16,97,139,31,56,84,8,5
Aston Villa,26.7,58.6,12,21,14.4,154,66,0,1,277,32,5538,6497,2375,2582,2601,2890,479,794,119,422,100,15,494,230,490,132,71,67,45,20,58,96,38,72,52,129,4,7513,717,2451,3295,1834,289,7512,213,99,4819,165,65,164,89,5392,31,1,1,125,140,6,1,1,0,429,113,107,16,38,22,3,1,1,0,0,14.5,51,110,465,56,73,97,9,23
AZ Alkmaar,24.7,55.0,6,7,5.6,60,21,1,1,112,13,2696,3266,1151,1265,1180,1340,257,456,49,213,59,11,255,101,253,74,51,36,27,11,35,72,37,61,54,86,2,3816,368,1186,1686,974,147,3815,104,43,2342,66,41,68,52,2671,6,2,0,73,48,26,1,0,0,284,72,80,12,22,10,2,0,0,0,0,8.0,34,82,199,29,24,70,4,8
Beşiktaş,28.0,50.2,6,6,5.1,66,24,0,0,120,6,2499,3036,1058,1174,1087,1230,298,495,50,193,45,17,235,105,233,114,74,71,31,12,58,118,60,77,68,105,2,3695,426,1230,1757,754,94,3695,103,51,2329,75,22,97,37,2471,15,3,2,75,62,10,0,0,1,338,49,57,14,41,28,1,0,0,0,0,13.2,36,87,157,28,46,71,2,7
Betis,26.1,61.0,2,1,1.7,25,5,0,0,43,2,986,1208,496,541,351,399,81,147,15,98,13,5,93,24,93,29,19,14,12,3,11,26,15,23,12,20,0,1393,80,321,718,364,44,1393,39,21,826,22,5,33,15,984,5,0,0,29,26,3,0,1,0,87,26,29,2,3,1,0,1,1,0,0,2.2,7,13,42,8,12,13,3,4
Bodø/Glimt,26.2,49.3,8,14,13.6,103,41,1,1,183,26,3669,4361,1522,1675,1708,1911,323,539,83,249,79,11,362,193,360,108,66,47,39,22,53,112,59,80,62,129,2,5219,556,1762,2241,1269,222,5218,169,83,3414,123,51,152,62,3631,18,2,1,69,96,10,1,1,1,413,51,59,12,31,20,1,1,1,0,0,7.6,28,77,259,34,62,122,8,12
Breiðablik,28.0,48.5,6,5,8.7,71,20,0,1,128,8,2053,2670,896,1038,898,1083,203,390,54,183,54,11,268,119,265,77,40,40,30,7,40,102,62,68,68,97,2,3311,456,1160,1383,805,128,3310,95,48,1907,56,30,105,35,2018,12,1,1,64,52,11,1,1,1,308,55,72,18,35,18,0,1,1,0,0,10.8,23,57,213,52,48,73,2,7
Club Brugge,25.4,50.6,12,25,21.6,149,54,3,5,261,43,4826,5934,1893,2173,2225,2521,577,946,116,370,102,21,487,221,483,164,105,63,69,32,78,169,91,139,101,236,3,7174,828,2519,3074,1642,292,7169,193,96,4816,154,72,174,88,4775,32,2,2,159,115,23,3,2,0,568,149,137,9,35,26,6,2,2,0,0,9.4,67,149,406,47,81,144,9,13
