Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Gabriel Delfim,br BRA,Goalkeeper,Atlético Mineiro,21,2002,1,1,90,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,5.0,21.0,7.0,9.0,10.0,2.0,0.0,0.0,0.1,66.67,20.0,20.0
Gaga Slonina,us USA,Goalkeeper,Eupen,19,2004,28,28,2520,2.0,5.68,3.79,0.14,0.18,0.11,0.04,0.04,1.79,3.46,11.29,27.89,5.25,8.39,15.25,0.68,1.04,0.07,-0.21,66.73,30.65,4.46
Gastón Guruceaga,uy URU,Goalkeeper,uy Liverpool,28,1995,3,3,270,1.67,6.0,4.33,0.33,0.0,0.0,0.0,0.0,1.43,3.33,12.33,24.67,3.0,5.33,20.0,1.0,0.67,0.0,-0.23,72.17,27.01,5.0
Gastón Gómez,ar ARG,Goalkeeper,ar San Lorenzo,27,1996,19,18,1679,0.86,3.06,2.25,0.32,0.11,0.11,0.0,0.0,0.83,5.31,14.79,17.47,2.2,8.52,13.72,0.38,0.32,0.0,-0.03,73.53,35.9,2.77
Gatito Fernández,py PAR,Goalkeeper,br Botafogo (RJ),35,1988,7,7,630,1.14,3.14,2.0,0.43,0.14,0.14,0.0,0.0,1.27,4.14,9.29,22.29,3.29,8.29,16.86,0.29,0.71,0.0,0.13,63.69,44.56,1.72
Gavin Bazunu,ie IRL,Goalkeeper,Southampton,21,2002,41,41,3690,1.32,3.49,2.17,0.27,0.07,0.05,0.0,0.02,1.03,3.98,8.78,43.2,5.71,4.05,11.88,0.39,1.49,0.02,-0.29,62.18,45.33,3.28
Gavin Beavers,us USA,Goalkeeper,Real Salt Lake,18,2005,11,11,990,1.82,4.82,2.91,0.27,0.36,0.27,0.09,0.0,1.7,2.82,9.64,26.36,5.82,6.55,13.91,1.45,1.27,0.09,-0.12,60.37,29.25,10.42
Gaëtan Coucke,be BEL,Goalkeeper,Mechelen,24,1998,30,30,2700,1.13,4.13,3.0,0.33,0.13,0.03,0.03,0.07,1.36,6.07,14.27,28.03,3.47,8.4,15.43,1.07,0.7,0.1,0.23,72.64,42.54,6.93
George Long,eng ENG,Goalkeeper,Norwich City,29,1993,7,6,600,2.4,6.6,4.35,0.15,0.15,0.15,0.0,0.0,1.82,1.5,11.1,28.65,3.45,4.95,12.9,0.75,0.15,0.0,-0.59,65.91,13.51,5.81
Gerónimo Rulli,ar ARG,Goalkeeper,Ajax,31,1992,7,7,571,1.89,4.73,2.84,0.16,0.16,0.16,0.0,0.0,1.8,7.72,16.39,48.07,6.3,5.67,10.4,0.95,2.05,0.0,-0.09,60.04,47.1,9.13
Giacomo Drago,it ITA,Goalkeeper,Südtirol,22,2001,1,1,90,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9,3.0,9.0,29.0,6.0,1.0,16.0,1.0,1.0,0.0,-0.1,75.0,33.33,6.25
Giacomo Poluzzi,it ITA,Goalkeeper,Südtirol,35,1988,37,37,3330,1.27,3.59,2.32,0.27,0.16,0.14,0.03,0.0,1.15,8.11,19.35,25.97,3.68,8.65,16.59,1.32,0.65,0.03,-0.12,64.62,41.91,7.96
Giacomo Satalino,it ITA,Goalkeeper,Reggiana,24,1999,9,8,796,1.24,4.41,3.17,0.34,0.11,0.11,0.0,0.0,1.16,5.09,13.79,19.22,5.31,9.27,18.66,2.26,0.57,0.0,-0.08,71.88,36.91,12.11
Gianluca Saro,it ITA,Goalkeeper,Cremonese,23,2000,8,8,720,0.88,3.75,2.88,0.38,0.0,0.0,0.0,0.0,0.92,3.25,8.75,28.88,5.0,5.25,12.12,0.88,0.38,0.0,0.05,76.8,37.14,7.26
Gibran Lajud,mx MEX,Goalkeeper,Santos,29,1993,9,9,810,2.11,5.33,3.22,0.11,0.22,0.22,0.0,0.0,1.66,3.89,14.78,16.78,3.33,8.44,15.44,0.67,0.67,0.0,-0.46,60.41,26.32,4.34
Gonzalo Marinelli,ar ARG,Goalkeeper,Ind. Rivadavia,34,1989,5,5,450,0.4,2.0,1.6,0.6,0.2,0.2,0.0,0.0,0.68,5.0,14.0,14.0,2.2,10.0,14.8,0.6,0.6,0.0,0.28,80.0,35.71,4.05
Gonçalo Pinto,pt POR,Goalkeeper,Chaves,23,2000,1,1,90,3.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,2.6,10.0,24.0,14.0,0.0,13.0,21.0,0.0,0.0,0.0,-0.4,62.5,41.67,0.0
Guido Herrera,ar ARG,Goalkeeper,ar Talleres,31,1992,34,34,3060,1.03,3.35,2.35,0.38,0.18,0.18,0.0,0.0,0.89,6.76,15.12,23.0,2.53,6.79,15.03,1.0,0.62,0.0,-0.14,70.15,44.71,6.65
Guido Villar,ar ARG,Goalkeeper,ec Independiente,25,1998,1,1,90,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1,3.0,11.0,17.0,1.0,7.0,13.0,0.0,2.0,0.0,-0.9,0.0,27.27,0.0
Guillaume Hubert,be BEL,Goalkeeper,RWDM,29,1994,1,0,17,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59,37.06,58.24,5.29,10.59,21.18,5.29,0.0,0.0,-5.29,,28.58,24.98
Guillermo Allison,mx MEX,Goalkeeper,Querétaro,32,1990,20,20,1784,1.36,5.6,4.24,0.25,0.2,0.15,0.05,0.0,1.62,8.12,19.78,19.37,2.77,10.49,15.69,0.71,0.3,0.05,0.26,75.71,41.05,4.53
Guillermo Vizcarra,bo BOL,Goalkeeper,bo The Strongest,30,1993,8,8,720,1.25,6.0,4.75,0.62,0.0,0.0,0.0,0.0,1.36,4.62,14.5,17.38,5.12,11.75,20.62,0.62,0.62,0.0,0.11,79.17,31.86,3.01
Guillermo de Amores,uy URU,Goalkeeper,uy Peñarol,29,1994,5,4,405,1.11,2.89,1.78,0.44,0.0,0.0,0.0,0.0,1.16,1.56,8.89,20.89,6.44,6.44,10.0,1.33,0.67,0.0,0.04,61.59,17.55,13.3
Gustavo,br BRA,Goalkeeper,Criciúma,30,1993,34,34,2997,1.62,5.23,3.57,0.18,0.18,0.12,0.06,0.0,1.7,4.86,11.89,18.05,3.69,8.8,17.12,0.69,0.39,0.06,0.08,68.26,40.87,4.03
Heinz Lindner,at AUT,Goalkeeper,Union SG,33,1990,1,1,90,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,21.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,50.0,75.0,0.0
Henrich Ravas,sk SVK,Goalkeeper,NE Revolution,26,1997,8,8,720,2.12,5.38,3.12,0.12,0.38,0.25,0.12,0.0,2.1,3.12,11.25,20.62,3.5,8.5,10.25,0.62,0.25,0.12,-0.02,57.99,27.73,6.05
Hernán Galíndez,ec ECU,Goalkeeper,Huracán,36,1987,24,24,2160,0.58,2.79,2.21,0.54,0.04,0.04,0.0,0.0,0.78,4.62,16.33,25.5,3.17,7.67,14.96,0.96,0.33,0.0,0.19,79.21,28.29,6.42
Hervé Koffi,bf BFA,Goalkeeper,Charleroi,26,1996,26,26,2339,1.5,4.96,3.5,0.27,0.19,0.19,0.0,0.0,1.62,6.16,16.78,29.55,4.81,6.46,13.78,1.5,1.46,0.0,0.12,70.56,36.71,10.89
Hobie Verhulst,nl NED,Goalkeeper,AZ Alkmaar,30,1993,1,1,90,4.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,3.5,13.0,26.0,37.0,3.0,9.0,12.0,0.0,0.0,0.0,-0.5,50.0,50.0,0.0
Hugo González Durán,mx MEX,Goalkeeper,Mazatlán,32,1990,29,29,2548,1.7,5.05,3.32,0.21,0.18,0.04,0.07,0.07,1.71,6.29,15.29,28.01,5.19,9.5,17.03,1.09,0.67,0.14,0.02,65.74,41.14,6.4
Hugo Lloris,fr FRA,Goalkeeper,LAFC,37,1986,33,33,2970,1.21,3.94,2.79,0.36,0.09,0.03,0.03,0.03,1.16,5.03,13.21,26.45,3.73,6.76,14.36,0.88,0.79,0.06,-0.05,70.81,38.08,6.13
Hugo Souza,br BRA,Goalkeeper,Corinthians,25,1999,48,48,4320,1.58,4.94,3.31,0.23,0.21,0.17,0.04,0.0,1.64,5.0,13.46,20.62,4.92,8.71,15.88,0.77,0.58,0.04,0.05,67.0,37.15,4.85
Héctor Holguín,mx MEX,Goalkeeper,Santos,22,2001,4,2,245,1.84,5.88,3.67,0.0,0.37,0.0,0.37,0.0,1.87,5.88,13.59,16.16,2.94,11.02,14.69,0.37,0.37,0.37,0.04,62.41,43.27,2.52
Ignacio Arce,ar ARG,Goalkeeper,Deportivo Riestra,31,1992,25,25,2250,1.0,4.6,3.6,0.48,0.16,0.16,0.0,0.0,1.33,10.0,27.36,25.64,1.32,9.08,22.76,1.6,1.12,0.0,0.33,78.26,36.55,7.03
Ignacio Chicco,ar ARG,Goalkeeper,Belgrano,27,1996,8,7,656,1.1,3.43,2.33,0.27,0.0,0.0,0.0,0.0,0.96,3.98,10.84,26.2,4.66,6.04,15.5,1.23,1.37,0.0,-0.14,67.93,36.72,7.94
Ignacio De Arruabarrena,uy URU,Goalkeeper,Arouca,26,1997,31,31,2790,1.45,4.58,3.1,0.13,0.29,0.23,0.03,0.03,1.55,3.52,11.84,30.48,6.45,7.16,14.39,1.26,1.84,0.06,0.1,67.69,29.73,8.76
Illan Meslier,fr FRA,Goalkeeper,Leeds United,23,2000,44,44,3922,0.92,2.78,1.9,0.41,0.02,0.02,0.0,0.0,0.8,2.25,9.11,39.75,4.43,3.67,11.22,0.55,1.15,0.0,-0.12,68.35,24.7,4.9
Isaac Boehmer,us USA,Goalkeeper,Vancouver W'caps,22,2001,1,1,90,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.6,5.0,23.0,27.0,2.0,9.0,22.0,0.0,0.0,0.0,-0.4,83.33,21.74,0.0
Ivan Zlobin,ru RUS,Goalkeeper,Famalicão,26,1997,1,1,90,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,2.0,13.0,6.0,3.0,11.0,1.0,0.0,0.0,-0.6,50.0,50.0,9.09
Ivor Pandur,hr CRO,Goalkeeper,Fortuna Sittard,23,2000,16,16,1440,1.75,4.88,3.19,0.25,0.12,0.12,0.0,0.0,1.62,5.56,15.44,26.62,4.06,7.81,14.06,1.44,0.81,0.0,-0.13,65.37,36.01,10.24
Jack Bonham,ie IRL,Goalkeeper,Stoke City,29,1993,14,14,1260,1.36,4.21,2.93,0.36,0.21,0.21,0.0,0.0,1.46,5.5,17.21,30.21,6.0,7.43,17.07,1.14,0.71,0.0,0.11,69.6,31.96,6.68
Jacob Chapman,au AUS,Goalkeeper,Huddersfield,22,2000,2,1,139,1.29,2.59,0.65,0.65,0.65,0.0,0.65,0.0,1.04,2.59,18.78,29.14,4.53,9.71,9.71,0.0,1.29,0.65,-0.26,25.1,13.79,0.0
Jacob Jackson,us USA,Goalkeeper,SJ Earthquakes,23,2000,3,3,270,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.73,3.0,10.67,23.33,5.33,10.0,13.67,0.67,0.67,0.0,-1.27,50.0,28.12,4.9
