Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Alejandro Araque,VEN,Goalkeeper,ve Dep Táchira,,1995,2,2,180,5,12,7,0,0,0,0,0,5.2,8,29,30,5,19,37,0,0,0,0.20000000000000018
Alejandro Santander,CHI,Goalkeeper,cl Cobresal,,2002,1,1,90,2,4,2,0,0,0,0,0,1.4,4,17,20,2,7,10,0,0,0,-0.6000000000000001
Alessandro Micai,ITA,Goalkeeper,Cosenza,,1993,37,37,3296,41,149,107,10,4,2,2,0,43.0,208,577,1199,153,169,591,40,35,2,2.0
Alex Bono,USA,Goalkeeper,D.C. United,,1994,29,29,2610,55,128,75,2,3,3,0,0,49.9,300,649,860,110,190,347,14,58,0,-5.100000000000001
Alex McCarthy,ENG,Goalkeeper,Southampton,,1989,5,5,450,9,26,17,1,0,0,0,0,8.0,10,36,159,27,18,49,2,1,0,-1.0
Alex Palmer,ENG,Goalkeeper,West Brom,,1996,46,46,4140,47,148,98,18,7,3,3,1,46.9,138,492,1443,198,218,589,32,57,4,-0.10000000000000142
Alexander Domínguez,ECU,Goalkeeper,ec LDU de Quito,,1987,6,6,540,6,18,12,2,2,1,0,1,6.4,27,53,82,22,53,43,3,2,1,0.40000000000000036
Alfonso Blanco Antúnez,MEX,Goalkeeper,León,,1987,2,2,180,2,10,8,0,2,1,0,1,3.2,6,15,44,11,11,25,2,2,1,1.2000000000000002
Alfredo Talavera,MEX,Goalkeeper,FC Juárez,,1982,17,17,1469,33,86,53,0,3,3,0,0,29.5,77,230,405,73,143,264,9,9,0,-3.5
Alisson,BRA,Goalkeeper,Criciúma,,1995,6,4,421,7,25,18,0,0,0,0,0,7.1,22,74,98,22,54,84,5,1,0,0.09999999999999964
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,,1993,25,25,2250,56,158,101,4,5,4,1,0,53.2,113,350,574,68,210,344,9,10,1,-2.799999999999997
Anatolii Trubin,UKR,Goalkeeper,Benfica,,2001,28,28,2520,22,98,73,13,5,2,3,0,29.4,51,136,534,114,184,298,13,16,3,7.399999999999999
Anderson,BRA,Goalkeeper,Cruzeiro,,1998,17,17,1530,22,72,51,6,1,1,0,0,22.9,32,99,345,76,125,239,11,11,0,0.8999999999999986
Andre Blake,JAM,Goalkeeper,Philadelphia Union,,1990,14,14,1112,14,53,40,3,0,0,0,0,15.5,41,99,202,53,85,177,8,7,0,1.5
Andrea Fulignati,ITA,Goalkeeper,Catanzaro,,1994,37,37,3330,47,163,116,10,7,6,1,0,51.4,168,468,1801,161,153,588,32,24,1,4.399999999999999
Andrea Sala,ITA,Goalkeeper,Catanzaro,,1993,1,1,90,3,9,6,0,1,1,0,0,5.0,1,6,43,2,4,13,0,3,0,2.0
Andrea Seculin,ITA,Goalkeeper,Modena,,1990,17,16,1487,23,63,39,3,4,3,1,0,22.0,73,194,502,37,77,230,8,10,1,-1.0
Andreas Jungdal,DEN,Goalkeeper,Cremonese,,2002,18,18,1620,13,62,49,10,1,1,0,0,15.8,62,176,535,105,83,232,19,15,0,2.8000000000000007
Andrew,BRA,Goalkeeper,Gil Vicente FC,,2001,32,32,2880,46,143,97,9,7,5,2,0,43.9,121,392,824,151,303,470,27,39,2,-2.1000000000000014
Andrew Rick,USA,Goalkeeper,Philadelphia Union,,2006,6,6,540,12,32,21,1,0,0,0,0,10.9,40,107,109,18,51,78,3,6,0,-1.0999999999999996
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,,1993,4,3,288,5,19,13,0,1,0,1,0,5.5,12,30,79,18,14,45,1,0,1,0.5
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,,1998,7,5,593,8,29,20,2,2,1,1,0,7.8,25,83,121,23,33,96,12,3,1,-0.20000000000000018
Andries Noppert,NED,Goalkeeper,Heerenveen,,1994,22,22,1980,43,104,62,4,3,3,0,0,40.2,106,269,574,114,137,322,20,16,0,-2.799999999999997
Andrés Gudiño,MEX,Goalkeeper,Cruz Azul,,1997,14,13,1219,22,69,48,2,4,4,0,0,18.8,64,200,257,49,117,187,12,8,0,-3.1999999999999993
Andrés Sánchez,MEX,Goalkeeper,Atlético,,1997,24,24,2160,45,117,72,4,3,3,0,0,37.9,54,157,528,124,205,360,15,24,0,-7.100000000000001
Angus Gunn,SCO,Goalkeeper,Norwich City,,1996,40,40,3540,48,152,105,11,4,4,0,0,51.6,141,399,1296,161,181,598,35,55,0,3.6000000000000014
Anthoni,BRA,Goalkeeper,Internacional,,2002,2,2,180,1,5,3,1,1,0,1,0,1.8,14,45,46,5,26,47,1,0,1,0.8
Anthony Moris,LUX,Goalkeeper,Union SG,,1990,29,29,2588,30,87,57,8,3,3,0,0,29.8,156,342,885,119,113,311,21,32,0,-0.1999999999999993
Anthony Patterson,ENG,Goalkeeper,Sunderland,,2000,45,45,4050,52,165,114,13,3,2,1,0,53.6,142,400,1288,249,211,505,35,35,1,1.6000000000000014
Antonio Adán,ESP,Goalkeeper,Sporting CP,,1987,22,22,1980,22,55,33,9,4,4,0,0,18.8,67,176,504,83,97,203,16,8,0,-3.1999999999999993
Antony Iannarilli,ITA,Goalkeeper,Ternana,,1990,32,32,2880,44,157,115,6,7,7,0,0,46.2,183,565,623,112,281,524,28,7,0,2.200000000000003
António Filipe de Carvalho,POR,Goalkeeper,Estrela,,1985,3,3,270,3,10,7,2,0,0,0,0,4.1,8,36,92,17,26,42,4,5,0,1.0999999999999996
Arnaud Bodart,BEL,Goalkeeper,Standard Liège,,1998,29,29,2610,35,134,98,5,6,5,1,0,35.3,113,402,725,131,224,415,29,17,1,0.29999999999999716
Asmir Begović,BIH,Goalkeeper,QPR,,1987,45,45,4049,57,178,122,13,1,1,0,0,48.3,199,600,1148,242,315,629,49,24,0,-8.700000000000003
Axel Werner,ARG,Goalkeeper,Rosario Central,,1996,3,3,270,3,16,13,1,1,0,0,1,4.6,18,56,71,19,20,45,0,2,1,1.5999999999999996
Aynsley Pears,ENG,Goalkeeper,Blackburn,,1998,26,26,2311,38,120,83,7,4,3,1,0,34.6,94,352,750,133,224,327,20,56,1,-3.3999999999999986
Barry Lauwers,NED,Goalkeeper,Volendam,,1999,1,1,90,7,10,3,0,0,0,0,0,3.9,8,26,42,5,4,32,4,1,0,-3.1
Bartosz Białkowski,POL,Goalkeeper,Millwall,,1987,14,14,1260,21,63,42,4,2,2,0,0,21.4,88,227,231,47,99,176,7,15,0,0.3999999999999986
Bartłomiej Drągowski,POL,Goalkeeper,Spezia,,1997,13,13,1170,20,63,44,3,2,2,0,0,18.3,46,119,285,51,86,164,5,9,0,-1.6999999999999993
Ben Hamer,ENG,Goalkeeper,Watford,,1987,19,19,1710,28,92,63,3,3,1,2,0,28.9,43,147,683,85,51,259,11,21,2,0.8999999999999986
Ben Wilson,ENG,Goalkeeper,Coventry City,,1992,18,18,1620,26,65,40,4,1,1,0,0,21.3,47,166,475,125,143,246,13,10,0,-4.699999999999999
Benjamin Lundt,GER,Goalkeeper,St. Louis,,1995,3,2,239,8,15,7,0,0,0,0,0,5.1,16,41,59,12,25,44,3,4,0,-2.9000000000000004
Benny Díaz,MEX,Goalkeeper,FC Juárez,,1998,4,4,360,7,16,9,0,0,0,0,0,3.3,19,49,82,15,26,47,1,3,0,-3.7
Bento,BRA,Goalkeeper,Ath Paranaense,,1999,7,7,630,4,25,20,4,1,0,1,0,6.5,45,86,123,18,47,86,6,2,1,2.5
Boy Waterman,NED,Goalkeeper,PSV Eindhoven,,1984,1,0,6,0,1,1,0,0,0,0,0,0.1,1,1,3,1,2,2,0,0,0,0.1
Brad Guzan,USA,Goalkeeper,Atlanta Utd,,1984,32,32,2849,44,154,107,5,6,3,3,0,48.4,223,476,992,136,197,425,24,29,3,4.399999999999999
Brad Stuver,USA,Goalkeeper,Austin,,1991,34,34,3060,48,178,129,8,9,8,1,0,54.6,181,481,1174,202,252,482,35,40,1,6.600000000000001
Bradley Collins,ENG,Goalkeeper,Coventry City,,1997,28,28,2520,33,132,102,8,2,2,0,0,30.9,118,310,766,125,242,392,18,37,0,-2.1000000000000014
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,,1995,10,10,900,8,27,19,3,0,0,0,0,8.3,43,118,282,42,83,101,9,11,0,0.3000000000000007
Brenno,BRA,Goalkeeper,Bari,,1999,33,33,2939,40,119,81,6,5,4,0,1,34.0,90,287,509,135,235,509,19,19,1,-6.0
Bruno,BRA,Goalkeeper,Venezia,,1998,9,9,810,10,27,17,2,3,3,0,0,8.8,44,105,251,35,62,128,4,6,0,-1.1999999999999993
Bruno Brigido,BRA,Goalkeeper,Estrela,,1991,26,26,2340,43,119,77,4,3,2,0,1,39.7,101,274,605,121,217,349,26,32,1,-3.299999999999997
Bruno Varela,CPV,Goalkeeper,Vitória,,1994,27,27,2385,31,99,68,7,5,4,1,0,35.8,157,349,618,86,179,345,18,34,1,4.799999999999997
C.J. dos Santos,USA,Goalkeeper,Inter Miami,,2000,1,1,90,4,6,2,0,0,0,0,0,2.4,2,4,25,2,11,14,0,1,0,-1.6
Caio Secco,BRA,Goalkeeper,Moreirense,,1990,4,4,360,1,9,8,3,0,0,0,0,2.9,16,46,89,18,27,56,0,0,0,1.9
Cambila,ANG,Goalkeeper,Estrela,,2002,1,0,17,3,6,2,0,1,0,1,0,3.3,0,0,5,0,1,1,1,1,1,0.2999999999999998
Cameron Dawson,ENG,Goalkeeper,Sheffield Weds,,1995,18,18,1620,28,62,35,4,2,1,1,0,21.1,108,286,634,81,99,244,19,25,1,-6.899999999999999
Camilo Vargas,COL,Goalkeeper,Atlas,,1989,34,34,3060,55,144,88,8,8,7,1,0,45.1,176,505,948,116,304,467,21,38,1,-9.899999999999999
Carl Rushworth,ENG,Goalkeeper,Swansea City,,2001,46,46,4140,65,206,143,10,5,5,0,0,68.5,222,779,1897,259,326,595,35,64,0,3.5
Carlos Acevedo,MEX,Goalkeeper,Santos,,1996,23,23,2005,38,114,75,5,7,6,1,0,39.3,93,251,460,80,185,378,12,17,1,1.2999999999999972
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,,1996,27,27,2430,44,116,74,4,6,6,0,0,39.1,121,433,707,101,182,353,20,34,0,-4.899999999999999
Carlos Felipe Rodríguez,MEX,Goalkeeper,UANL,,1989,10,10,900,14,46,32,2,0,0,0,0,13.3,39,128,279,34,75,125,3,4,0,-0.6999999999999993
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,,1987,8,8,720,11,49,38,2,1,1,0,0,13.2,19,57,235,40,76,99,7,15,0,2.1999999999999993
Carlos Miguel,BRA,Goalkeeper,Corinthians,,1998,6,6,540,7,29,24,2,1,1,0,0,7.1,33,66,139,26,46,98,4,6,0,0.09999999999999964
Carlos Moreno,MEX,Goalkeeper,Pachuca,,1998,29,29,2610,44,126,83,7,5,5,0,0,43.7,195,464,541,121,273,380,22,23,0,-0.29999999999999716
Caíque,BRA,Goalkeeper,Grêmio,,1997,6,5,488,10,27,18,0,1,1,0,0,8.9,22,76,84,21,47,82,3,3,0,-1.0999999999999996
Cezary Miszta,POL,Goalkeeper,Rio Ave,,2001,1,1,90,1,9,8,0,0,0,0,0,1.1,3,6,36,6,8,8,0,0,0,0.10000000000000009
Charles,BRA,Goalkeeper,Vitória,,1994,8,7,675,7,27,20,3,1,1,0,0,9.7,31,89,131,27,57,124,9,5,0,2.6999999999999993
Chris Brady,USA,Goalkeeper,Chicago Fire,,2004,33,33,2970,61,164,104,4,8,8,0,0,56.9,108,341,672,159,253,365,25,31,0,-4.100000000000001
Chris Maxwell,WAL,Goalkeeper,Huddersfield,,1990,9,8,696,11,40,29,0,0,0,0,0,12.2,42,133,194,46,79,152,6,4,0,1.1999999999999993
Christian Walton,ENG,Goalkeeper,Ipswich Town,,1995,1,0,1,0,1,1,1,0,0,0,0,0.1,0,1,2,0,0,0,0,0,0,0.1
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,,1997,31,31,2699,37,144,106,5,3,1,2,0,45.6,129,403,759,142,218,474,30,55,2,8.600000000000001
Clint Irwin,USA,Goalkeeper,Minnesota Utd,,1989,5,5,450,12,33,21,0,1,1,0,0,11.5,17,46,106,36,41,55,5,8,0,-0.5
Cláudio Ramos,POR,Goalkeeper,Porto,,1991,2,1,114,2,4,2,0,0,0,0,0,1.0,9,17,51,6,5,22,1,4,0,-1.0
Conor Hazard,NIR,Goalkeeper,Plymouth Argyle,,1998,27,27,2430,46,132,88,5,1,1,0,0,43.9,107,439,860,145,204,459,20,16,0,-2.1000000000000014
Cristopher Fiermarin,URU,Goalkeeper,Defensa y Just,,1998,10,10,900,17,42,26,1,3,2,1,0,15.8,45,111,280,45,102,171,10,4,1,-1.1999999999999993
Cássio,BRA,Goalkeeper,Cruzeiro,,1987,24,24,2160,22,115,93,7,1,1,0,0,30.599999999999998,59,146,498,119,165,343,13,12,0,8.599999999999998
César Rigamonti,ARG,Goalkeeper,cl Palestino,,1987,6,6,540,11,36,26,1,2,1,1,0,11.1,42,114,120,8,66,89,7,5,1,0.09999999999999964
Daniel,BRA,Goalkeeper,SJ Earthquakes,,1994,12,12,1080,24,72,47,1,1,0,1,0,21.2,44,113,301,43,94,189,7,12,1,-2.8000000000000007
Daniel Bachmann,AUT,Goalkeeper,Watford,,1994,27,27,2429,32,106,74,11,3,1,2,0,32.9,80,319,1042,143,78,321,17,56,2,0.8999999999999986
Daniel Figueira,POR,Goalkeeper,Estoril,,1998,12,12,1080,29,61,33,2,1,1,0,0,20.6,27,91,234,61,90,136,0,23,0,-8.399999999999999
Daniel Iversen,DEN,Goalkeeper,Stoke City,,1997,18,18,1620,22,54,32,7,1,1,0,0,19.6,69,299,507,70,114,224,19,26,0,-2.3999999999999986
Daniel Schmidt,JPN,Goalkeeper,Sint-Truiden,,1992,12,12,1080,20,50,30,3,4,4,0,0,17.6,61,143,349,68,60,166,12,12,0,-2.4
Danilo Fernandes,BRA,Goalkeeper,Bahia,,1988,1,1,90,0,2,2,1,0,0,0,0,0.3,2,7,16,5,9,18,0,1,0,0.3
Dante Campisi,ARG,Goalkeeper,Unión,,1996,1,1,90,1,3,2,0,0,0,0,0,1.2,5,8,11,1,5,2,0,1,0,0.19999999999999996
David Cornell,WAL,Goalkeeper,Preston,,1991,2,2,180,4,9,5,0,1,1,0,0,4.3,18,54,48,3,22,32,1,4,0,0.2999999999999998
Davide Barosi,ITA,Goalkeeper,Ascoli,,2000,3,2,205,2,7,5,0,0,0,0,0,1.8,10,25,51,9,20,44,3,4,0,-0.19999999999999996
Davy Roef,BEL,Goalkeeper,Gent,,1994,12,12,1080,9,42,30,5,6,3,3,0,15.2,58,115,272,82,87,168,17,7,3,6.199999999999999
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,,1997,26,26,2340,31,99,68,7,3,1,1,1,32.1,110,442,658,96,175,387,7,40,2,1.1000000000000014
Devis Vásquez,COL,Goalkeeper,Sheffield Weds,,1998,19,18,1637,24,70,46,6,4,4,0,0,24.8,115,313,515,73,171,255,17,17,0,0.8000000000000007
Diant Ramaj,GER,Goalkeeper,Ajax,,2001,22,20,1824,32,99,68,3,1,1,0,0,32.4,123,322,893,113,114,263,21,30,0,0.3999999999999986
Dida,BRA,Goalkeeper,Estrela,,1998,5,5,427,4,13,9,1,0,0,0,0,4.0,17,51,147,37,40,81,6,10,0,0.0
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,,1989,27,27,2430,28,90,63,10,4,4,0,0,26.4,126,323,620,85,183,301,6,18,0,-1.6000000000000014
Diego Urtiaga,MEX,Goalkeeper,Atlético,,1998,10,10,900,16,51,35,3,2,2,0,0,16.8,25,68,205,49,100,160,3,1,0,0.8000000000000007
Dillon Phillips,ENG,Goalkeeper,Rotherham Utd,,1995,2,2,179,4,10,6,0,1,1,0,0,3.4,34,67,59,5,26,29,1,3,0,-0.6000000000000001
Diogo Costa,POR,Goalkeeper,Porto,,1999,33,33,2944,25,77,53,13,6,4,1,1,25.1,116,278,1030,126,187,352,25,53,2,0.10000000000000142
Diogo Pinto,POR,Goalkeeper,Sporting CP,,2004,2,2,171,0,1,1,1,0,0,0,0,0.0,7,10,32,6,11,15,3,2,0,0.0
Drake Callender,USA,Goalkeeper,Inter Miami,,1997,32,32,2880,45,147,102,5,7,5,2,0,46.5,78,250,867,175,249,419,35,27,2,1.5
Earl Edwards Jr.,USA,Goalkeeper,NE Revolution,,1992,1,1,90,1,2,1,0,0,0,0,0,1.1,5,7,33,2,8,9,0,0,0,0.10000000000000009
Edoardo Corvi,ITA,Goalkeeper,Parma,,2001,2,2,168,2,11,9,0,0,0,0,0,2.8,5,20,58,14,9,16,3,5,0,0.7999999999999998
Elhan Kastrati,ALB,Goalkeeper,Cittadella,,1997,35,35,3150,44,145,102,10,5,5,0,0,39.1,189,436,744,139,235,480,32,27,0,-4.899999999999999
Elliot Panicco,USA,Goalkeeper,Nashville SC,,1996,6,5,432,10,34,23,1,2,0,1,1,10.4,23,65,109,30,31,59,4,2,2,0.40000000000000036
Eloy Room,CUW,Goalkeeper,Vitesse,,1989,34,34,3060,74,225,150,3,7,5,2,0,70.4,235,698,1137,153,262,450,18,25,2,-3.5999999999999943
Emiliano Viviano,ITA,Goalkeeper,Ascoli,,1985,27,27,2384,32,92,61,8,9,6,1,2,31.4,220,489,593,47,150,409,30,17,3,-0.6000000000000014
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,,1982,17,17,1530,16,60,42,7,3,1,2,0,18.6,119,277,404,66,161,297,9,8,2,2.6000000000000014
Esteban Andrada,ARG,Goalkeeper,Monterrey,,1991,32,32,2880,32,125,93,11,4,3,1,0,36.2,205,424,1188,173,173,424,41,38,1,4.200000000000003
Ethan Horvath,USA,Goalkeeper,Cardiff City,,1995,16,16,1440,29,76,47,4,3,2,0,1,24.9,80,266,395,74,138,224,9,7,1,-4.100000000000001
Etienne Vaessen,SUR,Goalkeeper,RKC Waalwijk,,1995,30,30,2644,49,173,125,5,5,4,1,0,50.3,222,617,1117,144,219,502,40,39,1,1.2999999999999972
Eugenio Lamanna,ITA,Goalkeeper,Calcio Lecco 1912,,1989,3,3,270,3,14,11,0,1,1,0,0,3.6,16,40,83,16,17,44,4,3,0,0.6000000000000001
Evan Bush,USA,Goalkeeper,Columbus Crew,,1986,2,2,124,2,8,6,0,1,0,0,1,3.1,3,13,43,8,12,20,0,0,1,1.1
Evan Louro,USA,Goalkeeper,FC Cincinnati,,1996,1,1,90,2,5,2,0,1,0,1,0,1.8,2,8,17,4,6,15,0,0,1,-0.19999999999999996
Ezequiel Centurión,ARG,Goalkeeper,River Plate,,1997,23,23,2070,25,87,61,8,4,3,1,0,21.6,105,370,379,65,205,400,25,7,1,-3.4
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,,1995,25,24,2205,41,114,75,6,3,3,0,0,39.3,153,446,453,49,237,412,24,7,0,-1.7000000000000028
Fabijan Buntić,CRO,Goalkeeper,Vizela,,1997,28,27,2496,60,137,78,6,6,5,0,1,46.2,121,317,663,104,232,466,19,36,1,-13.799999999999997
Fabricio Iacovich,ARG,Goalkeeper,Estudiantes–LP,,2002,1,1,90,2,4,3,0,0,0,0,0,0.8,2,11,26,10,10,26,4,0,0,-1.2
Fabrício,BRA,Goalkeeper,Internacional,,1986,8,8,720,8,34,26,3,1,1,0,0,8.1,20,77,150,32,50,120,5,7,0,0.09999999999999964
Fabrício,BRA,Goalkeeper,RB Bragantino,,2000,1,1,90,2,7,5,0,0,0,0,0,2.7,3,7,16,7,5,12,0,0,0,0.7000000000000002
Facundo Altamirano,ARG,Goalkeeper,ar San Lorenzo,,1996,15,15,1291,16,54,39,3,1,1,0,0,16.2,41,155,284,39,90,186,5,9,0,0.1999999999999993
Facundo Cambeses,ARG,Goalkeeper,Racing Club,,1997,7,6,585,12,34,21,1,1,0,1,0,10.3,18,74,133,19,48,92,3,5,1,-1.6999999999999993
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,,2001,26,25,2312,35,107,70,5,5,3,2,0,30.9,99,308,509,112,206,391,25,10,2,-4.100000000000001
Felipe Zenobio,ARG,Goalkeeper,Tigre,,2000,25,25,2194,28,93,66,9,3,3,0,0,28.8,73,219,543,134,206,411,36,15,0,0.8000000000000007
Fernando Tapia,MEX,Goalkeeper,Querétaro,,2001,15,14,1276,23,79,55,3,4,3,1,0,26.3,87,278,264,31,128,244,11,4,1,3.3000000000000007
Filip Stankovic,SRB,Goalkeeper,Sampdoria,,2002,37,37,3330,49,149,99,8,7,6,1,0,46.4,124,409,1089,148,232,587,42,27,1,-2.6000000000000014
Filippo Vandelli,ITA,Goalkeeper,Modena,,2000,1,0,6,0,1,1,0,0,0,0,0,0.1,0,3,2,0,1,7,1,0,0,0.1
Francesco Bardi,ITA,Goalkeeper,Reggiana,,1992,30,30,2624,34,129,93,8,5,3,2,0,33.5,111,326,528,136,241,488,20,6,2,-0.5
Francesco Ruberto,SUI,Goalkeeper,Vizela,,1993,7,7,564,6,24,19,2,0,0,0,0,7.9,42,118,183,18,56,116,6,10,0,1.9000000000000004
Francisco Silva,POR,Goalkeeper,Sporting CP,,2005,1,0,9,0,0,0,1,0,0,0,0,0.0,0,0,0,0,2,1,0,0,0,0.0
Franco Armani,ARG,Goalkeeper,ar River Plate,,1986,34,34,3060,24,96,71,16,5,4,1,0,28.4,97,217,592,167,229,361,17,25,1,4.399999999999999
Franco Israel,URU,Goalkeeper,Sporting CP,,2000,10,10,900,7,23,16,5,0,0,0,0,5.6,18,40,187,33,47,101,5,8,0,-1.4000000000000004
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,,1998,26,26,2340,27,98,71,7,2,0,2,0,31.2,203,489,791,116,202,348,26,27,2,4.199999999999999
Franco Saravia,PER,Goalkeeper,pe Alianza Lima,,1999,2,1,95,3,6,3,0,0,0,0,0,1.5,3,9,14,2,7,13,0,0,0,-1.5
Frankarlos Benítez,VEN,Goalkeeper,ve Caracas,,2004,2,1,168,5,14,9,0,0,0,0,0,3.9,8,37,30,7,29,38,0,0,0,-1.1
Freddie Woodman,ENG,Goalkeeper,Preston,,1997,44,44,3960,63,196,135,10,3,3,0,0,61.8,283,975,1061,168,375,630,29,54,0,-1.2000000000000028
Fábio,BRA,Goalkeeper,br Fluminense,,1980,47,47,4260,47,206,158,16,6,5,1,0,64.2,99,357,811,192,337,661,32,38,1,17.2
Gabriel,BRA,Goalkeeper,Juventude,,1992,34,34,3014,49,156,106,6,11,9,2,0,52.7,129,353,888,135,224,481,44,38,2,3.700000000000003
Gabriel Arias,CHI,Goalkeeper,Racing Club,,1987,21,21,1845,18,63,46,10,2,1,0,1,15.2,101,247,429,68,160,233,9,21,1,-2.8000000000000007
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,,2002,1,1,90,1,3,2,0,0,0,0,0,1.1,1,5,21,7,9,10,2,0,0,0.10000000000000009
Gaga Slonina,USA,Goalkeeper,Eupen,,2004,28,28,2520,56,159,106,4,5,3,1,1,50.1,97,316,781,147,235,427,19,29,2,-5.899999999999999
Gastón Guruceaga,URU,Goalkeeper,uy Liverpool,,1995,3,3,270,5,18,13,1,0,0,0,0,4.3,10,37,74,9,16,60,3,2,0,-0.7000000000000002
Gastón Gómez,ARG,Goalkeeper,ar San Lorenzo,,1996,19,18,1679,16,57,42,6,2,2,0,0,15.5,99,276,326,41,159,256,7,6,0,-0.5000000000000004
Gatito Fernández,PAR,Goalkeeper,br Botafogo (RJ),,1988,7,7,630,8,22,14,3,1,1,0,0,8.9,29,65,156,23,58,118,2,5,0,0.9000000000000004
Gavin Bazunu,IRL,Goalkeeper,Southampton,,2002,41,41,3690,54,143,89,11,3,2,0,1,42.1,163,360,1771,234,166,487,16,61,1,-11.899999999999999
Gavin Beavers,USA,Goalkeeper,Real Salt Lake,,2005,11,11,990,20,53,32,3,4,3,1,0,18.7,31,106,290,64,72,153,16,14,1,-1.3000000000000007
Gaëtan Coucke,BEL,Goalkeeper,Mechelen,,1998,30,30,2700,34,124,90,10,4,1,1,2,40.9,182,428,841,104,252,463,32,21,3,6.899999999999999
George Long,ENG,Goalkeeper,Norwich City,,1993,7,6,600,16,44,29,1,1,1,0,0,12.1,10,74,191,23,33,86,5,1,0,-3.9000000000000004
Gerónimo Rulli,ARG,Goalkeeper,Ajax,,1992,7,7,571,12,30,18,1,1,1,0,0,11.4,49,104,305,40,36,66,6,13,0,-0.5999999999999996
Giacomo Drago,ITA,Goalkeeper,Südtirol,,2001,1,1,90,1,4,3,0,0,0,0,0,0.9,3,9,29,6,1,16,1,1,0,-0.09999999999999998
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,,1988,37,37,3330,47,133,86,10,6,5,1,0,42.5,300,716,961,136,320,614,49,24,1,-4.5
Giacomo Satalino,ITA,Goalkeeper,Reggiana,,1999,9,8,796,11,39,28,3,1,1,0,0,10.3,45,122,170,47,82,165,20,5,0,-0.6999999999999993
Gianluca Saro,ITA,Goalkeeper,Cremonese,,2000,8,8,720,7,30,23,3,0,0,0,0,7.4,26,70,231,40,42,97,7,3,0,0.40000000000000036
Gibran Lajud,MEX,Goalkeeper,Santos,,1993,9,9,810,19,48,29,1,2,2,0,0,14.9,35,133,151,30,76,139,6,6,0,-4.1
Gonzalo Marinelli,ARG,Goalkeeper,Ind. Rivadavia,,1989,5,5,450,2,10,8,3,1,1,0,0,3.4,25,70,70,11,50,74,3,3,0,1.4
Gonçalo Pinto,POR,Goalkeeper,Chaves,,2000,1,1,90,3,8,5,0,1,1,0,0,2.6,10,24,14,0,13,21,0,0,0,-0.3999999999999999
Guido Herrera,ARG,Goalkeeper,ar Talleres,,1992,34,34,3060,35,114,80,13,6,6,0,0,30.099999999999998,230,514,782,86,231,511,34,21,0,-4.900000000000002
Guido Villar,ARG,Goalkeeper,ec Independiente,,1998,1,1,90,2,2,0,0,1,1,0,0,1.1,3,11,17,1,7,13,0,2,0,-0.8999999999999999
Guillaume Hubert,BEL,Goalkeeper,RWDM,,1994,1,0,17,1,0,0,0,0,0,0,0,0.0,2,7,11,1,2,4,1,0,0,-1.0
Guillermo Allison,MEX,Goalkeeper,Querétaro,,1990,20,20,1784,27,111,84,5,4,3,1,0,32.1,161,392,384,55,208,311,14,6,1,5.100000000000001
Guillermo Vizcarra,BOL,Goalkeeper,bo The Strongest,,1993,8,8,720,10,48,38,5,0,0,0,0,10.9,37,116,139,41,94,165,5,5,0,0.9000000000000004
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,,1994,5,4,405,5,13,8,2,0,0,0,0,5.2,7,40,94,29,29,45,6,3,0,0.20000000000000018
Gustavo,BRA,Goalkeeper,Criciúma,,1993,34,34,2997,54,174,119,6,6,4,2,0,56.5,162,396,601,123,293,570,23,13,2,2.5
Heinz Lindner,AUT,Goalkeeper,Union SG,,1990,1,1,90,1,2,1,0,0,0,0,0,1.0,3,4,21,1,4,9,0,0,0,0.0
Henrich Ravas,SVK,Goalkeeper,NE Revolution,,1997,8,8,720,17,43,25,1,3,2,1,0,16.8,25,90,165,28,68,82,5,2,1,-0.1999999999999993
Hernán Galíndez,ECU,Goalkeeper,Huracán,,1987,24,24,2160,14,67,53,13,1,1,0,0,18.6,111,392,612,76,184,359,23,8,0,4.600000000000001
Hervé Koffi,BFA,Goalkeeper,Charleroi,,1996,26,26,2339,39,129,91,7,5,5,0,0,42.0,160,436,768,125,168,358,39,38,0,3.0
