Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Caoimhín Kelleher,IRL,Liverpool,"English Premier League, UEFA Europa League",GK,Goalkeeper,25,1620,3.94,1.28,2.78,1.22,-0.06,0.17,3.22,10.17,41.83,5.89,1173.63,3.22,103.02,8.89,0.72,1.33,25.54,1,70.56,31.66,8.1
Carljohan Eriksson,FIN,Nordsjælland,UEFA Europa Conference League,GK,Goalkeeper,28,90,4.0,1.0,3.0,0.7,-0.3,0.0,1.0,5.0,29.0,5.0,719.2,6.0,171.0,15.0,2.0,0.0,0.0,1,75.0,20.0,13.33
Carlo Pinsoglio,ITA,Juventus,Italian Serie A,GK,Goalkeeper,34,45,6.0,0.0,6.0,1.0,1.0,2.0,4.0,10.0,42.0,2.0,1318.8,0.0,0.0,34.0,0.0,0.0,0.0,1,100.0,40.0,0.0
Christos Mandas,GRE,Lazio,Italian Serie A,GK,Goalkeeper,22,721,3.62,0.75,2.87,0.87,0.12,0.62,4.74,14.23,29.96,3.62,1129.39,3.62,137.17,12.36,0.75,0.62,14.54,1,79.28,33.31,6.07
Cican Stankovic,AUT,AEK Athens,UEFA Europa League,GK,Goalkeeper,31,326,5.25,1.38,3.87,2.07,0.69,0.0,5.25,11.6,31.47,4.42,881.2,8.01,282.37,10.21,0.0,2.21,45.14,1,73.71,45.26,0.0
Claudio Bravo,CHI,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,40,810,3.22,0.78,2.56,0.91,0.13,0.22,5.56,12.0,24.56,3.89,751.74,7.89,337.8,13.89,0.78,1.11,17.68,1,79.5,46.33,5.62
Cristian,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,26,57,4.74,1.58,3.16,0.79,-0.79,0.0,3.16,7.89,23.68,6.32,689.21,4.74,154.89,18.95,0.0,0.0,0.0,1,66.67,40.05,0.0
Dani Cárdenas,ESP,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,27,90,1.0,1.0,0.0,0.9,-0.1,0.0,2.0,15.0,36.0,5.0,1306.8,4.0,214.0,5.0,0.0,2.0,34.0,1,0.0,13.33,0.0
Daniel Batz,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,32,360,4.25,0.75,3.5,0.6,-0.15,0.25,4.5,14.5,33.0,3.5,1144.7,5.25,182.52,9.5,1.0,0.5,12.45,1,82.35,31.03,10.53
Daniel Bentley,ENG,Wolves,English Premier League,GK,Goalkeeper,30,383,3.52,1.64,1.88,1.34,-0.31,0.47,3.05,13.16,26.08,2.11,880.9,7.75,285.86,11.75,0.0,0.7,11.66,1,53.41,23.18,0.0
Daniel Fuzato,BRA,Getafe,Spanish La Liga,GK,Goalkeeper,26,7,25.71,25.71,0.0,16.71,-9.0,0.0,25.71,90.0,77.14,12.86,3024.0,51.43,3692.57,64.29,12.86,0.0,0.0,1,0.0,28.57,20.0
Daniel Peretz,ISR,Bayern Munich,German Bundesliga,GK,Goalkeeper,23,17,0.0,0.0,0.0,0.0,0.0,5.29,0.0,21.18,79.41,15.88,2628.53,10.59,174.71,10.59,0.0,0.0,0.0,1,,0.0,0.0
Daniele Sommariva,ITA,Genoa,Italian Serie A,GK,Goalkeeper,26,5,0.0,0.0,0.0,0.0,0.0,18.0,0.0,54.0,36.0,0.0,1962.0,18.0,1368.0,36.0,18.0,0.0,0.0,1,,0.0,50.0
Danijel Zagorac,CRO,Dinamo Zagreb,UEFA Europa Conference League,GK,Goalkeeper,36,270,2.0,0.33,1.33,1.07,0.73,0.67,4.67,9.67,27.33,5.0,872.0,5.33,149.7,12.0,3.0,1.67,29.73,1,66.5,48.29,25.0
David Gil,ESP,Cádiz,Spanish La Liga,GK,Goalkeeper,30,372,5.81,1.94,4.11,1.28,-0.65,0.48,12.34,30.24,25.16,1.94,1241.23,11.61,737.01,22.02,1.69,0.0,0.0,1,70.74,40.81,7.67
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,3690,2.24,0.76,1.49,0.64,-0.11,0.49,4.34,11.51,30.1,4.95,919.28,3.15,143.57,10.12,1.32,1.61,35.42,1,66.52,37.71,13.04
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,31,3413,4.51,1.37,3.11,1.42,0.04,0.26,8.94,23.94,25.82,3.24,1183.44,8.17,468.28,12.08,0.45,1.63,33.25,1,68.96,37.34,3.73
David von Ballmoos,SUI,Young Boys,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,29,270,4.67,2.0,2.67,2.13,0.13,0.0,7.0,16.33,35.0,6.33,1200.67,4.0,142.6,8.67,1.0,0.33,3.87,1,57.17,42.87,11.53
Davy Roef,BEL,Gent,UEFA Europa Conference League,GK,Goalkeeper,30,561,4.65,1.12,3.37,1.12,0.0,0.32,4.17,7.7,24.71,8.66,692.9,5.78,196.89,8.66,1.12,0.48,7.22,1,72.47,54.16,12.93
Dean Henderson,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,27,1620,4.78,1.67,3.17,1.52,-0.14,0.22,3.28,13.61,20.94,2.89,807.47,5.83,274.45,13.67,0.28,0.94,18.63,1,66.32,24.1,2.05
Denis Petrić,SRB,Nantes,French Ligue 1,GK,Goalkeeper,35,24,3.75,3.75,0.0,1.12,-2.62,0.0,3.75,7.5,26.25,7.5,805.88,0.0,0.0,15.0,0.0,0.0,0.0,1,0.0,50.0,0.0
Denis Pintol,SVN,Olimpija,UEFA Europa Conference League,GK,Goalkeeper,23,360,3.75,1.5,2.25,1.18,-0.32,0.25,1.25,5.5,20.0,6.0,538.75,7.75,185.85,11.5,1.0,0.5,7.15,1,60.0,22.73,8.7
Diant Ramaj,GER,Ajax,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,720,5.25,2.0,3.25,1.8,-0.2,0.12,4.5,14.12,44.5,3.0,1393.36,7.75,279.31,12.0,0.88,1.25,18.49,1,61.9,31.87,7.33
