Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Iñaki Peña,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1080,4.08,1.75,2.33,1.47,-0.28,0.17,2.58,5.42,25.75,4.42,614.15,5.0,176.49,11.25,0.17,0.5,8.48,1,57.11,47.6,1.51
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,31,720,4.38,1.12,3.38,1.24,0.11,0.25,3.88,12.75,24.0,5.25,854.75,9.12,368.64,14.5,0.62,0.88,18.08,1,77.17,30.43,4.28
Jacob Karlstrom,NOR,Molde,UEFA Europa League,GK,Goalkeeper,26,130,6.92,2.08,4.85,1.8,-0.28,0.0,5.54,13.85,19.38,6.92,610.62,8.31,435.32,15.23,1.38,1.38,17.72,1,70.09,40.0,9.06
James Shea,ENG,Luton Town,English Premier League,GK,Goalkeeper,32,15,12.0,0.0,12.0,0.6,0.6,6.0,18.0,36.0,36.0,6.0,1828.8,18.0,671.4,18.0,0.0,6.0,114.0,1,100.0,50.0,0.0
James Trafford,ENG,Burnley,English Premier League,GK,Goalkeeper,21,2520,5.93,2.21,3.79,1.94,-0.28,0.07,4.93,21.64,47.57,5.79,1488.6,7.07,383.29,14.96,1.07,1.54,30.96,1,63.91,22.78,7.15
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,4320,4.02,1.17,2.88,1.08,-0.09,0.31,3.08,9.06,19.88,4.71,634.5,7.23,278.6,14.98,0.98,0.52,9.83,1,71.64,34.0,6.54
Janis Blaswich,GER,RB Leipzig,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,2340,3.73,1.5,2.27,1.28,-0.22,0.19,3.19,7.69,39.31,4.08,1026.66,6.73,202.15,11.88,0.62,1.62,36.45,1,60.86,41.48,5.22
Jason Steele,ENG,Brighton,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1980,4.18,1.95,2.32,1.51,-0.44,0.18,2.55,7.0,35.14,3.82,920.0,3.0,56.39,9.73,0.32,2.55,59.83,1,55.5,36.43,3.29
Jaume Doménech,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,33,79,13.67,3.42,10.25,1.82,-1.82,0.0,4.56,22.78,27.34,2.28,1107.34,7.97,409.9,21.65,1.14,1.14,17.89,1,74.98,20.02,5.27
Jay Gorter,NED,Ajax,UEFA Europa League,GK,Goalkeeper,23,180,8.5,2.0,6.5,2.5,0.5,0.0,5.0,17.5,51.0,9.0,1626.9,6.0,204.45,13.5,1.0,0.0,0.0,1,76.47,28.57,7.41
Jean Butez,FRA,Antwerp,UEFA Champions League,GK,Goalkeeper,28,450,6.0,3.0,3.2,2.1,-0.9,0.0,6.8,15.6,40.0,5.2,1326.42,3.2,118.04,10.4,1.6,0.6,12.46,1,53.33,43.59,15.38
Jean-Louis Leca,FRA,Lens,French Ligue 1,GK,Goalkeeper,38,90,2.0,2.0,0.0,1.0,-1.0,0.0,1.0,10.0,22.0,5.0,638.0,4.0,242.0,8.0,0.0,0.0,0.0,1,0.0,10.0,0.0
Jens Grahl,GER,Eint Frankfurt,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,35,315,4.57,0.86,3.71,0.83,-0.03,0.29,1.14,9.71,32.86,6.57,1016.0,5.71,198.54,14.0,1.43,1.43,29.2,1,81.18,11.74,10.21
Jeremías Ledesma,ARG,Cádiz,Spanish La Liga,GK,Goalkeeper,31,3048,4.46,1.39,3.07,1.37,-0.02,0.27,9.24,23.18,26.49,3.4,1166.35,8.39,520.34,15.53,1.56,1.33,24.05,1,68.83,39.86,10.05
Jesse Öst,FIN,HJK,UEFA Europa Conference League,GK,Goalkeeper,33,258,8.72,3.49,5.23,3.35,-0.14,0.0,4.19,15.7,27.91,3.49,903.42,12.56,601.67,19.88,0.35,0.0,0.0,1,59.98,26.69,1.76
Jesús Owono,EQG,Alavés,Spanish La Liga,GK,Goalkeeper,23,360,6.0,2.0,4.0,1.6,-0.4,0.25,9.0,19.25,22.0,2.25,917.45,7.75,517.85,7.25,1.0,2.0,38.52,1,66.67,46.75,13.79
Jindřich Staněk,CZE,"Slavia Prague, Viktoria Plzeň","UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,27,450,4.0,1.6,2.4,1.3,-0.3,0.4,6.2,16.8,29.8,3.4,1077.0,6.4,321.92,12.8,0.8,0.0,0.0,1,60.0,36.9,6.25
Jiří Pavlenka,CZE,Werder Bremen,German Bundesliga,GK,Goalkeeper,31,630,5.43,2.43,3.0,1.87,-0.56,0.14,4.43,12.14,25.29,5.29,865.0,9.86,320.47,15.57,1.0,1.29,27.29,1,55.25,36.49,6.42
Joe Hart,ENG,Celtic,UEFA Champions League,GK,Goalkeeper,36,540,6.33,2.5,3.5,2.22,-0.28,0.0,1.83,5.0,32.0,6.0,761.95,8.67,194.15,14.0,0.17,0.17,5.0,1,55.29,36.6,1.21
Jonas Omlin,SUI,Gladbach,German Bundesliga,GK,Goalkeeper,30,630,6.71,2.57,4.14,1.9,-0.67,0.0,4.57,12.86,34.57,5.29,1117.39,4.86,202.93,11.14,1.0,1.71,29.23,1,61.7,35.54,8.98
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,30,3420,4.34,1.34,3.08,1.38,0.03,0.34,9.47,23.71,34.13,3.71,1421.48,7.18,347.29,15.0,0.79,1.42,29.78,1,70.97,39.94,5.27
Josep Martinez,ESP,Genoa,Italian Serie A,GK,Goalkeeper,25,3239,3.61,1.19,2.42,1.08,-0.12,0.22,6.31,16.2,34.82,2.97,1251.89,4.75,234.85,16.12,1.25,1.11,17.92,1,67.04,38.95,7.75
Josip Condric,CRO,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,30,540,6.0,2.17,3.83,1.55,-0.62,0.17,2.67,16.17,23.17,5.17,953.92,9.33,362.12,14.0,1.33,0.83,13.2,1,63.83,16.51,9.5
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,31,3037,5.57,1.72,3.88,1.95,0.23,0.12,2.58,12.57,24.92,5.63,822.89,7.5,319.5,15.47,1.33,0.83,14.42,1,69.66,20.53,8.6
Juan Musso,ARG,Atalanta,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,30,2070,2.91,0.87,2.09,0.88,0.01,0.48,4.83,13.13,26.96,5.48,877.03,6.39,330.45,9.65,1.0,1.7,32.96,1,71.82,36.79,10.36
Julen Agirrezabala,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,23,238,4.54,1.51,3.03,0.95,-0.57,0.76,6.81,18.53,29.5,7.56,956.16,8.32,536.94,15.5,0.76,1.13,18.95,1,66.74,36.75,4.9
Julian Faye-Lund,NOR,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,24,180,4.5,2.5,2.0,1.1,-1.4,0.0,3.0,8.5,24.5,4.5,714.2,6.0,206.0,14.0,1.5,0.0,0.0,1,44.44,35.29,10.71
Justin Bijlow,NED,Feyenoord,UEFA Champions League,GK,Goalkeeper,25,360,3.75,1.75,2.5,1.72,-0.02,0.0,1.5,6.0,41.5,3.5,942.9,3.0,102.05,7.75,0.25,3.0,56.98,1,66.67,25.0,3.23
Jérémy Frick,SUI,Servette FC,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,31,900,3.8,1.3,2.6,1.45,0.15,0.4,8.7,21.6,29.8,3.7,1165.55,8.1,420.27,11.8,0.7,1.0,16.21,1,68.42,40.28,5.93
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,21,540,4.0,1.83,2.17,1.65,-0.18,0.17,2.67,11.17,30.5,3.0,968.45,4.67,167.88,8.83,0.33,2.83,60.3,1,54.25,23.9,3.74
Kamil Grabara,POL,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,720,5.5,1.75,3.75,1.66,-0.09,0.25,5.5,15.38,28.0,5.12,968.06,8.0,398.06,17.25,0.75,0.38,9.86,1,68.18,35.76,4.35
Kelle Roos,NED,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,31,540,4.83,1.67,3.17,1.83,0.17,0.17,7.5,24.33,26.83,2.0,1302.18,8.67,531.93,17.33,0.5,0.83,18.82,1,65.63,30.83,2.89
Kepa Arrizabalaga,ESP,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,29,1558,3.06,0.81,2.31,0.83,0.02,0.52,2.43,6.53,29.4,4.79,793.62,5.14,151.57,12.42,0.58,0.69,13.02,1,75.49,37.21,4.67
Kevin Müller,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,33,3060,5.12,1.62,3.56,1.56,-0.05,0.18,7.32,17.5,34.24,4.91,1228.72,9.29,428.9,14.56,0.71,0.5,9.26,1,69.53,41.83,4.88
Kevin Trapp,GER,Eint Frankfurt,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,33,3464,4.13,1.51,2.57,1.48,-0.02,0.21,2.94,10.76,28.61,4.0,847.19,6.34,229.31,13.46,0.47,0.88,18.19,1,62.23,27.32,3.49
Keylor Navas,CRC,Paris S-G,French Ligue 1,GK,Goalkeeper,37,360,3.0,1.5,1.5,1.18,-0.32,0.25,1.0,2.25,20.0,3.0,469.58,4.5,100.1,9.25,0.0,1.25,23.32,1,50.0,44.44,0.0
Kjell Scherpen,NED,Sturm Graz,UEFA Europa League,GK,Goalkeeper,23,540,4.83,1.5,3.33,1.93,0.43,0.17,4.17,15.5,25.33,4.0,991.58,8.17,413.62,15.67,1.67,0.83,12.55,1,68.94,26.9,10.66
Kjetil Haug,NOR,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,25,180,4.0,2.0,2.0,1.45,-0.55,0.0,1.5,8.0,54.5,5.0,1278.95,4.0,99.6,13.0,2.0,1.5,36.75,1,50.0,18.75,15.38
Koen Casteels,BEL,Wolfsburg,German Bundesliga,GK,Goalkeeper,31,2250,4.6,1.56,3.12,1.46,-0.1,0.16,6.44,15.6,31.44,4.72,1101.61,6.44,311.99,13.4,1.0,1.52,28.94,1,67.83,41.28,7.46
Kostas Tzolakis,GRE,Olympiacos,UEFA Europa Conference League,GK,Goalkeeper,21,540,5.0,1.0,4.0,1.32,0.32,0.33,7.67,29.33,28.67,3.17,1448.47,8.83,580.93,16.5,2.0,2.17,38.78,1,80.0,26.15,12.12
Lapo Nava,ITA,Milan,Italian Serie A,GK,Goalkeeper,20,3,60.0,30.0,30.0,27.0,-3.0,0.0,30.0,30.0,30.0,0.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,100.0,
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,28,3330,4.14,1.32,2.84,1.11,-0.22,0.22,8.73,20.62,25.95,2.95,1067.64,8.24,464.82,13.16,0.59,1.16,22.92,1,68.6,42.34,4.48
Loris Karius,GER,Newcastle Utd,English Premier League,GK,Goalkeeper,30,90,7.0,4.0,4.0,2.0,-2.0,0.0,3.0,18.0,27.0,5.0,980.1,9.0,376.2,10.0,1.0,3.0,58.5,1,57.14,16.67,10.0
Luca Gemello,ITA,Torino,Italian Serie A,GK,Goalkeeper,23,180,4.5,2.5,2.0,1.75,-0.75,0.0,5.0,14.5,52.0,4.0,1617.7,6.0,118.2,12.0,1.5,1.5,20.45,1,44.44,34.48,12.5
Lucas Chevalier,FRA,Lille,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,22,3599,3.63,0.93,2.7,1.04,0.12,0.45,3.08,10.25,31.26,3.65,928.04,4.03,178.49,11.18,0.9,1.03,17.53,1,74.38,30.05,8.05
Luka Gugeshashvili,GEO,Qarabağ,UEFA Europa League,GK,Goalkeeper,24,6,15.0,15.0,0.0,15.0,0.0,0.0,0.0,75.0,30.0,0.0,2265.0,45.0,3150.0,0.0,0.0,0.0,0.0,1,0.0,0.0,
Lukáš Hrádecký,FIN,Leverkusen,German Bundesliga,GK,Goalkeeper,34,2970,3.09,0.73,2.36,0.83,0.11,0.45,2.15,6.12,22.3,5.0,615.7,4.39,151.45,9.48,0.82,1.18,23.58,1,76.38,35.13,8.65
Luís Maximiano,POR,Almería,Spanish La Liga,GK,Goalkeeper,25,2970,5.3,1.91,3.36,1.81,-0.1,0.18,4.79,16.45,30.15,4.42,1071.44,8.0,370.06,16.7,0.76,1.15,21.45,1,63.4,29.12,4.55
Maarten Vandevoordt,BEL,Genk,UEFA Europa Conference League,GK,Goalkeeper,21,360,4.25,0.75,3.5,0.95,0.2,0.5,5.0,17.5,36.25,3.75,1413.5,6.0,172.5,11.25,0.5,0.75,15.62,1,82.35,28.57,4.44
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,24,1890,4.24,1.19,3.1,1.13,-0.06,0.24,4.71,12.52,13.62,2.14,567.44,7.67,375.96,17.38,0.33,0.1,1.29,1,73.11,37.62,1.9
Maksym Koval,UKR,Sheriff Tiraspol,UEFA Europa League,GK,Goalkeeper,31,540,6.17,2.83,3.67,2.43,-0.4,0.0,8.17,25.0,29.17,4.67,1358.27,8.67,470.12,21.0,1.67,0.5,5.15,1,59.48,32.68,7.95
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,38,2863,3.8,1.29,2.48,1.26,-0.03,0.31,3.36,7.2,34.39,4.53,964.37,4.02,105.07,9.71,0.38,1.35,31.09,1,65.26,46.67,3.91
Manuel Riemann,GER,Bochum,German Bundesliga,GK,Goalkeeper,35,2970,5.61,2.12,3.52,1.81,-0.31,0.12,13.03,31.55,45.39,2.7,1929.02,6.3,295.89,15.45,1.06,3.15,70.84,1,62.75,41.3,6.86
Marc Martínez,ESP,Granada,Spanish La Liga,GK,Goalkeeper,34,270,7.67,3.67,4.0,4.03,0.37,0.0,5.67,13.0,24.67,3.0,821.8,8.0,370.67,10.0,0.0,3.33,80.27,1,52.15,43.62,0.0
Marc-André ter Stegen,GER,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,3240,3.69,1.03,2.67,1.05,0.02,0.47,3.42,6.67,31.42,4.0,859.28,5.42,173.21,11.78,0.5,1.22,25.84,1,72.36,51.27,4.24
Marcel Schuhen,GER,Darmstadt 98,German Bundesliga,GK,Goalkeeper,31,2790,6.39,2.45,3.97,2.21,-0.25,0.1,7.9,19.94,38.84,5.87,1350.0,9.32,452.19,14.61,0.77,1.65,31.45,1,62.13,39.62,5.27
Marcin Bułka,POL,Nice,French Ligue 1,GK,Goalkeeper,24,3060,3.09,0.85,2.18,0.9,0.05,0.5,2.18,5.56,31.94,4.65,763.97,4.32,110.15,11.06,0.94,0.62,10.44,1,70.55,39.21,8.5
Marco Bizot,NED,Brest,French Ligue 1,GK,Goalkeeper,33,2877,4.04,1.06,2.94,1.13,0.07,0.41,7.26,15.08,28.4,4.19,995.98,5.88,278.25,11.95,0.56,1.28,29.42,1,72.77,48.14,4.69
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,23,2508,3.91,1.08,2.76,1.1,-0.02,0.29,4.45,12.78,25.66,5.42,868.05,7.18,373.61,12.45,0.79,1.4,25.53,1,70.59,34.82,6.35
Marco Silvestri,ITA,Udinese,Italian Serie A,GK,Goalkeeper,32,1530,4.0,1.65,2.35,1.51,-0.14,0.24,3.35,9.88,20.29,4.0,654.95,6.18,260.24,16.59,0.29,0.41,7.39,1,58.75,33.91,1.75
Marco Sportiello,ITA,Milan,"Italian Serie A, UEFA Champions League, UEFA Europa League",GK,Goalkeeper,32,710,4.44,1.52,3.04,1.2,-0.32,0.38,2.79,7.1,31.06,5.83,844.71,3.04,85.32,11.28,0.63,1.14,20.95,1,68.47,39.3,5.59
Mark Flekken,NED,Brentford,English Premier League,GK,Goalkeeper,30,3285,4.82,1.73,3.1,1.51,-0.22,0.19,6.63,17.73,35.29,3.59,1218.93,7.92,370.04,15.56,1.21,1.01,20.49,1,64.32,37.39,7.78
Mark Travers,IRL,Bournemouth,English Premier League,GK,Goalkeeper,24,360,4.5,1.25,3.25,1.25,0.0,0.5,5.5,18.0,23.0,3.25,957.95,6.5,361.2,15.0,0.75,0.75,17.6,1,72.22,30.56,5.0
Marko Dmitrović,SRB,Sevilla,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,1530,4.88,1.94,3.06,1.71,-0.24,0.12,4.53,13.18,24.88,4.71,840.18,6.88,323.86,12.06,1.0,1.0,18.36,1,62.7,34.37,8.29
Marko Marić,CRO,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,27,540,5.33,1.67,3.83,1.33,-0.33,0.0,3.5,19.67,24.83,3.5,1020.82,10.5,556.52,21.17,0.67,0.5,9.53,1,71.86,17.79,3.16
Martin Dúbravka,SVK,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,35,2075,5.73,1.91,3.77,1.9,-0.01,0.22,2.56,7.55,22.08,6.42,563.93,7.55,295.93,13.1,0.87,0.95,16.35,1,65.79,33.91,6.64
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa Conference League,GK,Goalkeeper,26,360,5.75,0.5,5.25,1.6,1.1,0.75,13.25,30.5,35.75,4.25,1541.28,12.25,659.15,23.5,1.25,2.0,31.15,1,91.3,43.44,5.32
Martin Trnovský,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,23,124,7.26,3.63,3.63,3.99,0.36,0.0,10.89,15.97,23.95,2.18,800.85,18.15,678.77,20.32,0.0,0.0,0.0,1,50.0,68.19,0.0
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,29,3060,4.94,1.76,3.18,1.83,0.06,0.12,3.97,10.94,33.76,2.97,1061.55,4.38,150.45,14.82,0.41,0.62,14.35,1,64.37,36.29,2.77
Massamba Ndiaye,SEN,Clermont Foot,French Ligue 1,GK,Goalkeeper,22,360,6.0,1.5,4.5,1.95,0.45,0.0,5.0,13.75,37.0,7.0,1142.58,6.0,210.4,18.75,1.75,0.75,11.92,1,75.0,36.36,9.33
Matej Kovar,CZE,Leverkusen,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,24,1170,4.31,0.92,3.38,1.35,0.43,0.46,2.31,5.54,26.46,5.54,668.69,5.23,151.51,9.77,0.77,1.23,25.33,1,78.42,41.7,7.88
Matevž Vidovšek,SVN,Olimpija,UEFA Europa Conference League,GK,Goalkeeper,23,180,6.5,1.5,4.5,2.6,1.1,0.0,0.5,9.5,25.0,6.5,851.4,10.0,292.8,6.5,0.5,1.5,29.4,1,69.23,5.26,7.69
Matheus,BRA,Braga,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,31,720,5.38,2.25,3.38,2.02,-0.22,0.0,3.62,9.5,28.75,4.5,844.84,5.88,209.0,12.75,0.12,2.0,41.42,1,62.83,38.11,0.94
Mathew Ryan,AUS,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,31,450,3.4,2.0,1.4,1.28,-0.72,0.4,5.0,12.2,33.8,5.6,1031.86,3.6,176.02,12.8,0.8,1.6,37.06,1,41.18,40.98,6.25
Mathieu Gorgelin,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,33,90,5.0,2.0,3.0,2.9,0.9,0.0,3.0,9.0,17.0,0.0,562.7,2.0,65.0,12.0,0.0,1.0,14.5,1,60.0,33.33,0.0
Matt Turner,USA,Nott'ham Forest,English Premier League,GK,Goalkeeper,29,1530,4.71,1.65,3.06,1.3,-0.35,0.12,7.41,16.47,25.65,5.82,914.45,8.0,376.14,17.41,1.76,1.06,19.02,1,64.97,44.99,10.11
Mattia Perin,ITA,Juventus,Italian Serie A,GK,Goalkeeper,31,225,2.0,0.4,1.6,0.52,0.08,0.4,2.0,6.0,21.6,3.6,636.16,4.8,93.6,11.6,0.8,1.2,26.4,1,80.0,33.33,6.9
Matz Sels,BEL,"Nott'ham Forest, Strasbourg","English Premier League, French Ligue 1",GK,Goalkeeper,32,3150,3.51,1.46,2.17,1.0,-0.46,0.11,4.66,11.57,22.51,3.4,794.24,5.89,218.91,13.69,0.49,0.66,11.56,1,61.82,40.28,3.58
Mert Günok,TUR,Beşiktaş,UEFA Europa Conference League,GK,Goalkeeper,34,270,7.0,2.0,5.0,2.1,0.1,0.0,6.67,15.0,27.0,4.67,1027.6,4.33,222.63,9.0,0.33,1.33,33.87,1,71.43,44.47,3.67
Michael Zetterer,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,28,2430,4.74,1.37,3.41,1.52,0.15,0.22,5.37,12.22,36.19,5.96,1181.64,5.33,203.34,15.07,1.26,1.11,20.64,1,71.94,43.94,8.36
Michele Cerofolini,ITA,Frosinone,Italian Serie A,GK,Goalkeeper,25,675,3.73,1.47,2.4,0.8,-0.67,0.4,2.4,13.33,22.8,3.73,848.71,5.07,216.89,16.8,0.53,0.93,17.2,1,64.34,18.0,3.15
Michele Di Gregorio,ITA,Monza,Italian Serie A,GK,Goalkeeper,26,2872,4.98,1.1,3.82,1.43,0.32,0.38,5.61,13.47,35.29,6.3,1080.94,6.99,309.07,14.7,0.6,0.56,9.7,1,76.71,41.65,4.08
Mike Maignan,FRA,Milan,"Italian Serie A, UEFA Champions League, UEFA Europa League",GK,Goalkeeper,28,3609,4.16,1.25,2.92,1.1,-0.16,0.3,3.99,9.33,33.92,5.94,971.69,5.29,198.22,11.97,1.17,1.22,23.48,1,70.19,42.77,9.77
Milan Borjan,CAN,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,36,593,3.34,1.06,2.28,1.38,0.32,0.15,6.68,18.97,21.7,3.64,980.77,9.71,437.36,14.87,1.37,1.21,19.62,1,68.26,35.21,9.21
Mile Svilar,SRB,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,24,2610,4.9,1.07,3.86,1.2,0.13,0.34,3.24,9.48,31.21,4.76,882.23,6.28,250.91,14.24,1.1,0.52,9.37,1,78.78,34.18,7.72
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,26,2430,5.93,1.81,4.11,1.67,-0.14,0.15,4.15,11.67,32.89,5.19,975.78,5.96,253.12,17.04,0.78,0.81,16.74,1,69.31,35.56,4.58
Mory Diaw,SEN,Clermont Foot,French Ligue 1,GK,Goalkeeper,30,2700,6.27,1.8,4.47,1.9,0.1,0.17,6.87,18.6,35.5,4.3,1301.6,5.87,260.9,14.63,1.3,1.53,28.75,1,71.29,36.94,8.89
Mykyta Turbaievskyi,UKR,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,21,450,5.0,2.2,3.0,1.7,-0.5,0.2,3.2,12.8,24.0,3.8,812.44,7.8,353.0,12.0,0.6,1.2,30.8,1,60.0,25.0,5.0
Nemanja Belić,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,36,241,6.72,3.36,3.36,2.61,-0.75,0.0,7.84,18.3,22.41,3.73,790.28,11.2,524.76,13.07,1.12,1.87,29.95,1,50.0,42.84,8.57
Nenad Filipović,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,36,209,5.6,1.72,3.44,1.89,0.17,0.0,9.04,21.1,15.93,0.0,689.94,10.33,560.93,19.81,1.29,0.0,0.0,1,61.43,42.84,6.51
Neto,BRA,Bournemouth,English Premier League,GK,Goalkeeper,34,2880,5.16,1.72,3.44,1.72,0.0,0.22,5.38,15.44,26.03,4.81,959.3,6.97,307.91,12.91,0.81,1.06,19.02,1,66.67,34.84,6.27
Nick Pope,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,1795,4.41,1.05,3.36,1.33,0.27,0.3,3.16,8.92,19.45,5.82,571.94,7.02,325.98,10.83,0.75,1.7,37.49,1,76.19,35.43,6.93
Nicola Bagnolini,ITA,Bologna,Italian Serie A,GK,Goalkeeper,20,5,18.0,0.0,18.0,0.0,0.0,18.0,18.0,36.0,18.0,0.0,846.0,36.0,1908.0,0.0,0.0,0.0,0.0,1,100.0,50.0,
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,31,176,4.6,1.02,3.58,1.38,0.36,0.51,9.2,24.55,31.7,1.53,1416.99,5.11,207.51,13.81,1.02,0.51,9.1,1,77.83,37.47,7.39
Niki Mäenpää,FIN,HJK,UEFA Europa Conference League,GK,Goalkeeper,38,282,7.34,2.23,5.43,2.52,0.29,0.0,1.91,10.53,26.17,5.74,848.3,7.02,219.03,14.68,0.32,0.32,3.99,1,73.98,18.14,2.18
Nikita Contini Baranovsky,ITA,Napoli,Italian Serie A,GK,Goalkeeper,27,17,0.0,0.0,0.0,0.0,0.0,5.29,0.0,0.0,15.88,5.29,270.0,5.29,79.41,5.29,0.0,15.88,587.65,1,,,0.0
Nikita Haikin,RUS,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,28,360,3.5,0.75,3.0,0.6,-0.15,0.25,4.75,11.0,30.25,3.75,987.6,5.5,171.88,17.0,0.25,2.25,42.5,1,85.71,43.18,1.47
Niklas Lomb,GER,Leverkusen,UEFA Europa League,GK,Goalkeeper,30,90,3.0,1.0,2.0,0.7,-0.3,0.0,2.0,4.0,23.0,4.0,581.9,2.0,26.0,6.0,0.0,0.0,0.0,1,66.67,50.0,0.0
Nikola Simić,SRB,TSC,UEFA Europa League,GK,Goalkeeper,26,90,8.0,3.0,5.0,2.6,-0.4,0.0,5.0,16.0,26.0,4.0,1092.0,8.0,196.8,21.0,1.0,0.0,0.0,1,62.5,31.25,4.76
Nils Jonatan Johansson,SWE,KÍ,UEFA Europa Conference League,GK,Goalkeeper,32,540,5.0,1.5,3.5,1.83,0.33,0.33,6.17,19.67,26.0,5.5,971.78,10.67,498.95,19.33,0.67,0.67,13.33,1,70.0,31.37,3.47
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,21,3960,4.43,1.64,2.77,1.45,-0.18,0.32,5.73,16.75,36.18,4.59,1217.97,6.91,346.05,13.5,0.84,0.8,15.75,1,62.53,34.21,6.22
Nordin Jackers,BEL,Club Brugge,UEFA Europa Conference League,GK,Goalkeeper,26,360,4.0,1.25,2.75,1.05,-0.2,0.5,7.25,16.0,40.5,3.75,1266.82,5.75,274.42,13.25,0.25,0.5,7.58,1,68.75,45.31,1.89
Odysseas Vlachodimos,GRE,Nott'ham Forest,English Premier League,GK,Goalkeeper,29,450,4.4,2.4,2.0,1.58,-0.82,0.2,5.6,12.0,26.0,4.2,771.18,8.8,390.08,18.4,0.6,0.4,4.3,1,45.45,46.67,3.26
Oleksandr Saputin,UKR,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,20,89,1.01,0.0,1.01,0.1,0.0,0.0,7.08,15.17,18.2,1.01,757.21,10.11,525.84,10.11,1.01,0.0,0.0,1,100.0,46.67,9.99
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,33,3060,6.21,1.94,4.21,2.01,0.07,0.06,6.12,15.56,34.09,4.85,1113.42,7.32,328.82,16.03,0.91,2.15,41.49,1,67.79,39.33,5.68
Oliver Christensen,DEN,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,25,720,3.75,1.62,2.12,1.0,-0.62,0.12,5.5,15.5,35.12,3.25,1168.34,5.62,233.91,9.75,0.75,2.0,37.21,1,56.53,35.48,7.69
