Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Mathieu Gorgelin,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,33,90,64,23,50,96,98,14,22,18,1,2,1,2,4,33,6,51,39,1,23,39,6
Matt Turner,USA,Nott'ham Forest,English Premier League,GK,Goalkeeper,29,1530,57,42,53,40,21,33,87,74,30,85,42,74,77,88,97,56,54,1,40,89,89
Mattia Perin,ITA,Juventus,Italian Serie A,GK,Goalkeeper,31,225,4,94,8,3,73,81,10,6,8,28,6,20,5,29,54,63,69,1,92,39,64
Matz Sels,BEL,"Nott'ham Forest, Strasbourg","English Premier League, French Ligue 1",GK,Goalkeeper,32,3150,18,54,17,18,15,32,55,39,14,23,21,38,38,53,30,32,30,1,28,75,28
Mert Günok,TUR,Beşiktaş,UEFA Europa Conference League,GK,Goalkeeper,34,270,91,23,93,86,75,14,82,61,40,60,64,14,40,10,22,70,82,1,70,89,29
Michael Zetterer,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,28,2430,57,57,67,58,80,52,69,44,84,88,79,29,33,72,84,57,60,1,72,88,78
Michele Cerofolini,ITA,Frosinone,Italian Serie A,GK,Goalkeeper,25,675,23,53,25,8,9,81,14,51,15,32,31,23,38,83,36,47,46,1,38,5,24
Michele Di Gregorio,ITA,Monza,Italian Serie A,GK,Goalkeeper,26,2872,62,76,78,51,88,80,73,52,79,91,70,59,63,66,39,27,28,1,86,81,32
Mike Maignan,FRA,Milan,"Italian Serie A, UEFA Champions League, UEFA Europa League",GK,Goalkeeper,28,3609,39,65,46,25,38,70,43,20,73,88,55,27,31,32,81,64,66,1,65,83,86
Milan Borjan,CAN,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,36,593,14,78,21,48,88,37,82,82,9,29,57,89,85,69,90,64,56,1,53,49,82
Mile Svilar,SRB,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,24,2610,61,77,80,32,79,77,28,22,64,64,38,46,48,60,78,26,27,1,89,44,70
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,26,2430,81,32,85,68,41,37,47,40,69,76,56,40,48,85,52,40,45,1,61,51,39
Mory Diaw,SEN,Clermont Foot,French Ligue 1,GK,Goalkeeper,30,2700,87,33,89,80,75,41,83,82,80,49,87,37,51,65,87,79,73,1,69,60,81
