Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Aaron Ramsdale,ENG,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,630,6,87,10,5,37,67,25,36,48,62,41,9,17,7,80,68,72,1,56,20,96
Aarón Escandell,ESP,Las Palmas,Spanish La Liga,GK,Goalkeeper,28,153,5,34,4,50,21,14,67,65,94,87,88,61,60,59,38,92,91,1,3,46,33
Aitor Fernández,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,33,551,13,53,9,20,15,38,89,81,47,16,81,7,25,25,14,93,97,1,14,80,15
Alaa Bellaarouch,MAR,Strasbourg,French Ligue 1,GK,Goalkeeper,22,1350,40,36,28,43,18,36,37,44,53,36,61,12,14,52,85,74,68,1,20,26,85
Alban Lafont,FRA,Nantes,French Ligue 1,GK,Goalkeeper,25,2496,42,48,38,58,55,60,51,55,60,77,64,40,57,54,82,62,58,1,34,31,79
Alberto Brignoli,ITA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,32,450,64,46,67,75,84,81,35,41,47,36,60,3,11,16,70,63,59,1,52,26,87
Alessandro Sorrentino,ITA,Monza,Italian Serie A,GK,Goalkeeper,22,548,69,10,34,91,28,14,20,19,25,64,16,57,47,16,30,22,29,1,9,33,43
Alessio Cragno,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,29,270,56,15,36,72,11,14,74,61,33,30,57,64,41,37,70,94,97,1,17,64,75
Alex Meret,ITA,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,27,3493,26,57,27,37,41,44,10,5,28,44,10,25,18,30,20,49,52,1,36,50,20
Alexander Brunst,GER,Darmstadt 98,German Bundesliga,GK,Goalkeeper,28,270,76,5,23,85,3,14,96,92,94,50,95,59,82,84,70,96,96,1,5,91,53
Alexander Meyer,GER,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,785,19,73,31,21,43,77,39,33,94,39,83,16,28,64,80,40,56,1,68,48,72
Alexander Nübel,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,27,2700,20,68,28,20,35,79,49,25,85,52,66,9,10,26,70,86,88,1,59,86,81
Alexander Schlager,AUT,RB Salzburg,UEFA Champions League,GK,Goalkeeper,27,540,73,60,86,65,86,75,71,57,77,21,77,68,62,63,33,61,56,1,84,66,26
Alexander Schwolow,GER,Union Berlin,German Bundesliga,GK,Goalkeeper,31,90,83,23,83,32,6,14,44,28,45,41,50,74,42,44,6,6,6,1,46,73,6
Alexandre Oukidja,ALG,Metz,French Ligue 1,GK,Goalkeeper,35,2987,75,38,80,61,37,44,80,85,7,35,39,83,91,86,91,32,27,1,60,30,75
Alexandros Paschalakis,GRE,Olympiacos,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,34,810,40,23,18,60,15,52,34,61,5,17,20,74,84,20,78,70,64,1,12,11,89
Aleš Mandous,CZE,Slavia Prague,UEFA Europa League,GK,Goalkeeper,31,540,6,92,13,7,73,93,33,7,77,97,51,21,28,3,44,83,80,1,82,99,92
Alisson,BRA,Liverpool,"English Premier League, UEFA Europa League",GK,Goalkeeper,31,2700,23,81,40,16,55,75,14,9,88,74,49,13,12,19,33,66,71,1,80,45,42
Alphonse Areola,FRA,West Ham,"English Premier League, UEFA Europa League",GK,Goalkeeper,31,2789,86,34,89,71,52,36,67,55,7,66,18,66,69,74,58,15,16,1,74,61,51
Amir Saipi,KVX,Lugano,UEFA Europa Conference League,GK,Goalkeeper,23,540,76,15,63,81,19,41,33,23,78,30,54,33,41,29,33,93,93,1,19,59,35
Anatolii Trubin,UKR,Benfica,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,22,1080,58,60,68,72,91,41,34,27,22,57,11,77,68,62,33,37,32,1,73,55,27
Andrea Consigli,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,37,3150,51,29,35,56,15,30,60,66,46,45,65,63,61,76,43,31,29,1,19,32,34
Andreas Hansen,DEN,Nordsjælland,UEFA Europa Conference League,GK,Goalkeeper,28,450,58,68,74,37,71,48,6,1,79,81,14,88,53,24,25,63,62,1,83,32,28
Andreas Luthe,GER,Bochum,German Bundesliga,GK,Goalkeeper,36,90,32,2,5,95,3,14,99,97,93,6,98,59,83,44,6,6,6,1,3,92,6
Andrey Lunyov,RUS,Qarabağ,UEFA Europa League,GK,Goalkeeper,32,894,80,32,86,68,37,48,78,83,62,29,75,86,87,88,83,16,17,1,66,27,64
Andriy Lunin,UKR,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,25,2610,25,84,44,28,84,83,12,7,32,59,9,37,27,46,85,46,40,1,82,57,86
André Ferreira,POR,Granada,Spanish La Liga,GK,Goalkeeper,27,1340,68,27,62,78,48,14,59,45,35,87,28,65,67,46,25,44,36,1,35,69,24
André Onana,CMR,Manchester Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,3960,71,41,77,67,62,56,49,54,79,35,74,13,27,73,70,46,53,1,61,28,60
Anthony Lopes,POR,Lyon,French Ligue 1,GK,Goalkeeper,33,2790,64,47,68,50,35,67,49,40,41,73,37,47,37,59,80,46,45,1,54,56,76
Anthony Moris,LUX,Union SG,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,33,720,27,51,25,68,83,33,65,52,55,29,70,30,40,18,49,88,86,1,26,66,66
Anthony Racioppi,SUI,Young Boys,UEFA Champions League,GK,Goalkeeper,24,450,95,17,96,95,94,48,79,71,80,71,82,45,57,49,16,40,32,1,79,68,15
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,29,540,79,6,50,73,4,14,40,23,81,98,62,68,17,36,22,61,60,1,11,76,22
Anton Zhylkin,UKR,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,20,1,0,97,2,1,62,99,1,99,0,2,0,100,100,0,6,6,6,1,0,1,0
Antonio Adán,ESP,Sporting CP,UEFA Europa League,GK,Goalkeeper,36,540,12,71,13,15,33,14,36,30,63,18,45,42,24,6,33,61,65,1,33,51,57
Antonio Mirante,ITA,Milan,Italian Serie A,GK,Goalkeeper,40,177,36,49,31,63,70,14,16,11,17,9,9,12,9,7,35,25,21,1,30,52,54
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,27,3060,20,75,32,28,67,67,91,85,20,24,67,82,82,67,47,43,47,1,66,71,45
Arijanet Muric,KVX,Burnley,English Premier League,GK,Goalkeeper,25,900,94,46,96,88,95,14,89,90,98,81,97,7,15,61,98,97,94,1,90,49,97
Arnau Tenas,ESP,Paris S-G,French Ligue 1,GK,Goalkeeper,22,529,42,69,53,18,34,41,13,14,55,19,36,47,20,35,23,43,38,1,73,25,22
Arthur Desmas,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,30,2970,55,62,64,51,77,49,56,54,9,45,24,55,52,60,64,36,38,1,75,44,62
Augusto Batalla,ARG,Granada,Spanish La Liga,GK,Goalkeeper,28,1530,66,42,67,44,24,44,87,86,71,57,89,62,79,80,89,56,61,1,50,53,77
Bart Verbruggen,NED,Brighton,"English Premier League, UEFA Europa League",GK,Goalkeeper,21,2160,39,71,50,25,49,67,18,9,86,83,41,7,3,27,56,73,70,1,72,69,66
Benjamin Lecomte,FRA,Montpellier,French Ligue 1,GK,Goalkeeper,33,2700,53,66,67,34,59,75,62,59,35,56,50,64,53,77,64,20,18,1,81,45,56
Benoît Costil,FRA,Salernitana,Italian Serie A,GK,Goalkeeper,36,1170,66,16,46,75,17,30,70,77,26,25,43,74,80,81,14,75,83,1,18,29,12
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,32,3420,64,44,71,55,42,64,39,38,83,51,65,27,45,38,33,55,57,1,63,35,32
Boris Radunović,SRB,Cagliari,Italian Serie A,GK,Goalkeeper,27,630,27,39,21,54,30,67,76,49,11,53,26,88,81,56,57,27,26,1,21,90,55
Brice Samba,FRA,Lens,"French Ligue 1, UEFA Champions League, UEFA Europa League",GK,Goalkeeper,30,3690,45,68,59,47,81,79,66,40,52,57,46,24,26,39,75,58,63,1,77,88,76
Caoimhín Kelleher,IRL,Liverpool,"English Premier League, UEFA Europa League",GK,Goalkeeper,25,1620,29,63,41,34,51,41,27,29,92,87,78,6,7,9,47,70,68,1,65,31,75
Carljohan Eriksson,FIN,Nordsjælland,UEFA Europa Conference League,GK,Goalkeeper,28,90,32,81,50,6,26,14,3,2,51,71,13,42,21,71,98,6,6,1,83,7,95
Carlo Pinsoglio,ITA,Juventus,Italian Serie A,GK,Goalkeeper,34,45,83,97,96,18,98,97,44,28,93,6,89,0,0,98,6,6,6,1,98,73,6
Christos Mandas,GRE,Lazio,Italian Serie A,GK,Goalkeeper,22,721,20,90,45,12,77,92,57,56,58,29,74,8,11,38,49,30,40,1,90,38,55
Cican Stankovic,AUT,AEK Athens,UEFA Europa League,GK,Goalkeeper,31,326,69,56,80,85,96,14,66,39,65,53,38,76,58,17,6,92,91,1,79,90,6
Claudio Bravo,CHI,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,40,810,13,89,32,14,79,52,73,42,23,38,15,71,68,55,52,57,48,1,90,92,51
Cristian,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,26,57,57,47,57,8,7,14,26,15,19,91,10,19,18,92,6,6,6,1,46,75,6
Dani Cárdenas,ESP,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,27,90,2,81,2,13,45,14,10,61,82,71,88,10,37,1,6,88,82,1,1,3,6
Daniel Batz,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,32,360,42,90,71,4,39,60,53,58,70,26,75,26,26,12,70,23,33,1,94,28,90
Daniel Bentley,ENG,Wolves,English Premier League,GK,Goalkeeper,30,383,19,43,10,44,24,86,23,50,36,7,37,69,58,30,6,35,31,1,13,10,6
Daniel Fuzato,BRA,Getafe,Spanish La Liga,GK,Goalkeeper,26,7,99,0,2,99,0,14,99,99,98,99,99,99,99,99,99,6,6,1,1,21,98
Daniel Peretz,ISR,Bayern Munich,German Bundesliga,GK,Goalkeeper,23,17,0,97,2,1,62,97,1,88,99,100,98,93,22,19,6,6,6,1,0,1,6
Daniele Sommariva,ITA,Genoa,Italian Serie A,GK,Goalkeeper,26,5,0,97,2,1,62,99,1,98,82,2,97,97,98,98,99,6,6,1,0,1,99
Danijel Zagorac,CRO,Dinamo Zagreb,UEFA Europa Conference League,GK,Goalkeeper,36,270,4,95,6,23,97,93,56,24,42,71,36,29,15,33,99,83,76,1,43,95,99
David Gil,ESP,Cádiz,Spanish La Liga,GK,Goalkeeper,30,372,79,29,85,39,9,87,97,95,29,5,83,94,97,96,95,6,6,1,67,78,69
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,3690,4,89,7,5,43,87,50,38,59,68,43,5,14,15,87,81,84,1,44,64,95
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,31,3413,51,57,56,51,69,64,93,92,31,19,80,77,89,35,28,82,81,1,58,61,29
David von Ballmoos,SUI,Young Boys,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,29,270,56,23,36,87,79,14,84,73,77,92,80,10,13,8,70,17,15,1,17,85,93
Davy Roef,BEL,Gent,UEFA Europa Conference League,GK,Goalkeeper,30,561,55,75,65,27,62,72,47,13,25,97,11,36,30,8,79,21,20,1,75,98,94
Dean Henderson,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,27,1620,58,40,58,58,41,52,29,53,6,11,23,36,55,52,19,48,53,1,43,12,18
Denis Petrić,SRB,Nantes,French Ligue 1,GK,Goalkeeper,35,24,24,2,2,27,1,14,38,12,37,95,23,0,0,71,6,6,6,1,1,96,6
Denis Pintol,SVN,Olimpija,UEFA Europa Conference League,GK,Goalkeeper,23,360,24,51,19,31,23,60,5,4,5,89,1,69,28,27,70,23,20,1,23,9,80
Diant Ramaj,GER,Ajax,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,720,69,23,60,74,34,33,53,56,95,15,92,69,56,33,59,66,52,1,29,32,67
Diego Mariño,ESP,Almería,Spanish La Liga,GK,Goalkeeper,33,90,32,23,13,86,75,14,3,2,27,89,4,2,2,3,6,88,92,1,9,7,6
Dimitry Bertaud,COD,Montpellier,French Ligue 1,GK,Goalkeeper,25,360,95,9,96,96,62,14,53,65,54,93,74,35,47,56,49,6,6,1,50,24,48
Diogo Costa,POR,Porto,UEFA Champions League,GK,Goalkeeper,24,720,17,75,30,7,17,60,59,60,91,59,90,51,54,20,70,85,88,1,70,37,83
Dmytro Riznyk,UKR,Shakhtar,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,25,720,83,18,81,67,13,60,35,21,48,46,19,35,43,83,90,77,83,1,39,67,76
Dominik Greif,SVK,Mallorca,Spanish La Liga,GK,Goalkeeper,26,90,32,97,83,6,96,96,96,79,16,15,53,85,90,33,6,51,65,1,98,98,6
Dominik Hładun,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,28,180,8,93,30,18,94,89,62,61,27,6,44,16,48,12,6,88,88,1,94,39,6
Dominik Kotarski,CRO,PAOK,UEFA Europa Conference League,GK,Goalkeeper,24,900,46,46,38,61,55,14,22,37,61,15,55,17,32,22,19,63,69,1,26,17,21
Dominik Livaković,CRO,Fenerbahçe,UEFA Europa Conference League,GK,Goalkeeper,29,540,59,23,44,59,14,75,11,35,38,80,40,42,29,21,70,70,71,1,19,7,83
Dominik Takáč,SVK,Spartak Trnava,UEFA Europa Conference League,GK,Goalkeeper,24,540,91,12,90,96,90,14,53,80,0,4,14,89,95,71,22,14,14,1,38,12,19
Dénes Dibusz,HUN,Ferencváros,UEFA Europa Conference League,GK,Goalkeeper,33,720,42,81,60,16,59,33,58,46,53,75,45,51,43,53,41,37,46,1,86,61,38
Ederson,BRA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,3415,5,86,8,11,55,67,34,12,76,50,46,8,10,5,51,76,80,1,43,95,87
Elia Caprile,ITA,Empoli,Italian Serie A,GK,Goalkeeper,22,2070,54,71,66,31,66,52,64,64,49,88,66,57,64,84,89,44,45,1,78,40,73
Emil Audero,IDN,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,27,427,15,64,16,27,39,84,6,4,95,95,68,27,13,45,92,42,57,1,31,18,93
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,31,3825,29,58,37,54,74,64,41,27,88,58,68,20,23,19,85,90,90,1,52,68,94
Enea Koliçi,ALB,KF Ballkani Therandë,UEFA Europa Conference League,GK,Goalkeeper,37,540,17,71,23,30,62,75,8,1,6,90,1,87,39,81,88,17,16,1,44,75,74
Ersin Destanoğlu,TUR,Beşiktaş,UEFA Europa Conference League,GK,Goalkeeper,22,270,89,10,88,90,20,75,68,55,45,60,62,79,70,65,22,51,51,1,39,65,19
Etrit Berisha,ALB,Empoli,Italian Serie A,GK,Goalkeeper,34,1260,70,33,71,55,24,67,25,49,49,81,48,49,52,83,53,35,35,1,42,11,41
Fabian Bredlow,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,29,360,73,90,92,34,93,60,71,65,93,34,87,4,13,53,18,66,77,1,95,53,17
Federico Ravaglia,ITA,Bologna,Italian Serie A,GK,Goalkeeper,24,535,9,93,18,14,92,93,13,16,51,38,14,34,45,37,15,34,46,1,74,22,14
Fernando,ESP,Almería,Spanish La Liga,GK,Goalkeeper,33,360,78,12,60,87,19,14,71,74,71,94,79,51,59,90,70,85,72,1,16,35,49
Fernando Muslera,URU,Galatasaray,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,37,720,54,14,19,90,43,14,75,63,87,67,80,52,58,21,41,99,99,1,7,65,51
Filip Jørgensen,DEN,Villarreal,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,22,3330,75,36,81,67,48,38,42,26,51,68,33,56,49,89,62,55,59,1,62,76,45
Filip Marshall,ENG,Aston Villa,UEFA Europa Conference League,GK,Goalkeeper,20,90,2,81,2,4,18,14,3,1,33,71,7,42,6,21,6,99,99,1,1,13,6
Filip Samurović,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,20,90,83,6,50,65,2,14,62,61,3,15,28,97,88,90,98,6,6,1,9,39,92
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,26,2790,66,39,68,63,47,31,69,58,86,13,81,44,53,76,60,81,78,1,50,63,53
Fran Vieites,ESP,Betis,Spanish La Liga,GK,Goalkeeper,25,315,67,73,83,41,81,92,37,56,17,76,33,90,87,91,57,27,21,1,88,15,40
Francesco Rossi,ITA,Atalanta,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,33,12,93,97,97,98,100,98,98,97,13,99,5,98,99,99,6,6,6,1,98,73,6
Franco Israel,URU,Sporting CP,UEFA Europa League,GK,Goalkeeper,23,360,8,81,13,29,80,60,44,42,81,54,59,35,59,88,92,37,37,1,46,39,79
Frederik Rønnow,DEN,Union Berlin,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,31,3510,61,39,57,64,45,44,75,69,67,78,71,54,65,82,93,48,44,1,38,60,83
Gauthier Gallon,FRA,Rennes,UEFA Europa League,GK,Goalkeeper,30,90,4,81,5,13,45,14,90,90,70,2,76,95,97,71,6,96,98,1,9,54,6
Gianluigi Donnarumma,ITA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,25,3249,49,83,70,37,87,78,8,2,30,51,7,32,12,23,29,59,62,1,87,77,34
Giorgi Mamardashvili,GEO,Valencia,Spanish La Liga,GK,Goalkeeper,23,3284,30,75,43,45,85,78,64,80,19,38,57,54,72,64,83,43,40,1,68,18,78
Giorgos Athanasiadis,GRE,AEK Athens,UEFA Europa League,GK,Goalkeeper,30,212,93,7,92,97,98,14,39,8,13,92,3,67,36,16,26,98,98,1,25,98,33
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,26,3445,51,73,65,47,84,77,51,32,84,35,66,49,49,60,23,21,23,1,81,80,20
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,24,181,3,97,11,2,75,96,76,78,76,68,86,21,55,31,6,49,63,1,98,40,6
Guglielmo Vicario,ITA,Tottenham,English Premier League,GK,Goalkeeper,27,3420,45,44,45,63,55,44,6,6,82,74,34,27,8,50,58,91,92,1,40,10,60
Guillaume Dietsch,FRA,Metz,French Ligue 1,GK,Goalkeeper,22,73,22,66,28,16,31,14,87,84,17,31,32,80,93,86,83,6,6,1,48,63,65
Guillaume Restes,FRA,Toulouse,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,19,3780,35,58,37,41,52,49,24,22,8,11,7,46,50,67,17,20,19,1,49,36,16
Guillermo Ochoa,MEX,Salernitana,Italian Serie A,GK,Goalkeeper,38,1890,72,19,69,73,22,29,45,66,15,25,33,76,72,80,27,26,30,1,31,16,21
Heinz Lindner,AUT,Union SG,UEFA Europa Conference League,GK,Goalkeeper,33,180,17,81,30,32,83,89,15,18,13,2,13,51,26,7,6,23,23,1,70,19,6
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa Conference League,GK,Goalkeeper,30,180,73,81,90,72,97,89,10,18,90,41,72,42,18,79,92,77,83,1,93,9,85
Ionuț Radu,ROU,Bournemouth,English Premier League,GK,Goalkeeper,26,180,73,3,13,52,1,14,15,12,48,71,17,31,19,12,70,6,6,1,4,39,90
Itamar Nitzan,ISR,Maccabi Haifa,UEFA Europa League,GK,Goalkeeper,36,90,97,6,98,96,45,14,44,71,90,98,92,22,12,92,6,51,41,1,76,13,6
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa Conference League,GK,Goalkeeper,25,630,6,55,8,46,49,67,67,57,85,21,77,80,78,48,57,51,47,1,14,57,60
Ivan Provedel,ITA,Lazio,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,30,3419,29,74,43,24,52,72,25,14,44,27,27,33,33,36,29,32,39,1,69,74,31
Ivo Grbić,CRO,Sheffield Utd,English Premier League,GK,Goalkeeper,28,771,90,7,87,69,4,14,88,91,22,12,60,92,95,97,85,82,82,1,25,34,52
Iván Cuéllar,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,39,90,83,81,93,32,83,14,3,35,66,97,66,4,7,3,70,6,6,1,94,2,98
Iván Villar,ESP,Celta Vigo,Spanish La Liga,GK,Goalkeeper,26,1014,28,46,22,52,35,14,32,44,4,49,9,82,78,35,27,40,36,1,21,20,28
Iñaki Peña,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1080,37,35,23,55,28,41,17,3,31,53,4,22,24,25,15,23,24,1,16,94,16
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,31,720,44,75,66,35,76,60,41,46,21,78,33,86,74,63,41,45,50,1,87,25,35
Jacob Karlstrom,NOR,Molde,UEFA Europa League,GK,Goalkeeper,26,130,90,19,92,74,28,14,72,54,3,94,4,78,84,72,90,73,48,1,64,73,82
James Shea,ENG,Luton Town,English Premier League,GK,Goalkeeper,32,15,97,97,99,4,95,98,98,96,82,89,96,97,96,90,6,99,99,1,98,96,6
James Trafford,ENG,Burnley,English Premier League,GK,Goalkeeper,21,2520,81,16,78,81,28,30,60,89,96,85,94,61,77,69,77,79,78,1,37,10,66
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,4320,35,71,46,24,47,71,24,19,4,62,5,63,56,69,65,26,28,1,71,43,61
Janis Blaswich,GER,RB Leipzig,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,2340,23,51,20,39,33,46,27,13,89,44,64,55,32,31,41,81,85,1,24,79,47
Jason Steele,ENG,Brighton,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1980,39,27,22,57,16,44,16,10,78,37,44,4,3,13,20,94,95,1,15,56,25
Jaume Doménech,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,33,79,97,4,98,75,2,14,55,91,43,9,73,72,80,96,80,59,49,1,82,8,47
Jay Gorter,NED,Ajax,UEFA Europa League,GK,Goalkeeper,23,180,95,23,97,92,94,14,62,76,97,98,96,42,33,51,70,6,6,1,86,21,68
Jean Butez,FRA,Antwerp,UEFA Champions League,GK,Goalkeeper,28,450,83,6,59,86,5,14,83,68,90,77,89,6,8,18,94,29,33,1,12,87,98
Jean-Louis Leca,FRA,Lens,French Ligue 1,GK,Goalkeeper,38,90,4,23,2,18,5,14,3,28,10,71,6,10,46,6,6,6,6,1,1,2,6
Jens Grahl,GER,Eint Frankfurt,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,35,315,53,87,76,10,55,67,5,26,69,94,62,33,31,56,91,75,74,1,93,3,89
Jeremías Ledesma,ARG,Cádiz,Spanish La Liga,GK,Goalkeeper,31,3048,48,56,54,47,57,65,95,91,38,23,76,79,91,75,93,70,66,1,57,71,88
Jesse Öst,FIN,HJK,UEFA Europa Conference League,GK,Goalkeeper,33,258,96,4,94,97,41,14,48,69,44,26,40,96,94,94,24,6,6,1,22,16,17
Jesús Owono,EQG,Alavés,Spanish La Liga,GK,Goalkeeper,23,360,83,23,83,65,18,60,94,83,10,9,43,69,90,4,70,88,87,1,46,94,96
Jindřich Staněk,CZE,"Slavia Prague, Viktoria Plzeň","UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,27,450,32,46,25,40,26,81,79,75,57,23,70,48,66,42,54,6,6,1,23,59,57
Jiří Pavlenka,CZE,Werder Bremen,German Bundesliga,GK,Goalkeeper,31,630,72,13,50,78,12,37,50,43,29,79,34,89,65,76,70,68,71,1,14,56,59
Joe Hart,ENG,Celtic,UEFA Champions League,GK,Goalkeeper,36,540,87,12,71,89,28,14,8,2,66,89,16,81,29,56,15,14,17,1,15,57,13
Jonas Omlin,SUI,Gladbach,German Bundesliga,GK,Goalkeeper,30,630,89,11,86,80,9,14,55,47,75,79,73,21,33,23,70,84,75,1,28,51,82
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,30,3420,44,59,54,48,68,77,95,92,74,31,93,62,70,71,53,74,77,1,67,72,47
Josep Martinez,ESP,Genoa,Italian Serie A,GK,Goalkeeper,25,3239,20,69,26,24,42,52,80,73,76,13,84,19,45,80,84,57,49,1,49,68,71
Josip Condric,CRO,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,30,540,83,18,79,60,10,41,17,72,16,76,50,87,73,56,88,41,34,1,36,4,86
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,31,3037,75,38,81,81,85,33,17,46,27,84,26,66,65,74,88,41,39,1,63,8,80
Juan Musso,ARG,Atalanta,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,30,2070,7,86,15,12,66,87,59,49,39,82,36,48,67,13,70,84,81,1,71,58,90
Julen Agirrezabala,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,23,238,51,50,52,15,12,95,83,81,54,96,51,78,92,74,51,58,54,1,47,58,44
Julian Faye-Lund,NOR,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,24,180,50,12,13,25,2,14,22,17,23,54,13,42,34,56,92,6,6,1,6,50,91
Justin Bijlow,NED,Feyenoord,UEFA Champions League,GK,Goalkeeper,25,360,24,35,30,71,57,14,7,6,92,26,48,4,6,5,18,96,94,1,46,13,25
Jérémy Frick,SUI,Servette FC,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,31,900,25,62,33,52,80,81,92,89,57,31,76,76,82,31,45,51,44,1,54,75,54
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,21,540,32,31,17,67,35,41,17,36,62,15,54,18,20,9,22,95,95,1,13,11,30
Kamil Grabara,POL,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,720,73,35,77,67,47,60,71,66,45,75,54,74,79,86,49,18,28,1,53,53,36
Kelle Roos,NED,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,31,540,59,40,58,76,81,41,88,93,39,6,87,81,92,87,33,41,54,1,41,27,23
Kepa Arrizabalaga,ESP,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,29,1558,9,88,22,10,67,91,14,8,53,65,21,25,16,38,37,35,34,1,84,60,40
Kevin Müller,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,33,3060,67,43,73,61,52,44,86,76,74,67,83,86,84,64,46,23,26,1,62,81,43
Kevin Trapp,GER,Eint Frankfurt,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,33,3464,37,50,33,56,57,49,20,33,49,41,30,48,42,50,29,45,51,1,29,18,27
Keylor Navas,CRC,Paris S-G,French Ligue 1,GK,Goalkeeper,37,360,8,51,7,31,23,60,3,0,5,15,0,16,6,11,6,66,65,1,9,88,6
Kjell Scherpen,NED,Sturm Graz,UEFA Europa League,GK,Goalkeeper,23,540,59,51,63,80,91,41,47,67,29,41,59,77,81,77,94,41,33,1,58,17,91
Kjetil Haug,NOR,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,25,180,32,23,13,52,13,14,7,16,97,71,85,10,5,44,98,77,85,1,9,6,98
Koen Casteels,BEL,Wolfsburg,German Bundesliga,GK,Goalkeeper,31,2250,53,48,56,54,45,38,81,68,65,63,72,50,64,49,70,78,74,1,51,79,69
