Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Christ Tiéhi,ci CIV,Midfielder,Rotherham Utd,25,1998,35,35,3060,0.06,0.03,0.59,0.15,0.0,0.0,0.74,0.03,30.85,37.68,15.24,17.21,12.59,14.74,2.12,3.65,0.0,0.03,0.24,3.18,0.26,0.06,3.53,0.85,0.74,2.21,1.26,1.0,1.03,0.18,0.85,1.79,0.94,1.65,1.15,1.35,0.0,47.65,2.85,13.65,27.09,7.85,0.74,47.65,1.26,0.79,24.94,0.82,0.12,1.03,0.53,25.97,0.09,0.0,0.0,1.26,0.76,0.0,0.0,0.0,0.0,7.82,0.85,1.29,2.15,1.56,5.12,0.76,1.18,2.12,1.0,39.53,81.87,88.55,85.41,58.08,52.75,62.7
Christalino Atemona,de GER,Defender,Kortrijk,21,2002,2,1,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.06,38.44,9.38,11.25,16.88,20.62,1.88,4.69,0.0,0.0,0.0,0.94,0.0,0.0,1.88,0.0,0.0,1.88,0.0,1.88,0.0,0.0,0.0,1.88,1.88,0.0,1.88,6.56,0.0,51.56,11.25,33.75,18.75,0.0,0.0,51.56,0.0,0.0,26.25,0.0,0.0,0.0,0.94,19.69,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,9.38,2.81,0.94,3.75,0.94,1.88,0.0,0.0,0.0,0.0,74.93,75.6,83.38,81.86,40.09,0.0,0.0
Christiaan Ravych,be BEL,Defender,Cercle Brugge,21,2002,15,12,1071,0.0,0.01,0.17,0.0,0.0,0.0,1.26,0.17,18.91,29.41,6.05,8.66,8.99,13.19,3.28,6.3,0.17,0.07,0.5,3.03,0.34,0.08,4.2,0.59,0.67,2.94,2.27,1.76,1.01,0.17,1.76,3.11,1.34,1.43,1.51,2.44,0.08,40.08,3.03,12.94,24.12,3.7,0.42,40.08,0.5,0.25,16.39,1.01,0.0,0.67,0.17,9.58,0.17,0.0,0.0,1.43,1.6,0.0,0.0,0.0,0.0,8.15,1.76,1.68,3.45,0.84,5.46,1.43,0.84,4.03,-1.0,51.01,64.3,69.86,68.16,52.06,66.61,50.0
Christian,br BRA,Forward,Ath Paranaense,23,2000,24,17,1507,0.06,0.11,1.49,0.42,0.0,0.0,2.51,0.12,24.07,30.28,12.54,14.27,9.2,10.87,1.73,2.99,0.0,0.05,0.84,2.21,0.66,0.12,3.46,0.9,6.09,1.61,0.9,0.66,0.84,0.12,0.54,1.19,0.66,0.9,0.72,0.66,0.0,39.65,0.54,5.14,19.35,15.41,2.69,39.65,1.43,0.54,23.05,0.78,0.18,1.79,0.54,27.11,0.42,0.0,0.0,2.21,1.67,0.18,0.0,0.0,0.0,2.69,0.9,1.07,1.97,2.33,10.45,2.63,3.64,1.43,-0.45,45.69,79.49,87.88,84.64,57.86,51.43,37.76
Christian Benteke,be BEL,Forward,D.C. United,33,1990,30,30,2594,0.8,0.62,3.16,1.46,0.1,0.1,2.67,0.35,15.13,25.81,8.4,13.74,4.72,8.15,0.97,1.42,0.17,0.15,1.28,1.91,0.56,0.0,2.88,0.52,4.02,0.21,0.17,0.03,0.1,0.07,0.07,0.28,0.21,0.49,0.07,1.18,0.0,35.39,1.42,2.12,15.99,17.49,6.25,35.29,1.04,0.35,16.13,0.66,0.38,1.77,0.76,28.73,0.28,0.03,0.0,2.43,1.28,0.73,0.03,0.0,0.0,1.35,10.76,3.92,14.68,2.53,7.42,3.02,7.18,0.24,0.29,73.3,58.62,61.14,57.91,68.31,48.98,33.65
Christian Burgess,eng ENG,Defender,Union SG,31,1991,28,28,2475,0.04,0.13,0.95,0.22,0.0,0.0,0.55,0.04,42.95,52.0,9.45,11.75,24.58,27.96,8.55,11.27,0.04,0.01,0.25,2.11,0.11,0.0,4.0,0.55,0.11,1.67,0.91,1.2,0.47,0.0,1.02,1.64,0.62,1.02,1.2,4.84,0.04,63.35,6.33,31.85,30.0,1.96,1.27,63.35,0.29,0.22,39.27,0.18,0.04,0.36,0.07,34.15,0.33,0.0,0.0,0.84,0.65,0.0,0.0,0.04,0.0,6.15,3.56,2.0,5.56,0.44,4.65,0.58,1.42,1.93,-0.69,64.03,82.6,80.43,87.91,75.87,58.31,75.86
Christian D'Urso,it ITA,Forward,Cosenza,26,1997,3,2,142,0.0,0.19,1.9,0.0,0.0,0.0,3.8,0.63,27.89,36.13,15.85,16.48,8.87,10.77,3.17,4.44,0.63,0.13,1.27,0.63,1.27,1.27,2.54,3.17,7.61,2.54,0.63,1.9,0.63,0.0,1.27,2.54,1.27,1.27,0.0,0.0,0.0,48.8,0.0,5.7,17.75,25.99,5.7,48.8,1.9,0.63,29.79,3.17,0.63,2.54,3.8,33.59,0.0,0.0,0.0,0.63,1.9,0.0,0.0,0.0,0.0,6.97,0.0,1.27,1.27,6.34,13.31,4.44,8.87,1.9,-1.0,0.0,77.19,96.18,82.36,71.4,37.4,33.16
Christian Dalle Mura,it ITA,Defender,Ternana,21,2002,12,9,887,0.0,0.02,0.2,0.0,0.0,0.0,0.71,0.2,31.56,39.77,12.38,13.7,15.32,17.76,3.65,7.1,0.0,0.01,0.1,1.93,0.3,0.0,2.13,0.61,0.1,1.52,0.91,1.12,0.41,0.0,1.22,1.93,0.71,1.93,1.12,4.06,0.0,50.33,7.71,31.66,16.94,2.13,0.3,50.33,0.3,0.1,24.76,0.71,0.0,0.3,0.2,26.58,0.0,0.0,0.0,1.01,0.2,0.0,0.0,0.0,0.0,2.74,1.72,1.72,3.45,0.51,2.84,0.91,0.61,2.13,-1.0,49.86,79.36,90.36,86.26,51.41,61.74,33.33
Christian Fassnacht,ch SUI,Forward,Norwich City,29,1993,40,19,1822,0.3,0.29,1.68,0.54,0.0,0.0,1.78,0.3,18.33,25.83,10.52,12.55,5.73,8.35,0.74,1.58,0.1,0.08,0.74,1.23,0.99,0.35,2.77,1.48,4.89,2.42,1.58,1.23,1.04,0.15,1.14,2.72,1.58,1.53,1.14,1.33,0.0,38.18,1.14,6.92,17.54,14.47,2.82,38.18,1.53,0.74,19.51,0.99,0.3,2.77,0.69,22.87,0.2,0.0,0.0,0.99,0.44,0.64,0.0,0.05,0.0,4.45,0.99,1.58,2.57,3.46,9.14,2.07,4.45,2.72,0.03,38.52,70.96,83.82,68.62,46.84,52.92,48.37
Christian Gytkjær,dk DEN,Forward,Venezia,33,1990,38,18,1789,0.55,0.38,2.57,0.75,0.05,0.05,2.57,0.2,12.78,18.21,7.29,10.26,3.52,4.68,0.91,1.26,0.1,0.13,1.06,0.6,0.65,0.0,1.41,0.7,5.33,0.55,0.25,0.1,0.4,0.05,0.25,0.86,0.6,0.6,0.3,0.75,0.0,28.32,0.91,2.01,12.43,14.04,4.23,28.27,1.06,0.35,15.54,0.3,0.3,2.82,1.01,22.59,0.05,0.0,0.0,1.36,1.71,0.5,0.0,0.0,0.0,1.86,2.67,4.33,6.99,3.82,7.45,2.77,5.18,0.5,0.45,38.2,70.18,71.05,75.21,72.22,35.46,33.02
