Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aaron Anselmino,ar ARG,Defender,Boca Juniors,18,2005,12,10,874,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.31,46.85,54.27,13.7,14.83,28.52,30.79,4.12,7.62,0.31,0.1,0.41,1.65,0.1,0.0,2.78,0.93,0.1,2.68,1.75,1.85,0.62,0.21,1.75,2.47,0.72,1.85,1.96,3.81,0.0,68.17,6.08,32.03,35.01,1.85,0.21,68.17,0.93,0.41,33.26,0.21,0.0,1.24,0.21,42.32,0.1,0.0,0.0,1.65,0.72,0.0,0.0,0.0,0.0,4.43,1.65,1.65,3.3,1.44,3.81,1.03,0.31,3.5,0.0,50.0,86.33,92.38,92.63,54.07,67.96,44.09
Aaron Boupendza,ga GAB,Forward,FC Cincinnati,27,1996,14,5,553,0.33,0.37,2.93,1.46,0.0,0.0,1.79,0.0,15.46,22.78,9.6,12.86,4.23,6.35,0.65,1.46,0.16,0.05,0.81,1.46,0.16,0.0,1.3,1.14,6.67,0.65,0.33,0.0,0.49,0.16,0.16,1.14,0.98,0.65,0.49,0.98,0.0,35.64,1.3,3.25,14.97,17.58,3.91,35.64,2.77,1.3,20.51,1.14,0.65,3.74,1.46,26.69,0.33,0.0,0.0,1.14,1.3,1.14,0.0,0.0,0.0,2.93,2.12,3.25,5.37,5.21,9.11,1.79,4.72,0.49,-0.11,39.48,67.87,74.65,66.61,44.52,27.37,46.93
Aaron Connolly,ie IRL,Forward,Hull City,23,2000,28,13,1215,0.59,0.49,3.04,1.19,0.0,0.0,1.63,0.15,9.26,13.11,6.0,7.19,2.37,3.33,0.37,0.96,0.0,0.07,0.59,0.59,0.15,0.0,0.81,1.11,4.96,0.44,0.3,0.15,0.22,0.07,0.0,0.3,0.3,0.37,0.22,0.3,0.0,23.11,0.15,2.07,9.7,11.78,4.74,23.11,1.85,0.59,14.89,0.74,0.89,2.52,1.26,17.33,0.3,0.0,0.0,1.33,2.3,0.89,0.0,0.0,0.0,2.52,0.81,1.85,2.67,3.78,6.89,1.78,5.78,0.3,0.2,30.34,70.63,83.45,71.17,38.54,40.54,31.89
Aaron Drewe,eng ENG,Defender,QPR,22,2001,2,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.66,51.14,19.43,25.57,7.16,13.3,3.07,9.2,0.0,0.0,0.0,1.02,0.0,0.0,3.07,1.02,2.05,3.07,1.02,2.05,0.0,1.02,2.05,4.09,2.05,2.05,1.02,5.11,0.0,63.41,3.07,23.52,23.52,16.36,0.0,63.41,0.0,0.0,20.45,1.02,0.0,1.02,0.0,20.45,1.02,0.0,0.0,3.07,0.0,1.02,0.0,0.0,0.0,2.05,1.02,4.09,5.11,1.02,6.14,0.0,0.0,3.07,0.0,19.96,58.0,75.99,53.83,33.37,42.88,0.0
Aaron Herrera,gt GUA,Defender,D.C. United,26,1997,30,29,2594,0.03,0.05,1.08,0.31,0.0,0.0,3.54,0.28,40.32,52.6,16.79,18.91,17.42,21.82,5.34,9.02,0.14,0.16,1.25,3.85,1.98,0.94,5.1,2.71,4.41,2.26,1.35,0.97,0.83,0.45,1.25,2.01,0.76,1.77,1.46,2.15,0.03,63.94,3.82,16.58,29.18,19.08,1.42,63.94,1.87,1.28,34.04,1.94,0.45,1.14,0.69,35.77,0.31,0.0,0.0,1.28,0.73,0.0,0.0,0.0,0.0,5.34,1.18,0.9,2.08,1.84,12.21,3.82,4.79,2.6,-0.4,56.73,76.65,88.79,79.84,59.2,60.89,68.45
Aaron Long,us USA,Defender,LAFC,31,1992,29,28,2374,0.04,0.02,0.3,0.08,0.0,0.0,0.34,0.08,47.35,52.81,14.52,15.43,29.61,31.28,3.03,5.35,0.0,0.01,0.08,2.05,0.0,0.0,2.5,0.19,0.15,1.25,0.76,0.87,0.38,0.0,0.57,0.87,0.3,1.82,1.4,4.59,0.0,63.01,8.76,35.33,26.31,1.48,0.64,63.01,0.19,0.19,34.95,0.19,0.0,0.57,0.11,42.16,0.11,0.0,0.0,0.99,0.15,0.0,0.0,0.04,0.0,4.17,2.01,0.53,2.54,0.68,2.84,0.42,0.64,1.33,1.0,79.13,89.66,94.1,94.66,56.64,62.74,100.0
Aaron Meijers,nl NED,Defender,RKC Waalwijk,35,1987,28,27,2306,0.0,0.01,0.31,0.04,0.0,0.0,2.22,0.31,40.28,57.22,19.2,21.97,15.81,21.11,4.76,11.79,0.23,0.14,1.21,4.02,0.74,0.23,4.64,2.58,3.4,2.34,1.13,1.52,0.7,0.12,1.52,3.01,1.48,1.25,1.17,3.04,0.0,68.38,4.37,21.58,30.72,16.59,0.66,68.38,0.66,0.2,30.29,1.25,0.31,1.05,0.62,35.71,0.27,0.0,0.0,0.98,1.05,0.0,0.0,0.08,0.0,5.5,1.29,0.98,2.26,1.68,10.62,2.54,1.95,2.65,-1.0,57.08,70.39,87.39,74.89,40.37,49.53,30.3
Aaron Mejía Montoya,mx MEX,Defender,Tijuana,22,2001,11,7,708,0.0,0.01,0.64,0.0,0.0,0.0,1.14,0.0,29.24,42.33,12.46,15.25,14.36,20.21,2.16,4.58,0.0,0.04,0.64,3.18,0.51,0.38,2.92,1.78,2.92,2.54,2.03,0.89,1.27,0.38,1.14,2.03,0.89,0.64,0.76,2.67,0.0,52.63,2.03,12.71,25.68,14.87,0.38,52.63,1.02,0.25,21.86,1.65,0.0,1.14,0.38,24.92,0.13,0.0,0.0,0.51,0.51,0.13,0.0,0.0,0.0,3.31,1.65,2.29,3.94,1.53,7.63,1.14,1.27,3.18,-1.0,41.88,69.08,81.7,71.05,47.16,69.37,24.51
Aaron Nicolás Molinas,ar ARG,Forward,Defensa y Just,23,2000,24,18,1569,0.29,0.24,2.07,1.2,0.0,0.0,5.28,0.29,37.69,48.64,19.56,22.37,13.08,15.32,4.07,6.71,0.23,0.21,2.81,5.85,1.03,0.23,6.42,2.07,6.54,1.2,0.63,0.06,0.86,0.29,0.69,1.2,0.52,1.09,0.52,0.46,0.0,58.51,0.4,4.53,29.89,24.61,1.95,58.51,1.49,0.69,32.64,2.07,0.29,1.61,1.15,41.7,0.29,0.0,0.0,0.8,1.49,0.17,0.0,0.0,0.0,3.61,0.8,1.38,2.18,2.75,15.03,5.56,3.5,1.32,0.21,36.7,77.49,87.44,85.38,60.66,55.0,46.31
Aaron Quirós,ar ARG,Defender,Banfield,22,2001,15,7,741,0.0,0.01,0.36,0.12,0.0,0.0,0.49,0.0,26.72,37.89,9.35,10.57,13.97,17.25,3.28,8.87,0.0,0.0,0.12,1.46,0.24,0.12,2.31,0.24,0.61,1.09,0.85,0.85,0.12,0.12,0.49,0.85,0.36,0.85,0.97,4.25,0.12,46.88,5.47,27.45,14.94,4.74,0.36,46.88,0.36,0.24,21.74,0.12,0.0,0.36,0.36,23.56,0.24,0.12,0.0,0.73,0.61,0.0,0.0,0.12,0.0,4.25,1.46,1.09,2.55,0.73,3.16,0.49,0.73,1.34,-1.0,57.25,70.52,88.46,80.99,36.98,69.07,66.67
Aaron Ramsey,wls WAL,Forward,Cardiff City,32,1990,13,7,716,0.38,0.21,1.51,0.5,0.13,0.13,4.27,0.5,45.38,60.08,24.01,28.28,13.45,16.59,5.66,10.94,0.0,0.19,1.89,3.77,1.13,0.38,5.91,2.14,4.65,1.89,1.13,0.88,0.75,0.25,0.25,0.75,0.5,1.01,0.63,0.38,0.0,69.64,1.01,11.44,39.34,19.48,2.14,69.51,2.01,0.88,41.1,1.51,0.38,2.64,0.13,48.9,0.25,0.0,0.0,1.63,1.01,0.13,0.0,0.0,0.0,6.41,0.38,1.89,2.26,2.77,12.7,4.78,4.02,1.38,0.81,16.81,75.53,84.9,81.07,51.74,52.27,43.78
Abass Issah,gh GHA,Forward,Chaves,24,1998,7,3,308,0.0,0.23,1.75,0.88,0.0,0.0,2.34,0.58,18.7,25.13,7.31,7.6,8.77,11.69,1.46,3.8,0.58,0.2,1.17,1.46,2.05,1.17,2.63,2.34,7.01,0.29,0.0,0.0,0.0,0.29,0.29,1.17,0.88,0.58,0.0,0.0,0.0,32.14,0.0,3.8,15.78,13.44,3.8,32.14,2.92,2.05,22.21,0.88,1.17,2.63,2.34,24.55,0.29,0.0,0.0,2.34,2.63,0.58,0.0,0.0,0.0,2.92,0.29,0.58,0.88,4.97,11.98,2.92,8.18,0.29,-1.0,32.95,74.41,96.18,75.02,38.42,19.86,70.21
Abdelkahar Kadri,dz ALG,Forward,Kortrijk,23,2000,27,26,2283,0.16,0.2,1.66,0.39,0.04,0.04,4.53,0.2,39.07,52.16,18.84,21.96,14.35,18.84,3.15,7.29,0.12,0.19,1.77,4.22,0.99,0.16,6.07,3.31,4.22,2.56,1.18,1.3,1.02,0.24,0.79,2.48,1.7,2.05,1.06,0.95,0.04,67.81,1.42,11.63,32.72,24.88,1.89,67.77,5.8,2.96,47.86,3.23,0.35,2.92,1.93,43.44,0.16,0.0,0.0,0.83,2.01,0.16,0.0,0.0,0.0,6.82,0.39,0.75,1.14,4.85,13.6,4.73,3.39,1.97,-0.2,34.21,74.9,85.79,76.17,43.21,39.09,51.03
Abdenego Nankishi,de GER,Forward,Heracles Almelo,21,2002,10,2,347,0.78,0.44,1.04,0.78,0.0,0.0,1.82,1.04,14.78,20.23,8.3,9.86,4.15,5.45,0.78,1.3,0.26,0.21,0.52,0.78,0.26,0.26,0.26,1.82,5.19,3.37,2.07,1.82,0.78,0.78,1.82,2.85,1.04,1.04,0.26,0.26,0.0,37.61,0.78,7.26,14.27,16.34,3.37,37.61,5.19,2.33,23.34,1.04,1.3,4.67,1.56,21.79,0.0,0.0,0.0,0.78,2.07,0.26,0.0,0.0,0.0,7.78,0.52,2.07,2.59,6.22,7.26,2.85,5.19,3.89,0.77,20.08,73.06,84.18,76.15,60.0,62.54,44.89
Abdiel Ayarza,pa PAN,Midfielder,bo The Strongest,31,1992,2,2,154,0.0,0.23,1.75,1.17,0.0,0.0,1.17,0.0,22.21,26.3,10.52,11.69,9.35,9.94,2.34,2.34,0.0,0.0,0.58,1.75,0.58,0.0,4.09,1.75,2.92,2.34,1.75,0.58,1.17,0.58,0.58,1.17,0.58,0.58,1.17,1.17,0.0,38.57,1.75,6.43,24.55,8.18,1.75,38.57,0.0,0.0,25.71,0.58,0.58,3.51,1.75,26.88,0.58,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,3.51,1.17,0.58,1.75,5.26,8.77,1.17,2.92,2.34,-1.0,66.86,84.45,89.99,94.06,100.0,66.38,0.0
Abdoul Guiebre,bf BFA,Defender,Bari,26,1997,14,6,481,0.0,0.02,0.94,0.19,0.0,0.0,3.18,0.0,23.58,32.93,11.98,14.78,9.73,13.1,1.5,2.81,0.0,0.15,1.5,2.06,1.31,0.19,3.37,3.18,4.68,2.62,1.31,0.75,0.94,0.94,0.75,0.94,0.19,1.87,1.31,2.06,0.37,49.4,2.81,11.04,15.53,23.76,2.99,49.4,4.3,1.5,22.45,2.06,1.5,3.74,1.5,25.26,0.75,0.0,0.0,2.43,1.5,0.56,0.0,0.0,0.0,3.56,1.31,1.87,3.18,5.24,11.23,3.18,5.99,2.06,-1.0,41.19,71.61,81.06,74.27,53.38,57.87,34.88
Abdoul Kader Yaméogo,ci CIV,Defender,Club Brugge,18,2004,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,15.0,15.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,15.0,105.0,30.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Abdoul Rachid Ayinde,bf BFA,Midfielder,Gent,18,2005,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.29,167.14,77.14,77.14,38.57,38.57,25.71,25.71,0.0,0.0,0.0,25.71,12.86,12.86,12.86,12.86,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,0.0,192.86,0.0,25.71,51.43,115.71,0.0,192.86,0.0,0.0,115.71,12.86,0.0,12.86,0.0,128.57,0.0,0.0,0.0,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,51.43,0.0,25.71,0.0,0.0,0.0,92.31,100.0,100.0,100.0,0.0,0.0
Abdoulaye Sissako,fr FRA,Midfielder,Kortrijk,25,1998,25,22,1893,0.0,0.05,0.71,0.14,0.0,0.0,1.19,0.1,34.8,45.83,14.79,19.16,14.88,18.49,3.38,4.94,0.05,0.05,0.48,3.47,0.43,0.05,4.33,1.47,1.43,2.33,1.38,1.05,1.09,0.19,0.86,1.71,0.86,1.47,1.33,2.23,0.0,58.67,3.95,13.69,34.66,11.55,0.86,58.67,1.47,0.95,36.37,1.95,0.1,1.81,1.52,31.47,0.14,0.0,0.0,0.57,0.38,0.14,0.0,0.0,0.0,7.99,2.28,1.95,4.23,3.33,7.23,1.28,1.43,2.23,-1.0,53.9,75.93,77.19,80.48,68.42,55.45,64.63
Abdoullah Ba,fr FRA,Forward,Sunderland,20,2003,39,21,1927,0.14,0.2,1.82,0.51,0.0,0.0,3.69,0.37,24.99,31.53,15.27,17.56,7.75,9.57,0.89,1.49,0.19,0.1,1.63,0.79,0.75,0.09,1.87,3.74,10.28,0.79,0.61,0.23,0.47,0.09,0.37,0.79,0.42,0.42,0.51,0.33,0.0,42.59,0.47,3.46,15.6,24.24,4.44,42.59,4.44,1.45,29.66,2.06,1.77,2.52,1.73,33.67,0.37,0.0,0.0,0.84,1.54,0.75,0.0,0.0,0.0,3.41,0.84,1.17,2.01,4.25,15.88,4.06,7.05,0.98,-0.3,41.79,79.26,86.96,80.98,59.73,62.03,32.66
Abdul Awudu,gh GHA,Forward,Vizela,22,2001,6,2,185,0.0,0.05,1.46,0.0,0.0,0.0,2.92,0.0,20.43,25.78,12.16,15.08,6.81,7.78,0.49,0.97,0.0,0.05,1.46,0.97,0.49,0.49,0.97,1.95,9.24,1.95,1.46,0.49,0.49,0.97,0.97,3.41,2.43,0.97,0.0,0.49,0.0,41.35,1.46,4.86,18.0,18.49,1.95,41.35,5.84,1.95,27.73,1.95,0.49,3.41,2.43,28.22,0.49,0.0,0.0,2.43,0.97,0.0,0.0,0.0,0.0,3.89,1.46,1.95,3.41,5.84,12.16,2.92,3.41,2.43,-1.0,42.82,79.25,80.64,87.53,50.52,45.34,33.39
Abdul Fatawu Issahaku,gh GHA,Forward,Leicester City,19,2004,40,33,2814,0.19,0.15,2.4,0.48,0.0,0.0,4.25,0.74,27.99,37.8,12.92,15.13,11.64,14.9,3.33,6.27,0.42,0.35,2.08,1.44,2.56,0.83,3.71,4.61,12.67,1.95,1.34,1.06,0.51,0.38,0.86,1.63,0.77,1.28,0.64,1.25,0.0,52.55,1.5,6.91,16.15,30.54,5.31,52.55,5.79,2.88,35.57,1.89,2.4,2.49,1.12,36.88,0.19,0.03,0.0,1.38,1.44,0.35,0.03,0.0,0.0,4.77,1.54,1.22,2.75,3.61,20.98,4.99,11.1,2.21,0.27,56.0,74.05,85.39,78.12,53.11,61.45,49.74
Abdul-Aziz Yakubu,gh GHA,Forward,Rio Ave,24,1998,16,13,1119,0.48,0.34,1.13,0.48,0.32,0.32,1.69,0.4,11.42,17.21,7.24,9.41,3.14,4.66,0.4,1.13,0.16,0.06,0.97,0.64,0.48,0.0,1.45,0.72,4.66,0.16,0.16,0.0,0.16,0.0,0.08,0.64,0.56,0.24,0.0,1.37,0.0,26.46,1.45,2.98,12.31,11.58,3.94,26.14,0.97,0.16,12.87,0.48,0.4,3.22,0.32,17.94,0.0,0.0,0.0,1.93,0.72,1.69,0.08,0.0,0.0,1.37,1.85,2.65,4.5,3.54,6.84,2.09,4.83,0.24,0.41,41.11,66.36,76.94,67.38,35.4,30.0,16.49
Abdülkadir Ömür,tr TUR,Forward,Hull City,24,1999,16,11,991,0.0,0.13,1.36,0.45,0.0,0.0,2.54,0.45,41.05,48.95,23.88,25.7,11.99,13.9,2.18,4.27,0.18,0.17,1.18,2.72,1.27,0.27,3.09,2.09,4.63,2.63,1.82,1.0,1.27,0.36,1.18,2.09,0.91,1.09,0.82,0.54,0.0,58.49,1.36,8.63,26.43,24.07,2.63,58.49,1.54,0.54,35.06,1.27,0.64,1.54,0.91,40.05,0.0,0.0,0.0,0.73,1.36,0.18,0.0,0.0,0.0,5.45,0.73,2.0,2.72,2.45,9.81,3.0,4.81,3.0,-1.0,26.84,83.86,92.92,86.26,51.05,63.56,35.06
Abel Ruiz,es ESP,Forward,Braga,23,2000,30,19,1895,0.28,0.3,2.09,0.76,0.0,0.0,2.61,0.28,17.1,21.18,9.88,11.16,5.51,6.36,0.57,0.76,0.09,0.08,1.14,0.76,0.24,0.05,1.66,1.14,7.22,0.38,0.28,0.05,0.19,0.14,0.19,0.38,0.19,0.28,0.28,0.57,0.0,29.64,0.76,1.8,11.26,16.67,4.7,29.64,1.09,0.38,17.67,0.76,0.38,2.52,1.04,22.08,0.24,0.0,0.0,1.04,0.76,0.43,0.0,0.05,0.0,2.42,0.52,2.28,2.8,3.56,10.02,2.9,5.37,0.47,-0.07,18.57,80.74,88.53,86.64,75.0,61.84,34.86
Abiel Osorio,ar ARG,Forward,Defensa y Just,21,2002,20,9,961,0.37,0.34,2.81,1.03,0.09,0.09,3.37,0.09,16.01,20.6,7.68,9.65,6.27,7.49,0.94,1.12,0.0,0.06,1.5,1.03,0.66,0.19,1.97,1.5,6.93,0.75,0.56,0.28,0.37,0.09,0.19,0.66,0.47,0.56,0.0,1.4,0.0,32.31,1.4,3.18,14.61,14.8,4.59,32.22,1.97,1.03,18.26,1.5,0.56,3.0,1.22,23.41,0.19,0.0,0.0,1.59,2.53,0.28,0.0,0.0,0.0,2.34,2.72,4.78,7.49,4.21,10.4,3.47,5.99,0.75,0.09,36.32,77.72,79.59,83.71,83.93,53.19,52.28
Abner,br BRA,Midfielder,RWDM,27,1996,25,20,1850,0.0,0.03,0.29,0.05,0.0,0.0,1.02,0.0,31.67,42.47,13.91,16.25,15.03,19.12,1.95,5.35,0.0,0.02,0.34,2.14,0.44,0.15,3.55,1.85,4.33,1.12,0.63,0.54,0.34,0.24,0.68,1.17,0.49,0.73,1.22,2.77,0.05,53.32,3.84,15.91,24.42,13.18,0.54,53.32,1.51,0.29,33.71,1.85,0.1,1.7,0.34,29.43,0.19,0.0,0.0,0.92,1.8,0.05,0.0,0.0,0.05,5.01,1.12,1.02,2.14,2.04,9.73,1.02,1.22,1.31,-1.0,52.34,74.57,85.6,78.61,36.45,57.21,19.21
Abner,br BRA,Defender,Juventude,19,2004,3,1,108,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,15.83,23.33,5.83,6.67,8.33,9.17,1.67,6.67,0.0,0.0,0.0,2.5,0.83,0.0,1.67,0.0,0.0,1.67,0.0,1.67,0.0,0.0,1.67,3.33,1.67,0.83,2.5,8.33,0.83,38.33,11.67,24.17,11.67,2.5,0.0,38.33,0.0,0.0,17.5,0.0,0.0,0.0,0.83,15.0,0.83,0.0,0.0,0.83,0.83,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,0.83,1.67,0.83,0.83,1.67,0.0,50.0,67.85,87.41,90.84,25.04,33.4,0.0
Aboubakary Koita,mr MTN,Forward,Sint-Truiden,24,1998,28,25,2274,0.55,0.37,4.39,1.46,0.12,0.12,5.22,0.47,25.25,32.77,11.36,13.26,9.93,12.07,3.17,5.62,0.08,0.15,1.7,2.41,1.19,0.16,4.12,4.79,5.74,1.66,1.15,0.55,0.99,0.12,0.67,1.62,0.95,0.95,0.91,0.44,0.0,50.11,0.55,5.86,21.81,24.02,3.13,49.99,6.93,3.44,38.27,3.72,1.78,2.73,2.18,35.74,0.2,0.0,0.0,1.07,2.81,0.04,0.0,0.0,0.0,5.03,0.4,0.55,0.95,4.91,14.64,5.7,6.25,1.82,0.49,42.11,77.05,85.67,82.27,56.41,55.49,49.64
Abraham Bass,mx MEX,Forward,Atlas,21,2001,11,4,396,0.0,0.05,1.14,0.0,0.0,0.0,2.05,0.0,36.82,47.05,16.82,19.77,15.23,18.18,3.86,6.36,0.0,0.02,1.14,5.23,0.45,0.0,5.68,0.23,1.14,2.05,1.36,0.91,0.91,0.23,0.68,1.59,0.91,1.36,1.59,1.36,0.0,56.36,0.91,10.91,35.68,10.68,0.91,56.36,0.68,0.68,24.55,0.45,0.0,1.14,0.0,32.5,0.91,0.0,0.0,1.59,1.59,0.0,0.0,0.0,0.0,5.68,3.64,1.82,5.45,1.14,7.05,2.05,1.36,2.05,-1.0,66.79,78.26,85.08,83.77,60.69,56.04,100.0
Abraham Flores,mx MEX,Defender,Tijuana,21,2002,1,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.04,58.7,19.57,27.39,19.57,19.57,3.91,11.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0,7.83,3.91,78.26,11.74,19.57,35.22,23.48,0.0,78.26,3.91,0.0,35.22,0.0,0.0,3.91,0.0,50.87,0.0,0.0,0.0,0.0,7.83,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,3.91,7.83,0.0,0.0,0.0,0.0,0.0,73.32,71.45,100.0,33.3,0.0,0.0
Abraham Romero,mx MEX,Goalkeeper,Columbus Crew,25,1998,2,2,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.48,23.51,5.37,5.37,9.4,9.4,4.7,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.18,22.84,24.18,0.0,0.0,0.0,24.18,0.0,0.0,18.13,0.0,0.0,0.0,0.0,17.46,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.86,100.0,100.0,53.84,0.0,0.0
Abraham Villegas,0,Defender,Toluca,20,2002,6,4,329,0.27,0.08,0.82,0.27,0.0,0.0,1.37,0.0,40.76,50.61,21.61,24.07,16.96,20.79,1.64,3.28,0.0,0.03,0.55,2.46,0.27,0.0,3.01,1.64,5.2,5.2,3.56,4.1,1.09,0.0,2.19,4.38,2.19,1.37,0.27,1.37,0.0,65.11,2.74,19.97,31.73,13.4,1.91,65.11,0.82,0.0,33.37,0.82,0.55,1.09,0.27,38.02,0.27,0.0,0.0,1.09,0.27,0.0,0.0,0.0,0.0,2.74,0.82,1.09,1.91,1.37,9.85,1.37,2.74,5.74,2.38,42.93,80.54,89.78,81.58,50.0,60.02,0.0
Achraf Dari,ma MAR,Defender,Charleroi,24,1999,5,4,317,0.28,0.14,1.14,0.28,0.0,0.0,0.57,0.0,27.54,41.74,7.67,11.36,13.06,17.32,6.81,12.49,0.0,0.0,0.0,2.27,0.28,0.0,1.42,0.0,0.0,1.42,1.14,1.42,0.0,0.0,0.57,0.57,0.0,1.14,1.7,5.39,0.0,53.94,7.1,33.22,20.44,1.14,1.14,53.94,0.28,0.28,25.55,0.0,0.0,0.57,0.28,22.15,0.0,0.0,0.0,1.42,3.12,0.0,0.0,0.0,0.0,5.96,5.11,2.27,7.38,0.85,1.42,0.57,1.42,1.7,1.0,69.24,65.98,67.52,75.4,54.52,85.93,100.0
Achraf Douiri,nl NED,Forward,Volendam,23,1999,11,2,344,0.0,0.05,1.31,0.0,0.0,0.0,2.35,0.26,23.55,36.37,11.51,14.13,8.37,12.3,2.35,6.8,0.52,0.21,1.57,1.31,1.05,0.26,2.35,4.97,7.06,3.66,2.62,1.83,1.31,0.52,2.35,3.66,1.31,0.52,1.57,1.31,0.0,52.85,3.66,14.13,20.93,18.31,3.66,52.85,3.92,1.57,27.21,3.66,1.83,3.4,1.05,26.16,0.26,0.0,0.0,1.31,0.78,0.26,0.0,0.0,0.0,5.49,0.0,0.78,0.78,4.45,14.39,2.62,6.8,4.97,-1.0,0.0,64.75,81.46,68.05,34.56,67.9,40.05
Adalberto Carrasquilla,pa PAN,Forward,Houston Dynamo,25,1998,28,26,2294,0.12,0.06,1.26,0.51,0.0,0.0,3.45,0.31,46.77,56.85,24.8,27.93,16.67,19.93,4.0,5.88,0.2,0.14,1.77,4.98,1.92,0.12,6.79,2.2,4.28,1.06,0.59,0.27,0.63,0.16,0.71,1.49,0.78,0.9,0.43,0.24,0.04,66.15,0.98,10.32,34.45,21.85,1.92,66.15,2.63,0.94,44.84,2.39,0.47,1.69,1.37,53.47,0.24,0.0,0.0,1.57,1.53,0.16,0.0,0.0,0.0,4.86,0.27,0.59,0.86,3.06,13.26,3.77,4.43,1.29,1.0,31.4,82.27,88.79,83.64,68.03,50.98,35.74
Adam Armstrong,eng ENG,Forward,Southampton,26,1997,46,44,3745,0.5,0.53,3.36,1.3,0.1,0.1,2.76,0.46,23.31,29.17,13.34,14.71,8.36,10.38,0.94,1.9,0.31,0.2,1.49,1.01,0.96,0.22,2.57,2.31,9.18,0.6,0.38,0.19,0.19,0.22,0.31,0.67,0.36,0.72,0.22,0.55,0.0,38.86,0.65,2.72,13.12,23.31,6.97,38.76,1.85,0.5,23.67,1.35,0.99,1.61,1.06,30.35,0.12,0.0,0.0,0.94,0.67,0.55,0.0,0.0,0.0,2.21,0.62,0.43,1.06,2.67,14.06,3.22,9.13,0.7,-0.06,58.49,79.91,90.69,80.54,49.47,54.33,27.03
