Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Kevin Trapp,Paris FC,French Ligue 1,GK,Goalkeeper,GER,35,90,2.0,2.0,0.0,1.5,-0.5,0,1.0,8,28.0,4.0,904.4,7.0,160.3,13,1.0,3.0,66.0
Kiril Fesiun,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,23,90,3.0,2.0,1.0,1.7,-0.3,0,2.0,3,52.0,3.0,1170.0,4.0,70.0,10,0.0,1.0,16.2
Kjell Scherpen,Union SG,UEFA Champions League,GK,Goalkeeper,NED,25,270,16.0,9.0,7.0,7.0,-2.0,0,9.0,32,55.0,9.0,2066.5,23.0,1101.5,52,3.0,2.0,22.8
Kostas Tzolakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,22,180,11.0,8.0,3.0,5.8,-2.2,0,9.0,45,47.0,8.0,2416.5,11.0,680.2,20,4.0,2.0,28.6
Krapyvtsov Vladyslav,Girona,Spanish La Liga,GK,Goalkeeper,UKR,20,136,9.0,6.0,3.0,3.4,-2.6,0,6.0,20,36.0,8.0,1096.0,11.0,600.2,22,0.0,0.0,0.0
Lasse Rieß,Mainz 05,German Bundesliga,GK,Goalkeeper,GER,24,202,17.0,8.0,9.0,5.8,-2.2,1,8.0,26,58.0,6.0,2091.9,13.0,393.3,11,0.0,4.0,74.6
Leo Román,Mallorca,Spanish La Liga,GK,Goalkeeper,ESP,25,810,42.0,14.0,27.0,14.9,0.9,1,54.0,152,247.0,27.0,9643.5,56.0,2670.9,134,7.0,5.0,59.3
Lorenzo Montipò,Hellas Verona,Italian Serie A,GK,Goalkeeper,ITA,29,630,24.0,9.0,14.0,8.6,-0.4,2,43.0,127,155.0,27.0,6331.7,50.0,3049.2,84,5.0,5.0,100.2
Lucas Chevalier,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,FRA,23,990,29.0,11.0,17.0,9.6,-1.4,5,16.0,39,283.0,35.0,6943.6,32.0,1160.5,73,2.0,5.0,100.5
Lucas Perri,Leeds United,English Premier League,GK,Goalkeeper,BRA,27,270,8.0,5.0,3.0,3.2,-1.8,2,18.0,71,91.0,11.0,3838.2,22.0,1355.0,35,2.0,0.0,0.0
Luiz Lúcio Reis Júnior,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BRA,24,720,25.0,7.0,18.0,8.6,1.6,3,10.0,49,150.0,34.0,4487.8,33.0,902.6,73,7.0,15.0,258.9
Lukáš Horníček,Braga,UEFA Europa League,GK,Goalkeeper,CZE,23,270,7.0,0.0,7.0,1.1,1.1,3,10.0,40,104.0,13.0,3649.0,9.0,296.0,40,2.0,5.0,93.6
Lukáš Hrádecký,Monaco,French Ligue 1,GK,Goalkeeper,FIN,35,258,8.0,4.0,4.0,3.2,-0.8,0,10.0,34,92.0,7.0,2818.4,13.0,468.3,42,2.0,4.0,105.4
Mads Hermansen,West Ham,English Premier League,GK,Goalkeeper,DEN,25,360,20.0,11.0,9.0,9.2,-1.8,1,19.0,72,141.0,19.0,4778.9,16.0,981.1,72,5.0,1.0,10.4
Maduka Okoye,Udinese,Italian Serie A,GK,Goalkeeper,NGA,26,90,3.0,1.0,2.0,0.9,-0.1,0,10.0,16,23.0,2.0,775.1,7.0,412.3,11,1.0,2.0,28.4
Manuel Neuer,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,39,900,21.0,6.0,15.0,5.6,-0.4,5,42.0,100,392.0,44.0,11477.5,37.0,1179.0,91,2.0,39.0,959.0
Marco Bizot,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,NED,34,360,22.0,3.0,19.0,5.3,2.3,3,20.0,57,143.0,16.0,4620.7,21.0,1013.8,71,4.0,12.0,245.8
Marco Carnesecchi,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,25,900,47.0,10.0,36.0,12.6,2.6,3,61.0,153,319.0,48.0,10416.5,59.0,3354.3,119,5.0,19.0,353.4
Marco Silvestri,Cremonese,Italian Serie A,GK,Goalkeeper,ITA,34,270,16.0,6.0,10.0,5.8,-0.2,0,16.0,46,81.0,15.0,2868.7,35.0,1388.9,47,1.0,3.0,51.4
Mark Flekken,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,NED,32,900,47.0,21.0,26.0,16.5,-4.5,1,35.0,111,290.0,33.0,8832.7,55.0,2751.6,121,5.0,10.0,169.6
Marko Dmitrović,Espanyol,Spanish La Liga,GK,Goalkeeper,SRB,33,810,41.0,11.0,30.0,10.9,-0.1,3,45.0,144,231.0,38.0,9188.1,50.0,2387.9,134,7.0,11.0,198.7
Martin Dúbravka,Burnley,English Premier League,GK,Goalkeeper,SVK,36,720,44.0,15.0,32.0,12.8,-2.2,2,50.0,175,183.0,35.0,6665.3,96.0,6175.6,174,8.0,3.0,35.8
Martin Jedlička,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,CZE,27,270,11.0,2.0,9.0,4.0,2.0,1,16.0,51,74.0,13.0,2965.8,18.0,1040.1,48,2.0,0.0,0.0
Martin Zlomislić,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,BIH,27,90,3.0,1.0,2.0,0.2,-0.8,0,6.0,22,45.0,8.0,1638.0,5.0,299.0,9,2.0,1.0,11.0
Marvin Keller,Young Boys,UEFA Europa League,GK,Goalkeeper,SUI,23,270,13.0,6.0,7.0,2.7,-3.3,1,10.0,34,94.0,12.0,2992.0,31.0,1134.8,37,0.0,6.0,118.7
Marvin Schwäbe,Köln,German Bundesliga,GK,Goalkeeper,GER,30,630,31.0,10.0,21.0,11.6,1.6,2,59.0,160,262.0,18.0,9708.2,64.0,3641.9,130,2.0,6.0,104.9
Marwin Hitz,Basel,UEFA Europa League,GK,Goalkeeper,SUI,38,180,13.0,2.0,10.0,4.0,2.0,1,17.0,41,72.0,8.0,2696.7,9.0,419.1,32,5.0,0.0,0.0
Matej Kovar,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,CZE,25,270,13.0,6.0,7.0,6.5,0.5,0,19.0,55,128.0,10.0,4641.8,12.0,568.2,37,2.0,3.0,50.9
Mateusz Kochalski,Qarabağ,UEFA Champions League,GK,Goalkeeper,POL,25,270,12.0,5.0,7.0,3.6,-1.4,1,19.0,64,101.0,10.0,3601.6,34.0,1912.7,46,1.0,5.0,109.5
Matheus,Red Star,UEFA Europa League,GK,Goalkeeper,BRA,33,270,14.0,5.0,9.0,6.0,1.0,0,13.0,37,106.0,9.0,3066.2,18.0,573.9,41,3.0,6.0,96.8
Mathew Ryan,Levante,Spanish La Liga,GK,Goalkeeper,AUS,33,630,35.0,12.0,23.0,11.4,-0.6,2,35.0,90,165.0,24.0,6061.4,57.0,2484.3,106,3.0,8.0,117.0
Mathias Dyngeland,Brann,UEFA Europa League,GK,Goalkeeper,NOR,30,270,7.0,2.0,5.0,2.7,0.7,2,17.0,52,147.0,7.0,4772.4,9.0,351.1,50,2.0,7.0,117.1
Matteo Bignetti,Sturm Graz,UEFA Europa League,GK,Goalkeeper,AUT,21,90,6.0,2.0,4.0,2.6,0.6,0,3.0,17,25.0,2.0,910.0,12.0,519.6,18,0.0,1.0,10.0
Mattia Perin,Juventus,UEFA Champions League,GK,Goalkeeper,ITA,32,90,6.0,2.0,4.0,1.6,-0.4,0,3.0,9,20.0,3.0,646.0,6.0,340.8,6,0.0,0.0,0.0
Matz Sels,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,BEL,33,990,52.0,20.0,32.0,19.5,-0.5,1,32.0,115,247.0,42.0,8820.6,59.0,1678.1,151,2.0,9.0,166.4
Matías Dituro,Elche,Spanish La Liga,GK,Goalkeeper,ARG,38,450,16.0,5.0,11.0,4.3,-0.7,1,40.0,99,286.0,18.0,8823.2,22.0,1053.2,64,8.0,13.0,220.2
Melker Ellborg,Malmö,UEFA Europa League,GK,Goalkeeper,SWE,22,90,5.0,1.0,4.0,2.4,1.4,0,3.0,24,26.0,5.0,1170.0,10.0,607.0,34,1.0,0.0,0.0
Michael Zetterer,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,30,450,36.0,11.0,25.0,10.5,-0.5,0,20.0,64,183.0,34.0,6101.8,19.0,740.3,65,1.0,7.0,106.4
