Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Stefano Turati,Sassuolo,Italian Serie A,GK,Goalkeeper,ITA,23,90,4.0,2.0,2.0,1.2,-0.8,0,0.0,16,23.0,4.0,936.1,3.0,201.9,9,1.0,1.0,10.0
Sławomir Abramowicz,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,POL,21,90,3.0,0.0,3.0,0.9,0.9,1,2.0,3,15.0,5.0,346.5,3.0,107.1,10,0.0,0.0,0.0
Temirlan Anarbekov,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,KAZ,22,90,5.0,0.0,5.0,2.3,2.3,1,3.0,4,11.0,2.0,330.0,4.0,102.0,6,0.0,0.0,0.0
Thibaut Courtois,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BEL,33,1080,36.0,10.0,26.0,7.6,-2.4,6,37.0,121,327.0,54.0,10892.3,50.0,2350.1,131,8.0,23.0,506.5
Thomas Strakosha,AEK Athens,UEFA Europa Conference League,GK,Goalkeeper,ALB,30,180,11.0,3.0,8.0,4.4,1.4,1,7.0,13,47.0,9.0,1429.0,8.0,200.9,23,4.0,1.0,12.6
Théo De Percin,Auxerre,French Ligue 1,GK,Goalkeeper,MTQ,24,226,11.0,4.0,7.0,2.8,-1.2,0,16.0,52,73.0,6.0,3097.7,12.0,725.8,41,3.0,4.0,74.1
Timon Wellenreuther,Feyenoord,UEFA Europa League,GK,Goalkeeper,GER,29,270,10.0,4.0,6.0,3.1,-0.9,0,15.0,34,98.0,19.0,3296.3,7.0,236.0,28,3.0,6.0,124.5
Timothy Fayulu,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,NAN,26,180,3.0,1.0,2.0,0.9,-0.1,1,4.0,13,64.0,4.0,1915.6,8.0,283.2,9,0.0,1.0,13.3
Unai Simón,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,28,1080,48.0,16.0,33.0,13.7,-2.3,2,47.0,161,322.0,53.0,11277.5,50.0,2916.3,124,12.0,29.0,672.0
Uğurcan Çakır,Galatasaray,UEFA Champions League,GK,Goalkeeper,TUR,29,270,10.0,6.0,6.0,3.5,-2.5,1,24.0,62,100.0,8.0,4175.0,12.0,651.0,37,2.0,4.0,75.6
Vanja Milinković-Savić,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,SRB,28,540,26.0,12.0,15.0,10.0,-2.0,0,39.0,94,185.0,24.0,6673.7,45.0,2286.3,77,9.0,7.0,122.7
Vasilios Barkas,Utrecht,UEFA Europa League,GK,Goalkeeper,GRE,31,270,14.0,4.0,10.0,3.7,-0.3,0,19.0,47,89.0,7.0,3167.2,21.0,833.2,33,1.0,5.0,79.4
Vitezslav Jaros,Ajax,UEFA Champions League,GK,Goalkeeper,CZE,24,180,10.0,6.0,4.0,3.9,-2.1,0,6.0,21,87.0,8.0,2502.2,5.0,168.2,10,1.0,1.0,25.0
Wessel Speel,Shelbourne FC,UEFA Europa Conference League,GK,Goalkeeper,NED,24,180,4.0,1.0,4.0,0.7,-0.3,1,12.0,38,40.0,3.0,1686.8,21.0,1133.4,22,1.0,0.0,0.0
Wladimiro Falcone,Lecce,Italian Serie A,GK,Goalkeeper,ITA,30,630,31.0,10.0,21.0,10.2,0.2,3,43.0,139,188.0,21.0,8190.1,24.0,1248.3,95,5.0,8.0,145.8
Wojciech Szczęsny,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,POL,35,450,20.0,9.0,11.0,8.4,-0.6,0,9.0,34,149.0,21.0,3862.1,26.0,624.7,49,2.0,14.0,341.4
Yann Sommer,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,SUI,36,720,28.0,7.0,21.0,8.3,1.3,5,24.0,66,259.0,29.0,7444.2,38.0,1119.0,85,4.0,3.0,92.1
Yehvann Diouf,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SEN,25,990,56.0,20.0,36.0,17.4,-2.6,1,41.0,115,339.0,53.0,9998.7,47.0,1983.1,180,12.0,12.0,237.7
Yvon Mvogo,Lorient,French Ligue 1,GK,Goalkeeper,SUI,31,450,17.0,11.0,7.0,7.0,-4.0,0,19.0,53,158.0,16.0,4937.1,11.0,550.7,79,7.0,4.0,61.8
Zion Suzuki,Parma,Italian Serie A,GK,Goalkeeper,JPN,23,630,31.0,7.0,23.0,8.3,1.3,2,53.0,149,221.0,24.0,9029.9,57.0,3394.9,100,8.0,15.0,346.8
Zlatan Alomerović,AÉK Lárnaka,UEFA Europa Conference League,GK,Goalkeeper,GER,34,180,3.0,0.0,3.0,0.5,0.5,2,8.0,25,45.0,8.0,1668.6,13.0,661.1,31,3.0,2.0,33.4
Álex Remiro,Real Sociedad,Spanish La Liga,GK,Goalkeeper,ESP,30,810,33.0,13.0,21.0,11.2,-1.8,1,48.0,98,249.0,30.0,7794.4,55.0,2270.9,90,2.0,21.0,420.9
Álvaro Vallés,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ESP,28,450,15.0,5.0,11.0,2.9,-2.1,2,8.0,36,151.0,19.0,4256.7,27.0,964.3,64,1.0,7.0,92.8
Ørjan Nyland,Sevilla,Spanish La Liga,GK,Goalkeeper,NOR,35,360,16.0,7.0,9.0,6.3,-0.7,1,13.0,48,114.0,13.0,4025.7,16.0,897.9,51,0.0,5.0,94.9
Đorđe Petrović,Bournemouth,English Premier League,GK,Goalkeeper,SRB,26,720,34.0,11.0,23.0,11.7,0.7,3,32.0,104,193.0,42.0,6363.2,60.0,3149.3,102,13.0,18.0,280.6
Łukasz Skorupski,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,POL,34,810,32.0,8.0,23.0,8.2,0.2,2,39.0,105,362.0,36.0,11232.6,38.0,1507.8,87,5.0,5.0,76.6
Žan Leban,NK Celje,UEFA Europa Conference League,GK,Goalkeeper,SVN,23,180,8.0,1.0,7.0,1.9,0.9,1,5.0,15,56.0,8.0,1546.2,11.0,407.1,30,1.0,3.0,53.4
