Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aaron Ramsdale,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,25,45.9,630,7,6.56
Aarón Escandell,Las Palmas,Spanish La Liga,GK,Goalkeeper,ESP,28,12.39,153,2,6.2
Aitor Fernández,Osasuna,Spanish La Liga,GK,Goalkeeper,ESP,33,44.92,551,7,6.42
Alaa Bellaarouch,Strasbourg,French Ligue 1,GK,Goalkeeper,MAR,22,93.61,1350,15,6.24
Alban Lafont,Nantes,French Ligue 1,GK,Goalkeeper,FRA,25,180.24,2496,28,6.44
Alberto Brignoli,Panathinaikos,UEFA Europa League,GK,Goalkeeper,ITA,32,32.42,450,5,6.48
Alessandro Sorrentino,Monza,Italian Serie A,GK,Goalkeeper,ITA,22,42.49,548,7,6.07
Alessio Cragno,Sassuolo,Italian Serie A,GK,Goalkeeper,ITA,29,18.57,270,3,6.19
Alex Meret,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,27,247.44,3493,39,6.34
Alexander Brunst,Darmstadt 98,German Bundesliga,GK,Goalkeeper,GER,28,18.32,270,3,6.11
Alexander Meyer,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,33,58.23,785,9,6.47
Alexander Nübel,Stuttgart,German Bundesliga,GK,Goalkeeper,GER,27,193.3,2700,30,6.44
Alexander Schlager,RB Salzburg,UEFA Champions League,GK,Goalkeeper,AUT,27,42.21,540,6,7.04
Alexander Schwolow,Union Berlin,German Bundesliga,GK,Goalkeeper,GER,31,6.07,90,1,6.07
Alexandre Oukidja,Metz,French Ligue 1,GK,Goalkeeper,ALG,35,219.45,2987,34,6.45
Alexandros Paschalakis,Olympiacos,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,GRE,34,55.7,810,9,6.19
Aleš Mandous,Slavia Prague,UEFA Europa League,GK,Goalkeeper,CZE,31,39.52,540,6,6.59
Alisson,Liverpool,"English Premier League, UEFA Europa League",GK,Goalkeeper,BRA,31,196.6,2700,30,6.55
Alphonse Areola,West Ham,"English Premier League, UEFA Europa League",GK,Goalkeeper,FRA,31,209.5,2789,32,6.55
Amir Saipi,Lugano,UEFA Europa Conference League,GK,Goalkeeper,KVX,23,36.76,540,6,6.13
Anatolii Trubin,Benfica,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,UKR,22,81.27,1080,12,6.77
Andrea Consigli,Sassuolo,Italian Serie A,GK,Goalkeeper,ITA,37,217.55,3150,35,6.22
Andreas Hansen,Nordsjælland,UEFA Europa Conference League,GK,Goalkeeper,DEN,28,31.44,450,5,6.29
Andreas Luthe,Bochum,German Bundesliga,GK,Goalkeeper,GER,36,5.74,90,1,5.74
