Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Liberato Cacace,J1,LB,Defender,Empoli,Italian Serie A,78.0,6.49,22,NZL
Sebastiano Luperto,J1,CB,Defender,Empoli,Italian Serie A,90.0,5.79,26,ITA
Ardian Ismajli,J1,CB,Defender,Empoli,Italian Serie A,90.0,5.92,26,ALB
Tyronne Ebuehi,J1,RB,Defender,Empoli,Italian Serie A,90.0,5.72,27,NGA
Paweł Dawidowicz,J1,CB,Defender,Hellas Verona,Italian Serie A,90.0,6.57,28,POL
Giangiacomo Magnani,J1,CB,Defender,Hellas Verona,Italian Serie A,90.0,5.69,27,ITA
Diego Coppola,J1,CB,Defender,Hellas Verona,Italian Serie A,90.0,6.37,19,ITA
Charalampos Lykogiannis,J1,LB,Defender,Bologna,Italian Serie A,86.0,6.18,29,GRE
Jhon Lucumí,J1,CB,Defender,Bologna,Italian Serie A,90.0,6.61,25,COL
Sam Beukema,J1,CB,Defender,Bologna,Italian Serie A,90.0,6.79,24,NED
Stefan Posch,J1,RB,Defender,Bologna,Italian Serie A,90.0,6.71,26,AUT
Theo Hernández,J1,LB,Defender,Milan,Italian Serie A,90.0,6.5,25,FRA
Fikayo Tomori,J1,CB,Defender,Milan,Italian Serie A,90.0,6.38,25,ENG
Malick Thiaw,J1,CB,Defender,Milan,Italian Serie A,87.0,6.65,22,GER
Davide Calabria,J1,RB,Defender,Milan,Italian Serie A,72.0,6.55,26,ITA
Adam Marušić,J10,LB,Defender,Lazio,Italian Serie A,90.0,6.37,31,MNE
Alessio Romagnoli,J10,CB,Defender,Lazio,Italian Serie A,90.0,6.68,28,ITA
Patric,J10,CB,Defender,Lazio,Italian Serie A,90.0,6.66,30,ESP
Manuel Lazzari,J10,RB,Defender,Lazio,Italian Serie A,90.0,5.84,29,ITA
Cristiano Biraghi,J10,LB,Defender,Fiorentina,Italian Serie A,78.0,6.37,31,ITA
Nikola Milenković,J10,CB,Defender,Fiorentina,Italian Serie A,90.0,6.63,26,SRB
Lucas Martínez Quarta,J10,CB,Defender,Fiorentina,Italian Serie A,90.0,6.72,27,ARG
Fabiano Parisi,J10,RB,Defender,Fiorentina,Italian Serie A,90.0,7.04,22,ITA
Rico Henry,J1,LB,Defender,Brentford,English Premier League,90.0,7.14,26,ENG
Kristoffer Ajer,J1,CB,Defender,Brentford,English Premier League,83.0,5.95,25,NOR
Ethan Pinnock,J1,CB,Defender,Brentford,English Premier League,90.0,6.29,30,JAM
Nathan Collins,J1,CB,Defender,Brentford,English Premier League,90.0,6.68,22,IRL
Aaron Hickey,J1,RB,Defender,Brentford,English Premier League,71.0,6.56,21,SCO
Destiny Udogie,J1,LB,Defender,Tottenham,English Premier League,90.0,6.91,20,ITA
Micky van de Ven,J1,CB,Defender,Tottenham,English Premier League,90.0,6.88,22,NED
Davinson Sánchez,J1,CB,Defender,Tottenham,English Premier League,77.0,6.68,27,COL
Emerson,J1,RB,Defender,Tottenham,English Premier League,90.0,7.46,24,BRA
Levi Colwill,J1,CB,Defender,Chelsea,English Premier League,90.0,6.8,20,ENG
Thiago Silva,J1,CB,Defender,Chelsea,English Premier League,90.0,7.52,38,BRA
Axel Disasi,J1,CB,Defender,Chelsea,English Premier League,90.0,7.26,25,FRA
Andrew Robertson,J1,LB,Defender,Liverpool,English Premier League,90.0,7.43,29,SCO
Virgil van Dijk,J1,CB,Defender,Liverpool,English Premier League,90.0,6.78,32,NED
Ibrahima Konaté,J1,CB,Defender,Liverpool,English Premier League,90.0,6.51,24,FRA
Trent Alexander-Arnold,J1,RB,Defender,Liverpool,English Premier League,90.0,6.86,24,ENG
Luke Shaw,J1,LB,Defender,Manchester Utd,English Premier League,90.0,7.33,28,ENG
Lisandro Martínez,J1,CB,Defender,Manchester Utd,English Premier League,45.0,6.42,25,ARG
Victor Lindelöf,J1,CB,Defender,Manchester Utd,English Premier League,45.0,5.46,29,SWE
Raphaël Varane,J1,CB,Defender,Manchester Utd,English Premier League,90.0,6.47,30,FRA
Aaron Wan-Bissaka,J1,RB,Defender,Manchester Utd,English Premier League,90.0,7.27,25,ENG
Rayan Aït-Nouri,J1,LB,Defender,Wolves,English Premier League,76.0,7.19,22,ALG
Max Kilman,J1,CB,Defender,Wolves,English Premier League,90.0,7.12,26,ENG
Craig Dawson,J1,CB,Defender,Wolves,English Premier League,90.0,7.22,33,ENG
Nélson Semedo,J1,RB,Defender,Wolves,English Premier League,90.0,7.43,29,POR
Scott McKenna,J2,CB,Defender,Nott'ham Forest,English Premier League,90.0,7.15,26,SCO
Joe Worrall,J2,CB,Defender,Nott'ham Forest,English Premier League,90.0,6.86,26,ENG
Willy Boly,J2,CB,Defender,Nott'ham Forest,English Premier League,68.0,6.54,32,CIV
Jack Robinson,J2,CB,Defender,Sheffield Utd,English Premier League,90.0,6.58,29,ENG
John Egan,J2,CB,Defender,Sheffield Utd,English Premier League,90.0,6.5,30,IRL
Anel Ahmedhodžić,J2,CB,Defender,Sheffield Utd,English Premier League,90.0,6.92,24,BIH
Rayan Aït-Nouri,J2,LB,Defender,Wolves,English Premier League,85.0,6.74,22,ALG
Max Kilman,J2,CB,Defender,Wolves,English Premier League,90.0,6.91,26,ENG
Craig Dawson,J2,CB,Defender,Wolves,English Premier League,70.0,6.27,33,ENG
Toti Gomes,J2,CB,Defender,Wolves,English Premier League,20.0,6.56,24,POR
Nélson Semedo,J2,RB,Defender,Wolves,English Premier League,90.0,7.05,29,POR
Pervis Estupiñán,J2,LB,Defender,Brighton,English Premier League,90.0,7.21,25,ECU
Lewis Dunk,J2,CB,Defender,Brighton,English Premier League,90.0,7.11,31,ENG
Adam Webster,J2,CB,Defender,Brighton,English Premier League,90.0,7.02,28,ENG
James Milner,J2,RB,Defender,Brighton,English Premier League,56.0,6.68,37,ENG
Joël Veltman,J2,RB,Defender,Brighton,English Premier League,34.0,6.98,31,NED
Calvin Bassey,J2,CB,Defender,Fulham,English Premier League,24.0,6.73,23,NGA
Antonee Robinson,J2,LB,Defender,Fulham,English Premier League,90.0,6.34,26,USA
Tim Ream,J2,CB,Defender,Fulham,English Premier League,63.0,6.68,35,USA
Issa Diop,J2,CB,Defender,Fulham,English Premier League,90.0,6.56,26,FRA
Kenny Tete,J2,RB,Defender,Fulham,English Premier League,85.0,7.1,27,NED
Rico Henry,J2,LB,Defender,Brentford,English Premier League,90.0,6.6,26,ENG
Ethan Pinnock,J2,CB,Defender,Brentford,English Premier League,90.0,7.19,30,JAM
Nathan Collins,J2,CB,Defender,Brentford,English Premier League,90.0,6.78,22,IRL
Aaron Hickey,J2,RB,Defender,Brentford,English Premier League,77.0,5.87,21,SCO
Andrew Robertson,J2,LB,Defender,Liverpool,English Premier League,90.0,7.53,29,SCO
Virgil van Dijk,J2,CB,Defender,Liverpool,English Premier League,90.0,6.88,32,NED
Ibrahima Konaté,J2,CB,Defender,Liverpool,English Premier League,90.0,6.56,24,FRA
Trent Alexander-Arnold,J2,RB,Defender,Liverpool,English Premier League,74.0,6.95,24,ENG
Milos Kerkez,J2,LB,Defender,Bournemouth,English Premier League,90.0,7.24,19,HUN
Marcos Senesi,J2,CB,Defender,Bournemouth,English Premier League,83.0,7.03,26,ARG
Illia Zabarnyi,J2,CB,Defender,Bournemouth,English Premier League,90.0,6.69,20,UKR
Max Aarons,J2,RB,Defender,Bournemouth,English Premier League,90.0,7.18,23,ENG
Destiny Udogie,J2,LB,Defender,Tottenham,English Premier League,69.0,6.69,20,ITA
Ben Davies,J2,LB,Defender,Tottenham,English Premier League,21.0,6.95,30,WAL
Micky van de Ven,J2,CB,Defender,Tottenham,English Premier League,90.0,6.68,22,NED
Cristian Romero,J2,CB,Defender,Tottenham,English Premier League,90.0,7.15,25,ARG
Pedro Porro,J2,RB,Defender,Tottenham,English Premier League,87.0,7.14,23,ESP
Luke Shaw,J2,LB,Defender,Manchester Utd,English Premier League,90.0,7.02,28,ENG
Lisandro Martínez,J2,CB,Defender,Manchester Utd,English Premier League,90.0,6.95,25,ARG
Raphaël Varane,J2,CB,Defender,Manchester Utd,English Premier League,90.0,6.64,30,FRA
Aaron Wan-Bissaka,J2,RB,Defender,Manchester Utd,English Premier League,65.0,6.66,25,ENG
Diogo Dalot,J2,RB,Defender,Manchester Utd,English Premier League,25.0,6.87,24,POR
Joško Gvardiol,J2,LB,Defender,Manchester City,English Premier League,90.0,6.55,21,CRO
