Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Elia Caprile,J1,GK,Goalkeeper,Empoli,Italian Serie A,90,6.41,21,ITA
Lorenzo Montipò,J1,GK,Goalkeeper,Hellas Verona,Italian Serie A,90,7.14,27,ITA
Łukasz Skorupski,J1,GK,Goalkeeper,Bologna,Italian Serie A,90,6.22,32,POL
Mike Maignan,J1,GK,Goalkeeper,Milan,Italian Serie A,90,7.21,28,FRA
Ivan Provedel,J10,GK,Goalkeeper,Lazio,Italian Serie A,90,7.06,29,ITA
Pietro Terracciano,J10,GK,Goalkeeper,Fiorentina,Italian Serie A,90,6.7,33,ITA
Mark Flekken,J1,GK,Goalkeeper,Brentford,English Premier League,90,6.32,30,NED
Guglielmo Vicario,J1,GK,Goalkeeper,Tottenham,English Premier League,90,6.49,26,ITA
Robert Sánchez,J1,GK,Goalkeeper,Chelsea,English Premier League,90,6.47,25,ESP
Alisson,J1,GK,Goalkeeper,Liverpool,English Premier League,90,6.69,30,BRA
André Onana,J1,GK,Goalkeeper,Manchester Utd,English Premier League,90,7.36,27,CMR
José Sá,J1,GK,Goalkeeper,Wolves,English Premier League,90,6.47,30,POR
Matt Turner,J2,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,6.84,29,USA
Wes Foderingham,J2,GK,Goalkeeper,Sheffield Utd,English Premier League,90,6.59,32,ENG
José Sá,J2,GK,Goalkeeper,Wolves,English Premier League,90,6.03,30,POR
Jason Steele,J2,GK,Goalkeeper,Brighton,English Premier League,90,6.94,33,ENG
Bernd Leno,J2,GK,Goalkeeper,Fulham,English Premier League,90,6.73,31,GER
Mark Flekken,J2,GK,Goalkeeper,Brentford,English Premier League,90,6.96,30,NED
Alisson,J2,GK,Goalkeeper,Liverpool,English Premier League,90,6.91,30,BRA
Neto,J2,GK,Goalkeeper,Bournemouth,English Premier League,90,6.77,34,BRA
Guglielmo Vicario,J2,GK,Goalkeeper,Tottenham,English Premier League,90,7.34,26,ITA
André Onana,J2,GK,Goalkeeper,Manchester Utd,English Premier League,90,6.49,27,CMR
Ederson,J2,GK,Goalkeeper,Manchester City,English Premier League,90,7.08,30,BRA
Nick Pope,J2,GK,Goalkeeper,Newcastle Utd,English Premier League,90,6.71,31,ENG
Emiliano Martínez,J2,GK,Goalkeeper,Aston Villa,English Premier League,90,7.18,30,ARG
Jordan Pickford,J2,GK,Goalkeeper,Everton,English Premier League,90,5.83,29,ENG
Łukasz Skorupski,J11,GK,Goalkeeper,Bologna,Italian Serie A,90,6.76,32,POL
Ivan Provedel,J11,GK,Goalkeeper,Lazio,Italian Serie A,90,6.02,29,ITA
Alphonse Areola,J2,GK,Goalkeeper,West Ham,English Premier League,90,6.86,30,FRA
Robert Sánchez,J2,GK,Goalkeeper,Chelsea,English Premier League,90,6.01,25,ESP
Sam Johnstone,J2,GK,Goalkeeper,Crystal Palace,English Premier League,90,6.73,30,ENG
