Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aapo Halme,HJK,UEFA Europa Conference League,CB,Defender,FIN,25,18.42,265,3,6.14
Aaron Cresswell,West Ham,"English Premier League, UEFA Europa League",LB,Defender,ENG,34,106.32,852,17,6.25
Aaron Hickey,Brentford,English Premier League,RB,Defender,SCO,21,57.33,713,9,6.37
Aaron Malouda,Lille,"French Ligue 1, UEFA Europa Conference League",LW,Forward,FRA,17,11.3,27,2,5.65
Aaron Ramsey,Burnley,English Premier League,AM,Forward,ENG,21,87.93,527,14,6.28
Aaron Seydel,Darmstadt 98,German Bundesliga,AM,Forward,GER,28,99.92,619,16,6.24
Aaron Wan-Bissaka,Manchester Utd,"English Premier League, UEFA Champions League",RB,Defender,ENG,26,174.98,1992,25,7.0
Aarón Martín,Genoa,Italian Serie A,WB,Midfielder,ESP,27,135.38,1376,22,6.15
Abakar Sylla,Strasbourg,French Ligue 1,CB,Defender,CIV,21,143.9,1792,22,6.54
Abat Ajymbetow,Astana FK,UEFA Europa Conference League,AM,Forward,KAZ,28,34.15,99,6,5.69
Abdallah Sima,Rangers,UEFA Europa League,LW,Forward,SEN,22,39.29,520,6,6.55
Abde Ezzalzouli,"Barcelona, Betis","Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",LW,Forward,MAR,22,236.41,1465,36,6.57
Abdel Abqar,Alavés,Spanish La Liga,CB,Defender,MAR,25,167.59,2312,27,6.21
Abdellah Baallal,Clermont Foot,French Ligue 1,CM,Midfielder,MAR,19,6.05,4,1,6.05
Abdellah Raihani,Atlético Madrid,Spanish La Liga,AM,Forward,MAR,20,6.08,10,1,6.08
Abdellah Zoubir,Qarabağ,UEFA Europa League,LW,Forward,FRA,32,66.88,913,10,6.69
Abderrahman Rebbach,Alavés,Spanish La Liga,LW,Forward,ALG,25,145.97,722,23,6.35
Abdou Harroui,Frosinone,Italian Serie A,AM,Forward,NED,26,117.17,1019,18,6.51
Abdoul Kader Bamba,Nantes,French Ligue 1,AM,Forward,FRA,29,149.02,611,23,6.48
Abdoul Koné,Reims,French Ligue 1,RB,Defender,FRA,19,19.49,193,3,6.5
Abdoulaye Doucouré,Everton,English Premier League,AM,Forward,MLI,31,216.25,2629,32,6.76
Abdoulaye Seck,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",CB,Defender,SEN,31,55.18,791,9,6.13
Abdoulaye Touré,Le Havre,French Ligue 1,CM,Midfielder,GUI,30,193.7,2284,30,6.46
Abdukodir Khusanov,Lens,"French Ligue 1, UEFA Champions League, UEFA Europa League",CB,Defender,UZB,20,93.63,961,15,6.24
Abdul Mumin,Rayo Vallecano,Spanish La Liga,CB,Defender,GHA,25,127.45,1694,20,6.37
Abdulrazaq Ishaq,Häcken,UEFA Europa League,RB,Defender,NGA,21,33.17,221,5,6.63
