Player,Nation,Team,General Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Ben Hatton,0,Rotherham Utd,Midfielder,0.0,0,3,0,5,66,66,66,66,66,66,50,66,66,66,100,100,66,66,50,50,66,50,50,50,66,66,50,66,66,66,66,66,66,66,66,66,66,50,66,66,66,66,66,100,66,66,66,66,100,66,66,66,66,33,66,66,66,66,66,66,66,66,66,66,66,100,66,66,33,50,66,66,66,66,66,66,66,83,83,83,50,66,66
Bobby Thomas,ENG,Coventry City,Defender,0.0,0,44,42,3759,100,100,83,100,58,58,83,83,83,83,83,83,83,83,100,83,58,83,100,100,66,100,66,83,50,50,83,83,66,100,66,66,33,66,66,83,16,83,83,83,83,50,83,83,83,83,83,66,58,33,33,83,33,58,58,33,100,16,58,83,16,66,50,50,50,66,58,66,83,100,16,16,58,66,66,66,66,83,83
Connor O'Riordan,IRL,Blackburn,Defender,0.0,0,2,0,42,50,50,41,50,58,58,41,41,66,50,66,50,66,50,83,50,58,100,50,33,100,50,83,41,100,25,33,41,33,50,25,25,75,33,100,66,66,16,50,66,16,66,41,16,100,100,33,33,58,83,75,66,75,58,58,75,41,66,58,41,66,33,83,66,83,100,58,100,33,50,83,66,58,83,91,91,100,33,100
Dayro Pena,0,Tigre,Forward,0.0,0,2,0,44,43,31,31,43,56,56,87,43,81,75,62,62,87,87,87,87,43,31,100,87,31,37,75,87,75,31,37,31,37,37,31,100,12,31,31,87,56,87,37,75,50,87,100,87,100,100,87,75,100,87,81,75,75,56,56,12,87,56,56,56,56,37,87,31,87,75,56,75,37,43,62,68,56,100,87,100,100,37,100
Ezechiel Fiemawhle,0,Volendam,Forward,0.0,0,2,0,37,43,31,31,43,56,56,18,43,25,37,25,25,50,75,31,62,43,87,31,31,87,87,31,25,25,87,37,100,37,37,100,62,87,87,31,100,56,25,37,100,25,25,37,25,25,25,25,25,25,12,81,25,75,56,56,87,25,56,56,56,56,18,100,31,25,25,56,87,37,43,75,68,56,25,100,37,31,37,25
Facundo Altamira,0,Godoy Cruz,Forward,0.0,0,21,19,1499,87,75,87,87,56,56,50,87,50,50,50,50,62,50,62,37,87,62,62,62,62,75,62,50,50,62,75,62,75,75,62,37,62,62,75,62,56,50,100,50,37,50,50,50,62,62,50,50,50,50,25,62,37,56,56,50,62,56,56,56,56,62,75,75,37,50,56,37,75,87,12,37,56,62,37,62,62,75,62
Gerard Buabo,0,Ipswich Town,Forward,0.0,0,1,0,4,43,31,31,43,56,56,100,43,81,87,100,100,18,18,31,18,43,31,31,31,31,37,31,25,100,31,37,31,37,37,31,18,87,31,31,25,56,75,37,18,100,75,18,75,25,25,62,25,25,87,81,87,75,56,56,87,100,56,56,56,56,100,25,100,87,87,56,18,37,43,87,68,56,37,25,18,31,37,25
James Wilson,0,Middlesbrough,Defender,0.0,0,1,0,1,50,50,41,50,58,58,41,41,100,100,100,100,100,100,25,16,58,41,50,33,33,50,16,41,25,25,33,41,33,50,25,25,75,33,25,16,66,100,100,100,100,16,41,100,41,41,100,33,58,83,75,100,75,58,58,75,41,66,58,41,66,100,16,16,83,16,58,33,33,50,100,66,58,100,91,91,25,33,41
Jeremias Merlo,0,Gimnasia–LP,Forward,0.0,0,4,1,52,43,62,75,43,56,56,37,43,37,25,37,37,37,37,31,50,43,31,31,31,31,37,31,62,37,31,37,31,37,37,31,50,50,31,100,25,56,37,37,37,75,37,87,37,87,87,37,62,87,25,12,37,75,56,56,37,25,56,56,56,56,50,25,31,12,37,56,62,37,43,50,18,56,50,62,50,31,37,81
Joseph James,0,Bristol City,Defender,0.0,0,2,1,77,50,50,41,50,58,58,41,41,50,66,50,66,50,66,25,33,58,41,50,33,33,50,50,41,83,100,33,41,100,50,100,100,16,83,50,50,66,66,16,50,66,100,41,66,41,41,66,100,58,16,75,33,75,58,58,75,41,66,58,41,66,83,33,83,33,50,58,33,33,50,50,66,58,16,16,16,25,33,41
Leandro Olima,0,Atlé Tucumán,Midfielder,0.0,0,1,0,1,66,66,66,66,66,66,50,66,33,33,33,33,33,33,50,50,66,50,50,50,66,66,50,66,66,66,66,66,66,66,66,66,66,50,66,66,66,33,66,50,33,33,66,33,33,66,33,66,66,83,66,33,66,66,66,66,66,66,66,66,66,50,66,66,83,50,66,66,66,66,100,66,66,33,33,33,50,66,66
Ronaldo Dejesús,PAR,py Cerro Porteño,Defender,0.0,0,2,1,106,50,50,100,50,58,58,100,100,33,33,33,33,33,33,66,66,58,41,50,66,83,50,33,100,66,66,66,100,33,50,50,50,75,100,25,33,66,50,33,16,33,83,100,50,41,41,50,83,58,50,16,50,16,58,58,16,83,66,58,100,66,50,100,33,16,33,58,83,66,50,33,66,58,50,50,33,83,66,41
Santiago Morales,0,Sarmiento,Defender,0.0,0,1,0,49,50,50,41,50,58,58,41,41,16,16,16,16,16,16,50,100,58,41,50,83,33,50,100,41,25,83,100,41,83,50,83,83,75,33,83,100,66,33,66,33,50,33,41,33,41,41,16,33,58,83,75,16,75,58,58,75,41,66,58,41,66,16,66,100,83,83,58,33,100,50,66,66,58,33,33,50,50,100,41
Sjors Hermsen,0,Fortuna Sittard,Forward,0.0,0,1,0,1,43,31,31,43,56,56,18,43,12,12,12,12,18,18,31,18,43,31,31,31,31,37,31,25,12,31,37,31,37,37,31,18,87,31,31,25,56,12,37,18,12,12,18,12,25,25,12,25,25,87,81,12,75,56,56,87,25,56,56,56,56,18,25,31,87,12,56,18,37,43,100,68,56,12,12,18,31,37,25
Tyger Smalls,0,Charlotte,Forward,0.0,0,15,1,225,43,87,62,43,56,56,62,43,62,62,75,75,75,62,75,75,43,75,75,75,75,37,87,75,62,100,100,87,87,100,75,87,25,100,87,75,56,62,87,87,62,62,62,62,75,75,75,87,75,37,37,50,12,56,56,25,75,56,56,56,56,75,50,87,50,62,56,50,100,43,37,18,56,87,75,87,87,100,81
Victor Enriquez,0,Portland Timbers,Midfielder,0.0,0,1,0,6,66,66,66,66,66,66,100,66,100,100,66,66,100,100,100,100,66,100,100,100,66,66,100,66,66,66,66,66,66,66,66,66,66,100,66,66,66,100,66,50,100,100,66,100,66,66,100,66,66,83,66,100,66,66,66,66,66,66,66,66,66,50,66,66,83,100,66,66,66,66,33,66,66,83,83,83,100,66,66
Younes Taha El Idrissi,MAR,Twente,Forward,0.0,0,20,2,468,100,100,100,100,56,56,75,100,100,100,87,87,100,100,100,100,100,100,87,100,100,100,100,100,87,75,87,75,100,87,87,75,37,75,62,50,56,100,75,62,87,100,75,100,50,50,100,100,62,62,50,100,25,56,56,62,50,56,56,56,56,87,62,62,62,100,56,100,87,100,25,100,56,75,50,75,75,87,50
