Player,Nation,Team,General Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Ben Hatton,0,Rotherham Utd,Midfielder,0.0,0,3,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,54.0,54.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,18.0,72.0,36.0,0.0,126.0,18.0,0.0,54.0,0.0,0.0,18.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Bobby Thomas,ENG,Coventry City,Defender,0.0,0,44,42,3759,0.05,0.06,0.65,0.12,0.0,0.0,0.72,0.02,47.98,59.74,14.87,17.17,27.63,30.93,5.0,10.18,0.0,0.04,0.22,3.83,0.36,0.05,3.88,0.69,0.36,1.51,0.98,1.05,0.41,0.05,0.96,1.51,0.55,1.92,1.29,4.55,0.07,71.06,9.48,38.45,29.28,3.76,1.25,71.06,0.36,0.22,39.65,0.55,0.0,0.93,0.14,45.56,0.22,0.0,0.0,0.93,0.96,0.05,0.0,0.02,0.05,5.34,2.44,1.7,1.08,4.93,0.0,0.41,0.98,0.05,0.02,-0.17,0.0,80.31,86.6,89.33,49.12,64.9,61.11
Connor O'Riordan,IRL,Blackburn,Defender,0.0,0,2,0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14,34.29,12.86,12.86,15.0,15.0,4.29,4.29,0.0,0.21,0.0,0.0,2.14,0.0,4.29,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,2.14,0.0,38.57,4.29,27.86,6.43,4.29,0.0,38.57,2.14,2.14,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,4.29,2.14,0.0,6.43,0.0,2.14,0.0,0.0,2.14,0.0,0.0,93.73,100.0,100.0,100.0,0.0,100.0
Dayro Pena,0,Tigre,Forward,0.0,0,2,0,44,0.0,0.0,0.0,0.0,0.0,0.0,6.14,0.0,22.5,28.64,10.23,12.27,8.18,10.23,4.09,6.14,0.0,0.0,4.09,2.05,0.0,0.0,2.05,6.14,10.23,0.0,0.0,0.0,0.0,0.0,0.0,4.09,4.09,0.0,0.0,2.05,0.0,47.05,0.0,6.14,16.36,26.59,8.18,47.05,12.27,6.14,30.68,2.05,4.09,0.0,0.0,28.64,0.0,0.0,0.0,4.09,2.05,0.0,0.0,0.0,0.0,2.05,2.05,0.0,0.0,18.41,0.0,4.09,0.0,0.0,2.05,0.0,0.0,78.56,83.37,79.96,66.61,0.0,50.04
Ezechiel Fiemawhle,0,Volendam,Forward,0.0,0,2,0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,17.03,2.43,2.43,2.43,7.3,0.0,2.43,0.0,0.24,0.0,0.0,2.43,2.43,0.0,0.0,4.86,2.43,0.0,2.43,0.0,0.0,2.43,2.43,0.0,2.43,0.0,2.43,0.0,29.19,0.0,9.73,7.3,12.16,2.43,29.19,0.0,0.0,12.16,0.0,0.0,7.3,0.0,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,7.3,4.86,0.0,4.86,0.0,0.0,2.43,0.0,0.0,28.54,100.0,33.29,0.0,0.0,0.0
Facundo Altamira,0,Godoy Cruz,Forward,0.0,0,21,19,1499,0.18,0.2,1.74,0.66,0.0,0.0,1.74,0.18,12.37,20.95,8.11,11.29,2.82,5.04,0.72,1.62,0.06,0.05,0.9,0.96,0.78,0.42,1.2,2.58,9.19,1.62,0.96,0.42,0.9,0.3,0.54,1.08,0.54,0.84,0.42,0.9,0.0,35.36,0.84,3.96,13.69,18.91,3.18,35.36,4.62,2.04,21.01,1.56,1.08,3.9,2.04,25.1,0.18,0.0,0.0,1.32,0.78,0.0,0.0,0.0,0.0,3.9,1.68,1.56,5.94,12.97,0.0,2.28,0.96,0.18,0.06,-0.1,0.0,59.05,71.83,55.95,44.44,59.26,44.16
Gerard Buabo,0,Ipswich Town,Forward,0.0,0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,22.5,45.0,22.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,22.5,22.5,0.0,45.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,22.5,0.0,22.5,0.0,22.5,0.0,0.0,0.0,0.0,22.5,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
James Wilson,0,Middlesbrough,Defender,0.0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,540.0,270.0,270.0,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,270.0,540.0,90.0,0.0,0.0,630.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Jeremias Merlo,0,Gimnasia–LP,Forward,0.0,0,4,1,52,0.0,0.17,1.73,0.0,0.0,0.0,1.73,0.0,6.92,12.12,5.19,6.92,1.73,3.46,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,5.19,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1.73,0.0,1.73,0.0,0.0,32.88,0.0,3.46,17.31,13.85,6.92,32.88,10.38,5.19,17.31,1.73,3.46,5.19,5.19,19.04,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,10.38,8.65,0.0,3.46,0.0,0.0,1.73,-1.0,0.0,57.1,75.0,50.0,0.0,0.0,50.0
Joseph James,0,Bristol City,Defender,0.0,0,2,1,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55,45.58,10.52,15.19,14.03,23.38,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,1.17,2.34,0.0,0.0,2.34,0.0,2.34,3.51,1.17,2.34,1.17,1.17,0.0,59.61,2.34,24.55,25.71,9.35,0.0,59.61,0.0,0.0,22.21,2.34,0.0,1.17,0.0,22.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,2.34,4.68,1.17,3.51,0.0,0.0,0.0,0.0,1.17,0.0,0.0,53.86,69.26,60.01,0.0,0.0,0.0
