Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Aaron Anselmino,ARG,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,20,172,1,44,42,67,74,77,68
Aaron Hickey,SCO,Brentford,English Premier League,LB,Defender,23,257,1,49,42,28,26,66,47
Aaron McEneff,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,30,134,1,40,18,20,6,25,21
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,RB,Defender,27,561,1,44,70,47,61,44,50
Aaron Zehnter,GER,Wolfsburg,German Bundesliga,LB,Defender,21,538,1,90,68,41,55,39,51
Aarón Martín,ESP,Genoa,Italian Serie A,LB,Defender,28,671,1,44,90,61,56,43,52
Abdallah Sima,SEN,Lens,French Ligue 1,AM,Forward,24,128,1,86,43,51,51,55,59
Abde Ezzalzouli,MAR,Betis,"Spanish La Liga, UEFA Europa League",LW,Forward,23,739,1,78,76,61,80,76,75
Abde Rebbach,ALG,Alavés,Spanish La Liga,LM,Midfielder,27,404,1,44,69,51,69,61,59
Abdel Abqar,MAR,Getafe,Spanish La Liga,CB,Defender,26,507,1,46,48,29,14,75,48
Abdelhamid Ait Boudlal,MAR,Rennes,French Ligue 1,CB,Defender,19,288,1,89,53,42,33,51,51
Abdelhamid Sabiri,MAR,Fiorentina,Italian Serie A,CM,Midfielder,28,27,1,53,50,74,43,60,57
Abdellah Zoubir,FRA,Qarabağ,UEFA Champions League,LW,Forward,33,343,1,53,61,61,71,43,59
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,CM,Midfielder,27,47,1,46,67,79,91,58,68
Abdou Harroui,NED,Hellas Verona,Italian Serie A,CM,Midfielder,27,140,1,48,32,20,45,56,42
Abdoul Coulibaly,GER,Werder Bremen,German Bundesliga,CB,Defender,18,802,1,78,40,53,55,40,51
Abdoul Ouattara,FRA,Strasbourg,"French Ligue 1, UEFA Europa Conference League",WB,Midfielder,20,793,1,84,50,40,43,45,49
Abdoulaye Bamba,CIV,Angers,French Ligue 1,RB,Defender,35,10,1,44,21,25,52,11,27
Abdoulaye Faye,SEN,Lorient,French Ligue 1,CB,Defender,21,573,1,43,42,46,47,63,52
Abdoulaye Niakhate Ndiaye,SEN,Parma,Italian Serie A,CB,Defender,23,496,1,33,27,40,46,72,52
Abdoulaye Sylla,GUI,Sigma Olomouc,UEFA Europa Conference League,CB,Defender,25,270,1,94,36,20,15,61,46
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,CM,Midfielder,31,684,1,82,46,45,43,47,50
Abdoulie Ceesay,GAM,St. Pauli,German Bundesliga,AM,Forward,21,137,1,24,47,25,18,29,30
Abdukodir Khusanov,UZB,Manchester City,"English Premier League, UEFA Champions League",RB,Defender,21,318,1,47,39,46,69,54,53
Abdulai Juma Bah,SLE,Nice,"French Ligue 1, UEFA Europa League",CB,Defender,19,945,1,40,44,34,35,49,42
Abdón Prats,ESP,Mallorca,Spanish La Liga,AM,Forward,32,74,1,25,50,47,29,22,37
Abdülkerim Bardakcı,TUR,Galatasaray,UEFA Champions League,CB,Defender,31,270,1,37,30,36,27,38,35
Abel,ESP,Osasuna,Spanish La Liga,WB,Midfielder,24,89,1,40,33,16,50,55,41
Abel Bretones,ESP,Osasuna,Spanish La Liga,LB,Midfielder,25,808,1,73,57,39,39,52,50
Abel Ruiz,ESP,Girona,Spanish La Liga,AM,Forward,25,20,1,34,29,24,43,57,34
Abner,BRA,Lyon,"French Ligue 1, UEFA Europa League",LB,Defender,25,585,1,39,78,64,58,38,50
Aboubaka Soumahoro,FRA,Hamburger SV,German Bundesliga,CB,Defender,20,45,1,44,21,30,30,28,30
Aboubakary Koita,MTN,AEK Athens,UEFA Europa Conference League,AM,Forward,27,143,1,97,79,67,72,61,80
Abu Kamara,ENG,Getafe,Spanish La Liga,RM,Midfielder,22,134,1,34,35,25,35,56,40
Achraf Hakimi,MAR,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,27,970,1,92,81,83,95,45,71
Adam Boayar,MAR,Elche,Spanish La Liga,CM,Midfielder,19,6,1,40,46,71,83,18,48
Adam Buksa,POL,Udinese,Italian Serie A,AM,Forward,29,386,1,60,27,34,24,53,39
Adam Daghim,DEN,Wolfsburg,German Bundesliga,RW,Forward,20,538,1,66,49,45,71,71,58
Adam Dźwigała,POL,St. Pauli,German Bundesliga,CB,Defender,30,408,1,83,31,44,43,65,57
Adam Gabriel,CZE,Midtjylland,UEFA Europa League,RB,Defender,24,21,1,44,21,35,40,27,33
Adam Gnezda Čerin,SVN,Panathinaikos,UEFA Europa League,LM,Midfielder,26,199,1,46,55,72,75,72,67
Adam Karabec,CZE,Lyon,"French Ligue 1, UEFA Europa League",RW,Forward,22,891,1,38,65,61,60,36,54
Adam Kölle,GER,Heidenheim,German Bundesliga,CB,Defender,19,76,1,99,55,42,21,40,45
Adam Lundqvist,SWE,Häcken,UEFA Europa Conference League,LB,Defender,31,270,1,52,66,74,57,55,60
Adam Marušić,MNE,Lazio,Italian Serie A,RB,Defender,33,772,1,54,50,57,56,37,48
Adam Masina,MAR,Torino,Italian Serie A,CB,Defender,31,111,1,44,62,67,19,41,44
Adam Matthews,WAL,Shamrock Rovers,UEFA Europa Conference League,WB,Midfielder,33,102,1,40,24,23,30,51,36
Adam Obert,SVK,Cagliari,Italian Serie A,CB,Defender,23,850,1,46,62,55,37,67,55
Adam Sevinsky,CZE,Sparta Prague,UEFA Europa Conference League,CB,Defender,21,180,1,45,51,67,77,46,57
Adam Smith,ENG,Bournemouth,English Premier League,RB,Defender,34,213,1,44,48,42,30,17,30
Adam Wharton,ENG,Crystal Palace,"English Premier League, UEFA Europa Conference League",CM,Midfielder,21,832,1,45,69,67,46,55,56
Adama Boiro,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",LB,Defender,23,202,1,54,57,48,29,63,52
Adama Camara,FRA,Paris FC,French Ligue 1,LM,Midfielder,29,717,1,72,49,39,26,64,50
Adama Traoré,ESP,Fulham,English Premier League,RW,Forward,29,249,1,38,64,45,67,37,52
Adamu Alhassan,NGA,Shkëndija 79,UEFA Europa Conference League,DM,Midfielder,25,250,1,40,26,65,49,61,52
Adem Zorgane,ALG,Union SG,UEFA Champions League,CM,Midfielder,25,353,1,49,30,59,48,59,52
Ademola Lookman,NGA,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,28,641,1,43,66,57,69,44,57
Adil Aouchiche,FRA,Aberdeen,UEFA Europa Conference League,AM,Forward,23,135,1,36,29,60,60,79,45
Adilet Sadybekov,KAZ,Qaırat Almaty,UEFA Champions League,DM,Midfielder,23,31,1,40,25,67,47,56,50
Adnan Januzaj,BEL,Sevilla,Spanish La Liga,RW,Forward,30,149,1,28,59,75,85,60,57
Adrian Beck,GER,Heidenheim,German Bundesliga,AM,Forward,28,313,1,34,54,67,63,67,53
Adrian Benedyczak,POL,Parma,Italian Serie A,AM,Forward,24,190,1,25,59,33,12,55,36
Adrian Bernabe,ESP,Parma,Italian Serie A,CM,Midfielder,24,868,1,87,59,63,63,40,58
Adrian Blake,ENG,Utrecht,UEFA Europa League,LW,Forward,20,147,1,39,42,49,45,57,44
Adrian Leon Barišić,BIH,Basel,UEFA Europa League,CB,Defender,24,271,1,30,45,53,43,77,57
Adrian Rus,ROU,CS U Craiova,UEFA Europa Conference League,CB,Defender,29,270,1,44,24,26,20,46,35
