Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Offensive Index,Passing Index,Possession Index,Defensive Index
David Carmo,ANG,Olympiacos,UEFA Europa League,CB,Defender,25,621,1,30,48,21,70
David Costa,POR,Lens,French Ligue 1,AM,Forward,24,352,1,25,74,65,31
David Doudera,CZE,Slavia Prague,UEFA Europa League,RB,Midfielder,26,397,1,46,66,85,68
David Goldar,ESP,Pafos FC,UEFA Europa Conference League,CB,Defender,30,782,1,74,27,39,58
David Jurásek,CZE,Hoffenheim,"German Bundesliga, UEFA Europa League",LB,Defender,24,975,1,63,85,85,38
David López,ESP,Mallorca,Spanish La Liga,CB,Defender,22,169,1,32,28,17,32
David López,ESP,Girona,"Spanish La Liga, UEFA Champions League",CB,Defender,35,2797,1,67,57,45,41
David Miculescu,ROU,FCSB,UEFA Europa League,RW,Forward,23,823,1,53,39,36,69
David Mokwa,FRA,Hoffenheim,"German Bundesliga, UEFA Europa League",AM,Forward,20,123,1,78,37,26,55
David Møller Wolfe,NOR,AZ Alkmaar,UEFA Europa League,LB,Defender,22,890,1,69,71,75,42
David Nemeth,AUT,St. Pauli,German Bundesliga,CB,Defender,24,2137,1,34,43,34,57
David Neres,BRA,Napoli,Italian Serie A,LW,Forward,28,1283,1,51,76,88,36
David Odogu,GER,Wolfsburg,German Bundesliga,CB,Defender,18,195,1,22,34,22,76
David Otorbi,ESP,Valencia,Spanish La Liga,LM,Midfielder,16,14,1,27,13,43,12
David Pavelka,CZE,Sparta Prague,UEFA Champions League,CM,Midfielder,33,12,1,27,18,6,38
David Preu,GER,Union Berlin,German Bundesliga,CM,Midfielder,20,121,1,32,24,60,37
David Raum,GER,RB Leipzig,"German Bundesliga, UEFA Champions League",LB,Defender,27,2049,1,81,86,76,47
David Sualehe,POR,Olimpija,UEFA Europa Conference League,LB,Defender,27,615,1,39,69,85,77
David Torres,ESP,Valladolid,Spanish La Liga,CB,Defender,22,1387,1,31,25,33,35
David Vuković,BIH,Borac Banja Luka,UEFA Europa Conference League,LW,Forward,21,320,1,55,74,82,58
David Zec,SVN,"Holstein Kiel, NK Celje","German Bundesliga, UEFA Europa Conference League",CB,Defender,25,2081,1,77,40,31,39
David Zima,CZE,Slavia Prague,UEFA Europa League,CB,Defender,24,537,1,40,47,43,54
David Čavić,BIH,Borac Banja Luka,UEFA Europa Conference League,LW,Forward,22,218,1,29,41,63,62
Davide Bartesaghi,ITA,Milan,"Italian Serie A, UEFA Champions League",LB,Defender,19,146,1,64,71,69,62
Davide Calabria,ITA,"Bologna, Milan","Italian Serie A, UEFA Champions League",RB,Defender,28,1259,1,41,80,72,56
Davide Faraoni,ITA,Hellas Verona,Italian Serie A,RB,Defender,33,260,1,29,52,40,58
Davide Frattesi,ITA,Inter,"Italian Serie A, UEFA Champions League",CM,Midfielder,25,1788,1,76,41,57,32
Davide Zappacosta,ITA,Atalanta,"Italian Serie A, UEFA Champions League",WB,Midfielder,32,2764,1,78,85,83,42
Davidson da Luz Pereira,BRA,Başakşehir,UEFA Europa Conference League,LW,Forward,33,279,1,24,59,91,67
Davinson Sánchez,COL,Galatasaray,UEFA Europa League,CB,Defender,28,704,1,78,67,52,71
Davy Klaassen,NED,Ajax,UEFA Europa League,CM,Midfielder,32,204,1,37,15,11,72
Davíð Atlason,ISL,KV,UEFA Europa Conference League,RB,Defender,30,535,1,79,51,53,46
Dayot Upamecano,FRA,Bayern Munich,"German Bundesliga, UEFA Champions League",CB,Defender,26,2749,1,69,61,53,56
Daði Berg Jónsson,ISL,KV,UEFA Europa Conference League,CM,Midfielder,18,18,1,46,25,58,31
Dean Huijsen,ESP,Bournemouth,English Premier League,CB,Defender,20,2043,1,79,68,50,64
Declan McManus,SCO,The New Saints,UEFA Europa Conference League,AM,Forward,30,387,1,43,38,37,64
Declan Rice,ENG,Arsenal,"English Premier League, UEFA Champions League",LM,Midfielder,26,3575,1,84,80,73,46
Dehmaine Assoumani,FRA,Nantes,French Ligue 1,AM,Forward,20,98,1,62,70,85,69
Deiver Machado,COL,Lens,French Ligue 1,LB,Defender,31,1805,1,64,76,78,45
Dejan Kulusevski,SWE,Tottenham,"English Premier League, UEFA Europa League",RM,Midfielder,25,2579,1,91,83,90,37
Dele Alli,ENG,Como,Italian Serie A,DM,Midfielder,28,9,1,27,13,31,5
Denil Castillo,ECU,Midtjylland,UEFA Europa League,RM,Midfielder,20,568,1,32,26,40,51
Denis Donat,CZE,Mladá Boleslav,UEFA Europa Conference League,CB,Defender,23,75,1,31,27,15,63
Denis Genreau,AUS,Toulouse,French Ligue 1,AM,Forward,25,222,1,27,79,54,57
Denis Suárez,ESP,Villarreal,Spanish La Liga,LM,Midfielder,31,608,1,81,83,88,33
Denis Thomalla,GER,Heidenheim,German Bundesliga,AM,Forward,32,4,1,23,13,6,8
Denis Vavro,SVK,Wolfsburg,German Bundesliga,CB,Defender,29,2461,1,74,44,35,66
Denis Zakaria,SUI,Monaco,"French Ligue 1, UEFA Champions League",DM,Midfielder,28,2757,1,73,60,51,53
Deniz Gül,TUR,Porto,UEFA Europa League,AM,Forward,20,91,1,82,33,39,56
Deniz Hummet,TUR,Djurgården,UEFA Europa Conference League,AM,Forward,28,426,1,65,25,33,29
Deniz Turuc,TUR,Başakşehir,UEFA Europa Conference League,RW,Forward,31,359,1,68,76,78,56
Deniz Undav,GER,Stuttgart,"German Bundesliga, UEFA Champions League",AM,Forward,28,2146,1,64,73,50,56
Dennis Appiah,FRA,Saint-Étienne,French Ligue 1,RB,Defender,32,2128,1,48,76,81,59
Dennis Geiger,GER,Hoffenheim,"German Bundesliga, UEFA Europa League",CM,Midfielder,26,865,1,44,65,60,42
Dennis Kaygin,GER,Rapid Wien,UEFA Europa Conference League,AM,Forward,20,87,1,52,68,66,48
Dennis Man,ROU,Parma,Italian Serie A,RW,Forward,26,1923,1,54,68,64,49
Denny Gropper,ISR,Ludogorets,UEFA Europa League,LB,Defender,25,212,1,40,64,68,34
Denso Kasius,NED,AZ Alkmaar,UEFA Europa League,RB,Defender,22,296,1,96,72,94,60
Denys Popov,UKR,Dynamo Kyiv,UEFA Europa League,CB,Defender,25,371,1,37,23,28,53
Denzel Dumfries,NED,Inter,"Italian Serie A, UEFA Champions League",WB,Midfielder,29,2926,1,84,63,75,60
Derek Cornelius,CAN,Marseille,French Ligue 1,CB,Defender,27,1420,1,28,45,39,56
Deroy Duarte,CPV,Ludogorets,UEFA Europa League,DM,Midfielder,25,299,1,39,18,24,58
Derrick Köhn,GER,Werder Bremen,German Bundesliga,WB,Midfielder,26,1343,1,74,64,80,31
Derrick Luckassen,NED,Pafos FC,UEFA Europa Conference League,CB,Defender,29,810,1,33,62,29,56
Destiny Udogie,ITA,Tottenham,"English Premier League, UEFA Europa League",LB,Defender,22,2241,1,46,66,86,43
Devyne Rensch,NED,"Ajax, Roma","Italian Serie A, UEFA Europa League",RB,Defender,22,1052,1,52,70,57,68
Diadie Samassékou,MLI,Hoffenheim,"German Bundesliga, UEFA Europa League",DM,Midfielder,29,380,1,38,33,38,56
Diego,ESP,Leganés,Spanish La Liga,AM,Forward,25,1195,1,41,24,22,53
Diego Carlos,BRA,Aston Villa,"English Premier League, UEFA Champions League",CB,Defender,31,1224,1,25,44,31,31
Diego Coppola,ITA,Hellas Verona,Italian Serie A,CB,Defender,21,2927,1,61,20,18,61
Diego Gómez,PAR,Brighton,English Premier League,DM,Midfielder,22,445,1,84,65,49,80
Diego Iturralde,ESP,Sevilla,Spanish La Liga,LW,Forward,22,37,1,12,13,7,49
Diego Llorente,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League",CB,Defender,31,3073,1,65,30,32,55
Diego López,ESP,Valencia,Spanish La Liga,RM,Midfielder,23,2737,1,80,69,78,36
Diego Martín,ESP,Las Palmas,Spanish La Liga,LW,Forward,21,40,1,39,26,47,42
Diego Moreira,POR,Strasbourg,French Ligue 1,LB,Midfielder,20,2568,1,63,76,91,55
Diego Pugno,ITA,Juventus,Italian Serie A,AM,Forward,18,7,1,43,24,19,8
Diego Rico,ESP,Getafe,Spanish La Liga,LB,Defender,32,2819,1,52,85,58,60
Dies Janse,NED,Ajax,UEFA Europa League,CB,Defender,19,77,1,32,44,9,40
Dieu-Merci Michel,CAN,Vitória,UEFA Europa Conference League,AM,Forward,21,3,1,23,13,6,29
Dieumerci Ndongala,COD,APOEL,UEFA Europa Conference League,RW,Forward,33,331,1,32,42,62,28
Dilane Bakwa,FRA,Strasbourg,French Ligue 1,WB,Midfielder,22,2497,1,89,84,91,37
Dimitri Foulquier,FRA,Valencia,Spanish La Liga,RB,Defender,32,2299,1,44,68,70,34
Dimitri Lavalée,BEL,Sturm Graz,UEFA Champions League,LB,Defender,28,626,1,44,47,45,68
Dimitris Giannoulis,GRE,Augsburg,German Bundesliga,WB,Midfielder,29,2650,1,57,78,73,46
Dimitris Pelkas,GRE,"Başakşehir, PAOK","UEFA Europa Conference League, UEFA Europa League",AM,Forward,31,309,1,67,67,46,27
Dinis Almeida,POR,Ludogorets,UEFA Europa League,CB,Defender,29,706,1,49,38,21,66
Dino Kojic,SVN,Olimpija,UEFA Europa Conference League,RM,Midfielder,19,272,1,40,15,34,38
Dino Skorup,CRO,Borac Banja Luka,UEFA Europa Conference League,DM,Midfielder,25,283,1,74,26,22,44
Diogo Dalot,POR,Manchester Utd,"English Premier League, UEFA Europa League",WB,Midfielder,26,3489,1,57,61,76,54
Diogo Jota,POR,Liverpool,"English Premier League, UEFA Champions League",AM,Forward,28,1343,1,58,44,56,59
Diogo Leite,POR,Union Berlin,German Bundesliga,CB,Defender,26,2546,1,64,71,48,60
Diogo Pinto,POR,Olimpija,UEFA Europa Conference League,CM,Midfielder,25,241,1,28,36,32,32
Dion Drena Beljo,CRO,Rapid Wien,UEFA Europa Conference League,AM,Forward,23,844,1,73,65,54,47
Divin Mubama,ENG,Manchester City,English Premier League,AM,Forward,20,28,1,24,20,7,8
Djaoui Cissé,FRA,Rennes,French Ligue 1,CM,Midfielder,21,1121,1,70,53,59,40
Djed Spence,ENG,Tottenham,"English Premier League, UEFA Europa League",LB,Defender,24,1715,1,76,83,89,58
Djené,TOG,Getafe,Spanish La Liga,CB,Defender,33,2548,1,33,47,42,47
Djibril Sidibé,FRA,Toulouse,French Ligue 1,CB,Defender,32,2101,1,45,86,56,48
Djibril Sow,SUI,Sevilla,Spanish La Liga,DM,Midfielder,28,2062,1,59,46,42,41
Djylian N'Guessan,FRA,Saint-Étienne,French Ligue 1,LW,Forward,16,181,1,18,35,45,62
Dmitrijs Zelenkovs,LVA,FK Rīgas FS,UEFA Europa League,CM,Midfielder,24,682,1,39,44,59,34
Dmytro Kryskiv,UKR,Shakhtar,UEFA Champions League,DM,Midfielder,24,672,1,26,33,31,46
Dodi Lukebakio,BEL,Sevilla,Spanish La Liga,RW,Forward,27,3092,1,71,57,80,48
Dodô,BRA,Fiorentina,"Italian Serie A, UEFA Europa Conference League",RB,Defender,26,3540,1,49,82,93,36
Domagoj Bradarić,CRO,Hellas Verona,Italian Serie A,WB,Midfielder,25,1933,1,59,49,56,49
Domen Črnigoj,SVN,Venezia,Italian Serie A,CM,Midfielder,29,136,1,22,23,54,50
Domingos André Ribeiro Almeida,POR,Valencia,Spanish La Liga,AM,Forward,24,1977,1,36,80,53,55
Domingos Duarte,POR,Getafe,Spanish La Liga,CB,Defender,30,1859,1,59,22,17,44
Domingos Quina,POR,Pafos FC,UEFA Europa Conference League,LW,Forward,25,182,1,35,38,56,43
Dominic Calvert-Lewin,ENG,Everton,English Premier League,AM,Forward,28,1609,1,40,32,37,61
Dominic Solanke,ENG,Tottenham,"English Premier League, UEFA Europa League",AM,Forward,27,2657,1,55,45,36,54
Dominik Javorček,SVK,Holstein Kiel,German Bundesliga,WB,Midfielder,22,386,1,36,61,54,46
Dominik Kohr,GER,Mainz 05,German Bundesliga,CB,Defender,31,2295,1,75,60,56,67
Dominik Kostka,NAN,Mladá Boleslav,UEFA Europa Conference League,WB,Midfielder,28,360,1,30,26,68,43
Dominik Pech,CZE,Slavia Prague,UEFA Europa League,DM,Midfielder,18,187,1,35,21,81,35
Dominik Szoboszlai,HUN,Liverpool,"English Premier League, UEFA Champions League",AM,Forward,24,2853,1,56,72,53,64
Don-Angelo Konadu,NED,Ajax,UEFA Europa League,AM,Forward,18,81,1,25,34,14,8
Donalio Douanla,CMR,Petrocub,UEFA Europa Conference League,CM,Midfielder,27,482,1,28,16,23,33
Donny van de Beek,NED,Girona,"Spanish La Liga, UEFA Champions League",AM,Forward,28,1869,1,43,63,35,63
Donyell Malen,NED,"Aston Villa, Dortmund","English Premier League, German Bundesliga, UEFA Champions League",RW,Forward,26,1132,1,78,49,72,57
Dor Peretz,ISR,Maccabi Tel Aviv,UEFA Europa League,AM,Forward,29,607,1,48,35,43,62
Dor Turgeman,ISR,Maccabi Tel Aviv,UEFA Europa League,AM,Forward,21,494,1,48,47,22,53
Douglas,BRA,Nantes,French Ligue 1,CM,Midfielder,28,2307,1,69,49,33,53
Douglas Luiz,BRA,Juventus,"Italian Serie A, UEFA Champions League",DM,Midfielder,27,836,1,42,69,72,47
Dragoljub Savić,SRB,TSC Bačka Top,UEFA Europa Conference League,RW,Forward,23,32,1,33,23,58,37
Dries Mertens,BEL,Galatasaray,UEFA Europa League,AM,Forward,37,727,1,49,93,59,44
Drissa Camara,CIV,Parma,Italian Serie A,AM,Forward,23,447,1,38,51,82,64
Duje Ćaleta-Car,CRO,Lyon,"French Ligue 1, UEFA Europa League",CB,Defender,28,2198,1,39,39,21,58
Dujon Sterling,ENG,Rangers,UEFA Europa League,RB,Defender,25,301,1,48,66,48,54
Duk,CPV,Leganés,Spanish La Liga,LM,Forward,25,179,1,45,59,88,60
Dumitru Demian,MDA,Petrocub,UEFA Europa Conference League,LM,Midfielder,25,395,1,30,42,57,80
Duván Zapata,COL,Torino,Italian Serie A,AM,Forward,33,587,1,65,38,27,58
Dušan Stevanović,SRB,TSC Bačka Top,UEFA Europa Conference League,CB,Defender,28,509,1,28,33,38,57
Dušan Stojinovič,SVN,Jagiellonia,UEFA Europa Conference League,CB,Defender,24,710,1,45,64,53,69
Dušan Tadić,SRB,Fenerbahçe,UEFA Europa League,AM,Forward,36,903,1,55,81,49,59
Dušan Vlahović,SRB,Juventus,"Italian Serie A, UEFA Champions League",AM,Forward,25,2260,1,63,43,34,54
Dwight McNeil,ENG,Everton,English Premier League,AM,Forward,25,1371,1,70,90,62,42
Dylan Batubinsika,COD,Saint-Étienne,French Ligue 1,CB,Defender,29,2016,1,57,35,30,54
Dylan Sloan,NIR,Larne FC,UEFA Europa Conference League,RM,Midfielder,20,332,1,23,15,44,64
Dylan Watts,IRL,Shamrock Rov,UEFA Europa Conference League,CM,Midfielder,27,404,1,95,90,73,67
Dzyanis Palyakow,BLR,Dinamo Minsk,UEFA Europa Conference League,CB,Defender,33,180,1,32,25,15,44
Dálcio,GNB,Red Star,UEFA Champions League,CM,Midfielder,28,183,1,36,48,41,34
Dávid Hancko,SVK,Feyenoord,UEFA Champions League,CB,Defender,27,1080,1,52,50,65,38
Dávid Strelec,SVK,Slovan Bratislava,UEFA Champions League,AM,Forward,23,669,1,32,25,20,67
Désiré Doué,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",RW,Forward,19,2470,1,85,92,92,67
Dźmitryj Padstrełaŭ,BLR,Dinamo Minsk,UEFA Europa Conference League,RM,Midfielder,26,363,1,36,36,54,43
Eba Bekir Is,GER,Eint Frankfurt,UEFA Europa League,RM,Midfielder,16,7,1,27,13,20,5
Eberechi Eze,ENG,Crystal Palace,English Premier League,AM,Forward,26,2423,1,61,73,59,42
Ebrima Colley,GAM,Young Boys,UEFA Champions League,LW,Forward,24,306,1,24,47,44,61
Eddie Nketiah,ENG,Crystal Palace,English Premier League,AM,Forward,25,1028,1,48,46,67,52
Edgaras Utkus,LTU,Cercle Brugge,UEFA Europa Conference League,CB,Defender,24,381,1,48,54,31,60
Edhy Zuliani,FRA,Toulouse,French Ligue 1,WB,Midfielder,20,9,1,27,13,6,12
Edimilson Fernandes,SUI,Brest,"French Ligue 1, UEFA Champions League",CM,Midfielder,29,1752,1,53,41,18,57
Edimilson Filho,BRA,NK Celje,UEFA Europa Conference League,AM,Forward,27,191,1,93,49,46,75
Edin Džeko,BIH,Fenerbahçe,UEFA Europa League,AM,Forward,38,655,1,73,74,43,61
Edmond Tapsoba,BFA,Leverkusen,"German Bundesliga, UEFA Champions League",CB,Defender,26,3178,1,42,57,67,52
Edmond-Paris Maghoma,ENG,Brentford,English Premier League,DM,Midfielder,23,119,1,35,29,89,49
Edoardo Bove,ITA,Fiorentina,"Italian Serie A, UEFA Europa Conference League",LW,Forward,22,878,1,51,58,45,75
Edoardo Goldaniga,ITA,Como,Italian Serie A,CB,Defender,31,2532,1,51,39,37,40
Edon Zhegrova,KVX,Lille,"French Ligue 1, UEFA Champions League",RW,Forward,25,1341,1,72,75,80,46
Edson Álvarez,MEX,West Ham,English Premier League,DM,Midfielder,27,1682,1,31,47,45,60
Edu Expósito,ESP,Espanyol,Spanish La Liga,AM,Forward,28,1045,1,36,80,51,70
Eduard Sobol,UKR,Strasbourg,French Ligue 1,LB,Defender,29,95,1,31,21,32,63
Eduardo Camavinga,FRA,Real Madrid,"Spanish La Liga, UEFA Champions League",CM,Midfielder,22,1598,1,61,51,68,75
Eduardo Guerrero,PAN,Dynamo Kyiv,UEFA Europa League,AM,Forward,24,220,1,31,28,14,63
Eduardo Quaresma,POR,Sporting CP,UEFA Champions League,CB,Defender,22,217,1,35,23,43,65
Edvin Kurtulus,SWE,Ludogorets,UEFA Europa League,CB,Defender,24,193,1,40,57,32,37
Edward Chilufya,ZAM,Midtjylland,UEFA Europa League,AM,Forward,25,254,1,48,33,43,48
Efe Akman,TUR,Galatasaray,UEFA Europa League,AM,Forward,18,7,1,23,29,47,14
Eggert Aron Guðmundsson,ISL,Elfsborg,UEFA Europa League,LM,Midfielder,20,5,1,27,13,43,5
Egor Prutsev,RUS,Red Star,UEFA Champions League,RW,Forward,21,8,1,23,13,44,44
Eguinaldo,BRA,Shakhtar,UEFA Champions League,AM,Forward,20,406,1,26,43,40,58
Eiran Cashin,IRL,Brighton,English Premier League,CB,Defender,23,20,1,50,33,45,68
Eirik Haugan,NOR,Molde,UEFA Europa Conference League,CB,Defender,27,257,1,26,18,9,59
Eirik Hestad,NOR,Molde,UEFA Europa Conference League,AM,Forward,29,220,1,63,63,70,58
El Bilal Touré,MLI,Stuttgart,"German Bundesliga, UEFA Champions League",AM,Forward,23,495,1,74,56,46,47
El Chadaille Bitshiabu,FRA,RB Leipzig,"German Bundesliga, UEFA Champions League",CB,Defender,20,1398,1,48,59,41,62
El Hadji Diouf,SEN,Slavia Prague,UEFA Europa League,WB,Midfielder,20,598,1,45,89,89,48
Elad Madmon,ISR,Maccabi Tel Aviv,UEFA Europa League,AM,Forward,20,320,1,29,36,44,43
Eldar Ćivić,BIH,Ferencváros,UEFA Europa League,LB,Defender,28,461,1,42,61,65,61
Eldor Shomurodov,UZB,Roma,"Italian Serie A, UEFA Europa League",AM,Forward,29,1414,1,61,57,42,47
Elias Achouri,TUN,FC Copenhagen,UEFA Europa Conference League,LM,Forward,26,336,1,38,57,62,48
Elias Cobbaut,BEL,Sparta Prague,UEFA Champions League,CB,Defender,27,157,1,35,17,45,53
Elias Jelert,DEN,Galatasaray,UEFA Europa League,WB,Midfielder,21,308,1,75,46,62,68
Elias Saad,TUN,St. Pauli,German Bundesliga,AM,Forward,25,900,1,67,65,71,56
Eliesse Ben Seghir,MAR,Monaco,"French Ligue 1, UEFA Champions League",LW,Forward,20,2295,1,69,80,83,58
Elif Elmas,MKD,"RB Leipzig, Torino","German Bundesliga, Italian Serie A, UEFA Champions League",CM,Forward,25,1101,1,66,51,64,48
Eliot Matazo,BEL,Monaco,"French Ligue 1, UEFA Champions League",DM,Midfielder,22,95,1,16,30,46,64
Elisha Owusu,GHA,Auxerre,French Ligue 1,CM,Midfielder,27,2344,1,51,37,23,47
Elkhan Astanov,KAZ,Astana FK,UEFA Europa Conference League,LM,Midfielder,24,185,1,36,58,85,34
Elliot Anderson,ENG,Nott'ham Forest,English Premier League,DM,Midfielder,22,2523,1,67,69,66,82
Ellyes Skhiri,TUN,Eint Frankfurt,"German Bundesliga, UEFA Europa League",CM,Midfielder,30,2938,1,56,62,38,55
Eloge Zabi,CIV,Reims,French Ligue 1,DM,Defender,18,18,1,50,33,73,8
Elseid Hysaj,ALB,Lazio,"Italian Serie A, UEFA Europa League",RB,Defender,31,496,1,40,85,65,47
Elton Fikaj,ALB,Panathinaikos,UEFA Europa Conference League,CB,Defender,19,54,1,52,60,38,51
Elton Kabangu,BEL,Union SG,UEFA Europa League,AM,Forward,26,10,1,50,13,67,61
Elvin Cəfərquliyev,AZE,Qarabağ,UEFA Europa League,LB,Defender,24,530,1,52,78,93,32
Elvis Rexhbeçaj,KVX,Augsburg,German Bundesliga,CM,Midfielder,27,1785,1,58,61,64,48
Elvis Stuglis,LVA,FK Rīgas FS,UEFA Europa League,CB,Defender,31,113,1,34,52,14,65
Elye Wahi,FRA,"Eint Frankfurt, Marseille","French Ligue 1, German Bundesliga, UEFA Europa League",AM,Forward,22,795,1,51,36,44,38
Elysée Logbo,FRA,Le Havre,French Ligue 1,AM,Forward,20,27,1,11,13,27,8
Emanuel Aiwum,AUT,Sturm Graz,UEFA Champions League,CB,Defender,24,540,1,32,18,12,62
Emanuel Emegha,NED,Strasbourg,French Ligue 1,AM,Forward,22,2293,1,56,31,29,51
Emanuele Valeri,ITA,Parma,Italian Serie A,LB,Defender,26,2783,1,62,79,75,46
Emerson,BRA,Milan,"Italian Serie A, UEFA Champions League",RB,Defender,26,1694,1,50,68,73,64
Emerson Palmieri,ITA,West Ham,English Premier League,LB,Defender,30,2023,1,82,68,72,42
Emi Buendía,ARG,"Aston Villa, Leverkusen","English Premier League, German Bundesliga, UEFA Champions League",AM,Forward,28,480,1,70,63,66,76
Emil Bohinen,NOR,Genoa,Italian Serie A,CM,Midfielder,25,166,1,31,25,48,79
Emil Breivik,NOR,Molde,UEFA Europa Conference League,CM,Midfielder,24,886,1,43,82,81,81
Emil Holm,SWE,Bologna,"Italian Serie A, UEFA Champions League",RB,Defender,25,1368,1,81,74,80,66
Emil Holten,DEN,Elfsborg,UEFA Europa League,AM,Forward,28,64,1,85,26,36,52
Emil Krafth,SWE,Newcastle Utd,English Premier League,RB,Defender,30,239,1,38,35,47,37
Emile Smith Rowe,ENG,Fulham,English Premier League,AM,Forward,24,1937,1,55,55,55,48
Emiliano Martínez (URU),URU,Midtjylland,UEFA Europa League,CM,Midfielder,25,502,1,30,35,40,62
Emir Topçu,TUR,Beşiktaş,UEFA Europa League,CB,Defender,24,438,1,39,60,36,63
Emmanouil Siopis,GRE,Panathinaikos,UEFA Europa Conference League,CM,Midfielder,30,335,1,42,31,22,51
Emmanuel Addai,GHA,Qarabağ,UEFA Europa League,LW,Forward,23,162,1,24,57,79,37
Emmanuel Agbadou,CIV,"Reims, Wolves","English Premier League, French Ligue 1",CB,Defender,27,2400,1,60,38,43,55
Emmanuel Biumla,FRA,Angers,French Ligue 1,CB,Defender,20,1336,1,61,22,25,45
Emmanuel Ekong,SWE,Empoli,Italian Serie A,AM,Forward,22,167,1,36,35,80,56
Emmanuel Gyasi,GHA,Empoli,Italian Serie A,WB,Midfielder,31,3037,1,41,37,36,36
Emmanuel Koum Mbondo,FRA,Marseille,French Ligue 1,WB,Midfielder,18,12,1,27,13,6,5
Emmanuel Sabbi,USA,Le Havre,French Ligue 1,AM,Forward,27,653,1,28,33,40,51
Emre Can,GER,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,31,3047,1,73,62,59,57
Emre Kaplan,TUR,Başakşehir,UEFA Europa Conference League,LB,Defender,23,51,1,32,33,37,48
Endika Buján,ESP,Athletic Club,Spanish La Liga,LW,Forward,22,7,1,26,13,64,38
Endre Botka,HUN,Ferencváros,UEFA Europa League,CB,Defender,30,112,1,37,28,31,58
Endrick,BRA,Real Madrid,"Spanish La Liga, UEFA Champions League",AM,Forward,18,504,1,54,37,58,58
Enes Ünal,TUR,Bournemouth,English Premier League,AM,Forward,27,321,1,66,53,26,61
Enric Franquesa,ESP,Leganés,Spanish La Liga,LB,Defender,27,616,1,75,37,75,38
Enrico Del Prato,ITA,Parma,Italian Serie A,RB,Defender,25,2857,1,75,45,34,30
Enver Kulasin,BIH,Borac Banja Luka,UEFA Europa Conference League,RW,Forward,21,739,1,24,47,50,61
Enzo Barrenechea,ARG,Valencia,Spanish La Liga,CM,Midfielder,24,2191,1,47,46,32,58
Enzo Boyomo,CMR,"Osasuna, Valladolid",Spanish La Liga,CB,Defender,23,3257,1,58,38,37,38
Enzo Caumont,FRA,Angers,French Ligue 1,CM,Midfielder,21,34,1,29,33,7,87
Enzo Ebosse,CMR,"Jagiellonia, Udinese","Italian Serie A, UEFA Europa Conference League",CB,Defender,26,609,1,38,26,31,58
Enzo Fernández,ARG,Chelsea,"English Premier League, UEFA Europa Conference League",DM,Midfielder,24,2998,1,88,87,74,46
Enzo Le Fée,FRA,Roma,"Italian Serie A, UEFA Europa League",CM,Midfielder,24,430,1,45,64,80,48
Enzo Loiodice,FRA,Las Palmas,Spanish La Liga,DM,Midfielder,24,684,1,40,35,27,38
Enzo Millot,FRA,Stuttgart,"German Bundesliga, UEFA Champions League",AM,Forward,22,2531,1,58,83,61,47
Enzo Molebe,FRA,Lyon,UEFA Europa League,RW,Forward,17,9,1,12,13,6,8
Enzo Sternal,FRA,Marseille,French Ligue 1,AM,Forward,17,24,1,36,24,20,8
Enzo Tchato,CMR,Montpellier,French Ligue 1,RB,Defender,22,1899,1,52,57,74,53
Eraldo Çinari,ALB,FC Noah,UEFA Europa Conference League,RM,Forward,28,390,1,44,73,53,62
Eran Zahavi,ISR,Maccabi Tel Aviv,UEFA Europa League,AM,Forward,37,28,1,24,83,33,41
Eray Cömert,SUI,Valladolid,Spanish La Liga,CB,Defender,27,1779,1,30,24,32,38
Ercan Kara,AUT,Rapid Wien,UEFA Europa Conference League,AM,Forward,29,131,1,41,27,23,65
Eren Dinkçi,GER,Freiburg,German Bundesliga,AM,Forward,23,1196,1,33,59,56,59
Erencan Yardimci,TUR,"Hoffenheim, Sturm Graz","German Bundesliga, UEFA Champions League",AM,Forward,23,414,1,20,22,26,60
Erhan Mašović,SRB,Bochum,German Bundesliga,CB,Defender,26,910,1,76,55,23,72
Eric Bailly,CIV,Villarreal,Spanish La Liga,CB,Defender,31,617,1,23,23,33,39
Eric Dier,ENG,Bayern Munich,"German Bundesliga, UEFA Champions League",CB,Defender,31,1760,1,81,64,41,56
Eric García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",DM,Midfielder,24,1842,1,74,66,43,52
Eric Smith,SWE,St. Pauli,German Bundesliga,CB,Defender,28,2827,1,67,74,39,43
Eric da Silva Moreira,GER,Nott'ham Forest,English Premier League,RB,Defender,18,30,1,31,17,46,52
Erick Marcus,BRA,Ludogorets,UEFA Europa League,RW,Forward,20,440,1,67,81,56,64
Erick Nunes,BRA,Cercle Brugge,UEFA Europa Conference League,CM,Midfielder,21,68,1,47,19,49,40
Erik Ahlstrand,SWE,St. Pauli,German Bundesliga,RW,Forward,23,43,1,24,22,45,26
Erik Botheim,NOR,Malmö,UEFA Europa League,AM,Forward,25,626,1,67,41,27,43
Erik Jirka,SVK,Viktoria Plzeň,UEFA Europa League,AM,Forward,27,251,1,32,58,49,77
Erik Palmer-Brown,USA,Panathinaikos,UEFA Europa Conference League,CB,Defender,27,36,1,31,25,12,48
