Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,27.0,1997,14,14,1260,44,51
Cláudio Ramos,POR,Goalkeeper,Porto,0.0,1991,2,2,180,63,28
Colin Coosemans,BEL,Goalkeeper,Anderlecht,0.0,1992,28,28,2520,86,75
Conor Hazard,NIR,Goalkeeper,Plymouth Argyle,0.0,1998,25,25,2250,68,59
Cássio,BRA,Goalkeeper,Cruzeiro,38.0,1987,16,16,1440,71,22
César,BRA,Goalkeeper,Boavista,0.0,1992,16,16,1440,40,42
Daniel,BRA,Goalkeeper,SJ Earthquakes,31.0,1994,21,21,1775,63,49
Daniel Azevedo,POR,Goalkeeper,Casa Pia,0.0,1998,1,1,90,53,5
Daniel Bachmann,AUT,Goalkeeper,Watford,0.0,1994,22,22,1902,45,50
Daniel Bielica,POL,Goalkeeper,NAC Breda,0.0,1999,32,32,2880,50,74
Daniel Figueira,POR,Goalkeeper,Estoril,0.0,1998,1,1,90,13,34
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28.0,1997,1,0,2,8,69
Daniel Grimshaw,ENG,Goalkeeper,Plymouth Argyle,0.0,1998,21,21,1890,37,55
Daniel Schmidt,JPN,Goalkeeper,Gent,0.0,1992,1,1,90,90,39
David Bingham,USA,Goalkeeper,Charlotte,35.0,1989,2,2,180,77,22
David Cornell,WAL,Goalkeeper,Preston,0.0,1991,10,9,811,24,74
David Ochoa,USA,Goalkeeper,LAFC,24.0,2001,1,1,90,27,21
David Ospina,COL,Goalkeeper,co Nacional,36.0,1988,5,5,450,62,77
Davor Matijas,CRO,Goalkeeper,Beerschot,0.0,1999,10,9,852,29,35
Davy Roef,BEL,Goalkeeper,Gent,0.0,1994,26,26,2340,84,61
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28.0,1997,21,21,1890,61,48
