Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Samuel Granada,BRA,Forward,AVS Futebol,0.0,2000,4,3,240,23,47,12,43
Samuel Iling-Junior,ENG,Forward,Middlesbrough,0.0,2003,16,11,1057,57,69,70,80
Samuel Justo,POR,Midfielder,Farense,0.0,2004,5,2,206,42,56,49,30
Samuel Kotto,CMR,Defender,Gent,0.0,2003,4,3,304,42,50,58,52
Samuel Lobato,POR,Forward,Famalicão,0.0,2001,12,0,74,29,20,62,79
Samuel Obeng,GHA,Forward,Casa Pia,0.0,1997,11,4,369,46,19,16,37
Samuel Parker,WAL,Forward,Swansea City,0.0,2006,7,0,86,23,24,48,91
Samuel Piette,CAN,Midfielder,CF Montréal,30.0,1994,21,18,1390,33,37,17,60
Samuel Sarver,USA,Forward,FC Dallas,22.0,2003,3,0,23,64,27,64,61
Samuel Shashoua,ENG,Forward,Minnesota Utd,26.0,1999,5,0,105,43,60,62,55
Samuel Soares,POR,Goalkeeper,Benfica,0.0,2002,2,2,180,40,40,45,33
Samuel Sosa,VEN,Forward,Querétaro,0.0,1999,13,7,638,44,49,35,24
Samuel Williams,USA,Midfielder,Chicago Fire,20.0,2005,7,3,314,22,35,27,30
Samuel Xavier,BRA,Defender,Fluminense,35.0,1990,12,10,967,91,88,83,30
Samuele Angori,ITA,Defender,Pisa,0.0,2003,37,25,2357,77,76,68,23
Samuele Mulattieri,ITA,Forward,Sassuolo,0.0,2000,32,19,1616,71,42,53,45
Samuele Perisan,ITA,Goalkeeper,Sampdoria,0.0,1997,1,1,57,40,36,45,37
Sandro Cruz,ANG,Defender,Gil Vicente FC,0.0,2001,25,24,2082,44,51,72,56
Sandy Walsh,IDN,Defender,Mechelen,0.0,1995,6,2,199,40,48,52,36
Santi Morales,USA,Midfielder,Inter Miami,18.0,2007,3,0,28,51,39,70,58
Santi Ramos Mingo,ARG,Defender,Bahia,23.0,2001,19,19,1710,29,54,48,36
Santiago Arce,BOL,Midfielder,bo San Antonio Bulo Bulo,25.0,2000,4,2,214,28,11,23,39
Santiago Arias,COL,Defender,Bahia,33.0,1992,8,4,370,56,76,76,28
Santiago Arzamendia,PAR,Defender,Estudiantes–LP,27.0,1998,21,18,1629,69,55,71,72
Santiago Ascacíbar,ARG,Midfielder,Estudiantes–LP,28.0,1997,22,22,1929,74,62,51,57
Santiago Dalmasso,ARG,Midfielder,Boca Juniors,21.0,2004,1,0,12,33,15,25,76
Santiago Daniele,ARG,Defender,Banfield,19.0,2005,2,1,91,52,13,10,84
Santiago Emanuel González,ARG,Forward,pe Sporting Cristal,26.0,1999,3,3,270,75,58,68,35
Santiago Esquivel,ARG,Midfielder,Banfield,21.0,2004,9,4,425,39,66,33,59
Santiago Fernández,ARG,Defender,Talleres,20.0,2005,16,15,1252,29,23,24,56
Santiago Flores,ARG,Defender,Ind. Rivadavia,24.0,2001,2,1,85,29,24,28,38
Santiago García,ESP,Midfielder,Gil Vicente FC,0.0,2001,27,16,1475,76,43,56,69
Santiago Giménez,MEX,Forward,Feyenoord,0.0,2001,11,10,765,69,42,33,30
Santiago González,ARG,Midfielder,Tigre,22.0,2003,19,16,1423,36,38,44,66
Santiago Hidalgo,ARG,Forward,Independiente,20.0,2005,9,5,492,21,25,38,68
Santiago Homenchenko,URU,Midfielder,Pachuca,0.0,2003,10,6,467,66,51,44,73
Santiago Jiménez,COL,Defender,co CA Bucaramanga,27.0,1998,2,0,54,29,26,28,44
Santiago Laquidaín,ARG,Defender,Aldosivi,24.0,2001,2,1,93,29,15,9,45
Santiago Lencina,ARG,Forward,River Plate,19.0,2005,4,4,279,80,71,69,58
Santiago Longo,ARG,Midfielder,Belgrano,27.0,1998,13,13,1071,36,30,21,76
Santiago López,ARG,Forward,Banfield,27.0,1997,14,8,767,51,47,48,78
Santiago López,CAN,Forward,UNAM,0.0,2005,6,1,121,27,16,31,42
Santiago López,ARG,Forward,Rosario Central,19.0,2006,10,7,547,50,47,73,62
Santiago Montiel,ARG,Forward,Independiente,24.0,2000,12,8,773,38,70,60,68
Santiago Morales,0,Defender,Sarmiento,0.0,0,7,7,585,42,68,49,71
Santiago Moreno,COL,Forward,Portland Timbers,25.0,2000,22,20,1696,67,82,80,56
