Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Aaron Ramsdale,ENG,Southampton,English Premier League,GK,Goalkeeper,27,2700,1,44,64
Adrian Rodriguez,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,24,122,1,18,56
Adrián,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,38,2340,1,57,35
Aitor Fernández,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,33,90,1,87,86
Alban Lafont,FRA,Nantes,French Ligue 1,GK,Goalkeeper,25,1080,1,47,33
Albert Posiadala,POL,Molde,UEFA Europa Conference League,GK,Goalkeeper,21,540,1,21,47
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,32,90,1,15,82
Aleksandr Zarutskiy,KAZ,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,31,90,1,80,32
Aleksei Ploshchadnyi,RUS,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,20,270,1,51,32
Alen Sherri,ALB,Cagliari,Italian Serie A,GK,Goalkeeper,27,621,1,56,40
Alex McCarthy,ENG,Southampton,English Premier League,GK,Goalkeeper,35,450,1,49,72
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,3005,1,49,48
Alex Padilla,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,21,321,1,29,64
Alex Palmer,ENG,Ipswich Town,English Premier League,GK,Goalkeeper,28,1170,1,36,62
Alexander Meyer,GER,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,270,1,62,35
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,28,3690,1,23,62
Alexander Schlager,AUT,RB Salzburg,UEFA Champions League,GK,Goalkeeper,28,335,1,25,32
Alexander Schwolow,GER,Union Berlin,German Bundesliga,GK,Goalkeeper,32,540,1,14,60
Aleš Mandous,CZE,Slavia Prague,UEFA Europa League,GK,Goalkeeper,32,180,1,63,65
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,3048,1,65,49
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,2260,1,34,65
Altay Bayındır,TUR,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,27,540,1,76,17
Amir Saipi,KVX,Lugano,UEFA Europa Conference League,GK,Goalkeeper,24,720,1,63,79
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,23,1080,1,20,21
Andrea Mazza,ITA,Monza,Italian Serie A,GK,Goalkeeper,21,8,1,25,97
Andriy Lunin,UKR,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,26,810,1,63,49
André Ferreira,POR,Valladolid,Spanish La Liga,GK,Goalkeeper,28,540,1,15,54
André Onana,CMR,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,29,4230,1,50,39
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,34,1563,1,55,48
Anthony Moris,LUX,Union SG,UEFA Europa League,GK,Goalkeeper,34,900,1,75,71
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,28,2810,1,59,63
Antonín Kinský,CZE,"Slavia Prague, Tottenham","English Premier League, UEFA Europa League",GK,Goalkeeper,22,1080,1,50,64
Arijanet Muric,KVX,Ipswich Town,English Premier League,GK,Goalkeeper,26,1620,1,46,54
Arnau Rafús,ESP,Valladolid,Spanish La Liga,GK,Goalkeeper,21,90,1,7,89
Arnau Tenas,ESP,Paris S-G,French Ligue 1,GK,Goalkeeper,23,90,1,88,58
Arthur Desmas,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,30,1620,1,61,39
Augusto Batalla,ARG,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,29,2880,1,53,57
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,22,3240,1,40,38
