Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Espanyol,Spanish La Liga,J2,38%,70% — 235 of 338,15% — 2 of 13,71% — 5 of 7
Villarreal,Spanish La Liga,J2,53%,488 of 554 — 88%,7 of 19 — 37%,2 of 2 — 100%
Girona,Spanish La Liga,J2,47%,89% — 445 of 499,40% — 2 of 5,28% — 2 of 7
Oviedo,Spanish La Liga,J2,36%,336 of 409 — 82%,3 of 6 — 50%,7 of 10 — 70%
Real Madrid,Spanish La Liga,J2,64%,90% — 665 of 737,38% — 10 of 26,100% — 3 of 3
Athletic Club,Spanish La Liga,J2,40%,269 of 366 — 73%,3 of 10 — 30%,1 of 1 — 100%
Rayo Vallecano,Spanish La Liga,J2,60%,80% — 440 of 548,17% — 1 of 6,100% — 3 of 3
Sevilla,Spanish La Liga,J2,70%,484 of 592 — 82%,3 of 12 — 25%,4 of 6 — 66%
Getafe,Spanish La Liga,J2,30%,60% — 153 of 253,67% — 6 of 9,100% — 3 of 3
Genoa,Italian Serie A,J1,57%,349 of 468 — 75%,2 of 5 — 40%,0 of 0 — %
Lecce,Italian Serie A,J1,43%,67% — 232 of 346,0% — 0 of 7,100% — 2 of 2
Milan,Italian Serie A,J1,64%,592 of 665 — 89%,5 of 24 — 21%,1 of 3 — 33%
Cremonese,Italian Serie A,J1,36%,79% — 298 of 376,75% — 3 of 4,80% — 4 of 5
Rennes,French Ligue 1,J1,28%,234 of 305 — 77%,5 of 12 — 42%,2 of 2 — 100%
Marseille,French Ligue 1,J1,72%,89% — 684 of 769,8% — 2 of 24,80% — 4 of 5
Lens,French Ligue 1,J1,56%,405 of 509 — 80%,4 of 18 — 22%,2 of 3 — 66%
Lyon,French Ligue 1,J1,44%,78% — 311 of 399,27% — 3 of 11,100% — 4 of 4
Monaco,French Ligue 1,J1,74%,665 of 777 — 86%,3 of 13 — 23%,3 of 4 — 75%
Le Havre,French Ligue 1,J1,26%,69% — 190 of 274,44% — 4 of 9,33% — 1 of 3
Nice,French Ligue 1,J1,57%,431 of 519 — 83%,2 of 13 — 15%,1 of 2 — 50%
Toulouse,French Ligue 1,J1,43%,82% — 319 of 388,20% — 2 of 10,100% — 2 of 2
Brest,French Ligue 1,J1,46%,298 of 411 — 73%,5 of 18 — 28%,3 of 6 — 50%
Lille,French Ligue 1,J1,54%,80% — 388 of 484,60% — 6 of 10,40% — 2 of 5
Angers,French Ligue 1,J1,32%,222 of 307 — 72%,2 of 8 — 25%,7 of 7 — 100%
Paris FC,French Ligue 1,J1,68%,87% — 554 of 639,41% — 7 of 17,50% — 1 of 2
Auxerre,French Ligue 1,J1,43%,305 of 386 — 79%,3 of 6 — 50%,3 of 3 — 100%
Lorient,French Ligue 1,J1,57%,83% — 387 of 466,23% — 3 of 13,66% — 2 of 3
Metz,French Ligue 1,J1,37%,289 of 379 — 76%,0 of 2 — 0%,2 of 3 — 66%
Strasbourg,French Ligue 1,J1,63%,86% — 542 of 628,33% — 3 of 9,% — 0 of 0
Nantes,French Ligue 1,J1,30%,244 of 331 — 74%,0 of 5 — 0%,3 of 4 — 75%
Paris S-G,French Ligue 1,J1,70%,89% — 703 of 787,22% — 4 of 18,% — 0 of 0
Paris S-G,French Ligue 1,J2,83%,948 of 1033 — 92%,4 of 20 — 20%,0 of 0 — %
Angers,French Ligue 1,J2,17%,73% — 153 of 210,0% — 0 of 3,75% — 3 of 4
Marseille,French Ligue 1,J2,60%,563 of 624 — 90%,6 of 9 — 67%,2 of 4 — 50%
Paris FC,French Ligue 1,J2,40%,87% — 360 of 414,50% — 4 of 8,33% — 2 of 6
Nice,French Ligue 1,J2,55%,437 of 515 — 85%,6 of 16 — 38%,7 of 8 — 87%
Auxerre,French Ligue 1,J2,45%,78% — 328 of 420,67% — 8 of 12,66% — 4 of 6
Lyon,French Ligue 1,J2,53%,527 of 576 — 91%,8 of 13 — 62%,2 of 2 — 100%
Metz,French Ligue 1,J2,47%,89% — 462 of 518,18% — 2 of 11,62% — 5 of 8
