Player,Game Week,Team,League,Nationality,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Razvan Sava,J1,Udinese,Italian Serie A,ROU,GK,Goalkeeper,23,90,3.0,1.0,2.0,1.0,0.0,0,1.0,1,25.0,6.0,557.5,4.0,71.2,7,0.0,2.0,43.0
Lorenzo Montipò,J1,Hellas Verona,Italian Serie A,ITA,GK,Goalkeeper,29,90,4.0,1.0,3.0,0.7,-0.3,0,7.0,22,27.0,5.0,1131.3,9.0,600.3,16,1.0,0.0,0.0
Alisson,J1,Liverpool,English Premier League,BRA,GK,Goalkeeper,32,90,3.0,2.0,1.0,0.8,-1.2,0,6.0,11,41.0,4.0,1299.7,1.0,5.0,16,1.0,0.0,0.0
Đorđe Petrović,J1,Bournemouth,English Premier League,SRB,GK,Goalkeeper,25,90,10.0,4.0,6.0,3.0,-1.0,0,7.0,20,29.0,5.0,1046.9,11.0,628.1,15,2.0,4.0,61.2
Marco Bizot,J1,Aston Villa,English Premier League,NED,GK,Goalkeeper,34,90,3.0,0.0,3.0,0.6,0.6,1,4.0,24,34.0,4.0,1210.4,11.0,634.7,22,3.0,3.0,45.3
Nick Pope,J1,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,33,90,3.0,0.0,3.0,0.2,0.2,1,1.0,6,26.0,12.0,655.2,3.0,140.1,6,3.0,4.0,69.2
Robin Roefs,J1,Sunderland,English Premier League,NED,GK,Goalkeeper,22,90,3.0,0.0,3.0,0.4,0.4,1,3.0,15,23.0,3.0,947.6,3.0,192.9,18,2.0,0.0,0.0
Mads Hermansen,J1,West Ham,English Premier League,DEN,GK,Goalkeeper,25,90,5.0,3.0,2.0,1.6,-1.4,0,8.0,20,36.0,4.0,1386.0,1.0,26.0,10,1.0,0.0,0.0
Guglielmo Vicario,J1,Tottenham,English Premier League,ITA,GK,Goalkeeper,28,90,4.0,0.0,4.0,1.1,1.1,1,1.0,2,46.0,4.0,1058.0,4.0,137.2,10,0.0,0.0,0.0
Martin Dúbravka,J1,Burnley,English Premier League,SVK,GK,Goalkeeper,36,90,6.0,3.0,3.0,2.6,-0.4,0,5.0,22,18.0,3.0,736.2,13.0,777.4,22,3.0,0.0,0.0
Bart Verbruggen,J1,Brighton,English Premier League,NED,GK,Goalkeeper,22,90,2.0,1.0,1.0,0.7,-0.3,0,1.0,10,42.0,3.0,1150.8,0.0,0.0,11,1.0,0.0,0.0
Bernd Leno,J1,Fulham,English Premier League,GER,GK,Goalkeeper,33,90,4.0,1.0,3.0,1.0,0.0,0,7.0,20,45.0,7.0,1440.0,8.0,342.4,9,2.0,0.0,0.0
José Sá,J1,Wolves,English Premier League,POR,GK,Goalkeeper,32,90,4.0,4.0,0.0,2.3,-1.7,0,3.0,8,18.0,3.0,525.6,8.0,298.4,15,1.0,0.0,0.0
James Trafford,J1,Manchester City,English Premier League,ENG,GK,Goalkeeper,22,90,3.0,0.0,3.0,0.7,0.7,1,1.0,8,28.0,3.0,781.2,3.0,167.1,11,1.0,2.0,25.8
Matz Sels,J1,Nott'ham Forest,English Premier League,BEL,GK,Goalkeeper,33,90,3.0,1.0,2.0,1.5,0.5,0,2.0,11,22.0,4.0,891.0,6.0,205.2,11,0.0,2.0,48.6
Caoimhín Kelleher,J1,Brentford,English Premier League,IRL,GK,Goalkeeper,26,90,5.0,3.0,2.0,2.4,-0.6,0,3.0,14,34.0,11.0,1077.8,5.0,254.0,21,0.0,3.0,39.6
