Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Nicola Leali,Genoa,Italian Serie A,GK,Goalkeeper,ITA,32,19.34,270,3,6.45
Nikola Vasilj,St. Pauli,German Bundesliga,GK,Goalkeeper,BIH,29,19.31,270,3,6.44
Noah Atubolu,Freiburg,German Bundesliga,GK,Goalkeeper,GER,23,18.09,270,3,6.03
Obed Nkambadio,Paris FC,French Ligue 1,GK,Goalkeeper,FRA,22,18.16,270,3,6.05
Oliver Baumann,Hoffenheim,German Bundesliga,GK,Goalkeeper,GER,35,19.1,270,3,6.37
Pablo Cuñat,Levante,Spanish La Liga,GK,Goalkeeper,ESP,23,12.85,180,2,6.43
Pau López,Betis,Spanish La Liga,GK,Goalkeeper,ESP,30,13.33,180,2,6.66
Paulo Gazzaniga,Girona,Spanish La Liga,GK,Goalkeeper,ARG,33,18.62,222,3,6.21
Philipp Köhn,Monaco,French Ligue 1,GK,Goalkeeper,SUI,27,6.01,90,1,6.01
Pietro Terracciano,Milan,Italian Serie A,GK,Goalkeeper,ITA,35,6.53,35,1,6.53
Péter Gulácsi,RB Leipzig,German Bundesliga,GK,Goalkeeper,HUN,35,19.54,270,3,6.51
Radosław Majecki,Brest,French Ligue 1,GK,Goalkeeper,POL,25,18.49,234,3,6.16
Razvan Sava,Udinese,Italian Serie A,GK,Goalkeeper,ROU,23,19.41,270,3,6.47
Robert Sánchez,Chelsea,English Premier League,GK,Goalkeeper,ESP,27,26.4,360,4,6.6
Robin Risser,Lens,French Ligue 1,GK,Goalkeeper,FRA,20,25.12,360,4,6.28
Robin Roefs,Sunderland,English Premier League,GK,Goalkeeper,NED,22,27.45,360,4,6.86
Robin Zentner,Mainz 05,German Bundesliga,GK,Goalkeeper,GER,30,18.88,270,3,6.29
Rémy Descamps,Lyon,French Ligue 1,GK,Goalkeeper,FRA,29,26.23,360,4,6.56
Sam Johnstone,Wolves,English Premier League,GK,Goalkeeper,ENG,32,7.0,90,1,7.0
Sergio Herrera,Osasuna,Spanish La Liga,GK,Goalkeeper,ESP,32,27.75,360,4,6.94
Stefano Turati,Sassuolo,Italian Serie A,GK,Goalkeeper,ITA,23,5.78,90,1,5.78
Thibaut Courtois,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BEL,33,33.14,450,5,6.63
Théo De Percin,Auxerre,French Ligue 1,GK,Goalkeeper,MTQ,24,18.71,226,3,6.24
Unai Simón,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,28,32.09,450,5,6.42
Vanja Milinković-Savić,Napoli,Italian Serie A,GK,Goalkeeper,SRB,28,6.17,90,1,6.17
Wladimiro Falcone,Lecce,Italian Serie A,GK,Goalkeeper,ITA,30,19.52,270,3,6.51
Yann Sommer,Inter,Italian Serie A,GK,Goalkeeper,SUI,36,18.43,270,3,6.14
Yehvann Diouf,Nice,French Ligue 1,GK,Goalkeeper,SEN,25,26.16,360,4,6.54
Yvon Mvogo,Lorient,French Ligue 1,GK,Goalkeeper,SUI,31,5.91,90,1,5.91
Zion Suzuki,Parma,Italian Serie A,GK,Goalkeeper,JPN,23,18.97,270,3,6.32
Álex Remiro,Real Sociedad,Spanish La Liga,GK,Goalkeeper,ESP,30,25.37,360,4,6.34
Álvaro Vallés,Betis,Spanish La Liga,GK,Goalkeeper,ESP,28,18.19,270,3,6.06
Ørjan Nyland,Sevilla,Spanish La Liga,GK,Goalkeeper,NOR,35,25.04,360,4,6.26
Đorđe Petrović,Bournemouth,English Premier League,GK,Goalkeeper,SRB,25,26.81,360,4,6.7
Łukasz Skorupski,Bologna,Italian Serie A,GK,Goalkeeper,POL,34,19.5,270,3,6.5
