Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aaron Anselmino,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,ARG,20,12.82,81,2,6.41
Aaron Hickey,Brentford,English Premier League,LB,Defender,SCO,23,30.79,188,5,6.16
Aaron McEneff,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,IRL,30,11.45,89,2,5.72
Aaron Wan-Bissaka,West Ham,English Premier League,RB,Defender,COD,27,26.89,303,4,6.72
Aaron Zehnter,Wolfsburg,German Bundesliga,LB,Defender,GER,20,19.68,269,3,6.56
Aarón Martín,Genoa,Italian Serie A,LB,Defender,ESP,28,32.09,444,5,6.42
Abdallah Sima,Lens,French Ligue 1,AM,Forward,SEN,24,18.99,73,3,6.33
Abde Ezzalzouli,Betis,"Spanish La Liga, UEFA Europa League",LW,Forward,MAR,23,53.99,420,8,6.75
Abde Rebbach,Alavés,Spanish La Liga,LM,Midfielder,ALG,27,34.77,329,5,6.95
Abdel Abqar,Getafe,Spanish La Liga,CB,Defender,MAR,26,31.18,387,5,6.24
Abdelhamid Ait Boudlal,Rennes,French Ligue 1,CB,Defender,MAR,19,11.8,75,2,5.9
Abdellah Zoubir,Qarabağ,UEFA Champions League,LW,Forward,FRA,33,22.41,269,3,7.47
Abderrahman Rebbach,Alavés,Spanish La Liga,CM,Midfielder,ALG,27,13.92,47,2,6.96
Abdou Harroui,Hellas Verona,Italian Serie A,CM,Midfielder,NED,27,12.38,70,2,6.19
Abdoul Coulibaly,Werder Bremen,German Bundesliga,CB,Defender,GER,18,45.32,553,7,6.47
Abdoul Ouattara,Strasbourg,"French Ligue 1, UEFA Europa Conference League",RB,Defender,FRA,20,44.7,510,7,6.39
Abdoulaye Faye,Lorient,French Ligue 1,CB,Defender,SEN,21,45.07,573,7,6.44
Abdoulaye Niakhate Ndiaye,Parma,Italian Serie A,CB,Defender,SEN,23,32.14,401,5,6.43
Abdoulaye Sylla,Sigma Olomouc,UEFA Europa Conference League,CB,Defender,GUI,25,12.45,180,2,6.22
Abdoulaye Touré,Le Havre,French Ligue 1,CM,Midfielder,GUI,31,37.18,324,6,6.2
Abdoulie Ceesay,St. Pauli,German Bundesliga,AM,Forward,GAM,21,23.25,62,4,5.81
Abdukodir Khusanov,Manchester City,"English Premier League, UEFA Champions League",RB,Defender,UZB,21,33.52,318,5,6.7
Abdulai Juma Bah,Nice,"French Ligue 1, UEFA Europa League",CB,Defender,SLE,19,43.94,565,7,6.28
Abdón Prats,Mallorca,Spanish La Liga,AM,Forward,ESP,32,24.87,59,4,6.22
Abdülkerim Bardakcı,Galatasaray,UEFA Champions League,CB,Defender,TUR,31,13.67,180,2,6.84
Abel,Osasuna,Spanish La Liga,WB,Midfielder,ESP,24,6.62,89,1,6.62
Abel Bretones,Osasuna,Spanish La Liga,LB,Midfielder,ESP,25,40.71,540,6,6.78
Abner,Lyon,"French Ligue 1, UEFA Europa League",LB,Defender,BRA,25,37.72,480,6,6.29
Aboubaka Soumahoro,Hamburger SV,German Bundesliga,CB,Defender,FRA,20,6.05,45,1,6.05
Aboubakary Koita,AEK Athens,UEFA Europa Conference League,LW,Forward,MTN,27,13.06,98,2,6.53
Abu Kamara,Getafe,Spanish La Liga,RM,Forward,ENG,22,24.21,117,4,6.05
Achraf Hakimi,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,MAR,26,68.22,746,10,6.82
Adam Boayar,Elche,Spanish La Liga,CM,Midfielder,MAR,19,6.71,6,1,6.71
Adam Buksa,Udinese,Italian Serie A,AM,Forward,POL,29,24.55,132,4,6.14
Adam Daghim,Wolfsburg,German Bundesliga,LW,Forward,DEN,20,31.76,272,5,6.35
Adam Dźwigała,St. Pauli,German Bundesliga,CB,Defender,POL,30,37.74,408,6,6.29
Adam Gabriel,Midtjylland,UEFA Europa League,RB,Defender,CZE,24,6.17,21,1,6.17
Adam Gnezda Čerin,Panathinaikos,UEFA Europa League,LM,Midfielder,SVN,26,13.82,168,2,6.91
Adam Karabec,Lyon,"French Ligue 1, UEFA Europa League",RW,Forward,CZE,22,69.68,631,11,6.33
Adam Kölle,Heidenheim,German Bundesliga,CB,Midfielder,GER,19,17.58,30,3,5.86
Adam Lundqvist,Häcken,UEFA Europa Conference League,LB,Defender,SWE,31,12.33,180,2,6.16
Adam Marušić,Lazio,Italian Serie A,RB,Defender,MNE,33,37.06,412,6,6.18
Adam Masina,Torino,Italian Serie A,CB,Defender,MAR,31,11.92,111,2,5.96
Adam Matthews,Shamrock Rovers,UEFA Europa Conference League,WB,Midfielder,WAL,33,6.25,57,1,6.25
Adam Obert,Cagliari,Italian Serie A,LB,Defender,SVK,23,44.24,592,7,6.32
Adam Sevinsky,Sparta Prague,UEFA Europa Conference League,CB,Defender,CZE,21,6.31,90,1,6.31
Adam Smith,Bournemouth,English Premier League,RB,Defender,ENG,34,17.81,204,3,5.94
Adam Wharton,Crystal Palace,"English Premier League, UEFA Europa Conference League",CM,Midfielder,ENG,21,60.35,652,9,6.71
Adama Boiro,Athletic Club,"Spanish La Liga, UEFA Champions League",LB,Defender,ESP,23,13.37,112,2,6.68
Adama Camara,Paris FC,French Ligue 1,LM,Midfielder,FRA,29,44.39,472,7,6.34
Adama Traoré,Fulham,English Premier League,RW,Forward,ESP,29,38.77,156,6,6.46
Adamu Alhassan,Shkëndija 79,UEFA Europa Conference League,DM,Midfielder,NGA,25,12.25,114,2,6.12
Adem Zorgane,Union SG,UEFA Champions League,CM,Midfielder,ALG,25,22.26,263,3,7.42
Ademola Lookman,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,NGA,28,34.38,278,5,6.88
Adil Aouchiche,Aberdeen,UEFA Europa Conference League,AM,Forward,FRA,23,6.27,45,1,6.27
Adilet Sadybekov,Qaırat Almaty,UEFA Champions League,DM,Midfielder,KAZ,23,7.08,16,1,7.08
Adnan Januzaj,Sevilla,Spanish La Liga,RW,Forward,BEL,30,38.51,149,6,6.42
Adrian Beck,Heidenheim,German Bundesliga,AM,Forward,GER,28,37.34,218,6,6.22
Adrian Benedyczak,Parma,Italian Serie A,AM,Forward,POL,24,17.72,67,3,5.91
Adrian Bernabe,Parma,Italian Serie A,CM,Midfielder,ESP,24,46.31,547,7,6.62
Adrian Blake,Utrecht,UEFA Europa League,LW,Forward,ENG,20,18.66,147,3,6.22
Adrian Leon Barišić,Basel,UEFA Europa League,CB,Defender,BIH,24,18.47,181,3,6.16
Adrian Rus,CS U Craiova,UEFA Europa Conference League,CB,Defender,ROU,29,12.33,180,2,6.16
Adrian Skogmar,Malmö,UEFA Europa League,CM,Midfielder,SWE,19,17.97,173,3,5.99
Adrian Svanbäck,Häcken,UEFA Europa Conference League,RM,Forward,FIN,21,12.58,180,2,6.29
Adrian Zeljković,Viktoria Plzeň,UEFA Europa League,CB,Midfielder,SVN,23,17.49,42,3,5.83
Adrian Șut,FCSB,UEFA Europa League,DM,Midfielder,ROU,26,6.34,45,1,6.34
Adriano,Raków,UEFA Europa Conference League,LM,Midfielder,BRA,23,12.86,159,2,6.43
Adrien Rabiot,"Marseille, Milan","French Ligue 1, Italian Serie A",CM,Midfielder,FRA,30,32.35,450,5,6.47
Adrien Tameze,Torino,Italian Serie A,CM,Midfielder,CMR,31,40.5,277,7,5.79
Adrien Thomasson,Lens,French Ligue 1,CM,Midfielder,FRA,31,53.29,720,8,6.66
Adrien Truffert,Bournemouth,English Premier League,LB,Defender,FRA,23,54.79,720,8,6.85
Adrià Altimira,Villarreal,Spanish La Liga,RB,Defender,ESP,24,7.29,9,1,7.29
Adrià Pedrosa,"Elche, Sevilla",Spanish La Liga,LB,Defender,ESP,27,32.48,217,5,6.5
Adrián Liso,Getafe,Spanish La Liga,AM,Forward,ESP,20,39.08,514,6,6.51
Adrián de la Fuente,Levante,Spanish La Liga,CB,Defender,ESP,26,51.23,655,8,6.4
Afimico Pululu,Jagiellonia,UEFA Europa Conference League,AM,Forward,NAN,26,12.27,166,2,6.14
Afonso Bastardo,Lyon,French Ligue 1,LW,Forward,POR,20,11.81,25,2,5.9
Afonso Moreira,Lyon,"French Ligue 1, UEFA Europa League",LW,Forward,POR,20,37.11,81,6,6.18
Agon Sadiku,KuPS,UEFA Europa Conference League,AM,Forward,FIN,22,11.24,27,2,5.62
Ahmed Kutucu,Galatasaray,UEFA Champions League,RW,Forward,TUR,25,6.62,24,1,6.62
Ahmed Touba,Panathinaikos,UEFA Europa League,CB,Defender,ALG,27,19.44,270,3,6.48
Aihen Muñoz,Real Sociedad,Spanish La Liga,LB,Defender,ESP,28,38.7,342,6,6.45
Aiman Dardari,Augsburg,German Bundesliga,CM,Midfielder,LUX,20,6.18,7,1,6.18
Aimar Oroz,Osasuna,Spanish La Liga,AM,Forward,ESP,23,26.32,313,4,6.58
Aimé Steven Nsimba Labe,CS U Craiova,UEFA Europa Conference League,AM,Forward,FRA,29,11.38,26,2,5.69
Ainsley Maitland-Niles,Lyon,"French Ligue 1, UEFA Europa League",RB,Defender,ENG,28,72.36,840,11,6.58
Aitor Paredes,Athletic Club,"Spanish La Liga, UEFA Champions League",CB,Defender,ESP,25,67.74,820,10,6.77
Aitor Ruibal,Betis,"Spanish La Liga, UEFA Europa League",RW,Forward,ESP,29,51.81,427,8,6.48
Akor Adams,Sevilla,Spanish La Liga,AM,Forward,NGA,25,46.4,357,7,6.63
