Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Josh Doig,J1,LB,Defender,Sassuolo,Italian Serie A,80.0,6.04,23,SCO
Tarik Muharemovic,J1,CB,Defender,Sassuolo,Italian Serie A,90.0,6.25,22,BIH
Filippo Romagna,J1,CB,Defender,Sassuolo,Italian Serie A,90.0,5.67,28,ITA
Sebastian Walukiewicz,J1,RB,Defender,Sassuolo,Italian Serie A,90.0,6.02,25,POL
Mathías Olivera,J1,LB,Defender,Napoli,Italian Serie A,88.0,5.95,27,URU
Juan Jesus,J1,CB,Defender,Napoli,Italian Serie A,90.0,6.5,34,BRA
Amir Rrahmani,J1,CB,Defender,Napoli,Italian Serie A,90.0,6.73,31,KVX
Giovanni Di Lorenzo,J1,RB,Defender,Napoli,Italian Serie A,90.0,6.22,32,ITA
Alessandro Bastoni,J1,CB,Defender,Inter,Italian Serie A,85.0,6.66,26,ITA
Francesco Acerbi,J1,CB,Defender,Inter,Italian Serie A,90.0,6.71,37,ITA
Benjamin Pavard,J1,CB,Defender,Inter,Italian Serie A,90.0,6.72,29,FRA
Cristiano Biraghi,J1,LB,Defender,Torino,Italian Serie A,90.0,6.0,32,ITA
Adam Masina,J1,CB,Defender,Torino,Italian Serie A,90.0,6.22,31,MAR
Saúl Coco,J1,CB,Defender,Torino,Italian Serie A,90.0,6.07,26,EQG
Valentino Lazaro,J1,RB,Defender,Torino,Italian Serie A,78.0,6.52,29,AUT
Marc Cucurella,J1,LB,Defender,Chelsea,English Premier League,90.0,6.65,27,ESP
Trevoh Chalobah,J1,CB,Defender,Chelsea,English Premier League,90.0,6.9,26,ENG
Joshua Acheampong,J1,CB,Defender,Chelsea,English Premier League,90.0,7.03,19,ENG
Reece James,J1,RB,Defender,Chelsea,English Premier League,78.0,7.19,25,ENG
Marc Guéhi,J1,CB,Defender,Crystal Palace,English Premier League,90.0,5.78,25,ENG
Maxence Lacroix,J1,CB,Defender,Crystal Palace,English Premier League,90.0,6.54,25,FRA
Chris Richards,J1,CB,Defender,Crystal Palace,English Premier League,90.0,6.04,25,USA
Luke Shaw,J1,CB,Defender,Manchester Utd,English Premier League,79.0,6.79,30,ENG
Matthijs de Ligt,J1,CB,Defender,Manchester Utd,English Premier League,90.0,7.17,26,NED
Leny Yoro,J1,CB,Defender,Manchester Utd,English Premier League,90.0,7.07,19,FRA
Riccardo Calafiori,J1,LB,Defender,Arsenal,English Premier League,71.0,6.41,23,ITA
Gabriel Magalhães,J1,CB,Defender,Arsenal,English Premier League,90.0,6.02,27,BRA
William Saliba,J1,CB,Defender,Arsenal,English Premier League,90.0,6.68,24,FRA
Ben White,J1,RB,Defender,Arsenal,English Premier League,70.0,6.87,27,ENG
Jurriën Timber,J1,RB,Defender,Arsenal,English Premier League,20.0,6.31,24,NED
Gabriel Gudmundsson,J1,LB,Defender,Leeds United,English Premier League,90.0,7.24,26,SWE
Pascal Struijk,J1,CB,Defender,Leeds United,English Premier League,90.0,6.64,26,NED
Joe Rodon,J1,CB,Defender,Leeds United,English Premier League,90.0,6.41,27,WAL
Jayden Bogle,J1,RB,Defender,Leeds United,English Premier League,90.0,6.61,25,ENG
James Garner,J1,LB,Defender,Everton,English Premier League,90.0,7.17,24,ENG
Michael Keane,J1,CB,Defender,Everton,English Premier League,90.0,6.47,32,ENG
James Tarkowski,J1,CB,Defender,Everton,English Premier League,90.0,7.32,32,ENG
Jake O'Brien,J1,RB,Defender,Everton,English Premier League,90.0,6.76,24,IRL
Nayef Aguerd,J2,CB,Defender,West Ham,English Premier League,90.0,7.1,29,MAR
Max Kilman,J2,CB,Defender,West Ham,English Premier League,90.0,5.68,28,ENG
Jean-Clair Todibo,J2,CB,Defender,West Ham,English Premier League,45.0,5.62,25,FRA
Marc Cucurella,J2,LB,Defender,Chelsea,English Premier League,68.0,7.42,27,ESP
Jorrel Hato,J2,LB,Defender,Chelsea,English Premier League,22.0,6.35,19,NED
Tosin Adarabioyo,J2,CB,Defender,Chelsea,English Premier League,90.0,7.08,27,ENG
Trevoh Chalobah,J2,CB,Defender,Chelsea,English Premier League,68.0,6.75,26,ENG
Wesley Fofana,J2,CB,Defender,Chelsea,English Premier League,22.0,5.6,24,FRA
Malo Gusto,J2,RB,Defender,Chelsea,English Premier League,68.0,6.4,22,FRA
Reece James,J2,RB,Defender,Chelsea,English Premier League,22.0,6.9,25,ENG
Rayan Aït-Nouri,J2,LB,Defender,Manchester City,English Premier League,22.0,6.11,24,ALG
Nathan Aké,J2,LB,Defender,Manchester City,English Premier League,68.0,6.64,30,NED
Rúben Dias,J2,CB,Defender,Manchester City,English Premier League,90.0,6.69,28,POR
John Stones,J2,CB,Defender,Manchester City,English Premier League,90.0,7.23,31,ENG
Rico Lewis,J2,RB,Defender,Manchester City,English Premier League,90.0,7.02,20,ENG
Djed Spence,J2,LB,Defender,Tottenham,English Premier League,90.0,6.94,25,ENG
Micky van de Ven,J2,CB,Defender,Tottenham,English Premier League,90.0,6.07,24,NED
Cristian Romero,J2,CB,Defender,Tottenham,English Premier League,90.0,6.44,27,ARG
Pedro Porro,J2,RB,Defender,Tottenham,English Premier League,90.0,6.6,25,ESP
Adrien Truffert,J2,LB,Defender,Bournemouth,English Premier League,90.0,7.13,23,FRA
