Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J23,Lecce,Fiorentina,3–2,"24,778",Stadio Comunale Via Del Mare,Antonio Giua,2024-02-02,https://fbref.com/en/matches/28d15df1/Lecce-Fiorentina-February-2-2024-Serie-A
J23,Empoli,Genoa,0–0,"10,374",Stadio Carlo Castellani,Ermanno Feliciani,2024-02-03,https://fbref.com/en/matches/fdc54c79/Empoli-Genoa-February-3-2024-Serie-A
J23,Udinese,Monza,0–0,"11,373",Bluenergy Stadium,Alessandro Prontera,2024-02-03,https://fbref.com/en/matches/31094073/Udinese-Monza-February-3-2024-Serie-A
J23,Frosinone,Milan,2–3,"16,050",Stadio Benito Stirpe,Luca Pairetto,2024-02-03,https://fbref.com/en/matches/14c72d2c/Frosinone-Milan-February-3-2024-Serie-A
J23,Bologna,Sassuolo,4–2,"20,932",Stadio Renato Dall'Ara,Juan Sacchi,2024-02-03,https://fbref.com/en/matches/6b5e4d06/Bologna-Sassuolo-February-3-2024-Serie-A
J23,Torino,Salernitana,0–0,"24,461",Stadio Olimpico di Torino,Daniele Chiffi,2024-02-04,https://fbref.com/en/matches/0aa345fd/Torino-Salernitana-February-4-2024-Serie-A
J23,Napoli,Hellas Verona,2–1,"44,000",Stadio Diego Armando Maradona,Marco Piccinini,2024-02-04,https://fbref.com/en/matches/9333828d/Napoli-Hellas-Verona-February-4-2024-Serie-A
J23,Atalanta,Lazio,3–1,"14,492",Gewiss Stadium,Marco Guida,2024-02-04,https://fbref.com/en/matches/839bed1a/Atalanta-Lazio-February-4-2024-Serie-A
J23,Inter,Juventus,1–0,"75,547",Stadio Giuseppe Meazza,Fabio Maresca,2024-02-04,https://fbref.com/en/matches/df2030e2/Derby-dItalia-Internazionale-Juventus-February-4-2024-Serie-A
J23,Roma,Cagliari,4–0,"61,755",Stadio Olimpico,Matteo Marcenaro,2024-02-05,https://fbref.com/en/matches/798802e2/Roma-Cagliari-February-5-2024-Serie-A
J24,Salernitana,Empoli,1–3,"18,511",Stadio Arechi,Maurizio Mariani,2024-02-09,https://fbref.com/en/matches/41f47040/Salernitana-Empoli-February-9-2024-Serie-A
J24,Cagliari,Lazio,1–3,"16,155",Unipol Domus,Marco Di Bello,2024-02-10,https://fbref.com/en/matches/c058cdf4/Cagliari-Lazio-February-10-2024-Serie-A
