Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Brest,French Ligue 1,J4,47%,353 of 461 — 77%,6 of 23 — 26%,2 of 4 — 50%
Paris FC,French Ligue 1,J4,53%,83% — 429 of 519,57% — 4 of 7,100% — 6 of 6
