Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Lens,French Ligue 1,J3,67%,518 of 631 — 82%,9 of 29 — 31%,1 of 2 — 50%
Brest,French Ligue 1,J3,33%,72% — 225 of 313,22% — 2 of 9,77% — 7 of 9
