Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Braga,UEFA Europa League,J3,49%,456 of 567 — 80%,4 of 11 — 36%,3 of 3 — 100%
Red Star,UEFA Europa League,J3,51%,81% — 475 of 583,33% — 3 of 9,50% — 2 of 4
