Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Hamburger SV,German Bundesliga,J6,36%,214 of 321 — 67%,9 of 15 — 60%,4 of 4 — 100%
Mainz 05,German Bundesliga,J6,64%,82% — 467 of 573,36% — 4 of 11,55% — 5 of 9
