,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Dénes Dibusz,Ferencváros,UEFA Europa League,hu HUN,34-355,90,2,1,1,50.0,0.8,3,9,33.3,18,1,38.9,30.7,5,40.0,39.0,16,0,0.0,1,13.2
J4,Sergio Padt,Ludogorets,UEFA Europa League,nl NED,35-153,90,7,3,4,57.1,3.0,5,18,27.8,25,2,56.0,41.4,5,80.0,47.2,18,0,0.0,0,6.0
