Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J9,Sebastiano Esposito,Cagliari,Italian Serie A,94.0,it ITA,FW,23-120,82,1,0,0,0,2,1,0,0,25,2,0,1,0.4,0.4,0.0,0,0,11,18,61.1,4,13,1,0,0,Sebastiano Esposito,94.0,it ITA,FW,23-120,82,11,18,61.1,182,58,6,7,85.7,4,8,50.0,1,3,33.3,0,0.0,0.0,0,1,0,0,4,Sebastiano Esposito,94.0,it ITA,FW,23-120,82,18,16,2,0,0,1,1,0,0,0,0,0,11,0,0,Sebastiano Esposito,94.0,it ITA,FW,23-120,82,2,2,1,1,0,2,3,66.7,1,1,0,1,0,2,0,0,Sebastiano Esposito,94.0,it ITA,FW,23-120,82,25,0,5,11,10,3,25,0,0,,0,,13,79,24,1,0,1,3,0,16,2,Sebastiano Esposito,94.0,it ITA,FW,23-120,82,0,0,0,2,0,1,1,0,2,0,0,0,4,0,1,0.0
J9,Zito Luvumbo,Cagliari,Italian Serie A,77.0,ao ANG,FW,23-235,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,1,0,Zito Luvumbo,77.0,ao ANG,FW,23-235,8,3,3,100.0,34,6,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,Zito Luvumbo,77.0,ao ANG,FW,23-235,8,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Zito Luvumbo,77.0,ao ANG,FW,23-235,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Zito Luvumbo,77.0,ao ANG,FW,23-235,8,4,0,1,3,1,0,4,1,0,0.0,0,0.0,4,19,3,0,0,0,0,0,3,1,Zito Luvumbo,77.0,ao ANG,FW,23-235,8,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,
J9,Gennaro Borrelli,Cagliari,Italian Serie A,29.0,it ITA,FW,25-234,75,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.0,2,0,6,10,60.0,0,9,0,0,0,Gennaro Borrelli,29.0,it ITA,FW,25-234,75,6,10,60.0,47,4,4,5,80.0,1,3,33.3,0,0,,0,0.0,0.0,1,0,0,0,0,Gennaro Borrelli,29.0,it ITA,FW,25-234,75,10,9,0,0,0,0,0,0,0,0,0,0,6,1,0,Gennaro Borrelli,29.0,it ITA,FW,25-234,75,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0,Gennaro Borrelli,29.0,it ITA,FW,25-234,75,16,2,3,7,6,2,16,0,0,,0,,9,41,2,0,0,0,0,1,13,2,Gennaro Borrelli,29.0,it ITA,FW,25-234,75,0,0,0,5,1,0,0,0,0,0,0,0,1,2,1,66.7
J9,Leonardo Pavoletti,Cagliari,Italian Serie A,30.0,it ITA,FW,36-338,15,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,0,0,0,0,Leonardo Pavoletti,30.0,it ITA,FW,36-338,15,1,3,33.3,23,5,0,2,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Leonardo Pavoletti,30.0,it ITA,FW,36-338,15,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Leonardo Pavoletti,30.0,it ITA,FW,36-338,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Leonardo Pavoletti,30.0,it ITA,FW,36-338,15,3,0,0,1,2,1,3,0,0,,0,,0,0,0,0,0,0,0,0,3,0,Leonardo Pavoletti,30.0,it ITA,FW,36-338,15,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,50.0
J9,Michael Folorunsho,Cagliari,Italian Serie A,90.0,it ITA,CM,27-265,61,0,0,0,0,0,0,1,0,26,2,0,1,0.0,0.0,0.0,3,0,12,18,66.7,1,10,1,1,0,Michael Folorunsho,90.0,it ITA,CM,27-265,61,12,18,66.7,201,29,7,8,87.5,4,6,66.7,1,2,50.0,0,0.0,0.0,1,1,0,0,1,Michael Folorunsho,90.0,it ITA,CM,27-265,61,18,17,1,0,0,0,1,1,0,0,0,0,12,0,1,Michael Folorunsho,90.0,it ITA,CM,27-265,61,2,1,1,0,1,0,0,,0,1,0,1,0,2,3,0,Michael Folorunsho,90.0,it ITA,CM,27-265,61,26,2,8,10,8,0,26,1,0,0.0,0,0.0,10,63,33,1,0,0,2,1,10,1,Michael Folorunsho,90.0,it ITA,CM,27-265,61,1,0,0,1,3,0,1,0,1,0,0,0,6,2,0,100.0
J9,Gianluca Gaetano,Cagliari,Italian Serie A,10.0,it ITA,CM,25-178,29,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,1,1,9,11,81.8,3,9,0,0,0,Gianluca Gaetano,10.0,it ITA,CM,25-178,29,9,11,81.8,202,25,4,4,100.0,3,5,60.0,2,2,100.0,0,0.0,0.0,0,1,0,0,3,Gianluca Gaetano,10.0,it ITA,CM,25-178,29,11,11,0,0,0,1,0,0,0,0,0,0,9,0,0,Gianluca Gaetano,10.0,it ITA,CM,25-178,29,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Gianluca Gaetano,10.0,it ITA,CM,25-178,29,13,0,0,11,2,0,13,0,0,,0,,9,38,17,0,0,0,0,0,10,2,Gianluca Gaetano,10.0,it ITA,CM,25-178,29,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
J9,Matteo Prati,Cagliari,Italian Serie A,16.0,it ITA,CM,21-306,90,0,0,0,0,1,0,0,0,53,1,2,0,0.0,0.0,0.0,0,0,27,44,61.4,3,24,0,0,0,Matteo Prati,16.0,it ITA,CM,21-306,90,27,44,61.4,662,249,6,10,60.0,14,17,82.4,7,16,43.8,0,0.0,0.0,0,7,1,0,3,Matteo Prati,16.0,it ITA,CM,21-306,90,44,39,5,1,0,0,4,0,3,1,2,0,27,0,0,Matteo Prati,16.0,it ITA,CM,21-306,90,1,0,0,1,0,1,3,33.3,2,0,0,0,2,3,4,0,Matteo Prati,16.0,it ITA,CM,21-306,90,53,3,15,29,10,0,53,0,0,,0,,24,94,25,0,0,0,1,0,32,3,Matteo Prati,16.0,it ITA,CM,21-306,90,0,0,0,1,0,0,4,2,0,0,0,0,4,1,1,50.0
J9,Michel Ndary Adopo,Cagliari,Italian Serie A,8.0,fr FRA,CM,25-103,82,0,0,0,0,1,0,0,0,30,1,0,0,0.1,0.1,0.0,1,0,20,25,80.0,6,17,4,1,1,Michel Ndary Adopo,8.0,fr FRA,CM,25-103,82,20,25,80.0,331,123,11,14,78.6,8,9,88.9,1,2,50.0,0,0.0,0.0,1,3,1,1,6,Michel Ndary Adopo,8.0,fr FRA,CM,25-103,82,25,25,0,0,0,0,1,0,0,0,0,0,20,0,0,Michel Ndary Adopo,8.0,fr FRA,CM,25-103,82,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Michel Ndary Adopo,8.0,fr FRA,CM,25-103,82,30,1,6,18,7,1,30,1,1,100.0,0,0.0,17,149,86,4,0,0,2,0,24,2,Michel Ndary Adopo,8.0,fr FRA,CM,25-103,82,0,0,0,1,2,0,1,0,1,0,0,0,3,2,1,66.7
J9,Luca Mazzitelli,Cagliari,Italian Serie A,4.0,it ITA,CM,29-349,8,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,4,0,0,0,Luca Mazzitelli,4.0,it ITA,CM,29-349,8,5,8,62.5,163,78,0,0,,3,3,100.0,2,5,40.0,0,0.0,0.0,0,2,0,0,0,Luca Mazzitelli,4.0,it ITA,CM,29-349,8,8,6,2,2,0,0,0,0,0,0,0,0,5,0,0,Luca Mazzitelli,4.0,it ITA,CM,29-349,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Luca Mazzitelli,4.0,it ITA,CM,29-349,8,9,0,0,9,0,0,9,0,0,,0,,4,22,7,0,0,0,0,0,5,0,Luca Mazzitelli,4.0,it ITA,CM,29-349,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
J9,Riyad Idrissi,Cagliari,Italian Serie A,3.0,it ITA,WB,20-139,90,0,0,0,0,0,0,1,0,52,4,1,1,0.0,0.0,0.1,3,0,23,31,74.2,0,13,0,0,0,Riyad Idrissi,3.0,it ITA,WB,20-139,90,23,31,74.2,370,83,14,16,87.5,9,12,75.0,0,1,0.0,0,0.1,0.1,1,0,0,0,0,Riyad Idrissi,3.0,it ITA,WB,20-139,90,31,22,9,2,0,0,4,7,0,0,0,0,23,0,1,Riyad Idrissi,3.0,it ITA,WB,20-139,90,4,2,4,0,0,4,6,66.7,2,1,1,0,1,5,4,0,Riyad Idrissi,3.0,it ITA,WB,20-139,90,52,2,17,20,15,0,52,0,0,,0,,13,39,2,0,1,0,6,1,17,5,Riyad Idrissi,3.0,it ITA,WB,20-139,90,1,0,0,1,0,1,4,1,2,0,0,0,3,1,0,100.0
J9,Marco Palestra,Cagliari,Italian Serie A,2.0,it ITA,WB,20-241,90,0,0,0,0,2,0,0,0,48,3,1,1,0.1,0.1,0.0,1,0,29,36,80.6,4,28,4,4,1,Marco Palestra,2.0,it ITA,WB,20-241,90,29,36,80.6,549,171,15,15,100.0,9,13,69.2,5,7,71.4,0,0.0,0.1,0,2,1,1,4,Marco Palestra,2.0,it ITA,WB,20-241,90,36,31,5,2,0,0,4,3,0,0,0,0,29,0,1,Marco Palestra,2.0,it ITA,WB,20-241,90,3,2,2,1,0,1,1,100.0,0,1,0,1,1,4,3,0,Marco Palestra,2.0,it ITA,WB,20-241,90,48,3,13,23,13,1,48,4,1,25.0,0,0.0,28,192,126,4,1,1,1,0,29,6,Marco Palestra,2.0,it ITA,WB,20-241,90,0,0,0,1,6,0,4,1,2,0,0,0,7,2,2,50.0
J9,Adam Obert,Cagliari,Italian Serie A,33.0,sk SVK,CB,23-068,90,0,0,0,0,0,0,1,0,56,1,0,0,0.0,0.0,0.0,0,0,41,49,83.7,4,34,0,1,0,Adam Obert,33.0,sk SVK,CB,23-068,90,41,49,83.7,838,298,13,14,92.9,23,25,92.0,5,8,62.5,0,0.0,0.0,0,3,0,0,4,Adam Obert,33.0,sk SVK,CB,23-068,90,49,46,2,2,0,2,0,0,0,0,0,0,41,1,1,Adam Obert,33.0,sk SVK,CB,23-068,90,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,4,0,Adam Obert,33.0,sk SVK,CB,23-068,90,56,2,21,34,1,1,56,1,0,0.0,0,0.0,34,204,130,0,0,0,0,0,39,1,Adam Obert,33.0,sk SVK,CB,23-068,90,1,0,0,3,2,0,0,0,0,0,0,0,2,2,3,40.0
