Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Porto,UEFA Europa League,J2,50%,361 of 462 — 78%,3 of 17 — 18%,1 of 2 — 50%
Red Star,UEFA Europa League,J2,50%,83% — 377 of 454,22% — 2 of 9,66% — 2 of 3
