Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Union Berlin,German Bundesliga,J9,38%,184 of 289 — 64%,2 of 11 — 18%,4 of 4 — 100%
Freiburg,German Bundesliga,J9,62%,81% — 389 of 479,31% — 4 of 13,100% — 2 of 2
