Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Union Berlin,German Bundesliga,J5,35%,216 of 311 — 69%,1 of 10 — 10%,6 of 6 — 100%
Hamburger SV,German Bundesliga,J5,65%,86% — 496 of 579,38% — 6 of 16,100% — 1 of 1
