,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Melker Ellborg,Malmö,UEFA Europa League,se SWE,22-168,90,4,1,2,75.0,1.7,1,13,7.7,31,4,35.5,31.2,6,33.3,31.8,12,0,0.0,1,27.0
J4,Alban Lafont,Panathinaikos,UEFA Europa League,ci CIV,26-287,90,2,0,2,100.0,0.3,5,15,33.3,26,6,34.6,36.3,7,85.7,61.3,8,0,0.0,0,15.0
