Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Elche,Spanish La Liga,J5,60%,556 of 634 — 88%,5 of 15 — 33%,4 of 4 — 100%
Oviedo,Spanish La Liga,J5,40%,80% — 335 of 418,33% — 4 of 12,80% — 4 of 5
