,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J10,Ivan Provedel,Lazio,Italian Serie A,it ITA,31-231,90,5,0,5,100.0,0.3,9,18,50.0,30,5,33.3,32.5,8,100.0,60.8,12,0,0.0,6,27.3
J10,Elia Caprile,Cagliari,Italian Serie A,it ITA,24-070,90,3,2,1,33.3,1.7,1,5,20.0,27,2,14.8,25.0,4,25.0,36.5,12,1,8.3,1,9.8
