Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Lazio,Italian Serie A,J4,48%,335 of 424 — 79%,2 of 10 — 20%,5 of 6 — 83%
Roma,Italian Serie A,J4,52%,80% — 361 of 452,46% — 6 of 13,100% — 2 of 2
