Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Club Brugge,UEFA Champions League,J4,25%,183 of 253 — 72%,6 of 10 — 60%,4 of 6 — 66%
Barcelona,UEFA Champions League,J4,75%,90% — 696 of 773,26% — 6 of 23,50% — 3 of 6
