Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Betis,Spanish La Liga,J5,50%,420 of 520 — 81%,6 of 21 — 29%,4 of 5 — 80%
Real Sociedad,Spanish La Liga,J5,50%,78% — 409 of 525,45% — 5 of 11,66% — 4 of 6
