Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Union Berlin,German Bundesliga,J7,38%,220 of 324 — 68%,5 of 16 — 31%,1 of 2 — 50%
Gladbach,German Bundesliga,J7,62%,81% — 437 of 539,25% — 2 of 8,40% — 2 of 5
