Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Stuttgart,UEFA Europa League,J1,59%,548 of 636 — 86%,6 of 19 — 32%,0 of 1 — 0%
Celta Vigo,UEFA Europa League,J1,41%,82% — 369 of 449,13% — 1 of 8,66% — 4 of 6
