Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Midtjylland,UEFA Europa League,J1,52%,344 of 448 — 77%,5 of 7 — 71%,4 of 4 — 100%
Sturm Graz,UEFA Europa League,J1,48%,73% — 301 of 410,36% — 4 of 11,80% — 4 of 5
