,Player,,,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J3,Luka Jović,AEK Athens,UEFA Europa Conference League,9.0,rs SRB,FW,27-318,90,1,0,1,1,2,0,1,0,15,0,0,0,1.8,1.0,0.0,1,0,3,10,30.0,1,10,0,0,0,Luka Jović,9.0,rs SRB,FW,27-318,90,3,10,30.0,45,0,1,5,20.0,2,2,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1,Luka Jović,9.0,rs SRB,FW,27-318,90,10,9,1,0,0,0,0,0,0,0,0,0,3,0,1,Luka Jović,9.0,rs SRB,FW,27-318,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Luka Jović,9.0,rs SRB,FW,27-318,90,15,0,0,3,12,5,14,0,0,,0,,10,35,7,0,0,0,2,1,13,5,Luka Jović,9.0,rs SRB,FW,27-318,90,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3,25.0
J3,Dereck Kutesa,AEK Athens,UEFA Europa Conference League,7.0,ch SUI,LW,27-335,45,0,0,0,0,1,0,0,0,20,0,0,0,0.2,0.2,0.0,1,0,14,16,87.5,1,14,0,0,0,Dereck Kutesa,7.0,ch SUI,LW,27-335,45,14,16,87.5,211,37,5,6,83.3,9,10,90.0,0,0,,0,0.0,0.0,0,0,1,0,1,Dereck Kutesa,7.0,ch SUI,LW,27-335,45,16,16,0,0,0,0,1,0,0,0,0,0,14,0,0,Dereck Kutesa,7.0,ch SUI,LW,27-335,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Dereck Kutesa,7.0,ch SUI,LW,27-335,45,20,0,0,3,17,2,20,0,0,,0,,14,52,16,0,0,0,0,1,19,9,Dereck Kutesa,7.0,ch SUI,LW,27-335,45,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
J3,Aboubakary Koita,AEK Athens,UEFA Europa Conference League,11.0,mr MTN,AM,27-047,45,0,0,0,0,4,1,0,0,28,2,0,0,0.2,0.2,0.1,3,0,10,15,66.7,0,12,2,4,1,Aboubakary Koita,11.0,mr MTN,AM,27-047,45,10,15,66.7,190,9,5,9,55.6,5,5,100.0,0,1,0.0,0,0.1,0.0,1,0,1,1,0,Aboubakary Koita,11.0,mr MTN,AM,27-047,45,15,14,1,0,0,0,3,1,0,0,0,0,10,0,1,Aboubakary Koita,11.0,mr MTN,AM,27-047,45,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Aboubakary Koita,11.0,mr MTN,AM,27-047,45,28,0,6,5,17,3,28,4,1,25.0,3,75.0,12,66,22,2,0,1,1,0,14,9,Aboubakary Koita,11.0,mr MTN,AM,27-047,45,0,0,0,0,1,0,3,0,0,0,0,0,4,1,1,50.0
J3,Mijat Gaćinović,AEK Athens,UEFA Europa Conference League,8.0,rs SRB,"RW,AM",30-271,89,0,0,0,0,7,2,0,0,45,1,0,0,0.5,0.5,0.6,3,0,23,33,69.7,6,23,2,3,0,Mijat Gaćinović,8.0,rs SRB,"RW,AM",30-271,89,23,33,69.7,397,74,11,14,78.6,10,14,71.4,2,2,100.0,0,0.6,0.4,1,2,2,1,6,Mijat Gaćinović,8.0,rs SRB,"RW,AM",30-271,89,33,32,1,0,0,0,3,0,0,0,0,0,23,0,2,Mijat Gaćinović,8.0,rs SRB,"RW,AM",30-271,89,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Mijat Gaćinović,8.0,rs SRB,"RW,AM",30-271,89,45,0,0,15,30,7,45,3,0,0.0,2,66.7,23,85,46,2,1,0,0,0,33,14,Mijat Gaćinović,8.0,rs SRB,"RW,AM",30-271,89,0,0,0,1,2,0,3,0,1,0,0,0,2,4,2,66.7
J3,Domagoj Vida,AEK Athens,UEFA Europa Conference League,21.0,hr CRO,AM,36-191,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Domagoj Vida,21.0,hr CRO,AM,36-191,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Domagoj Vida,21.0,hr CRO,AM,36-191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Domagoj Vida,21.0,hr CRO,AM,36-191,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Domagoj Vida,21.0,hr CRO,AM,36-191,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Domagoj Vida,21.0,hr CRO,AM,36-191,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
J3,Petros Mantalos,AEK Athens,UEFA Europa Conference League,20.0,gr GRE,"DM,AM",34-067,90,0,0,0,0,0,0,0,0,89,1,0,0,0.0,0.0,0.5,12,0,67,85,78.8,20,57,1,4,4,Petros Mantalos,20.0,gr GRE,"DM,AM",34-067,90,67,85,78.8,1370,502,23,25,92.0,29,35,82.9,12,20,60.0,0,0.5,0.6,7,12,6,1,20,Petros Mantalos,20.0,gr GRE,"DM,AM",34-067,90,85,69,15,4,1,2,14,2,9,3,4,0,67,1,1,Petros Mantalos,20.0,gr GRE,"DM,AM",34-067,90,1,1,0,0,1,1,2,50.0,1,0,0,0,0,1,1,0,Petros Mantalos,20.0,gr GRE,"DM,AM",34-067,90,89,0,4,39,46,1,89,4,4,100.0,0,0.0,57,247,125,1,6,0,1,0,63,5,Petros Mantalos,20.0,gr GRE,"DM,AM",34-067,90,0,0,0,2,1,0,14,0,1,0,0,0,3,0,0,
J3,Răzvan Marin,AEK Athens,UEFA Europa Conference League,18.0,ro ROU,DM,29-167,45,0,0,0,0,2,0,0,0,41,1,0,0,0.0,0.0,0.2,3,0,32,36,88.9,4,31,0,1,1,Răzvan Marin,18.0,ro ROU,DM,29-167,45,32,36,88.9,650,211,11,12,91.7,14,15,93.3,6,6,100.0,0,0.2,0.1,2,5,3,1,4,Răzvan Marin,18.0,ro ROU,DM,29-167,45,36,36,0,0,0,0,2,0,0,0,0,0,32,0,2,Răzvan Marin,18.0,ro ROU,DM,29-167,45,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0,Răzvan Marin,18.0,ro ROU,DM,29-167,45,41,0,7,18,16,0,41,1,1,100.0,0,0.0,31,129,54,0,2,0,1,0,35,2,Răzvan Marin,18.0,ro ROU,DM,29-167,45,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,
J3,Frantzdy Pierrot,AEK Athens,UEFA Europa Conference League,14.0,ht HAI,FW,30-222,45,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.2,3,0,5,8,62.5,0,8,1,1,1,Frantzdy Pierrot,14.0,ht HAI,FW,30-222,45,5,8,62.5,40,0,4,6,66.7,0,0,,0,0,,0,0.2,0.1,2,0,0,0,0,Frantzdy Pierrot,14.0,ht HAI,FW,30-222,45,8,8,0,0,0,0,0,0,0,0,0,0,5,0,1,Frantzdy Pierrot,14.0,ht HAI,FW,30-222,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Frantzdy Pierrot,14.0,ht HAI,FW,30-222,45,14,1,1,2,11,8,14,1,1,100.0,0,0.0,8,49,19,1,0,1,2,0,9,5,Frantzdy Pierrot,14.0,ht HAI,FW,30-222,45,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3,50.0
J3,Orbelín Pineda,AEK Athens,UEFA Europa Conference League,13.0,mx MEX,DM,29-227,90,0,0,0,0,2,0,0,0,110,2,1,0,0.2,0.2,0.1,10,0,83,96,86.5,18,80,5,7,2,Orbelín Pineda,13.0,mx MEX,DM,29-227,90,83,96,86.5,1655,469,25,29,86.2,45,48,93.8,12,15,80.0,0,0.1,0.2,2,15,5,0,18,Orbelín Pineda,13.0,mx MEX,DM,29-227,90,96,94,1,1,0,0,4,0,0,0,0,0,83,1,1,Orbelín Pineda,13.0,mx MEX,DM,29-227,90,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,0,0,Orbelín Pineda,13.0,mx MEX,DM,29-227,90,110,0,8,59,44,1,110,7,2,28.6,1,14.3,80,391,253,5,4,0,1,0,83,4,Orbelín Pineda,13.0,mx MEX,DM,29-227,90,0,0,0,1,5,0,4,1,1,0,0,0,2,0,1,0.0
J3,Stavros Pilios,AEK Athens,UEFA Europa Conference League,3.0,gr GRE,LB,24-331,89,0,0,0,0,3,0,0,0,100,3,1,0,0.2,0.2,0.1,3,0,75,90,83.3,10,66,8,0,0,Stavros Pilios,3.0,gr GRE,LB,24-331,89,75,90,83.3,1200,288,45,49,91.8,24,29,82.8,6,9,66.7,0,0.1,0.2,3,8,3,1,10,Stavros Pilios,3.0,gr GRE,LB,24-331,89,90,80,10,0,0,0,6,10,0,0,0,0,75,0,3,Stavros Pilios,3.0,gr GRE,LB,24-331,89,3,1,2,0,1,1,1,100.0,0,0,0,0,1,4,0,0,Stavros Pilios,3.0,gr GRE,LB,24-331,89,100,1,14,41,48,6,100,0,0,,0,,66,406,285,8,5,0,2,0,68,16,Stavros Pilios,3.0,gr GRE,LB,24-331,89,0,0,0,0,0,0,6,1,1,0,0,0,10,1,0,100.0
