Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Rayo Vallecano,Spanish La Liga,J5,58%,487 of 588 — 83%,5 of 15 — 33%,4 of 5 — 80%
Celta Vigo,Spanish La Liga,J5,42%,76% — 318 of 421,56% — 5 of 9,80% — 4 of 5
