Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Newcastle Utd,UEFA Champions League,J1,37%,233 of 334 — 70%,6 of 10 — 60%,3 of 5 — 60%
Barcelona,UEFA Champions League,J1,63%,85% — 490 of 578,26% — 5 of 19,83% — 5 of 6
