Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Hellas Verona,Italian Serie A,J4,29%,165 of 252 — 65%,3 of 13 — 23%,3 of 4 — 75%
Juventus,Italian Serie A,J4,71%,84% — 524 of 621,40% — 4 of 10,100% — 3 of 3
