,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Lukáš Horníček,Braga,UEFA Europa League,cz CZE,23-116,90,8,4,4,50.0,2.4,2,7,28.6,26,3,26.9,28.5,0,,,6,0,0.0,2,26.0
J4,Hendrik Van Crombrugge,Genk,UEFA Europa League,be BEL,32-190,90,6,3,3,50.0,2.8,7,20,35.0,41,3,41.5,35.4,5,60.0,41.0,22,1,4.5,0,7.7
