Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J8,Salomón Rondón,Oviedo,Spanish La Liga,23.0,ve VEN,FW,36-018,57,0,0,0,0,1,0,1,0,13,0,0,1,0.0,0.0,0.0,0,0,6,10,60.0,0,5,1,0,0,Salomón Rondón,23.0,ve VEN,FW,36-018,57,6,10,60.0,66,5,5,5,100.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Salomón Rondón,23.0,ve VEN,FW,36-018,57,10,8,2,0,0,0,0,0,0,0,0,0,6,0,1,Salomón Rondón,23.0,ve VEN,FW,36-018,57,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Salomón Rondón,23.0,ve VEN,FW,36-018,57,13,0,0,9,4,2,13,0,0,,0,,5,26,18,1,0,1,0,0,9,2,Salomón Rondón,23.0,ve VEN,FW,36-018,57,1,0,0,1,1,0,0,0,0,0,0,0,1,3,2,60.0
J8,Federico Viñas,Oviedo,Spanish La Liga,9.0,uy URU,FW,27-096,33,0,0,0,0,1,0,0,0,14,1,0,0,0.2,0.2,0.4,1,0,3,6,50.0,0,6,0,0,0,Federico Viñas,9.0,uy URU,FW,27-096,33,3,6,50.0,55,0,1,2,50.0,0,0,,1,2,50.0,0,0.4,0.2,1,0,0,0,0,Federico Viñas,9.0,uy URU,FW,27-096,33,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,Federico Viñas,9.0,uy URU,FW,27-096,33,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Federico Viñas,9.0,uy URU,FW,27-096,33,14,0,1,8,5,3,14,0,0,,0,,6,23,3,0,0,0,3,0,8,3,Federico Viñas,9.0,uy URU,FW,27-096,33,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,40.0
J8,Josip Brekalo,Oviedo,Spanish La Liga,18.0,hr CRO,LW,27-103,45,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,13,20,65.0,1,14,1,0,0,Josip Brekalo,18.0,hr CRO,LW,27-103,45,13,20,65.0,162,8,10,12,83.3,3,6,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Josip Brekalo,18.0,hr CRO,LW,27-103,45,20,19,1,0,0,1,2,0,1,1,0,0,13,0,1,Josip Brekalo,18.0,hr CRO,LW,27-103,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Josip Brekalo,18.0,hr CRO,LW,27-103,45,22,0,2,14,6,0,22,0,0,,0,,14,61,29,1,2,0,1,1,18,4,Josip Brekalo,18.0,hr CRO,LW,27-103,45,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
J8,Ilyas Chaira,Oviedo,Spanish La Liga,7.0,ma MAR,"LW,LM",24-244,45,0,0,0,0,3,1,0,0,32,0,0,1,0.5,0.5,0.0,4,0,19,23,82.6,4,19,1,3,1,Ilyas Chaira,7.0,ma MAR,"LW,LM",24-244,45,19,23,82.6,313,30,8,8,100.0,9,12,75.0,2,2,100.0,0,0.0,0.0,0,2,0,0,4,Ilyas Chaira,7.0,ma MAR,"LW,LM",24-244,45,23,22,0,0,0,0,3,0,0,0,0,0,19,1,0,Ilyas Chaira,7.0,ma MAR,"LW,LM",24-244,45,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Ilyas Chaira,7.0,ma MAR,"LW,LM",24-244,45,32,0,2,9,21,5,32,3,1,33.3,2,66.7,19,102,47,1,0,1,1,2,23,9,Ilyas Chaira,7.0,ma MAR,"LW,LM",24-244,45,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,100.0
J8,Haissem Hassan,Oviedo,Spanish La Liga,10.0,fr FRA,"RW,RM",23-238,90,0,0,0,0,2,0,0,0,49,1,0,0,0.1,0.1,0.3,6,0,31,38,81.6,5,37,11,9,4,Haissem Hassan,10.0,fr FRA,"RW,RM",23-238,90,31,38,81.6,663,135,11,13,84.6,14,16,87.5,6,7,85.7,0,0.3,0.6,3,4,3,2,5,Haissem Hassan,10.0,fr FRA,"RW,RM",23-238,90,38,36,2,0,0,1,8,1,1,1,0,0,31,0,2,Haissem Hassan,10.0,fr FRA,"RW,RM",23-238,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Haissem Hassan,10.0,fr FRA,"RW,RM",23-238,90,49,0,2,25,24,3,49,9,4,44.4,4,44.4,37,488,259,11,6,1,3,1,38,8,Haissem Hassan,10.0,fr FRA,"RW,RM",23-238,90,0,0,0,1,1,0,8,0,1,0,0,0,2,0,0,
J8,Santiago Colombatto,Oviedo,Spanish La Liga,11.0,ar ARG,LM,28-260,73,0,0,0,0,0,0,0,0,49,2,0,3,0.0,0.0,0.1,1,0,33,42,78.6,5,29,0,0,0,Santiago Colombatto,11.0,ar ARG,LM,28-260,73,33,42,78.6,529,138,14,18,77.8,15,17,88.2,2,4,50.0,0,0.1,0.0,1,1,0,0,5,Santiago Colombatto,11.0,ar ARG,LM,28-260,73,42,37,5,1,0,0,2,1,3,1,1,0,33,0,1,Santiago Colombatto,11.0,ar ARG,LM,28-260,73,2,1,1,1,0,1,1,100.0,0,3,1,2,0,2,1,0,Santiago Colombatto,11.0,ar ARG,LM,28-260,73,49,2,12,30,7,1,49,0,0,,0,,29,117,54,0,0,0,0,1,31,2,Santiago Colombatto,11.0,ar ARG,LM,28-260,73,0,0,0,0,1,0,2,0,1,0,0,0,4,1,0,100.0
J8,Ovie Ejaria,Oviedo,Spanish La Liga,14.0,eng ENG,"CM,LM",27-320,17,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,1,11,2,1,0,Ovie Ejaria,14.0,eng ENG,"CM,LM",27-320,17,10,12,83.3,160,22,4,4,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,Ovie Ejaria,14.0,eng ENG,"CM,LM",27-320,17,12,11,1,1,0,0,0,0,0,0,0,0,10,0,1,Ovie Ejaria,14.0,eng ENG,"CM,LM",27-320,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ovie Ejaria,14.0,eng ENG,"CM,LM",27-320,17,15,0,1,12,3,0,15,1,0,0.0,0,0.0,11,88,65,2,1,0,1,0,10,1,Ovie Ejaria,14.0,eng ENG,"CM,LM",27-320,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
J8,Leander Dendoncker,Oviedo,Spanish La Liga,20.0,be BEL,CM,30-172,82,0,0,0,0,0,0,0,0,51,1,1,1,0.0,0.0,0.0,0,0,41,45,91.1,6,35,0,1,1,Leander Dendoncker,20.0,be BEL,CM,30-172,82,41,45,91.1,712,133,13,15,86.7,25,26,96.2,2,2,100.0,0,0.0,0.0,0,4,0,0,6,Leander Dendoncker,20.0,be BEL,CM,30-172,82,45,45,0,0,0,0,0,0,0,0,0,0,41,0,0,Leander Dendoncker,20.0,be BEL,CM,30-172,82,1,1,1,0,0,0,1,0.0,1,1,1,0,1,2,1,1,Leander Dendoncker,20.0,be BEL,CM,30-172,82,51,3,16,33,2,0,51,1,1,100.0,0,0.0,35,149,72,0,0,0,1,0,34,0,Leander Dendoncker,20.0,be BEL,CM,30-172,82,0,0,0,1,1,0,0,1,1,0,0,0,5,3,3,50.0
J8,Álex Forés,Oviedo,Spanish La Liga,19.0,es ESP,FW,24-175,8,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,0,2,0.0,0,2,1,0,0,Álex Forés,19.0,es ESP,FW,24-175,8,0,2,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Álex Forés,19.0,es ESP,FW,24-175,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,Álex Forés,19.0,es ESP,FW,24-175,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Álex Forés,19.0,es ESP,FW,24-175,8,4,0,0,1,3,2,4,0,0,,0,,2,34,19,1,0,1,1,0,3,2,Álex Forés,19.0,es ESP,FW,24-175,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
J8,Alberto Reina,Oviedo,Spanish La Liga,5.0,es ESP,RM,28-025,57,0,0,0,0,1,0,0,0,30,0,0,0,0.1,0.1,0.0,0,0,23,26,88.5,3,22,0,0,0,Alberto Reina,5.0,es ESP,RM,28-025,57,23,26,88.5,348,69,13,13,100.0,9,10,90.0,1,3,33.3,0,0.0,0.0,0,1,0,0,3,Alberto Reina,5.0,es ESP,RM,28-025,57,26,26,0,0,0,0,1,0,0,0,0,0,23,0,0,Alberto Reina,5.0,es ESP,RM,28-025,57,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Alberto Reina,5.0,es ESP,RM,28-025,57,30,0,6,18,6,1,30,0,0,,0,,22,131,69,0,0,0,2,0,26,2,Alberto Reina,5.0,es ESP,RM,28-025,57,0,0,0,2,1,0,1,0,0,0,0,0,2,1,1,50.0
